grimoireofgaia:blocks/bust_gorgon | minecraft:block | grimoireofgaia:blocks/bust_gorgon grimoireofgaia:bust_gorgon minecraft:block minecraft:item minecraft:survives_explosion
grimoireofgaia:entities/ant | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/ant grimoireofgaia:honeydew minecraft:enchanted_count_increase minecraft:entity minecraft:green_dye minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/ant_hill | minecraft:entity | grimoireofgaia:entities/ant_hill minecraft:entity
grimoireofgaia:entities/ant_salvager | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/ant_salvager grimoireofgaia:meat minecraft:book minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:set_enchantments minecraft:tag minecraft:uniform
grimoireofgaia:entities/anubis | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:book_of_memory grimoireofgaia:box_gold grimoireofgaia:entities/anubis minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/arachne | minecraft:entity | c:nuggets/gold grimoireofgaia:book_of_memory grimoireofgaia:box_overworld grimoireofgaia:entities/arachne grimoireofgaia:stone_coal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/banshee | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/banshee grimoireofgaia:soulfire grimoireofgaia:weapon_book_nightmare minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/bee | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/bee grimoireofgaia:honeydew minecraft:bone_meal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/behender | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_end grimoireofgaia:entities/behender grimoireofgaia:weapon_book_ender minecraft:enchanted_count_increase minecraft:ender_pearl minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/bone_knight | minecraft:entity | c:nuggets/gold c:storage_blocks/redstone grimoireofgaia:box_overworld grimoireofgaia:entities/bone_knight minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:redstone minecraft:set_count minecraft:skeleton_skull minecraft:tag minecraft:uniform
grimoireofgaia:entities/cecaelia | minecraft:entity | c:nuggets/iron grimoireofgaia:box_overworld grimoireofgaia:entities/cecaelia grimoireofgaia:shiny_pearl minecraft:book minecraft:clay minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:set_enchantments minecraft:tag minecraft:uniform
grimoireofgaia:entities/centaur | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_arrows grimoireofgaia:box_iron grimoireofgaia:entities/centaur minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/chest | minecraft:entity | grimoireofgaia:entities/chest minecraft:entity
grimoireofgaia:entities/chest_tables | minecraft:entity | grimoireofgaia:entities/chest_tables minecraft:chests/simple_dungeon minecraft:entity minecraft:loot_table
grimoireofgaia:entities/cobble_golem | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/cobble_golem minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/cobblestone_golem | minecraft:entity | c:nuggets/gold c:nuggets/iron grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:chest_jungle grimoireofgaia:entities/cobblestone_golem grimoireofgaia:totem_of_undying_fragment grimoireofgaia:weapon_book_metal minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/creep | minecraft:entity | c:nuggets/iron grimoireofgaia:box_overworld grimoireofgaia:doll_creeper_girl grimoireofgaia:entities/creep grimoireofgaia:spawn_creeper_girl minecraft:enchanted_count_increase minecraft:entity minecraft:gunpowder minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/creeper_girl | minecraft:entity | grimoireofgaia:entities/creeper_girl grimoireofgaia:spawn_creeper_girl minecraft:entity minecraft:item
grimoireofgaia:entities/cyan_flower | minecraft:entity | grimoireofgaia:entities/cyan_flower grimoireofgaia:mandrake minecraft:dandelion minecraft:entity minecraft:entity_properties minecraft:item minecraft:linear minecraft:looting minecraft:poppy minecraft:random_chance_with_enchanted_bonus
grimoireofgaia:entities/cyclops | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/cyclops grimoireofgaia:fur grimoireofgaia:knuckles minecraft:book minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:set_enchantments minecraft:tag minecraft:uniform
grimoireofgaia:entities/deathword | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_book grimoireofgaia:box_overworld grimoireofgaia:entities/deathword grimoireofgaia:weapon_book minecraft:book minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:paper minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/dryad | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:doll_dryad grimoireofgaia:entities/dryad grimoireofgaia:taproot minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:linear minecraft:logs_that_burn minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/dullahan | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:doll_dullahan grimoireofgaia:entities/dullahan grimoireofgaia:soulfire minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/dwarf | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/dwarf grimoireofgaia:meat minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/dwarf_miner | minecraft:entity | c:nuggets/gold c:nuggets/iron grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:box_overworld grimoireofgaia:entities/dwarf_miner minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/dwarf_ranged | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_arrows grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/dwarf_ranged minecraft:arrow minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/ender_dragon_girl | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_end grimoireofgaia:doll_ender_girl grimoireofgaia:elytra_fragment grimoireofgaia:entities/ender_dragon_girl grimoireofgaia:spawn_ender_girl minecraft:enchanted_count_increase minecraft:ender_pearl minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/ender_eye | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:doll_ender_girl grimoireofgaia:entities/ender_eye minecraft:enchanted_count_increase minecraft:ender_pearl minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/ender_girl | minecraft:entity | grimoireofgaia:entities/ender_girl grimoireofgaia:spawn_ender_girl minecraft:entity minecraft:item
grimoireofgaia:entities/flesh_lich | minecraft:entity | c:gems/lapis c:nuggets/gold c:storage_blocks/lapis grimoireofgaia:box_overworld grimoireofgaia:entities/flesh_lich minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform minecraft:zombie_head
grimoireofgaia:entities/gelatinous_slime | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:doll_slime_girl grimoireofgaia:entities/gelatinous_slime grimoireofgaia:spawn_slime_girl minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:slime_ball minecraft:tag minecraft:uniform
grimoireofgaia:entities/goblin | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_arrows grimoireofgaia:box_iron grimoireofgaia:entities/goblin grimoireofgaia:meat minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/goblin_feral | minecraft:entity | c:nuggets/iron grimoireofgaia:entities/goblin_feral minecraft:entity minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/gravemite | minecraft:entity | grimoireofgaia:entities/gravemite minecraft:entity
grimoireofgaia:entities/gryphon | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/gryphon minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/harpy | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:deco_nest_harpy grimoireofgaia:entities/harpy minecraft:enchanted_count_increase minecraft:entity minecraft:feather minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/horse | minecraft:entity | grimoireofgaia:entities/horse minecraft:entities/zombie_horse minecraft:entity minecraft:loot_table
grimoireofgaia:entities/hunter | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_arrows grimoireofgaia:box_iron grimoireofgaia:entities/hunter grimoireofgaia:rotten_heart minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/kobold | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_arrows grimoireofgaia:box_iron grimoireofgaia:entities/kobold grimoireofgaia:fur minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/mandragora | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:deco_garden_gnome grimoireofgaia:entities/mandragora grimoireofgaia:mandrake grimoireofgaia:taproot minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/matango | minecraft:entity | c:mushrooms c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/matango minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/mermaid | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_old grimoireofgaia:box_overworld grimoireofgaia:doll_mermaid grimoireofgaia:entities/mermaid grimoireofgaia:seashell_hairpin grimoireofgaia:shiny_pearl minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:prismarine_shard minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/mimic | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_record grimoireofgaia:box_overworld grimoireofgaia:entities/mimic grimoireofgaia:premium_monster_feed grimoireofgaia:spawn_trader grimoireofgaia:weapon_book_hunger minecraft:entities/creeper minecraft:entities/enderman minecraft:entities/skeleton minecraft:entities/slime minecraft:entities/spider minecraft:entities/zombie minecraft:entity minecraft:item minecraft:linear minecraft:loot_table minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/minotaur | minecraft:entity | c:nuggets/diamond c:nuggets/emerald grimoireofgaia:box_diamond grimoireofgaia:bust_minotaur grimoireofgaia:entities/minotaur grimoireofgaia:golden_apple_pie_slice grimoireofgaia:heavy_barbell grimoireofgaia:ring_of_haste minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/minotaurus | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/minotaurus grimoireofgaia:weapon_book_battle minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/minotaurus_ranged | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_arrows grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/minotaurus_ranged minecraft:arrow minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/mummy | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/mummy minecraft:bone minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/naga | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/naga minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:gameplay/fishing/fish minecraft:item minecraft:linear minecraft:loot_table minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/nine_tails | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:doll_nine_tails grimoireofgaia:entities/nine_tails grimoireofgaia:fan_fire grimoireofgaia:soulfire minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:set_enchantments minecraft:tag minecraft:uniform
grimoireofgaia:entities/oni | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/oni grimoireofgaia:soulfire minecraft:book minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:set_enchantments minecraft:tag minecraft:uniform
grimoireofgaia:entities/orc | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_book grimoireofgaia:box_iron grimoireofgaia:entities/orc grimoireofgaia:meat minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/satyress | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/satyress grimoireofgaia:meat minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/shaman | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_book grimoireofgaia:book_of_memory grimoireofgaia:box_gold grimoireofgaia:entities/shaman grimoireofgaia:rotten_heart minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/sharko | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_overworld grimoireofgaia:entities/sharko grimoireofgaia:shiny_pearl grimoireofgaia:weapon_book_buff minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:prismarine_shard minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/siren | minecraft:entity | c:nuggets/iron grimoireofgaia:bag_arrows grimoireofgaia:box_iron grimoireofgaia:entities/siren minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:gameplay/fishing/fish minecraft:item minecraft:linear minecraft:loot_table minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/slime_girl | minecraft:entity | grimoireofgaia:entities/slime_girl grimoireofgaia:spawn_slime_girl minecraft:entity minecraft:item
grimoireofgaia:entities/sludge_girl | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/sludge_girl minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:slime_ball minecraft:tag minecraft:uniform
grimoireofgaia:entities/sphinx | minecraft:entity | c:nuggets/diamond c:nuggets/emerald grimoireofgaia:box_diamond grimoireofgaia:bust_sphinx grimoireofgaia:chest_desert grimoireofgaia:entities/sphinx grimoireofgaia:golden_apple_pie_slice grimoireofgaia:ring_of_jump minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/sporeling | minecraft:entity | grimoireofgaia:entities/sporeling minecraft:entity
grimoireofgaia:entities/spriggan | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/spriggan grimoireofgaia:taproot grimoireofgaia:weapon_book_nature minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:linear minecraft:looting minecraft:oak_log minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/succubus | minecraft:entity | c:nuggets/iron grimoireofgaia:box_nether grimoireofgaia:entities/succubus grimoireofgaia:fireshard minecraft:enchanted_count_increase minecraft:entity minecraft:glowstone_dust minecraft:item minecraft:linear minecraft:looting minecraft:quartz minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/toad | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/toad minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:slime_ball minecraft:tag minecraft:uniform
grimoireofgaia:entities/trader | minecraft:entity | grimoireofgaia:entities/trader grimoireofgaia:spawn_trader minecraft:entity minecraft:item
grimoireofgaia:entities/valkyrie | minecraft:entity | c:nuggets/diamond c:nuggets/emerald grimoireofgaia:box_diamond grimoireofgaia:bust_valkyrie grimoireofgaia:entities/valkyrie grimoireofgaia:golden_apple_pie_slice grimoireofgaia:ring_of_speed minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/werecat | minecraft:entity | c:nuggets/iron grimoireofgaia:box_iron grimoireofgaia:entities/werecat grimoireofgaia:meat minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/witch | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:book_of_memory grimoireofgaia:box_gold grimoireofgaia:deco_mandragora_pot grimoireofgaia:entities/witch grimoireofgaia:nether_wart_jam minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/wither_cow | minecraft:entity | c:nuggets/iron grimoireofgaia:box_nether grimoireofgaia:entities/wither_cow grimoireofgaia:withered_brain minecraft:enchanted_count_increase minecraft:entity minecraft:glowstone_dust minecraft:item minecraft:linear minecraft:looting minecraft:quartz minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/wizard_harpy | minecraft:entity | c:nuggets/iron grimoireofgaia:book_of_memory grimoireofgaia:box_iron grimoireofgaia:entities/wizard_harpy grimoireofgaia:soulfire minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:entities/yuki_onna | minecraft:entity | c:nuggets/gold grimoireofgaia:bag_book grimoireofgaia:box_gold grimoireofgaia:entities/yuki_onna grimoireofgaia:fan_ice grimoireofgaia:fur minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tag minecraft:uniform
grimoireofgaia:lootbox/bag_arrow | minecraft:gift | grimoireofgaia:lootbox/bag_arrow minecraft:gift minecraft:harming minecraft:item minecraft:poison minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:tipped_arrow minecraft:uniform minecraft:weakness
grimoireofgaia:lootbox/bag_book | minecraft:gift | grimoireofgaia:lootbox/bag_book minecraft:book minecraft:enchant_with_levels minecraft:gift minecraft:item minecraft:uniform
grimoireofgaia:lootbox/bag_record | minecraft:gift | c:records grimoireofgaia:lootbox/bag_record minecraft:gift minecraft:tag
grimoireofgaia:lootbox/box_diamond | minecraft:gift | grimoireofgaia:lootbox/box_diamond minecraft:diamond minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_horse_armor minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:enchant_with_levels minecraft:gift minecraft:item minecraft:set_count minecraft:uniform
grimoireofgaia:lootbox/box_egg | minecraft:gift | grimoireofgaia:lootbox/box_egg grimoireofgaia:spawn_creeper_girl grimoireofgaia:spawn_ender_girl grimoireofgaia:spawn_slime_girl grimoireofgaia:spawn_trader minecraft:gift minecraft:item
grimoireofgaia:lootbox/box_end | minecraft:gift | grimoireofgaia:lootbox/box_end minecraft:end_stone minecraft:gift minecraft:item minecraft:obsidian minecraft:set_count minecraft:uniform
grimoireofgaia:lootbox/box_gold | minecraft:gift | grimoireofgaia:lootbox/box_gold minecraft:enchant_with_levels minecraft:gift minecraft:gold_ingot minecraft:golden_axe minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_horse_armor minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_shovel minecraft:item minecraft:set_count minecraft:uniform
grimoireofgaia:lootbox/box_hat | minecraft:gift | grimoireofgaia:headgear_arrow grimoireofgaia:headgear_bolt grimoireofgaia:headgear_book grimoireofgaia:headgear_doll grimoireofgaia:headgear_ears_elf grimoireofgaia:headgear_mob grimoireofgaia:lootbox/box_hat minecraft:gift minecraft:item
