createfood:blocks/apple_cheesecake | minecraft:block | createfood:apple_cheesecake createfood:apple_cheesecake_slice createfood:blocks/apple_cheesecake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/apple_ice_cream_sandwich_plate_block | minecraft:block | createfood:apple_ice_cream_sandwich_plate_block createfood:blocks/apple_ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_ice_cream_stick_plate_block | minecraft:block | createfood:apple_ice_cream_stick createfood:apple_ice_cream_stick_plate_block createfood:blocks/apple_ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_jam_bottle_block | minecraft:block | createfood:apple_jam_bottle_block createfood:blocks/apple_jam_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_jam_sandwich_plate_block | minecraft:block | createfood:apple_jam_sandwich_plate_block createfood:blocks/apple_jam_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/apple_juice_bottle_block | minecraft:block | createfood:apple_juice_bottle_block createfood:blocks/apple_juice_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_milkshake_bottle_block | minecraft:block | createfood:apple_milkshake_bottle_block createfood:blocks/apple_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/apple_popsicle_plate_block | minecraft:block | createfood:apple_popsicle createfood:apple_popsicle_plate_block createfood:blocks/apple_popsicle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bacon_calzone_plate_block | minecraft:block | createfood:bacon_calzone createfood:bacon_calzone_plate_block createfood:blocks/bacon_calzone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bacon_pizza | minecraft:block | createfood:bacon_pizza createfood:bacon_pizza_slice createfood:blocks/bacon_pizza minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/bacon_pizza_plate_block | minecraft:block | createfood:bacon_pizza_plate_block createfood:blocks/bacon_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bacon_pizza_slice_small_plate_block | minecraft:block | createfood:bacon_pizza_slice_small_plate_block createfood:blocks/bacon_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/bacon_sandwich_lettuce_plate_block | minecraft:block | createfood:bacon_sandwich_lettuce_plate_block createfood:blocks/bacon_sandwich_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bacon_sandwich_plate_block | minecraft:block | createfood:bacon_sandwich_plate_block createfood:blocks/bacon_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_bacon_plate_block | minecraft:block | createfood:baked_potato_butter_bacon createfood:baked_potato_butter_bacon_plate_block createfood:blocks/baked_potato_butter_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_bacon_small_plate_block | minecraft:block | createfood:baked_potato_butter_bacon_small_plate_block createfood:blocks/baked_potato_butter_bacon_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_cheese_plate_block | minecraft:block | createfood:baked_potato_butter_cheese createfood:baked_potato_butter_cheese_plate_block createfood:blocks/baked_potato_butter_cheese_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_cheese_small_plate_block | minecraft:block | createfood:baked_potato_butter_cheese_small_plate_block createfood:blocks/baked_potato_butter_cheese_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_fish_plate_block | minecraft:block | createfood:baked_potato_butter_fish createfood:baked_potato_butter_fish_plate_block createfood:blocks/baked_potato_butter_fish_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_fish_small_plate_block | minecraft:block | createfood:baked_potato_butter_fish_small_plate_block createfood:blocks/baked_potato_butter_fish_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_fried_egg_plate_block | minecraft:block | createfood:baked_potato_butter_fried_egg createfood:baked_potato_butter_fried_egg_plate_block createfood:blocks/baked_potato_butter_fried_egg_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_fried_egg_small_plate_block | minecraft:block | createfood:baked_potato_butter_fried_egg_small_plate_block createfood:blocks/baked_potato_butter_fried_egg_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_mushroom_plate_block | minecraft:block | createfood:baked_potato_butter_mushroom createfood:baked_potato_butter_mushroom_plate_block createfood:blocks/baked_potato_butter_mushroom_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_mushroom_small_plate_block | minecraft:block | createfood:baked_potato_butter_mushroom_small_plate_block createfood:blocks/baked_potato_butter_mushroom_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_plate_block | minecraft:block | createfood:baked_potato_butter createfood:baked_potato_butter_plate_block createfood:blocks/baked_potato_butter_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_small_plate_block | minecraft:block | createfood:baked_potato_butter_small_plate_block createfood:blocks/baked_potato_butter_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/baked_potato_butter_sour_cream_plate_block | minecraft:block | createfood:baked_potato_butter_sour_cream createfood:baked_potato_butter_sour_cream_plate_block createfood:blocks/baked_potato_butter_sour_cream_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/baked_potato_butter_sour_cream_small_plate_block | minecraft:block | createfood:baked_potato_butter_sour_cream_small_plate_block createfood:blocks/baked_potato_butter_sour_cream_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/bar_of_chocolate_plate_block | minecraft:block | create:bar_of_chocolate createfood:bar_of_chocolate_plate_block createfood:blocks/bar_of_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bar_of_dark_chocolate_plate_block | minecraft:block | createfood:bar_of_dark_chocolate createfood:bar_of_dark_chocolate_plate_block createfood:blocks/bar_of_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bar_of_white_chocolate_plate_block | minecraft:block | createfood:bar_of_white_chocolate createfood:bar_of_white_chocolate_plate_block createfood:blocks/bar_of_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_burrito_rice_plate_block | minecraft:block | createfood:beef_burrito_rice createfood:beef_burrito_rice_plate_block createfood:blocks/beef_burrito_rice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_calzone_plate_block | minecraft:block | createfood:beef_calzone createfood:beef_calzone_plate_block createfood:blocks/beef_calzone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_meatball_sandwich_plate_block | minecraft:block | createfood:beef_meatball_sandwich createfood:beef_meatball_sandwich_plate_block createfood:blocks/beef_meatball_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_meatball_stick_3_plate_block | minecraft:block | createfood:beef_meatball_stick_3 createfood:beef_meatball_stick_3_plate_block createfood:blocks/beef_meatball_stick_3_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_taco_lettuce_plate_block | minecraft:block | createfood:beef_taco_lettuce createfood:beef_taco_lettuce_plate_block createfood:blocks/beef_taco_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_taco_lettuce_taco_sauce_plate_block | minecraft:block | createfood:beef_taco_lettuce_taco_sauce createfood:beef_taco_lettuce_taco_sauce_plate_block createfood:blocks/beef_taco_lettuce_taco_sauce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_taco_plate_block | minecraft:block | createfood:beef_taco createfood:beef_taco_plate_block createfood:blocks/beef_taco_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/beef_wrap_lettuce_beetroot_plate_block | minecraft:block | createfood:beef_wrap_lettuce_beetroot createfood:beef_wrap_lettuce_beetroot_plate_block createfood:blocks/beef_wrap_lettuce_beetroot_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_cake | minecraft:block | createfood:berry_cream_cake createfood:berry_cream_cake_slice createfood:blocks/berry_cream_cake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/berry_cream_cake_chorus_fruit | minecraft:block | createfood:berry_cream_cake_chorus_fruit createfood:berry_cream_cake_slice_chorus_fruit createfood:blocks/berry_cream_cake_chorus_fruit minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/berry_cream_cake_chorus_fruit_plate_block | minecraft:block | createfood:berry_cream_cake_chorus_fruit_plate_block createfood:blocks/berry_cream_cake_chorus_fruit_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_cake_glow_berry | minecraft:block | createfood:berry_cream_cake_glow_berry createfood:berry_cream_cake_slice_glow_berry createfood:blocks/berry_cream_cake_glow_berry minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/berry_cream_cake_glow_berry_plate_block | minecraft:block | createfood:berry_cream_cake_glow_berry_plate_block createfood:blocks/berry_cream_cake_glow_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_cake_plate_block | minecraft:block | createfood:berry_cream_cake_plate_block createfood:blocks/berry_cream_cake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_cake_slice_chorus_fruit_small_plate_block | minecraft:block | createfood:berry_cream_cake_slice_chorus_fruit_small_plate_block createfood:blocks/berry_cream_cake_slice_chorus_fruit_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_cream_cake_slice_glow_berry_small_plate_block | minecraft:block | createfood:berry_cream_cake_slice_glow_berry_small_plate_block createfood:blocks/berry_cream_cake_slice_glow_berry_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_cream_cake_slice_small_plate_block | minecraft:block | createfood:berry_cream_cake_slice_small_plate_block createfood:blocks/berry_cream_cake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_cream_cake_slice_sweet_berry_small_plate_block | minecraft:block | createfood:berry_cream_cake_slice_sweet_berry_small_plate_block createfood:blocks/berry_cream_cake_slice_sweet_berry_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_cream_cake_sweet_berry | minecraft:block | createfood:berry_cream_cake_slice_sweet_berry createfood:berry_cream_cake_sweet_berry createfood:blocks/berry_cream_cake_sweet_berry minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/berry_cream_cake_sweet_berry_plate_block | minecraft:block | createfood:berry_cream_cake_sweet_berry_plate_block createfood:blocks/berry_cream_cake_sweet_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_cupcake_plate_block | minecraft:block | createfood:berry_cream_chocolate_cupcake createfood:berry_cream_chocolate_cupcake_plate_block createfood:blocks/berry_cream_chocolate_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_donut_plate_block | minecraft:block | createfood:berry_cream_chocolate_donut createfood:berry_cream_chocolate_donut_plate_block createfood:blocks/berry_cream_chocolate_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_pastry_plate_block | minecraft:block | createfood:berry_cream_chocolate_pastry createfood:berry_cream_chocolate_pastry_plate_block createfood:blocks/berry_cream_chocolate_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_plate_block | minecraft:block | createfood:berry_cream_chocolate createfood:berry_cream_chocolate_plate_block createfood:blocks/berry_cream_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_sweet_roll_plate_block | minecraft:block | createfood:berry_cream_chocolate_sweet_roll createfood:berry_cream_chocolate_sweet_roll_plate_block createfood:blocks/berry_cream_chocolate_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_chocolate_sweet_roll_sweet_berry_plate_block | minecraft:block | createfood:berry_cream_chocolate_sweet_roll_sweet_berry createfood:berry_cream_chocolate_sweet_roll_sweet_berry_plate_block createfood:blocks/berry_cream_chocolate_sweet_roll_sweet_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_cupcake_plate_block | minecraft:block | createfood:berry_cream_cupcake createfood:berry_cream_cupcake_plate_block createfood:blocks/berry_cream_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_dark_chocolate_plate_block | minecraft:block | createfood:berry_cream_dark_chocolate createfood:berry_cream_dark_chocolate_plate_block createfood:blocks/berry_cream_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_donut_plate_block | minecraft:block | createfood:berry_cream_donut createfood:berry_cream_donut_plate_block createfood:blocks/berry_cream_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_frosting_bottle_block | minecraft:block | createfood:berry_cream_frosting_bottle_block createfood:blocks/berry_cream_frosting_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_cream_mini_waffle_plate_block | minecraft:block | createfood:berry_cream_mini_waffle_plate_block createfood:blocks/berry_cream_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_mini_waffle_sweet_berry_plate_block | minecraft:block | createfood:berry_cream_mini_waffle_sweet_berry_plate_block createfood:blocks/berry_cream_mini_waffle_sweet_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_pastry_plate_block | minecraft:block | createfood:berry_cream_pastry createfood:berry_cream_pastry_plate_block createfood:blocks/berry_cream_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_sweet_roll_plate_block | minecraft:block | createfood:berry_cream_sweet_roll createfood:berry_cream_sweet_roll_plate_block createfood:blocks/berry_cream_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_sweet_roll_sweet_berry_plate_block | minecraft:block | createfood:berry_cream_sweet_roll_sweet_berry createfood:berry_cream_sweet_roll_sweet_berry_plate_block createfood:blocks/berry_cream_sweet_roll_sweet_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_cream_white_chocolate_plate_block | minecraft:block | createfood:berry_cream_white_chocolate createfood:berry_cream_white_chocolate_plate_block createfood:blocks/berry_cream_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_custard_bottle_block | minecraft:block | createfood:berry_custard_bottle_block createfood:blocks/berry_custard_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_ice_cream_bowl_block | minecraft:block | createfood:berry_ice_cream_bowl_block createfood:blocks/berry_ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_ice_cream_cone_plate_block | minecraft:block | createfood:berry_ice_cream_cone createfood:berry_ice_cream_cone_plate_block createfood:blocks/berry_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_ice_cream_sandwich_plate_block | minecraft:block | createfood:berry_ice_cream_sandwich_plate_block createfood:blocks/berry_ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_ice_cream_stick_plate_block | minecraft:block | createfood:berry_ice_cream_stick createfood:berry_ice_cream_stick_plate_block createfood:blocks/berry_ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_jam_bottle_block | minecraft:block | createfood:berry_jam_bottle_block createfood:blocks/berry_jam_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_jam_sandwich_plate_block | minecraft:block | createfood:berry_jam_sandwich_plate_block createfood:blocks/berry_jam_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_juice_bottle_block | minecraft:block | createfood:berry_juice_bottle_block createfood:blocks/berry_juice_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_milkshake_bottle_block | minecraft:block | createfood:berry_milkshake_bottle_block createfood:blocks/berry_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_pie | minecraft:block | createfood:berry_pie createfood:berry_pie_slice createfood:blocks/berry_pie minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/berry_pie_plate_block | minecraft:block | createfood:berry_pie_plate_block createfood:blocks/berry_pie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/berry_pie_slice_small_plate_block | minecraft:block | createfood:berry_pie_slice_small_plate_block createfood:blocks/berry_pie_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/berry_popsicle_plate_block | minecraft:block | createfood:berry_popsicle createfood:berry_popsicle_plate_block createfood:blocks/berry_popsicle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/black_gelatin_dessert_block | minecraft:block | createfood:black_gelatin_dessert_block createfood:blocks/black_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/black_gelatin_dessert_slice_plate_block | minecraft:block | createfood:black_gelatin_dessert_slice createfood:black_gelatin_dessert_slice_plate_block createfood:blocks/black_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/blackstrap_molasses_bottle_block | minecraft:block | createfood:blackstrap_molasses_bottle_block createfood:blocks/blackstrap_molasses_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/blue_gelatin_dessert_block | minecraft:block | createfood:blocks/blue_gelatin_dessert_block createfood:blue_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/blue_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/blue_gelatin_dessert_slice_plate_block createfood:blue_gelatin_dessert_slice createfood:blue_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/bread_pudding_bowl_block | minecraft:block | createfood:blocks/bread_pudding_bowl_block createfood:bread_pudding_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/breakfast_bar_plate_block | minecraft:block | createfood:blocks/breakfast_bar_plate_block createfood:breakfast_bar createfood:breakfast_bar_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/breakfast_plate_block | minecraft:block | createfood:blocks/breakfast_plate_block createfood:breakfast_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/brown_gelatin_dessert_block | minecraft:block | createfood:blocks/brown_gelatin_dessert_block createfood:brown_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/brown_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/brown_gelatin_dessert_slice_plate_block createfood:brown_gelatin_dessert_slice createfood:brown_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/builders_tea_bottle_block | minecraft:block | createfood:blocks/builders_tea_bottle_block createfood:builders_tea_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/buttered_toast_plate_block | minecraft:block | createfood:blocks/buttered_toast_plate_block createfood:buttered_toast_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/butterscotch_chip_chocolate_cookie_plate_block | minecraft:block | createfood:blocks/butterscotch_chip_chocolate_cookie_plate_block createfood:butterscotch_chip_chocolate_cookie createfood:butterscotch_chip_chocolate_cookie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/butterscotch_chip_chocolate_milkshake_bottle_block | minecraft:block | createfood:blocks/butterscotch_chip_chocolate_milkshake_bottle_block createfood:butterscotch_chip_chocolate_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
