galosphere:archaeology/forgotten_ruins_common | minecraft:archaeology | galosphere:archaeology/forgotten_ruins_common minecraft:archaeology minecraft:arrow minecraft:bone minecraft:book minecraft:gray_candle minecraft:item minecraft:paper minecraft:rotten_flesh
galosphere:blocks/amethyst_slab | minecraft:block | galosphere:amethyst_slab galosphere:blocks/amethyst_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/amethyst_stairs | minecraft:block | galosphere:amethyst_stairs galosphere:blocks/amethyst_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/bowl_lichen | minecraft:block | galosphere:blocks/bowl_lichen galosphere:bowl_lichen minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/burrow_anchor | minecraft:block | galosphere:blocks/burrow_anchor galosphere:burrow_anchor minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chandelier | minecraft:block | galosphere:blocks/chandelier galosphere:chandelier minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_allurite | minecraft:block | galosphere:blocks/chiseled_allurite galosphere:chiseled_allurite minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_amethyst | minecraft:block | galosphere:blocks/chiseled_amethyst galosphere:chiseled_amethyst minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_lumiere | minecraft:block | galosphere:blocks/chiseled_lumiere galosphere:chiseled_lumiere minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_opal_bricks | minecraft:block | galosphere:blocks/chiseled_opal_bricks galosphere:chiseled_opal_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_pastel_pink_salt | minecraft:block | galosphere:blocks/chiseled_pastel_pink_salt galosphere:chiseled_pastel_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_pink_salt | minecraft:block | galosphere:blocks/chiseled_pink_salt galosphere:chiseled_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/chiseled_rose_pink_salt | minecraft:block | galosphere:blocks/chiseled_rose_pink_salt galosphere:chiseled_rose_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/combustion_table | minecraft:block | galosphere:blocks/combustion_table galosphere:combustion_table minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/cured_membrane_block | minecraft:block | galosphere:blocks/cured_membrane_block galosphere:cured_membrane_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/deepslate_palladium_ore | minecraft:block | galosphere:blocks/deepslate_palladium_ore galosphere:deepslate_palladium_ore galosphere:raw_palladium minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
galosphere:blocks/gilded_beads | minecraft:block | galosphere:blocks/gilded_beads galosphere:gilded_beads minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/glinted_allurite_cluster | minecraft:block | galosphere:allurite_shard galosphere:blocks/glinted_allurite_cluster galosphere:glinted_allurite_cluster minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/glinted_amethyst_cluster | minecraft:block | galosphere:blocks/glinted_amethyst_cluster galosphere:glinted_amethyst_cluster minecraft:alternatives minecraft:amethyst_shard minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/glinted_lumiere_cluster | minecraft:block | galosphere:blocks/glinted_lumiere_cluster galosphere:glinted_lumiere_cluster galosphere:lumiere_shard minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/glow_berries_palladium_lattice | minecraft:block | galosphere:blocks/glow_berries_palladium_lattice galosphere:palladium_lattice minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/glow_ink_clumps | minecraft:block | galosphere:blocks/glow_ink_clumps galosphere:glow_ink_clumps minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:glow_ink_sac minecraft:item minecraft:set_count
galosphere:blocks/lichen_cordyceps | minecraft:block | galosphere:blocks/lichen_cordyceps galosphere:lichen_cordyceps minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
galosphere:blocks/lichen_cordyceps_plant | minecraft:block | galosphere:blocks/lichen_cordyceps_plant galosphere:lichen_cordyceps minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
galosphere:blocks/lichen_moss | minecraft:block | galosphere:blocks/lichen_moss galosphere:lichen_moss minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lichen_roots | minecraft:block | galosphere:blocks/lichen_roots galosphere:lichen_roots minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lichen_shelf | minecraft:block | galosphere:blocks/lichen_shelf galosphere:lichen_shelf minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lichen_vines | minecraft:block | galosphere:blocks/lichen_vines galosphere:lichen_vines minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/light_stand | minecraft:block | galosphere:blocks/light_stand galosphere:light_stand minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_block | minecraft:block | galosphere:blocks/lumiere_block galosphere:lumiere_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_brick_slab | minecraft:block | galosphere:blocks/lumiere_brick_slab galosphere:lumiere_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/lumiere_brick_stairs | minecraft:block | galosphere:blocks/lumiere_brick_stairs galosphere:lumiere_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_bricks | minecraft:block | galosphere:blocks/lumiere_bricks galosphere:lumiere_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_cluster | minecraft:block | galosphere:blocks/lumiere_cluster galosphere:glinted_lumiere_cluster galosphere:lumiere_cluster galosphere:lumiere_shard minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/lumiere_composter | minecraft:block | galosphere:blocks/lumiere_composter minecraft:block minecraft:composter minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_lamp | minecraft:block | galosphere:blocks/lumiere_lamp galosphere:lumiere_lamp minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/lumiere_slab | minecraft:block | galosphere:blocks/lumiere_slab galosphere:lumiere_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/lumiere_stairs | minecraft:block | galosphere:blocks/lumiere_stairs galosphere:lumiere_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/mole_burrow | minecraft:block | galosphere:blocks/mole_burrow galosphere:mole galosphere:mole_burrow minecraft:alternatives minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
galosphere:blocks/opal_block | minecraft:block | galosphere:blocks/opal_block galosphere:opal_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/opal_brick_slab | minecraft:block | galosphere:blocks/opal_brick_slab galosphere:opal_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/opal_brick_stairs | minecraft:block | galosphere:blocks/opal_brick_stairs galosphere:opal_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/opal_brick_wall | minecraft:block | galosphere:blocks/opal_brick_wall galosphere:opal_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/opal_bricks | minecraft:block | galosphere:blocks/opal_bricks galosphere:opal_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/opal_leaves | minecraft:block | galosphere:blocks/opal_leaves galosphere:opal galosphere:opal_leaves minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
galosphere:blocks/opal_log | minecraft:block | galosphere:blocks/opal_log galosphere:opal_log minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/opal_sapling | minecraft:block | galosphere:blocks/opal_sapling galosphere:opal_sapling minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_block | minecraft:block | galosphere:blocks/palladium_block galosphere:palladium_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_dust | minecraft:block | galosphere:blocks/palladium_dust galosphere:palladium_dust minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/palladium_lattice | minecraft:block | galosphere:blocks/palladium_lattice galosphere:palladium_lattice minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_ore | minecraft:block | galosphere:blocks/palladium_ore galosphere:palladium_ore galosphere:raw_palladium minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
galosphere:blocks/palladium_panel | minecraft:block | galosphere:blocks/palladium_panel galosphere:palladium_panel minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_panel_slab | minecraft:block | galosphere:blocks/palladium_panel_slab galosphere:palladium_panel_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/palladium_panel_stairs | minecraft:block | galosphere:blocks/palladium_panel_stairs galosphere:palladium_panel_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_tiles | minecraft:block | galosphere:blocks/palladium_tiles galosphere:palladium_tiles minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/palladium_tiles_slab | minecraft:block | galosphere:blocks/palladium_tiles_slab galosphere:palladium_tiles_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/palladium_tiles_stairs | minecraft:block | galosphere:blocks/palladium_tiles_stairs galosphere:palladium_tiles_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt | minecraft:block | galosphere:blocks/pastel_pink_salt galosphere:pastel_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt_brick_slab | minecraft:block | galosphere:blocks/pastel_pink_salt_brick_slab galosphere:pastel_pink_salt_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/pastel_pink_salt_brick_stairs | minecraft:block | galosphere:blocks/pastel_pink_salt_brick_stairs galosphere:pastel_pink_salt_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt_brick_wall | minecraft:block | galosphere:blocks/pastel_pink_salt_brick_wall galosphere:pastel_pink_salt_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt_bricks | minecraft:block | galosphere:blocks/pastel_pink_salt_bricks galosphere:pastel_pink_salt_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt_slab | minecraft:block | galosphere:blocks/pastel_pink_salt_slab galosphere:pastel_pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/pastel_pink_salt_stairs | minecraft:block | galosphere:blocks/pastel_pink_salt_stairs galosphere:pastel_pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pastel_pink_salt_wall | minecraft:block | galosphere:blocks/pastel_pink_salt_wall galosphere:pastel_pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt | minecraft:block | galosphere:blocks/pink_salt galosphere:pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_brick_slab | minecraft:block | galosphere:blocks/pink_salt_brick_slab galosphere:pink_salt_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/pink_salt_brick_stairs | minecraft:block | galosphere:blocks/pink_salt_brick_stairs galosphere:pink_salt_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_brick_wall | minecraft:block | galosphere:blocks/pink_salt_brick_wall galosphere:pink_salt_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_bricks | minecraft:block | galosphere:blocks/pink_salt_bricks galosphere:pink_salt_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_cluster | minecraft:block | galosphere:blocks/pink_salt_cluster galosphere:pink_salt_cluster galosphere:pink_salt_shard minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
galosphere:blocks/pink_salt_lamp | minecraft:block | galosphere:blocks/pink_salt_lamp galosphere:pink_salt_lamp minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_slab | minecraft:block | galosphere:blocks/pink_salt_slab galosphere:pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/pink_salt_stairs | minecraft:block | galosphere:blocks/pink_salt_stairs galosphere:pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/pink_salt_straw | minecraft:block | galosphere:blocks/pink_salt_straw galosphere:pink_salt_straw minecraft:alternatives minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:table_bonus
galosphere:blocks/pink_salt_wall | minecraft:block | galosphere:blocks/pink_salt_wall galosphere:pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pastel_pink_salt | minecraft:block | galosphere:blocks/polished_pastel_pink_salt galosphere:polished_pastel_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pastel_pink_salt_slab | minecraft:block | galosphere:blocks/polished_pastel_pink_salt_slab galosphere:polished_pastel_pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/polished_pastel_pink_salt_stairs | minecraft:block | galosphere:blocks/polished_pastel_pink_salt_stairs galosphere:polished_pastel_pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pastel_pink_salt_wall | minecraft:block | galosphere:blocks/polished_pastel_pink_salt_wall galosphere:polished_pastel_pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pink_salt | minecraft:block | galosphere:blocks/polished_pink_salt galosphere:polished_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pink_salt_slab | minecraft:block | galosphere:blocks/polished_pink_salt_slab galosphere:polished_pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/polished_pink_salt_stairs | minecraft:block | galosphere:blocks/polished_pink_salt_stairs galosphere:polished_pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_pink_salt_wall | minecraft:block | galosphere:blocks/polished_pink_salt_wall galosphere:polished_pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_rose_pink_salt | minecraft:block | galosphere:blocks/polished_rose_pink_salt galosphere:polished_rose_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_rose_pink_salt_slab | minecraft:block | galosphere:blocks/polished_rose_pink_salt_slab galosphere:polished_rose_pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/polished_rose_pink_salt_stairs | minecraft:block | galosphere:blocks/polished_rose_pink_salt_stairs galosphere:polished_rose_pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/polished_rose_pink_salt_wall | minecraft:block | galosphere:blocks/polished_rose_pink_salt_wall galosphere:polished_rose_pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/potted_bowl_lichen | minecraft:block | galosphere:blocks/potted_bowl_lichen galosphere:bowl_lichen minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
galosphere:blocks/potted_lichen_roots | minecraft:block | galosphere:blocks/potted_lichen_roots galosphere:lichen_roots minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
galosphere:blocks/potted_opal_sapling | minecraft:block | galosphere:blocks/potted_opal_sapling galosphere:opal_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
galosphere:blocks/raw_palladium_block | minecraft:block | galosphere:blocks/raw_palladium_block galosphere:raw_palladium_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt | minecraft:block | galosphere:blocks/rose_pink_salt galosphere:rose_pink_salt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt_brick_slab | minecraft:block | galosphere:blocks/rose_pink_salt_brick_slab galosphere:rose_pink_salt_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/rose_pink_salt_brick_stairs | minecraft:block | galosphere:blocks/rose_pink_salt_brick_stairs galosphere:rose_pink_salt_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt_brick_wall | minecraft:block | galosphere:blocks/rose_pink_salt_brick_wall galosphere:rose_pink_salt_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt_bricks | minecraft:block | galosphere:blocks/rose_pink_salt_bricks galosphere:rose_pink_salt_bricks minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt_slab | minecraft:block | galosphere:blocks/rose_pink_salt_slab galosphere:rose_pink_salt_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/rose_pink_salt_stairs | minecraft:block | galosphere:blocks/rose_pink_salt_stairs galosphere:rose_pink_salt_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/rose_pink_salt_wall | minecraft:block | galosphere:blocks/rose_pink_salt_wall galosphere:rose_pink_salt_wall minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/saline_composter | minecraft:block | galosphere:blocks/saline_composter minecraft:block minecraft:composter minecraft:item minecraft:survives_explosion
galosphere:blocks/shadow_frame | minecraft:block | galosphere:blocks/shadow_frame galosphere:shadow_frame minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_allurite | minecraft:block | galosphere:blocks/smooth_allurite galosphere:smooth_allurite minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_allurite_slab | minecraft:block | galosphere:blocks/smooth_allurite_slab galosphere:smooth_allurite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/smooth_allurite_stairs | minecraft:block | galosphere:blocks/smooth_allurite_stairs galosphere:smooth_allurite_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_amethyst | minecraft:block | galosphere:blocks/smooth_amethyst galosphere:smooth_amethyst minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_amethyst_slab | minecraft:block | galosphere:blocks/smooth_amethyst_slab galosphere:smooth_amethyst_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/smooth_amethyst_stairs | minecraft:block | galosphere:blocks/smooth_amethyst_stairs galosphere:smooth_amethyst_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_lumiere | minecraft:block | galosphere:blocks/smooth_lumiere galosphere:smooth_lumiere minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/smooth_lumiere_slab | minecraft:block | galosphere:blocks/smooth_lumiere_slab galosphere:smooth_lumiere_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
galosphere:blocks/smooth_lumiere_stairs | minecraft:block | galosphere:blocks/smooth_lumiere_stairs galosphere:smooth_lumiere_stairs minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/soul_chandelier | minecraft:block | galosphere:blocks/soul_chandelier galosphere:soul_chandelier minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/soul_light_stand | minecraft:block | galosphere:blocks/soul_light_stand galosphere:soul_light_stand minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
galosphere:blocks/stranded_membrane_block | minecraft:block | galosphere:blocks/stranded_membrane_block galosphere:stranded_membrane_block minecraft:block minecraft:item minecraft:survives_explosion
galosphere:blocks/tuff_dirt | minecraft:block | galosphere:blocks/tuff_dirt galosphere:tuff_dirt minecraft:block minecraft:item minecraft:survives_explosion
galosphere:chests/pink_salt_shrine | minecraft:chest | galosphere:chests/pink_salt_shrine galosphere:salted_jerky minecraft:book minecraft:chest minecraft:enchant_randomly minecraft:golden_apple minecraft:item minecraft:leather minecraft:name_tag minecraft:phantom_membrane minecraft:set_count minecraft:uniform
galosphere:chests/pink_salt_shrine_library | minecraft:chest | galosphere:chests/pink_salt_shrine_library minecraft:book minecraft:chest minecraft:enchant_randomly minecraft:item minecraft:paper minecraft:set_count minecraft:uniform
galosphere:entities/berserker | minecraft:entity | galosphere:entities/berserker galosphere:preserved_flesh galosphere:preserved_template minecraft:entity minecraft:item minecraft:set_count
galosphere:entities/mole | minecraft:entity | galosphere:entities/mole minecraft:entity
galosphere:entities/preserved | minecraft:entity | galosphere:entities/preserved minecraft:entity
galosphere:entities/sparkle | minecraft:entity | galosphere:entities/sparkle minecraft:entity
galosphere:entities/specterpillar | minecraft:entity | galosphere:entities/specterpillar minecraft:entity
galosphere:entities/spectre | minecraft:entity | galosphere:entities/spectre minecraft:entity
galosphere:gameplay/lumiere_reforming_table | ? | minecraft:cobblestone minecraft:granite minecraft:gravel minecraft:red_sand minecraft:sand
galosphere:gameplay/mining_quests/gifts/common | minecraft:gift | galosphere:gameplay/mining_quests/gifts/common minecraft:deepslate minecraft:gift minecraft:golden_carrot minecraft:item minecraft:mushroom_stew minecraft:set_count minecraft:torch minecraft:tuff minecraft:uniform
galosphere:gameplay/mining_quests/gifts/epic | minecraft:gift | galosphere:ancient_city galosphere:broken_echo_bell galosphere:faith_armor_trim_smithing_template galosphere:gameplay/mining_quests/gifts/epic galosphere:on_ancient_city_map galosphere:opal_flakes minecraft:book minecraft:enchant_randomly minecraft:exploration_map minecraft:gift minecraft:golden_apple minecraft:item minecraft:map minecraft:set_count minecraft:set_name minecraft:uniform
galosphere:gameplay/mining_quests/gifts/rare | minecraft:gift | galosphere:broken_echo_bell galosphere:gameplay/mining_quests/gifts/rare galosphere:haste galosphere:opal_flakes galosphere:palladium_bomb minecraft:bundle minecraft:gift minecraft:item minecraft:lapis_lazuli minecraft:potion minecraft:set_count minecraft:set_potion minecraft:uniform
galosphere:gameplay/mining_quests/requests/common | minecraft:chest | galosphere:gameplay/mining_quests/requests/common minecraft:andesite minecraft:chest minecraft:diorite minecraft:dirt minecraft:granite minecraft:item minecraft:pointed_dripstone minecraft:raw_copper minecraft:rotten_flesh minecraft:set_count minecraft:uniform
galosphere:gameplay/mining_quests/requests/epic | minecraft:chest | galosphere:gameplay/mining_quests/requests/epic galosphere:lumiere_shard galosphere:pink_salt_shard galosphere:raw_palladium minecraft:chest minecraft:copper_block minecraft:iron_block minecraft:item minecraft:lapis_lazuli minecraft:redstone minecraft:set_count minecraft:uniform
galosphere:gameplay/mining_quests/requests/rare | minecraft:chest | galosphere:gameplay/mining_quests/requests/rare minecraft:amethyst_shard minecraft:chest minecraft:glow_ink_sac minecraft:item minecraft:raw_gold minecraft:raw_iron minecraft:set_count minecraft:spider_eye minecraft:tuff minecraft:uniform
