quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/ancient_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_sign quark:blocks/ancient_sign
quark:blocks/ancient_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_trapdoor quark:blocks/ancient_trapdoor
quark:blocks/ancient_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:ancient_wood quark:blocks/ancient_wood
quark:blocks/andesite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:andesite_bricks quark:blocks/andesite_bricks
quark:blocks/andesite_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:andesite_bricks_slab quark:blocks/andesite_bricks_slab
quark:blocks/andesite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:andesite_bricks_stairs quark:blocks/andesite_bricks_stairs
quark:blocks/andesite_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:andesite_bricks_vertical_slab quark:blocks/andesite_bricks_vertical_slab
quark:blocks/andesite_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:andesite_bricks_wall quark:blocks/andesite_bricks_wall
quark:blocks/andesite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:andesite_pillar quark:blocks/andesite_pillar
quark:blocks/andesite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:andesite_vertical_slab quark:blocks/andesite_vertical_slab
quark:blocks/apple_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:apple_crate quark:blocks/apple_crate
quark:blocks/azalea_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_bookshelf quark:blocks/azalea_bookshelf
quark:blocks/azalea_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_button quark:blocks/azalea_button
quark:blocks/azalea_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_chest quark:blocks/azalea_chest
quark:blocks/azalea_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion quark:azalea_door quark:blocks/azalea_door
quark:blocks/azalea_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_fence quark:blocks/azalea_fence
quark:blocks/azalea_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_fence_gate quark:blocks/azalea_fence_gate
quark:blocks/azalea_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_hanging_sign quark:blocks/azalea_hanging_sign
quark:blocks/azalea_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_hedge quark:blocks/azalea_hedge
quark:blocks/azalea_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_ladder quark:blocks/azalea_ladder
quark:blocks/azalea_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_leaf_carpet quark:blocks/azalea_leaf_carpet
quark:blocks/azalea_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_log quark:blocks/azalea_log
quark:blocks/azalea_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_planks quark:blocks/azalea_planks
quark:blocks/azalea_planks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:azalea_planks_slab quark:blocks/azalea_planks_slab
quark:blocks/azalea_planks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_planks_stairs quark:blocks/azalea_planks_stairs
quark:blocks/azalea_planks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:azalea_planks_vertical_slab quark:blocks/azalea_planks_vertical_slab
quark:blocks/azalea_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_post quark:blocks/azalea_post
quark:blocks/azalea_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_pressure_plate quark:blocks/azalea_pressure_plate
quark:blocks/azalea_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_sign quark:blocks/azalea_sign
quark:blocks/azalea_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_trapdoor quark:blocks/azalea_trapdoor
quark:blocks/azalea_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:azalea_wood quark:blocks/azalea_wood
quark:blocks/bamboo_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:bamboo_bookshelf quark:blocks/bamboo_bookshelf
quark:blocks/bamboo_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:bamboo_chest quark:blocks/bamboo_chest
quark:blocks/bamboo_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:bamboo_ladder quark:blocks/bamboo_ladder
quark:blocks/bamboo_mat | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:bamboo_mat quark:blocks/bamboo_mat
quark:blocks/bamboo_mat_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:bamboo_mat_carpet quark:blocks/bamboo_mat_carpet
quark:blocks/bamboo_mosaic_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:bamboo_mosaic_vertical_slab quark:blocks/bamboo_mosaic_vertical_slab
quark:blocks/bamboo_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:bamboo_post quark:blocks/bamboo_post
quark:blocks/bamboo_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:bamboo_vertical_slab quark:blocks/bamboo_vertical_slab
quark:blocks/beetroot_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:beetroot_crate quark:blocks/beetroot_crate
quark:blocks/berry_sack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:berry_sack quark:blocks/berry_sack
quark:blocks/birch_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:birch_bookshelf quark:blocks/birch_bookshelf
quark:blocks/birch_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:birch_chest quark:blocks/birch_chest
quark:blocks/birch_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:birch_hedge quark:blocks/birch_hedge
quark:blocks/birch_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:birch_ladder quark:blocks/birch_ladder
quark:blocks/birch_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:birch_leaf_carpet quark:blocks/birch_leaf_carpet
quark:blocks/birch_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:birch_post quark:blocks/birch_post
quark:blocks/birch_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:birch_vertical_slab quark:blocks/birch_vertical_slab
quark:blocks/black_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_corundum quark:blocks/black_corundum
quark:blocks/black_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_corundum_cluster quark:blocks/black_corundum_cluster
quark:blocks/black_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:black_corundum_pane quark:blocks/black_corundum_pane
quark:blocks/black_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_crystal_lamp quark:blocks/black_crystal_lamp
quark:blocks/black_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_framed_glass quark:blocks/black_framed_glass
quark:blocks/black_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_framed_glass_pane quark:blocks/black_framed_glass_pane
quark:blocks/black_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_shingles quark:blocks/black_shingles
quark:blocks/black_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:black_shingles_slab quark:blocks/black_shingles_slab
quark:blocks/black_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_shingles_stairs quark:blocks/black_shingles_stairs
quark:blocks/black_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:black_shingles_vertical_slab quark:blocks/black_shingles_vertical_slab
quark:blocks/black_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:black_stool quark:blocks/black_stool
quark:blocks/blackstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blackstone_bricks quark:blocks/blackstone_bricks
quark:blocks/blackstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blackstone_bricks_slab quark:blocks/blackstone_bricks_slab
quark:blocks/blackstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blackstone_bricks_stairs quark:blocks/blackstone_bricks_stairs
quark:blocks/blackstone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blackstone_bricks_vertical_slab quark:blocks/blackstone_bricks_vertical_slab
quark:blocks/blackstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blackstone_bricks_wall quark:blocks/blackstone_bricks_wall
quark:blocks/blackstone_furnace | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blackstone_furnace quark:blocks/blackstone_furnace
quark:blocks/blackstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blackstone_vertical_slab quark:blocks/blackstone_vertical_slab
quark:blocks/blaze_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blaze_lantern quark:blocks/blaze_lantern
quark:blocks/blossom_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_bookshelf quark:blossom_bookshelf
quark:blocks/blossom_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_button quark:blossom_button
quark:blocks/blossom_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_chest quark:blossom_chest
quark:blocks/blossom_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion quark:blocks/blossom_door quark:blossom_door
quark:blocks/blossom_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_fence quark:blossom_fence
quark:blocks/blossom_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_fence_gate quark:blossom_fence_gate
quark:blocks/blossom_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_hanging_sign quark:blossom_hanging_sign
quark:blocks/blossom_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_ladder quark:blossom_ladder
quark:blocks/blossom_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_log quark:blossom_log
quark:blocks/blossom_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_planks quark:blossom_planks
quark:blocks/blossom_planks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blossom_planks_slab quark:blossom_planks_slab
quark:blocks/blossom_planks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_planks_stairs quark:blossom_planks_stairs
quark:blocks/blossom_planks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blossom_planks_vertical_slab quark:blossom_planks_vertical_slab
quark:blocks/blossom_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_post quark:blossom_post
quark:blocks/blossom_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_pressure_plate quark:blossom_pressure_plate
quark:blocks/blossom_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_sign quark:blossom_sign
quark:blocks/blossom_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_trapdoor quark:blossom_trapdoor
quark:blocks/blossom_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blossom_wood quark:blossom_wood
quark:blocks/blue_blossom_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_blossom_hedge quark:blue_blossom_hedge
quark:blocks/blue_blossom_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_blossom_leaf_carpet quark:blue_blossom_leaf_carpet
quark:blocks/blue_blossom_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blocks/blue_blossom_leaves quark:blue_blossom_leaves quark:blue_blossom_sapling
quark:blocks/blue_blossom_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_blossom_sapling quark:blue_blossom_sapling
quark:blocks/blue_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_corundum quark:blue_corundum
quark:blocks/blue_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_corundum_cluster quark:blue_corundum_cluster
quark:blocks/blue_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/blue_corundum_pane quark:blue_corundum_pane
quark:blocks/blue_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_crystal_lamp quark:blue_crystal_lamp
quark:blocks/blue_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_framed_glass quark:blue_framed_glass
quark:blocks/blue_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_framed_glass_pane quark:blue_framed_glass_pane
quark:blocks/blue_nether_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_nether_bricks quark:blue_nether_bricks
quark:blocks/blue_nether_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blue_nether_bricks_slab quark:blue_nether_bricks_slab
quark:blocks/blue_nether_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_nether_bricks_stairs quark:blue_nether_bricks_stairs
quark:blocks/blue_nether_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blue_nether_bricks_vertical_slab quark:blue_nether_bricks_vertical_slab
quark:blocks/blue_nether_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_nether_bricks_wall quark:blue_nether_bricks_wall
quark:blocks/blue_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_shingles quark:blue_shingles
quark:blocks/blue_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blue_shingles_slab quark:blue_shingles_slab
quark:blocks/blue_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_shingles_stairs quark:blue_shingles_stairs
quark:blocks/blue_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/blue_shingles_vertical_slab quark:blue_shingles_vertical_slab
quark:blocks/blue_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/blue_stool quark:blue_stool
quark:blocks/bonded_leather | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/bonded_leather quark:bonded_leather
quark:blocks/bonded_rabbit_hide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/bonded_rabbit_hide quark:bonded_rabbit_hide
quark:blocks/bonded_ravager_hide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/bonded_ravager_hide quark:bonded_ravager_hide
quark:blocks/brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/brick_vertical_slab quark:brick_vertical_slab
quark:blocks/brown_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/brown_framed_glass quark:brown_framed_glass
quark:blocks/brown_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/brown_framed_glass_pane quark:brown_framed_glass_pane
quark:blocks/brown_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/brown_shingles quark:brown_shingles
quark:blocks/brown_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/brown_shingles_slab quark:brown_shingles_slab
quark:blocks/brown_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/brown_shingles_stairs quark:brown_shingles_stairs
quark:blocks/brown_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/brown_shingles_vertical_slab quark:brown_shingles_vertical_slab
quark:blocks/brown_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/brown_stool quark:brown_stool
quark:blocks/cactus_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cactus_block quark:cactus_block
quark:blocks/calcite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_bricks quark:calcite_bricks
quark:blocks/calcite_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/calcite_bricks_slab quark:calcite_bricks_slab
quark:blocks/calcite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_bricks_stairs quark:calcite_bricks_stairs
quark:blocks/calcite_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/calcite_bricks_vertical_slab quark:calcite_bricks_vertical_slab
quark:blocks/calcite_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_bricks_wall quark:calcite_bricks_wall
quark:blocks/calcite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_pillar quark:calcite_pillar
quark:blocks/calcite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/calcite_slab quark:calcite_slab
quark:blocks/calcite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_stairs quark:calcite_stairs
quark:blocks/calcite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/calcite_vertical_slab quark:calcite_vertical_slab
quark:blocks/calcite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/calcite_wall quark:calcite_wall
quark:blocks/carrot_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/carrot_crate quark:carrot_crate
quark:blocks/carved_mud_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/carved_mud_bricks quark:carved_mud_bricks
quark:blocks/charcoal_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/charcoal_block quark:charcoal_block
quark:blocks/cherry_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/cherry_bookshelf quark:cherry_bookshelf
quark:blocks/cherry_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cherry_chest quark:cherry_chest
quark:blocks/cherry_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cherry_hedge quark:cherry_hedge
quark:blocks/cherry_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cherry_ladder quark:cherry_ladder
quark:blocks/cherry_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cherry_leaf_carpet quark:cherry_leaf_carpet
quark:blocks/cherry_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cherry_post quark:cherry_post
quark:blocks/cherry_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cherry_vertical_slab quark:cherry_vertical_slab
quark:blocks/chiseled_andesite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_andesite_bricks quark:chiseled_andesite_bricks
quark:blocks/chiseled_calcite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_calcite_bricks quark:chiseled_calcite_bricks
quark:blocks/chiseled_diorite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_diorite_bricks quark:chiseled_diorite_bricks
quark:blocks/chiseled_dripstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_dripstone_bricks quark:chiseled_dripstone_bricks
quark:blocks/chiseled_granite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_granite_bricks quark:chiseled_granite_bricks
quark:blocks/chiseled_jasper_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_jasper_bricks quark:chiseled_jasper_bricks
quark:blocks/chiseled_limestone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_limestone_bricks quark:chiseled_limestone_bricks
quark:blocks/chiseled_myalite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_myalite_bricks quark:chiseled_myalite_bricks
quark:blocks/chiseled_shale_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_shale_bricks quark:chiseled_shale_bricks
