irons_spellbooks:blocks/alchemist_cauldron | minecraft:block | irons_spellbooks:alchemist_cauldron minecraft:block minecraft:item
irons_spellbooks:blocks/wisewood_chiseled_bookshelf | minecraft:block | irons_spellbooks:blocks/wisewood_chiseled_bookshelf irons_spellbooks:wisewood_chiseled_bookshelf minecraft:block minecraft:item minecraft:survives_explosion
irons_spellbooks:chests/additional_ancient_city_loot | minecraft:chest | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:ruined_book irons_spellbooks:scroll minecraft:chest minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/additional_end_city_loot | minecraft:chest | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:ender irons_spellbooks:instant_mana_four irons_spellbooks:instant_mana_one irons_spellbooks:instant_mana_three irons_spellbooks:instant_mana_two irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:magic_items/random_elixir irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:potion minecraft:random_chance minecraft:set_count minecraft:set_potion
irons_spellbooks:chests/additional_generic_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:rotten_spell_book irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/additional_good_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:rotten_spell_book irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/additional_library_loot | minecraft:chest | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:ender irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/additional_nether_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:fire irons_spellbooks:magic_items/basic_curios irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/additional_treasure_loot | minecraft:chest | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/great_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/battleground/burial_loot | ? | irons_spellbooks:blank_rune irons_spellbooks:cinder_essence irons_spellbooks:randomize_spell minecraft:bone minecraft:cobweb minecraft:copper_ingot minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:empty minecraft:enchant_with_levels minecraft:flint minecraft:gunpowder minecraft:healing minecraft:iron_sword minecraft:item minecraft:nether_brick minecraft:netherite_scrap minecraft:netherite_sword minecraft:potion minecraft:set_count minecraft:set_potion minecraft:strong_healing minecraft:uniform minecraft:wither_rose minecraft:wither_skeleton_skull
irons_spellbooks:chests/battleground/piglin_camp | ? | minecraft:crimson_fungus minecraft:flint minecraft:gold_nugget minecraft:golden_pickaxe minecraft:golden_shovel minecraft:gunpowder minecraft:iron_nugget minecraft:item minecraft:nether_brick minecraft:porkchop minecraft:set_count minecraft:soul_soil
irons_spellbooks:chests/bookshelf_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:item minecraft:loot_table minecraft:paper minecraft:random_chance minecraft:set_count minecraft:writable_book
irons_spellbooks:chests/catacombs/armory_loot | ? | minecraft:arrow minecraft:bow minecraft:chainmail_chestplate minecraft:crossbow minecraft:iron_helmet minecraft:iron_sword minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:set_count minecraft:stone_sword
irons_spellbooks:chests/catacombs/coffin_loot | ? | irons_spellbooks:arcane_essence irons_spellbooks:randomize_spell irons_spellbooks:rotten_spell_book irons_spellbooks:scroll minecraft:bone minecraft:cobweb minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:random_chance minecraft:set_count minecraft:uniform
irons_spellbooks:chests/catacombs/crypt_loot | ? | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:bone minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/catacombs/hidden_trough_treasure | ? | irons_spellbooks:blank_rune irons_spellbooks:randomize_spell irons_spellbooks:rotten_spell_book irons_spellbooks:scroll minecraft:diamond minecraft:emerald minecraft:hay_block minecraft:item minecraft:random_chance minecraft:set_count minecraft:wheat
irons_spellbooks:chests/catacombs/pot | ? | irons_spellbooks:arcane_essence irons_spellbooks:music_disc_dead_king_lullaby minecraft:bone minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:item minecraft:set_count minecraft:skeleton_skull
irons_spellbooks:chests/catacombs/wall_loot | ? | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:randomize_spell irons_spellbooks:rotten_spell_book irons_spellbooks:scroll minecraft:bone minecraft:chain minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:cobweb minecraft:diamond minecraft:diamond_sword minecraft:emerald minecraft:enchant_with_levels minecraft:iron_boots minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:random_chance minecraft:rotten_flesh minecraft:set_count minecraft:skeleton_skull minecraft:uniform
irons_spellbooks:chests/citadel/citadel_bookshelf | ? | irons_spellbooks:ancient_battleground irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:chained_book irons_spellbooks:chests/citadel/citadel_tomes irons_spellbooks:disc_fragment_flame_still_burns irons_spellbooks:fire irons_spellbooks:furled_map irons_spellbooks:randomize_spell irons_spellbooks:ruined_book irons_spellbooks:scroll irons_spellbooks:set_furled_map minecraft:binomial minecraft:book minecraft:item minecraft:loot_table minecraft:paper minecraft:random_chance minecraft:set_count minecraft:the_nether minecraft:uniform
irons_spellbooks:chests/citadel/citadel_tomes | ? | minecraft:item minecraft:set_name minecraft:set_written_book_pages minecraft:written_book
irons_spellbooks:chests/citadel/citadel_vault | ? | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:disc_fragment_flame_still_burns irons_spellbooks:fire irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/reward_ink irons_spellbooks:mithril_scrap irons_spellbooks:pyrium_ingot irons_spellbooks:raise_hell irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:ancient_debris minecraft:binomial minecraft:diamond minecraft:emerald minecraft:gold_ingot minecraft:item minecraft:loot_table minecraft:netherite_ingot minecraft:netherite_scrap minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/citadel/rampart_chest | ? | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:fire irons_spellbooks:keeper_flamberge irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:ancient_debris minecraft:bone minecraft:diamond minecraft:emerald minecraft:empty minecraft:flint minecraft:flint_and_steel minecraft:item minecraft:lantern minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:soul_sand minecraft:uniform
irons_spellbooks:chests/citadel/rampart_supplies | ? | irons_spellbooks:arcane_essence minecraft:arrow minecraft:bone minecraft:crossbow minecraft:flint minecraft:item minecraft:lantern minecraft:set_count minecraft:set_damage minecraft:soul_sand minecraft:uniform
irons_spellbooks:chests/citadel/spawner_reward | ? | irons_spellbooks:cinder_essence minecraft:item
irons_spellbooks:chests/component_storage | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:magic_items/all_focuses irons_spellbooks:shriving_stone minecraft:chest minecraft:item minecraft:loot_table minecraft:set_count
irons_spellbooks:chests/evoker_fort | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:evocation irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:arrow minecraft:chest minecraft:diamond minecraft:emerald minecraft:experience_bottle minecraft:goat_horn minecraft:item minecraft:loot_table minecraft:random_chance minecraft:raw_iron minecraft:set_count minecraft:set_instrument
irons_spellbooks:chests/evoker_fort/guard_tower | ? | minecraft:arrow minecraft:crossbow minecraft:goat_horn minecraft:iron_axe minecraft:item minecraft:set_count minecraft:set_instrument minecraft:torch
irons_spellbooks:chests/filler_storage_loot | ? | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:apple minecraft:book minecraft:charcoal minecraft:cobweb minecraft:emerald minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:rotten_flesh minecraft:set_count
irons_spellbooks:chests/generic_magic_treasure | ? | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/all_focuses irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/decent_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:copper_ingot minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:uniform
irons_spellbooks:chests/ice_spider_den/basement | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:frozen_bone irons_spellbooks:ice_venom_vial irons_spellbooks:magic_items/basic_curios minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:ice minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count minecraft:snowball
irons_spellbooks:chests/ice_spider_den/cask | minecraft:chest | minecraft:chest minecraft:glass_bottle minecraft:honey_bottle minecraft:ice minecraft:item minecraft:set_count minecraft:sweet_berries
irons_spellbooks:chests/ice_spider_den/dungeon | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:frozen_bone irons_spellbooks:ice irons_spellbooks:invisibility_elixir irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/decent_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:book minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:ice minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count minecraft:snowball
irons_spellbooks:chests/ice_spider_den/pot | ? | irons_spellbooks:arcane_essence irons_spellbooks:frozen_bone minecraft:cobweb minecraft:emerald minecraft:empty minecraft:iron_ingot minecraft:item minecraft:set_count
irons_spellbooks:chests/ice_spider_den/spawner_reward | minecraft:chest | irons_spellbooks:ice irons_spellbooks:magic_items/decent_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:item minecraft:loot_table
irons_spellbooks:chests/ice_spider_den/tower | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:ice irons_spellbooks:magic_items/basic_curios irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:cobweb minecraft:empty minecraft:ice minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count minecraft:snowball minecraft:spyglass
irons_spellbooks:chests/impaled_icebreaker/captain_quarters | minecraft:chest | irons_spellbooks:epic_ink irons_spellbooks:magic_items/basic_curios irons_spellbooks:permafrost_shard minecraft:bundle minecraft:bundle_contents minecraft:chest minecraft:emerald minecraft:goat_horn minecraft:item minecraft:loot_table minecraft:paper minecraft:random_chance minecraft:set_contents minecraft:set_count minecraft:set_instrument minecraft:spyglass
irons_spellbooks:chests/impaled_icebreaker/food_barrel | minecraft:chest | irons_spellbooks:chilled minecraft:beetroot_soup minecraft:bread minecraft:bucket minecraft:chest minecraft:cod minecraft:fishing_rod minecraft:item minecraft:mushroom_stew minecraft:pufferfish minecraft:rabbit_stew minecraft:set_count minecraft:set_stew_effect minecraft:suspicious_stew
irons_spellbooks:chests/magic_bookshelf_loot | minecraft:chest | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:arcane_essence irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/decent_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:item minecraft:loot_table minecraft:paper minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/mangrove_hut | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/poor_ink irons_spellbooks:magic_items/random_potion_or_elixir irons_spellbooks:nature irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:brown_mushroom minecraft:chest minecraft:copper_ingot minecraft:fern minecraft:item minecraft:loot_table minecraft:nether_wart minecraft:random_chance minecraft:red_mushroom minecraft:set_count
irons_spellbooks:chests/mangrove_hut/hidden_potion_storage | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:magic_items/random_potion_or_elixir irons_spellbooks:netherward_tincture minecraft:chest minecraft:emerald minecraft:item minecraft:loot_table minecraft:set_count
irons_spellbooks:chests/mangrove_hut/potion_ingredient_storage | minecraft:chest | irons_spellbooks:magic_items/random_potion_or_elixir minecraft:chest minecraft:emerald minecraft:glass_bottle minecraft:item minecraft:loot_table minecraft:potion minecraft:set_potion minecraft:water
irons_spellbooks:chests/mountain_tower/ice_barrel | ? | irons_spellbooks:affinity_ring irons_spellbooks:frostward_ring irons_spellbooks:ice irons_spellbooks:randomize_ring_enhancement irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:empty minecraft:ice minecraft:item minecraft:set_count minecraft:snowball
irons_spellbooks:chests/mountain_tower/mountain_tower | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:frozen_bone irons_spellbooks:furled_map irons_spellbooks:ice irons_spellbooks:impaled_icebreaker irons_spellbooks:magic_items/basic_curios irons_spellbooks:randomize_spell irons_spellbooks:scroll irons_spellbooks:set_furled_map minecraft:amethyst_shard minecraft:chest minecraft:goat_horn minecraft:item minecraft:loot_table minecraft:paper minecraft:rabbit_stew minecraft:random_chance minecraft:set_count minecraft:set_instrument
irons_spellbooks:chests/priest_house | ? | irons_spellbooks:arcane_essence irons_spellbooks:divine_pearl irons_spellbooks:holy irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:emerald minecraft:healing minecraft:item minecraft:loot_table minecraft:paper minecraft:potion minecraft:set_potion minecraft:strong_healing
irons_spellbooks:chests/pyromancer_tower/burnt_chest | ? | irons_spellbooks:affinity_ring irons_spellbooks:fire irons_spellbooks:randomize_ring_enhancement irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:charcoal minecraft:ghast_tear minecraft:gunpowder minecraft:item minecraft:set_count
irons_spellbooks:chests/pyromancer_tower/fire_ale_cask | ? | irons_spellbooks:fire_ale minecraft:fermented_spider_eye minecraft:glass_bottle minecraft:honeycomb minecraft:item minecraft:potion minecraft:pumpkin minecraft:set_potion minecraft:sugar minecraft:water minecraft:water_bucket minecraft:wheat
irons_spellbooks:chests/pyromancer_tower/fire_ale_trove | ? | irons_spellbooks:fire_ale minecraft:emerald minecraft:glass_bottle minecraft:item minecraft:set_count
irons_spellbooks:chests/pyromancer_tower/old_cask | ? | minecraft:beetroot_seeds minecraft:fermented_spider_eye minecraft:glass_bottle minecraft:honeycomb minecraft:item minecraft:potion minecraft:random_chance minecraft:set_count minecraft:set_potion minecraft:sugar minecraft:water minecraft:wheat
irons_spellbooks:chests/pyromancer_tower/pot | ? | irons_spellbooks:arcane_essence irons_spellbooks:fire_ale minecraft:charcoal minecraft:cobweb minecraft:copper_ingot minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:item minecraft:set_count
irons_spellbooks:chests/pyromancer_tower/pyromancer_basic_storage | ? | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:fire irons_spellbooks:magic_cloth irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:book minecraft:candle minecraft:cobweb minecraft:empty minecraft:item minecraft:loot_table minecraft:paper minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/pyromancer_tower/pyromancer_supplies | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:fire irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/poor_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:blaze_rod minecraft:candle minecraft:chest minecraft:item minecraft:loot_table minecraft:obsidian minecraft:paper minecraft:pumpkin minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/sewer_loot | minecraft:chest | irons_spellbooks:arcane_essence minecraft:bone minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:slime_ball minecraft:turtle_egg
irons_spellbooks:chests/trial_chambers/additional_ominous_spawner_consumable_loot | minecraft:chest | irons_spellbooks:instant_mana_four irons_spellbooks:instant_mana_three irons_spellbooks:instant_mana_two irons_spellbooks:magic_items/random_elixir minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:potion minecraft:set_potion
irons_spellbooks:chests/trial_chambers/additional_ominous_vault_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:autoloader_crossbow irons_spellbooks:expulsion_ring irons_spellbooks:magic_items/great_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll irons_spellbooks:upgrade_orb irons_spellbooks:visibility_ring irons_spellbooks:weapon_parts minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/trial_chambers/additional_regular_spawner_consumable_loot | minecraft:chest | irons_spellbooks:instant_mana_one irons_spellbooks:instant_mana_two minecraft:chest minecraft:empty minecraft:item minecraft:potion minecraft:set_potion
irons_spellbooks:chests/trial_chambers/additional_regular_vault_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:set_count
irons_spellbooks:chests/trial_chambers/additional_trial_chest_loot | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:magic_cloth irons_spellbooks:magic_items/basic_curios irons_spellbooks:magic_items/good_ink irons_spellbooks:magic_items/random_elixir irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:empty minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_count
irons_spellbooks:chests/trial_chambers/pot_replacement | minecraft:chest | irons_spellbooks:arcane_essence irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:chest minecraft:item minecraft:set_count
irons_spellbooks:chests/wheat | ? | minecraft:hay_block minecraft:item minecraft:pumpkin minecraft:random_chance minecraft:set_count minecraft:wheat
irons_spellbooks:entities/additional_blaze_loot | ? | irons_spellbooks:blaze_spell_book minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
irons_spellbooks:entities/additional_dragon_loot | ? | irons_spellbooks:arcane_essence irons_spellbooks:dragonskin minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/additional_evoker_loot | ? | irons_spellbooks:evoker_spell_book minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
irons_spellbooks:entities/additional_hoglin_loot | ? | irons_spellbooks:hogskin minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/additional_stray_loot | ? | irons_spellbooks:frozen_bone minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/apothecarist | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:magic_items/good_ink irons_spellbooks:nature irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/archevoker | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:entities/additional_evoker_loot irons_spellbooks:evocation irons_spellbooks:evocation_rune irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:loot_table minecraft:looting minecraft:random_chance minecraft:set_count minecraft:uniform
irons_spellbooks:entities/citadel_keeper | minecraft:entity | irons_spellbooks:cinder_essence minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:netherite_scrap minecraft:random_chance_with_enchanted_bonus
irons_spellbooks:entities/cryomancer | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:ice irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/cultist | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:blood irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/dead_king | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:blood_staff irons_spellbooks:magic_items/reward_ink irons_spellbooks:necronomicon_spell_book irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:loot_table minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
irons_spellbooks:entities/fire_boss | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:betrayer_signet irons_spellbooks:cinder_essence irons_spellbooks:decrepit_scythe irons_spellbooks:divine_soulshard minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
irons_spellbooks:entities/fire_boss_per_player | minecraft:entity | irons_spellbooks:decrepit_key minecraft:entity minecraft:item minecraft:killed_by_player
irons_spellbooks:entities/ice_spider | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:icy_fang minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:string minecraft:uniform
irons_spellbooks:entities/necromancer | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
