pantographsandwires:blocks/cantilever_bracket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/cantilever_bracket pantographsandwires:cantilever_bracket
pantographsandwires:blocks/insulator_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/insulator_green pantographsandwires:insulator_green
pantographsandwires:blocks/lattice_mast | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/lattice_mast pantographsandwires:lattice_mast
pantographsandwires:blocks/lattice_mast_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/lattice_mast_exposed pantographsandwires:lattice_mast_exposed
pantographsandwires:blocks/lattice_mast_galvanized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/lattice_mast_galvanized pantographsandwires:lattice_mast_galvanized
pantographsandwires:blocks/lattice_mast_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/lattice_mast_oxidized pantographsandwires:lattice_mast_oxidized
pantographsandwires:blocks/lattice_mast_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/lattice_mast_weathered pantographsandwires:lattice_mast_weathered
pantographsandwires:blocks/pantograph | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/pantograph pantographsandwires:pantograph
pantographsandwires:blocks/power_line_bracket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/power_line_bracket pantographsandwires:power_line_bracket
pantographsandwires:blocks/power_line_bracket_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/power_line_bracket_exposed pantographsandwires:power_line_bracket_exposed
pantographsandwires:blocks/power_line_bracket_galvanized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/power_line_bracket_galvanized pantographsandwires:power_line_bracket_galvanized
pantographsandwires:blocks/power_line_bracket_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/power_line_bracket_oxidized pantographsandwires:power_line_bracket_oxidized
pantographsandwires:blocks/power_line_bracket_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/power_line_bracket_weathered pantographsandwires:power_line_bracket_weathered
pantographsandwires:blocks/tensioning_device | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion pantographsandwires:blocks/tensioning_device pantographsandwires:tensioning_device
pantographsandwires:blocks/u_insulator_brown | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/u_insulator_brown pantographsandwires:u_insulator_brown
pantographsandwires:blocks/u_insulator_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/u_insulator_green pantographsandwires:u_insulator_green
pantographsandwires:blocks/v_insulator_brown | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/v_insulator_brown pantographsandwires:v_insulator_brown
pantographsandwires:blocks/v_insulator_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/v_insulator_green pantographsandwires:v_insulator_green
pantographsandwires:blocks/waxed_cantilever_bracket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket pantographsandwires:waxed_cantilever_bracket
pantographsandwires:blocks/waxed_cantilever_bracket_at_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_at_post pantographsandwires:waxed_cantilever_bracket
pantographsandwires:blocks/waxed_cantilever_bracket_at_post_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_at_post_exposed pantographsandwires:waxed_cantilever_bracket_exposed
pantographsandwires:blocks/waxed_cantilever_bracket_at_post_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_at_post_oxidized pantographsandwires:waxed_cantilever_bracket_oxidized
pantographsandwires:blocks/waxed_cantilever_bracket_at_post_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_at_post_weathered pantographsandwires:waxed_cantilever_bracket_weathered
pantographsandwires:blocks/waxed_cantilever_bracket_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_exposed pantographsandwires:waxed_cantilever_bracket_exposed
pantographsandwires:blocks/waxed_cantilever_bracket_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_oxidized pantographsandwires:waxed_cantilever_bracket_oxidized
pantographsandwires:blocks/waxed_cantilever_bracket_vertical | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_vertical pantographsandwires:waxed_cantilever_bracket
pantographsandwires:blocks/waxed_cantilever_bracket_vertical_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_vertical_exposed pantographsandwires:waxed_cantilever_bracket_exposed
pantographsandwires:blocks/waxed_cantilever_bracket_vertical_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_vertical_oxidized pantographsandwires:waxed_cantilever_bracket_oxidized
pantographsandwires:blocks/waxed_cantilever_bracket_vertical_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_vertical_weathered pantographsandwires:waxed_cantilever_bracket_weathered
pantographsandwires:blocks/waxed_cantilever_bracket_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_cantilever_bracket_weathered pantographsandwires:waxed_cantilever_bracket_weathered
pantographsandwires:blocks/waxed_concrete_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_pillar pantographsandwires:waxed_concrete_pillar
pantographsandwires:blocks/waxed_concrete_pillar_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_pillar_exposed pantographsandwires:waxed_concrete_pillar_exposed
pantographsandwires:blocks/waxed_concrete_pillar_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_pillar_oxidized pantographsandwires:waxed_concrete_pillar_oxidized
pantographsandwires:blocks/waxed_concrete_pillar_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_pillar_weathered pantographsandwires:waxed_concrete_pillar_weathered
pantographsandwires:blocks/waxed_concrete_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_post pantographsandwires:waxed_concrete_post
pantographsandwires:blocks/waxed_concrete_post_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_post_exposed pantographsandwires:waxed_concrete_post_exposed
pantographsandwires:blocks/waxed_concrete_post_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_post_oxidized pantographsandwires:waxed_concrete_post_oxidized
pantographsandwires:blocks/waxed_concrete_post_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_concrete_post_weathered pantographsandwires:waxed_concrete_post_weathered
pantographsandwires:blocks/waxed_flat_lattice_mast | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast pantographsandwires:waxed_flat_lattice_mast
pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal pantographsandwires:waxed_flat_lattice_mast_diagonal
pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_exposed pantographsandwires:waxed_flat_lattice_mast_diagonal_exposed
pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_oxidized pantographsandwires:waxed_flat_lattice_mast_diagonal_oxidized
pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_diagonal_weathered pantographsandwires:waxed_flat_lattice_mast_diagonal_weathered
pantographsandwires:blocks/waxed_flat_lattice_mast_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_exposed pantographsandwires:waxed_flat_lattice_mast_exposed
pantographsandwires:blocks/waxed_flat_lattice_mast_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_oxidized pantographsandwires:waxed_flat_lattice_mast_oxidized
pantographsandwires:blocks/waxed_flat_lattice_mast_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_flat_lattice_mast_weathered pantographsandwires:waxed_flat_lattice_mast_weathered
pantographsandwires:blocks/waxed_h_beam_mast | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_h_beam_mast pantographsandwires:waxed_h_beam_mast
pantographsandwires:blocks/waxed_h_beam_mast_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_h_beam_mast_exposed pantographsandwires:waxed_h_beam_mast_exposed
pantographsandwires:blocks/waxed_h_beam_mast_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_h_beam_mast_oxidized pantographsandwires:waxed_h_beam_mast_oxidized
pantographsandwires:blocks/waxed_h_beam_mast_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_h_beam_mast_weathered pantographsandwires:waxed_h_beam_mast_weathered
pantographsandwires:blocks/waxed_lattice_mast | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_lattice_mast pantographsandwires:waxed_lattice_mast
pantographsandwires:blocks/waxed_lattice_mast_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_lattice_mast_exposed pantographsandwires:waxed_lattice_mast_exposed
pantographsandwires:blocks/waxed_lattice_mast_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_lattice_mast_oxidized pantographsandwires:waxed_lattice_mast_oxidized
pantographsandwires:blocks/waxed_lattice_mast_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_lattice_mast_weathered pantographsandwires:waxed_lattice_mast_weathered
pantographsandwires:blocks/waxed_power_line_bracket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_power_line_bracket pantographsandwires:waxed_power_line_bracket
pantographsandwires:blocks/waxed_power_line_bracket_exposed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_power_line_bracket_exposed pantographsandwires:waxed_power_line_bracket_exposed
pantographsandwires:blocks/waxed_power_line_bracket_oxidized | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_power_line_bracket_oxidized pantographsandwires:waxed_power_line_bracket_oxidized
pantographsandwires:blocks/waxed_power_line_bracket_weathered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion pantographsandwires:blocks/waxed_power_line_bracket_weathered pantographsandwires:waxed_power_line_bracket_weathered
