upgrade_aquatic:blocks/acan_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:acan_coral upgrade_aquatic:blocks/acan_coral
upgrade_aquatic:blocks/bedroll | minecraft:block | minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:dyed_color minecraft:item minecraft:survives_explosion upgrade_aquatic:bedroll upgrade_aquatic:blocks/bedroll
upgrade_aquatic:blocks/blue_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/blue_jelly_torch upgrade_aquatic:blue_jelly_torch
upgrade_aquatic:blocks/boiled_pickerelweed_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/boiled_pickerelweed_block upgrade_aquatic:boiled_pickerelweed_block
upgrade_aquatic:blocks/brain_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/brain_coralstone upgrade_aquatic:brain_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/brain_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/brain_coralstone_slab upgrade_aquatic:brain_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/brain_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/brain_coralstone_stairs upgrade_aquatic:brain_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/brain_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/brain_coralstone_wall upgrade_aquatic:brain_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/branch_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/branch_coral upgrade_aquatic:branch_coral
upgrade_aquatic:blocks/branch_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/branch_coral_block upgrade_aquatic:branch_coral_block upgrade_aquatic:dead_branch_coral_block
upgrade_aquatic:blocks/branch_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/branch_coral_fan upgrade_aquatic:branch_coral_fan
upgrade_aquatic:blocks/branch_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/branch_coralstone upgrade_aquatic:branch_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/branch_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/branch_coralstone_slab upgrade_aquatic:branch_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/branch_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/branch_coralstone_stairs upgrade_aquatic:branch_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/branch_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/branch_coralstone_wall upgrade_aquatic:branch_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/bubble_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/bubble_coralstone upgrade_aquatic:bubble_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/bubble_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/bubble_coralstone_slab upgrade_aquatic:bubble_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/bubble_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/bubble_coralstone_stairs upgrade_aquatic:bubble_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/bubble_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/bubble_coralstone_wall upgrade_aquatic:bubble_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/chiseled_acan_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_acan_coralstone upgrade_aquatic:chiseled_acan_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_brain_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_brain_coralstone upgrade_aquatic:chiseled_brain_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_branch_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_branch_coralstone upgrade_aquatic:chiseled_branch_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_bubble_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_bubble_coralstone upgrade_aquatic:chiseled_bubble_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_chrome_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_chrome_coralstone upgrade_aquatic:chiseled_chrome_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_coralstone upgrade_aquatic:chiseled_coralstone
upgrade_aquatic:blocks/chiseled_dead_coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_dead_coralstone upgrade_aquatic:chiseled_dead_coralstone
upgrade_aquatic:blocks/chiseled_driftwood_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/chiseled_driftwood_bookshelf upgrade_aquatic:chiseled_driftwood_bookshelf
upgrade_aquatic:blocks/chiseled_elder_prismarine_coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_elder_prismarine_coralstone upgrade_aquatic:chiseled_elder_prismarine_coralstone
upgrade_aquatic:blocks/chiseled_finger_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_finger_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_finger_coralstone
upgrade_aquatic:blocks/chiseled_fire_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_fire_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_fire_coralstone
upgrade_aquatic:blocks/chiseled_horn_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_horn_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_horn_coralstone
upgrade_aquatic:blocks/chiseled_moss_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_moss_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_moss_coralstone
upgrade_aquatic:blocks/chiseled_petal_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_petal_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_petal_coralstone
upgrade_aquatic:blocks/chiseled_pillow_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_pillow_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_pillow_coralstone
upgrade_aquatic:blocks/chiseled_prismarine_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_prismarine_coralstone upgrade_aquatic:chiseled_elder_prismarine_coralstone upgrade_aquatic:chiseled_prismarine_coralstone
upgrade_aquatic:blocks/chiseled_river_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/chiseled_river_bookshelf upgrade_aquatic:chiseled_river_bookshelf
upgrade_aquatic:blocks/chiseled_rock_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_rock_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_rock_coralstone
upgrade_aquatic:blocks/chiseled_scute_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_scute_shingles upgrade_aquatic:chiseled_scute_shingles
upgrade_aquatic:blocks/chiseled_silk_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_silk_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_silk_coralstone
upgrade_aquatic:blocks/chiseled_star_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_star_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_star_coralstone
upgrade_aquatic:blocks/chiseled_tooth_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_tooth_bricks upgrade_aquatic:chiseled_tooth_bricks
upgrade_aquatic:blocks/chiseled_tube_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chiseled_tube_coralstone upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:chiseled_tube_coralstone
upgrade_aquatic:blocks/chrome_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/chrome_coral upgrade_aquatic:chrome_coral
upgrade_aquatic:blocks/chrome_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chrome_coral_block upgrade_aquatic:chrome_coral_block upgrade_aquatic:dead_chrome_coral_block
upgrade_aquatic:blocks/chrome_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/chrome_coral_fan upgrade_aquatic:chrome_coral_fan
upgrade_aquatic:blocks/chrome_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chrome_coralstone upgrade_aquatic:chrome_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/chrome_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/chrome_coralstone_slab upgrade_aquatic:chrome_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/chrome_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chrome_coralstone_stairs upgrade_aquatic:chrome_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/chrome_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/chrome_coralstone_wall upgrade_aquatic:chrome_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/coralstone upgrade_aquatic:coralstone
upgrade_aquatic:blocks/coralstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/coralstone_slab upgrade_aquatic:coralstone_slab
upgrade_aquatic:blocks/coralstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/coralstone_stairs upgrade_aquatic:coralstone_stairs
upgrade_aquatic:blocks/coralstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/coralstone_wall upgrade_aquatic:coralstone_wall
upgrade_aquatic:blocks/dead_acan_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_acan_coral upgrade_aquatic:dead_acan_coral
upgrade_aquatic:blocks/dead_acan_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_acan_coral_block upgrade_aquatic:dead_acan_coral_block
upgrade_aquatic:blocks/dead_acan_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_acan_coral_fan upgrade_aquatic:dead_acan_coral_fan
upgrade_aquatic:blocks/dead_branch_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_branch_coral upgrade_aquatic:dead_branch_coral
upgrade_aquatic:blocks/dead_branch_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_branch_coral_block upgrade_aquatic:dead_branch_coral_block
upgrade_aquatic:blocks/dead_branch_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_branch_coral_fan upgrade_aquatic:dead_branch_coral_fan
upgrade_aquatic:blocks/dead_chrome_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_chrome_coral upgrade_aquatic:dead_chrome_coral
upgrade_aquatic:blocks/dead_chrome_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_chrome_coral_block upgrade_aquatic:dead_chrome_coral_block
upgrade_aquatic:blocks/dead_chrome_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_chrome_coral_fan upgrade_aquatic:dead_chrome_coral_fan
upgrade_aquatic:blocks/dead_coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/dead_coralstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/dead_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/dead_coralstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/dead_coralstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/dead_finger_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_finger_coral upgrade_aquatic:dead_finger_coral
upgrade_aquatic:blocks/dead_finger_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_finger_coral_block upgrade_aquatic:dead_finger_coral_block
upgrade_aquatic:blocks/dead_finger_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_finger_coral_fan upgrade_aquatic:dead_finger_coral_fan
upgrade_aquatic:blocks/dead_moss_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_moss_coral upgrade_aquatic:dead_moss_coral
upgrade_aquatic:blocks/dead_moss_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_moss_coral_block upgrade_aquatic:dead_moss_coral_block
upgrade_aquatic:blocks/dead_moss_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_moss_coral_fan upgrade_aquatic:dead_moss_coral_fan
upgrade_aquatic:blocks/dead_petal_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_petal_coral upgrade_aquatic:dead_petal_coral
upgrade_aquatic:blocks/dead_petal_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_petal_coral_block upgrade_aquatic:dead_petal_coral_block
upgrade_aquatic:blocks/dead_petal_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_petal_coral_fan upgrade_aquatic:dead_petal_coral_fan
upgrade_aquatic:blocks/dead_pillow_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_pillow_coral upgrade_aquatic:dead_pillow_coral
upgrade_aquatic:blocks/dead_pillow_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_pillow_coral_block upgrade_aquatic:dead_pillow_coral_block
upgrade_aquatic:blocks/dead_pillow_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_pillow_coral_fan upgrade_aquatic:dead_pillow_coral_fan
upgrade_aquatic:blocks/dead_rock_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_rock_coral upgrade_aquatic:dead_rock_coral
upgrade_aquatic:blocks/dead_rock_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_rock_coral_block upgrade_aquatic:dead_rock_coral_block
upgrade_aquatic:blocks/dead_rock_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_rock_coral_fan upgrade_aquatic:dead_rock_coral_fan
upgrade_aquatic:blocks/dead_silk_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_silk_coral upgrade_aquatic:dead_silk_coral
upgrade_aquatic:blocks/dead_silk_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_silk_coral_block upgrade_aquatic:dead_silk_coral_block
upgrade_aquatic:blocks/dead_silk_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_silk_coral_fan upgrade_aquatic:dead_silk_coral_fan
upgrade_aquatic:blocks/dead_star_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_star_coral upgrade_aquatic:dead_star_coral
upgrade_aquatic:blocks/dead_star_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/dead_star_coral_block upgrade_aquatic:dead_star_coral_block
upgrade_aquatic:blocks/dead_star_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/dead_star_coral_fan upgrade_aquatic:dead_star_coral_fan
upgrade_aquatic:blocks/driftwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood upgrade_aquatic:driftwood
upgrade_aquatic:blocks/driftwood_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/driftwood_beehive upgrade_aquatic:driftwood_beehive
upgrade_aquatic:blocks/driftwood_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_boards upgrade_aquatic:driftwood_boards
upgrade_aquatic:blocks/driftwood_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/driftwood_bookshelf upgrade_aquatic:driftwood_bookshelf
upgrade_aquatic:blocks/driftwood_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_button upgrade_aquatic:driftwood_button
upgrade_aquatic:blocks/driftwood_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_chest upgrade_aquatic:driftwood_chest
upgrade_aquatic:blocks/driftwood_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_door upgrade_aquatic:driftwood_door
upgrade_aquatic:blocks/driftwood_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_fence upgrade_aquatic:driftwood_fence
upgrade_aquatic:blocks/driftwood_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_fence_gate upgrade_aquatic:driftwood_fence_gate
upgrade_aquatic:blocks/driftwood_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_hanging_sign upgrade_aquatic:driftwood_hanging_sign
upgrade_aquatic:blocks/driftwood_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_ladder upgrade_aquatic:driftwood_ladder
upgrade_aquatic:blocks/driftwood_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_log upgrade_aquatic:driftwood_log
upgrade_aquatic:blocks/driftwood_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_planks upgrade_aquatic:driftwood_planks
upgrade_aquatic:blocks/driftwood_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_pressure_plate upgrade_aquatic:driftwood_pressure_plate
upgrade_aquatic:blocks/driftwood_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_sign upgrade_aquatic:driftwood_sign
upgrade_aquatic:blocks/driftwood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/driftwood_slab upgrade_aquatic:driftwood_slab
upgrade_aquatic:blocks/driftwood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_stairs upgrade_aquatic:driftwood_stairs
upgrade_aquatic:blocks/driftwood_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/driftwood_trapdoor upgrade_aquatic:driftwood_trapdoor
