dtterralith:blocks/acacia_amethyst_leaves | minecraft:block | dtterralith:blocks/acacia_amethyst_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:acacia_leaves minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_conifer_leaves | minecraft:block | dtterralith:blocks/birch_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_poplar_leaves | minecraft:block | dtterralith:blocks/birch_poplar_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_scruffy_conifer_leaves | minecraft:block | dtterralith:blocks/birch_scruffy_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_scruffy_leaves | minecraft:block | dtterralith:blocks/birch_scruffy_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_short_conifer_leaves | minecraft:block | dtterralith:blocks/birch_short_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_sparse_leaves | minecraft:block | dtterralith:blocks/birch_sparse_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_twilight_leaves | minecraft:block | dtterralith:blocks/birch_twilight_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/birch_windswept_leaves | minecraft:block | dtterralith:blocks/birch_windswept_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:birch_leaves minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/cherry_bush_leaves | minecraft:block | dtterralith:blocks/cherry_bush_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:cherry_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_ancient_leaves | minecraft:block | dtterralith:blocks/dark_oak_ancient_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_ancient_mirage_leaves | minecraft:block | dtterralith:blocks/dark_oak_ancient_mirage_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_blue_conifer_leaves | minecraft:block | dtterralith:blocks/dark_oak_blue_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_canopy_leaves | minecraft:block | dtterralith:blocks/dark_oak_canopy_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_canopy_mirage_leaves | minecraft:block | dtterralith:blocks/dark_oak_canopy_mirage_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_jacaranda_leaves | minecraft:block | dtterralith:blocks/dark_oak_jacaranda_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_maple_leaves | minecraft:block | dtterralith:blocks/dark_oak_maple_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_orange_conifer_leaves | minecraft:block | dtterralith:blocks/dark_oak_orange_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_red_azalea_leaves | minecraft:block | dtterralith:blocks/dark_oak_red_azalea_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_red_conifer_leaves | minecraft:block | dtterralith:blocks/dark_oak_red_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_red_maple_leaves | minecraft:block | dtterralith:blocks/dark_oak_red_maple_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_sakura_bush_leaves | minecraft:block | dtterralith:blocks/dark_oak_sakura_bush_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_sakura_leaves | minecraft:block | dtterralith:blocks/dark_oak_sakura_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/dark_oak_wide_leaves | minecraft:block | dtterralith:blocks/dark_oak_wide_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/flowering_azalea_canopy_leaves | minecraft:block | dtterralith:blocks/flowering_azalea_canopy_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/flowering_azalea_mahogany_leaves | minecraft:block | dtterralith:blocks/flowering_azalea_mahogany_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/flowering_azalea_mangrove_leaves | minecraft:block | dtterralith:blocks/flowering_azalea_mangrove_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/flowering_azalea_oasis_leaves | minecraft:block | dtterralith:blocks/flowering_azalea_oasis_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:flowering_azalea_leaves minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/jungle_jacaranda_leaves | minecraft:block | dtterralith:blocks/jungle_jacaranda_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/jungle_sakura_leaves | minecraft:block | dtterralith:blocks/jungle_sakura_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/jungle_sparse_leaves | minecraft:block | dtterralith:blocks/jungle_sparse_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/jungle_windswept_leaves | minecraft:block | dtterralith:blocks/jungle_windswept_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:jungle_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/mangrove_scruffy_leaves | minecraft:block | dtterralith:blocks/mangrove_scruffy_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:mangrove_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/mangrove_sparse_leaves | minecraft:block | dtterralith:blocks/mangrove_sparse_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:mangrove_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_conifer_leaves | minecraft:block | dtterralith:blocks/oak_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_kapok_leaves | minecraft:block | dtterralith:blocks/oak_kapok_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:air minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_scruffy_leaves | minecraft:block | dtterralith:blocks/oak_scruffy_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_scruffy_tall_conifer_leaves | minecraft:block | dtterralith:blocks/oak_scruffy_tall_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_sparse_leaves | minecraft:block | dtterralith:blocks/oak_sparse_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_tall_conifer_leaves | minecraft:block | dtterralith:blocks/oak_tall_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_twiglet_leaves | minecraft:block | dtterralith:blocks/oak_twiglet_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_twilight_leaves | minecraft:block | dtterralith:blocks/oak_twilight_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/oak_yellow_conifer_leaves | minecraft:block | dtterralith:blocks/oak_yellow_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_bush_leaves | minecraft:block | dtterralith:blocks/spruce_bush_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_moonlight_leaves | minecraft:block | dtterralith:blocks/spruce_moonlight_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_poplar_leaves | minecraft:block | dtterralith:blocks/spruce_poplar_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_round_leaves | minecraft:block | dtterralith:blocks/spruce_round_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
