dynamictrees:blocks/acacia_leaves | minecraft:block | dynamictrees:blocks/acacia_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:acacia_leaves minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/mangrove_leaves | minecraft:block | dynamictrees:blocks/mangrove_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:mangrove_leaves minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/oak_leaves | minecraft:block | dynamictrees:blocks/oak_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/oak_undergrowth_leaves | minecraft:block | dynamictrees:blocks/oak_undergrowth_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/spruce_leaves | minecraft:block | dynamictrees:blocks/spruce_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:blocks/warped_wart | minecraft:block | dynamictrees:blocks/warped_wart minecraft:block minecraft:item minecraft:survives_explosion minecraft:warped_wart_block
dynamictrees:trees/branches/acacia | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/acacia minecraft:acacia_log minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dynamictrees:trees/branches/birch | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/birch minecraft:birch_log minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dynamictrees:trees/branches/cherry | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/cherry minecraft:block minecraft:cherry_log minecraft:explosion_decay minecraft:item minecraft:stick
dynamictrees:trees/branches/crimson | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/crimson minecraft:block minecraft:crimson_stem minecraft:explosion_decay minecraft:item minecraft:stick
dynamictrees:trees/branches/dark_oak | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/dark_oak minecraft:block minecraft:dark_oak_log minecraft:explosion_decay minecraft:item minecraft:stick
dynamictrees:trees/branches/jungle | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/jungle minecraft:block minecraft:explosion_decay minecraft:item minecraft:jungle_log minecraft:stick
dynamictrees:trees/branches/mangrove | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/mangrove minecraft:block minecraft:explosion_decay minecraft:item minecraft:mangrove_log minecraft:stick
dynamictrees:trees/branches/oak | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/oak minecraft:block minecraft:explosion_decay minecraft:item minecraft:oak_log minecraft:stick
dynamictrees:trees/branches/spruce | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/spruce minecraft:block minecraft:explosion_decay minecraft:item minecraft:spruce_log minecraft:stick
dynamictrees:trees/branches/stripped_acacia | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_acacia minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_acacia_log
dynamictrees:trees/branches/stripped_birch | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_birch minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_birch_log
dynamictrees:trees/branches/stripped_cherry | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_cherry minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_cherry_log
dynamictrees:trees/branches/stripped_crimson | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_crimson minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_crimson_stem
dynamictrees:trees/branches/stripped_dark_oak | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_dark_oak minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_dark_oak_log
dynamictrees:trees/branches/stripped_jungle | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_jungle minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_jungle_log
dynamictrees:trees/branches/stripped_mangrove | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_mangrove minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_mangrove_log
dynamictrees:trees/branches/stripped_oak | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_oak minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_oak_log
dynamictrees:trees/branches/stripped_spruce | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_spruce minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_spruce_log
dynamictrees:trees/branches/stripped_warped | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/stripped_warped minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_warped_stem
dynamictrees:trees/branches/warped | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/branches/warped minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:warped_stem
dynamictrees:trees/leaves/acacia | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/acacia minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/azalea | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/azalea minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/birch | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/birch minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/cherry | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/cherry minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/crimson | minecraft:block | dynamictrees:trees/leaves/crimson minecraft:block minecraft:fortune minecraft:item minecraft:nether_wart_block minecraft:survives_explosion minecraft:table_bonus
dynamictrees:trees/leaves/dark_oak | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/dark_oak minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/flowering_azalea | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/flowering_azalea minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/jungle | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/jungle minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/jungle_undergrowth | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/jungle_undergrowth minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/mangrove | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/mangrove minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/oak | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/oak minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/oak_undergrowth | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/oak_undergrowth minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/spruce | minecraft:block | dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item dynamictrees:trees/leaves/spruce minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dynamictrees:trees/leaves/warped | minecraft:block | dynamictrees:trees/leaves/warped minecraft:block minecraft:fortune minecraft:item minecraft:survives_explosion minecraft:table_bonus minecraft:warped_wart_block
dynamictrees:trees/roots/mangrove | minecraft:block | dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count dynamictrees:trees/roots/mangrove minecraft:block minecraft:explosion_decay minecraft:item minecraft:mangrove_roots minecraft:stick
dynamictrees:trees/voluntary/acacia | minecraft:block | dynamictrees:acacia_seed dynamictrees:trees/voluntary/acacia dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/apple_oak | minecraft:block | dynamictrees:apple_oak_seed dynamictrees:trees/voluntary/apple_oak dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/azalea | minecraft:block | dynamictrees:azalea_seed dynamictrees:trees/voluntary/azalea dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/birch | minecraft:block | dynamictrees:birch_seed dynamictrees:trees/voluntary/birch dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/cherry | minecraft:block | dynamictrees:cherry_seed dynamictrees:trees/voluntary/cherry dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/cocoa | minecraft:block | dynamictrees:cocoa_seed dynamictrees:trees/voluntary/cocoa dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/crimson | minecraft:block | dynamictrees:crimson_seed dynamictrees:trees/voluntary/crimson dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/dark_oak | minecraft:block | dynamictrees:dark_oak_seed dynamictrees:trees/voluntary/dark_oak dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/jungle | minecraft:block | dynamictrees:jungle_seed dynamictrees:trees/voluntary/jungle dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/mangrove | minecraft:block | dynamictrees:mangrove_seed dynamictrees:trees/voluntary/mangrove dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/mega_crimson | minecraft:block | dynamictrees:mega_crimson_seed dynamictrees:trees/voluntary/mega_crimson dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/mega_jungle | minecraft:block | dynamictrees:mega_jungle_seed dynamictrees:trees/voluntary/mega_jungle dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/mega_spruce | minecraft:block | dynamictrees:mega_spruce_seed dynamictrees:trees/voluntary/mega_spruce dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/mega_warped | minecraft:block | dynamictrees:mega_warped_seed dynamictrees:trees/voluntary/mega_warped dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/oak | minecraft:block | dynamictrees:oak_seed dynamictrees:trees/voluntary/oak dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/spruce | minecraft:block | dynamictrees:spruce_seed dynamictrees:trees/voluntary/spruce dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dynamictrees:trees/voluntary/warped | minecraft:block | dynamictrees:trees/voluntary/warped dynamictrees:voluntary_seed_drop_chance dynamictrees:warped_seed minecraft:block minecraft:item
