domum_ornamentum:blocks/architectscutter | minecraft:block | domum_ornamentum:architectscutter domum_ornamentum:blocks/architectscutter minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/cream_bricks | minecraft:block | domum_ornamentum:blocks/cream_bricks domum_ornamentum:cream_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/cream_stone_bricks | minecraft:block | domum_ornamentum:blocks/cream_stone_bricks domum_ornamentum:cream_stone_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/crossed_light | minecraft:block | domum_ornamentum:blocks/crossed_light domum_ornamentum:crossed_light domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/cyan_brick_extra | minecraft:block | domum_ornamentum:blocks/cyan_brick_extra domum_ornamentum:cyan_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/cyan_floating_carpet | minecraft:block | domum_ornamentum:blocks/cyan_floating_carpet domum_ornamentum:cyan_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/dark_brick | minecraft:block | domum_ornamentum:blocks/dark_brick domum_ornamentum:dark_brick domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/dark_brick_stair | minecraft:block | domum_ornamentum:blocks/dark_brick_stair domum_ornamentum:dark_brick_stair domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/double_crossed | minecraft:block | domum_ornamentum:blocks/double_crossed domum_ornamentum:double_crossed domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/down_gated | minecraft:block | domum_ornamentum:blocks/down_gated domum_ornamentum:down_gated domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/dynamic_timberframe | minecraft:block | domum_ornamentum:blocks/dynamic_timberframe domum_ornamentum:dynamic_timberframe domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/fancy_door | minecraft:block | domum_ornamentum:blocks/fancy_door domum_ornamentum:fancy_door domum_ornamentum:texture_data minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/fancy_light | minecraft:block | domum_ornamentum:blocks/fancy_light domum_ornamentum:fancy_light domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/fancy_trapdoors | minecraft:block | domum_ornamentum:blocks/fancy_trapdoors domum_ornamentum:fancy_trapdoors domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/four_light | minecraft:block | domum_ornamentum:blocks/four_light domum_ornamentum:four_light domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/framed | minecraft:block | domum_ornamentum:blocks/framed domum_ornamentum:framed domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/framed_light | minecraft:block | domum_ornamentum:blocks/framed_light domum_ornamentum:framed_light domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/gray_brick_extra | minecraft:block | domum_ornamentum:blocks/gray_brick_extra domum_ornamentum:gray_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/gray_floating_carpet | minecraft:block | domum_ornamentum:blocks/gray_floating_carpet domum_ornamentum:gray_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/green_brick_extra | minecraft:block | domum_ornamentum:blocks/green_brick_extra domum_ornamentum:green_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/green_cactus_extra | minecraft:block | domum_ornamentum:blocks/green_cactus_extra domum_ornamentum:green_cactus_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/green_cobblestone_extra | minecraft:block | domum_ornamentum:blocks/green_cobblestone_extra domum_ornamentum:green_cobblestone_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/green_floating_carpet | minecraft:block | domum_ornamentum:blocks/green_floating_carpet domum_ornamentum:green_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/horizontal_light | minecraft:block | domum_ornamentum:blocks/horizontal_light domum_ornamentum:horizontal_light domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/horizontal_plain | minecraft:block | domum_ornamentum:blocks/horizontal_plain domum_ornamentum:horizontal_plain domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/light_blue_brick_extra | minecraft:block | domum_ornamentum:blocks/light_blue_brick_extra domum_ornamentum:light_blue_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/light_blue_floating_carpet | minecraft:block | domum_ornamentum:blocks/light_blue_floating_carpet domum_ornamentum:light_blue_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/light_brick | minecraft:block | domum_ornamentum:blocks/light_brick domum_ornamentum:light_brick domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/light_brick_stair | minecraft:block | domum_ornamentum:blocks/light_brick_stair domum_ornamentum:light_brick_stair domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/light_gray_brick_extra | minecraft:block | domum_ornamentum:blocks/light_gray_brick_extra domum_ornamentum:light_gray_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/light_gray_floating_carpet | minecraft:block | domum_ornamentum:blocks/light_gray_floating_carpet domum_ornamentum:light_gray_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/lime_brick_extra | minecraft:block | domum_ornamentum:blocks/lime_brick_extra domum_ornamentum:lime_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/lime_floating_carpet | minecraft:block | domum_ornamentum:blocks/lime_floating_carpet domum_ornamentum:lime_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/magenta_brick_extra | minecraft:block | domum_ornamentum:blocks/magenta_brick_extra domum_ornamentum:magenta_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/magenta_floating_carpet | minecraft:block | domum_ornamentum:blocks/magenta_floating_carpet domum_ornamentum:magenta_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/mossy_cobblestone_extra | minecraft:block | domum_ornamentum:blocks/mossy_cobblestone_extra domum_ornamentum:mossy_cobblestone_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/one_crossed_lr | minecraft:block | domum_ornamentum:blocks/one_crossed_lr domum_ornamentum:one_crossed_lr domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/one_crossed_rl | minecraft:block | domum_ornamentum:blocks/one_crossed_rl domum_ornamentum:one_crossed_rl domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/orange_brick_extra | minecraft:block | domum_ornamentum:blocks/orange_brick_extra domum_ornamentum:orange_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/orange_floating_carpet | minecraft:block | domum_ornamentum:blocks/orange_floating_carpet domum_ornamentum:orange_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/panel | minecraft:block | domum_ornamentum:blocks/panel domum_ornamentum:panel domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/paper_extra | minecraft:block | domum_ornamentum:blocks/paper_extra domum_ornamentum:paper_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/pink_brick_extra | minecraft:block | domum_ornamentum:blocks/pink_brick_extra domum_ornamentum:pink_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/pink_floating_carpet | minecraft:block | domum_ornamentum:blocks/pink_floating_carpet domum_ornamentum:pink_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/plain | minecraft:block | domum_ornamentum:blocks/plain domum_ornamentum:plain domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/post | minecraft:block | domum_ornamentum:blocks/post domum_ornamentum:post domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/purple_brick_extra | minecraft:block | domum_ornamentum:blocks/purple_brick_extra domum_ornamentum:purple_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/purple_cobblestone_extra | minecraft:block | domum_ornamentum:blocks/purple_cobblestone_extra domum_ornamentum:purple_cobblestone_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/purple_floating_carpet | minecraft:block | domum_ornamentum:blocks/purple_floating_carpet domum_ornamentum:purple_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/red_brick_extra | minecraft:block | domum_ornamentum:blocks/red_brick_extra domum_ornamentum:red_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/red_floating_carpet | minecraft:block | domum_ornamentum:blocks/red_floating_carpet domum_ornamentum:red_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/roan_bricks | minecraft:block | domum_ornamentum:blocks/roan_bricks domum_ornamentum:roan_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/roan_stone_bricks | minecraft:block | domum_ornamentum:blocks/roan_stone_bricks domum_ornamentum:roan_stone_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/sand_bricks | minecraft:block | domum_ornamentum:blocks/sand_bricks domum_ornamentum:sand_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/sand_stone_bricks | minecraft:block | domum_ornamentum:blocks/sand_stone_bricks domum_ornamentum:sand_stone_bricks minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/shingle | minecraft:block | domum_ornamentum:blocks/shingle domum_ornamentum:shingle domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/shingle_flat | minecraft:block | domum_ornamentum:blocks/shingle_flat domum_ornamentum:shingle_flat domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/shingle_flat_lower | minecraft:block | domum_ornamentum:blocks/shingle_flat_lower domum_ornamentum:shingle_flat_lower domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/shingle_slab | minecraft:block | domum_ornamentum:blocks/shingle_slab domum_ornamentum:shingle_slab domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/shingle_steep | minecraft:block | domum_ornamentum:blocks/shingle_steep domum_ornamentum:shingle_steep domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/shingle_steep_lower | minecraft:block | domum_ornamentum:blocks/shingle_steep_lower domum_ornamentum:shingle_steep_lower domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/side_framed | minecraft:block | domum_ornamentum:blocks/side_framed domum_ornamentum:side_framed domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/side_framed_horizontal | minecraft:block | domum_ornamentum:blocks/side_framed_horizontal domum_ornamentum:side_framed_horizontal domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/squarepillar | minecraft:block | domum_ornamentum:blocks/squarepillar domum_ornamentum:squarepillar domum_ornamentum:texture_data minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/up_gated | minecraft:block | domum_ornamentum:blocks/up_gated domum_ornamentum:texture_data domum_ornamentum:up_gated minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/vanilla_doors_compat | minecraft:block | domum_ornamentum:blocks/vanilla_doors_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_doors_compat minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/vanilla_fence_compat | minecraft:block | domum_ornamentum:blocks/vanilla_fence_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_fence_compat minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/vanilla_fence_gate_compat | minecraft:block | domum_ornamentum:blocks/vanilla_fence_gate_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_fence_gate_compat minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/vanilla_slab_compat | minecraft:block | domum_ornamentum:blocks/vanilla_slab_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_slab_compat minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:item minecraft:set_count
domum_ornamentum:blocks/vanilla_stairs_compat | minecraft:block | domum_ornamentum:blocks/vanilla_stairs_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_stairs_compat minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/vanilla_trapdoors_compat | minecraft:block | domum_ornamentum:blocks/vanilla_trapdoors_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_trapdoors_compat minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item
domum_ornamentum:blocks/vanilla_wall_compat | minecraft:block | domum_ornamentum:blocks/vanilla_wall_compat domum_ornamentum:texture_data domum_ornamentum:vanilla_wall_compat minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/vertical_light | minecraft:block | domum_ornamentum:blocks/vertical_light domum_ornamentum:texture_data domum_ornamentum:vertical_light minecraft:block minecraft:copy_components minecraft:item
domum_ornamentum:blocks/wheat_extra | minecraft:block | domum_ornamentum:blocks/wheat_extra domum_ornamentum:wheat_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/white_brick_extra | minecraft:block | domum_ornamentum:blocks/white_brick_extra domum_ornamentum:white_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/white_floating_carpet | minecraft:block | domum_ornamentum:blocks/white_floating_carpet domum_ornamentum:white_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/white_paper_extra | minecraft:block | domum_ornamentum:blocks/white_paper_extra domum_ornamentum:white_paper_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/yellow_brick_extra | minecraft:block | domum_ornamentum:blocks/yellow_brick_extra domum_ornamentum:yellow_brick_extra minecraft:block minecraft:item minecraft:survives_explosion
domum_ornamentum:blocks/yellow_floating_carpet | minecraft:block | domum_ornamentum:blocks/yellow_floating_carpet domum_ornamentum:yellow_floating_carpet minecraft:block minecraft:item minecraft:survives_explosion
