mcwdoors:blocks/acacia_bamboo_door | minecraft:block | mcwdoors:acacia_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_modern_door | minecraft:block | mcwdoors:bamboo_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_mystic_door | minecraft:block | mcwdoors:bamboo_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_nether_door | minecraft:block | mcwdoors:bamboo_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_paper_door | minecraft:block | mcwdoors:bamboo_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_stable_door | minecraft:block | mcwdoors:bamboo_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_stable_head_door | minecraft:block | mcwdoors:bamboo_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_swamp_door | minecraft:block | mcwdoors:bamboo_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_tropical_door | minecraft:block | mcwdoors:bamboo_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_waffle_door | minecraft:block | mcwdoors:bamboo_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_western_door | minecraft:block | mcwdoors:bamboo_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/bamboo_whispering_door | minecraft:block | mcwdoors:bamboo_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_bamboo_door | minecraft:block | mcwdoors:birch_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_bark_glass_door | minecraft:block | mcwdoors:birch_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_barn_door | minecraft:block | mcwdoors:birch_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_barn_glass_door | minecraft:block | mcwdoors:birch_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_beach_door | minecraft:block | mcwdoors:birch_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_classic_door | minecraft:block | mcwdoors:birch_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_cottage_door | minecraft:block | mcwdoors:birch_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_four_panel_door | minecraft:block | mcwdoors:birch_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_glass_door | minecraft:block | mcwdoors:birch_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_japanese2_door | minecraft:block | mcwdoors:birch_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_japanese_door | minecraft:block | mcwdoors:birch_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_modern_door | minecraft:block | mcwdoors:birch_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_mystic_door | minecraft:block | mcwdoors:birch_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_nether_door | minecraft:block | mcwdoors:birch_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_stable_door | minecraft:block | mcwdoors:birch_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_stable_head_door | minecraft:block | mcwdoors:birch_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_swamp_door | minecraft:block | mcwdoors:birch_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_tropical_door | minecraft:block | mcwdoors:birch_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_waffle_door | minecraft:block | mcwdoors:birch_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_western_door | minecraft:block | mcwdoors:birch_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/birch_whispering_door | minecraft:block | mcwdoors:birch_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_bamboo_door | minecraft:block | mcwdoors:cherry_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_bark_glass_door | minecraft:block | mcwdoors:cherry_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_barn_door | minecraft:block | mcwdoors:cherry_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_barn_glass_door | minecraft:block | mcwdoors:cherry_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_beach_door | minecraft:block | mcwdoors:cherry_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_classic_door | minecraft:block | mcwdoors:cherry_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_cottage_door | minecraft:block | mcwdoors:cherry_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_four_panel_door | minecraft:block | mcwdoors:cherry_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_glass_door | minecraft:block | mcwdoors:cherry_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_japanese2_door | minecraft:block | mcwdoors:cherry_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_japanese_door | minecraft:block | mcwdoors:cherry_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_modern_door | minecraft:block | mcwdoors:cherry_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_mystic_door | minecraft:block | mcwdoors:cherry_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_nether_door | minecraft:block | mcwdoors:cherry_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_paper_door | minecraft:block | mcwdoors:cherry_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_stable_door | minecraft:block | mcwdoors:cherry_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_stable_head_door | minecraft:block | mcwdoors:cherry_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_swamp_door | minecraft:block | mcwdoors:cherry_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_tropical_door | minecraft:block | mcwdoors:cherry_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_western_door | minecraft:block | mcwdoors:cherry_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/cherry_whispering_door | minecraft:block | mcwdoors:cherry_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_bamboo_door | minecraft:block | mcwdoors:crimson_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_barn_door | minecraft:block | mcwdoors:crimson_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_barn_glass_door | minecraft:block | mcwdoors:crimson_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_beach_door | minecraft:block | mcwdoors:crimson_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_classic_door | minecraft:block | mcwdoors:crimson_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_cottage_door | minecraft:block | mcwdoors:crimson_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_four_panel_door | minecraft:block | mcwdoors:crimson_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_glass_door | minecraft:block | mcwdoors:crimson_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_japanese2_door | minecraft:block | mcwdoors:crimson_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_japanese_door | minecraft:block | mcwdoors:crimson_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_modern_door | minecraft:block | mcwdoors:crimson_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_mystic_door | minecraft:block | mcwdoors:crimson_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_paper_door | minecraft:block | mcwdoors:crimson_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_stable_door | minecraft:block | mcwdoors:crimson_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_stable_head_door | minecraft:block | mcwdoors:crimson_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_stem_glass_door | minecraft:block | mcwdoors:crimson_stem_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_swamp_door | minecraft:block | mcwdoors:crimson_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_tropical_door | minecraft:block | mcwdoors:crimson_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_waffle_door | minecraft:block | mcwdoors:crimson_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_western_door | minecraft:block | mcwdoors:crimson_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/crimson_whispering_door | minecraft:block | mcwdoors:crimson_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_bamboo_door | minecraft:block | mcwdoors:dark_oak_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_bark_glass_door | minecraft:block | mcwdoors:dark_oak_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_barn_door | minecraft:block | mcwdoors:dark_oak_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_barn_glass_door | minecraft:block | mcwdoors:dark_oak_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_beach_door | minecraft:block | mcwdoors:dark_oak_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_classic_door | minecraft:block | mcwdoors:dark_oak_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_cottage_door | minecraft:block | mcwdoors:dark_oak_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_glass_door | minecraft:block | mcwdoors:dark_oak_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_japanese2_door | minecraft:block | mcwdoors:dark_oak_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_japanese_door | minecraft:block | mcwdoors:dark_oak_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_modern_door | minecraft:block | mcwdoors:dark_oak_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_mystic_door | minecraft:block | mcwdoors:dark_oak_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_nether_door | minecraft:block | mcwdoors:dark_oak_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_paper_door | minecraft:block | mcwdoors:dark_oak_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_stable_door | minecraft:block | mcwdoors:dark_oak_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_stable_head_door | minecraft:block | mcwdoors:dark_oak_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_swamp_door | minecraft:block | mcwdoors:dark_oak_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_tropical_door | minecraft:block | mcwdoors:dark_oak_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_waffle_door | minecraft:block | mcwdoors:dark_oak_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_western_door | minecraft:block | mcwdoors:dark_oak_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/dark_oak_whispering_door | minecraft:block | mcwdoors:dark_oak_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jail_door | minecraft:block | mcwdoors:jail_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_bamboo_door | minecraft:block | mcwdoors:jungle_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_bark_glass_door | minecraft:block | mcwdoors:jungle_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_barn_door | minecraft:block | mcwdoors:jungle_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_barn_glass_door | minecraft:block | mcwdoors:jungle_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_classic_door | minecraft:block | mcwdoors:jungle_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_cottage_door | minecraft:block | mcwdoors:jungle_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_four_panel_door | minecraft:block | mcwdoors:jungle_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_glass_door | minecraft:block | mcwdoors:jungle_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_japanese2_door | minecraft:block | mcwdoors:jungle_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_japanese_door | minecraft:block | mcwdoors:jungle_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_modern_door | minecraft:block | mcwdoors:jungle_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_mystic_door | minecraft:block | mcwdoors:jungle_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_nether_door | minecraft:block | mcwdoors:jungle_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_paper_door | minecraft:block | mcwdoors:jungle_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_stable_door | minecraft:block | mcwdoors:jungle_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_stable_head_door | minecraft:block | mcwdoors:jungle_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_swamp_door | minecraft:block | mcwdoors:jungle_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_tropical_door | minecraft:block | mcwdoors:jungle_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_waffle_door | minecraft:block | mcwdoors:jungle_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_western_door | minecraft:block | mcwdoors:jungle_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/jungle_whispering_door | minecraft:block | mcwdoors:jungle_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_bamboo_door | minecraft:block | mcwdoors:mangrove_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_bark_glass_door | minecraft:block | mcwdoors:mangrove_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_barn_door | minecraft:block | mcwdoors:mangrove_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_barn_glass_door | minecraft:block | mcwdoors:mangrove_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_beach_door | minecraft:block | mcwdoors:mangrove_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_classic_door | minecraft:block | mcwdoors:mangrove_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_cottage_door | minecraft:block | mcwdoors:mangrove_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_four_panel_door | minecraft:block | mcwdoors:mangrove_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_glass_door | minecraft:block | mcwdoors:mangrove_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_japanese2_door | minecraft:block | mcwdoors:mangrove_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_japanese_door | minecraft:block | mcwdoors:mangrove_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_modern_door | minecraft:block | mcwdoors:mangrove_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_mystic_door | minecraft:block | mcwdoors:mangrove_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_nether_door | minecraft:block | mcwdoors:mangrove_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_paper_door | minecraft:block | mcwdoors:mangrove_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_stable_door | minecraft:block | mcwdoors:mangrove_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_stable_head_door | minecraft:block | mcwdoors:mangrove_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_tropical_door | minecraft:block | mcwdoors:mangrove_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_waffle_door | minecraft:block | mcwdoors:mangrove_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_western_door | minecraft:block | mcwdoors:mangrove_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/mangrove_whispering_door | minecraft:block | mcwdoors:mangrove_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/metal_door | minecraft:block | mcwdoors:metal_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/metal_hospital_door | minecraft:block | mcwdoors:metal_hospital_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/metal_reinforced_door | minecraft:block | mcwdoors:metal_reinforced_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/metal_warning_door | minecraft:block | mcwdoors:metal_warning_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/metal_windowed_door | minecraft:block | mcwdoors:metal_windowed_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_bamboo_door | minecraft:block | mcwdoors:oak_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_bark_glass_door | minecraft:block | mcwdoors:oak_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_barn_door | minecraft:block | mcwdoors:oak_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
