valarian_conquest:blocks/armorsmith | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:armorsmith valarian_conquest:blocks/armorsmith
valarian_conquest:blocks/spikes | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/spikes valarian_conquest:spikes
valarian_conquest:blocks/templar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/templar valarian_conquest:templar
valarian_conquest:blocks/templar_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/templar_banner valarian_conquest:templar_banner
valarian_conquest:blocks/templar_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/templar_hanging_banner valarian_conquest:templar_vertical_banner
valarian_conquest:blocks/templar_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/templar_vertical_banner valarian_conquest:templar_vertical_banner
valarian_conquest:blocks/valarian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/valarian valarian_conquest:valarian
valarian_conquest:blocks/valarian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/valarian_banner valarian_conquest:valarian_banner
valarian_conquest:blocks/valarian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/valarian_hanging_banner valarian_conquest:valarian_vertical_banner
valarian_conquest:blocks/valarian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/valarian_vertical_banner valarian_conquest:valarian_vertical_banner
valarian_conquest:blocks/visgothian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/visgothian valarian_conquest:visgothian
valarian_conquest:blocks/visgothian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/visgothian_banner valarian_conquest:visgothian_banner
valarian_conquest:blocks/visgothian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/visgothian_hanging_banner valarian_conquest:visgothian_vertical_banner
valarian_conquest:blocks/visgothian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/visgothian_vertical_banner valarian_conquest:visgothian_vertical_banner
valarian_conquest:blocks/weaponsmith | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/weaponsmith valarian_conquest:weaponsmith
valarian_conquest:blocks/white_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/white_wool valarian_conquest:white_wool
valarian_conquest:blocks/yellow_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/yellow_wool valarian_conquest:yellow_wool
