ars_nouveau:blocks/agronomic_sourcelink | minecraft:block | ars_nouveau:agronomic_sourcelink ars_nouveau:blocks/agronomic_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_planks | minecraft:block | ars_nouveau:archwood_planks ars_nouveau:blocks/archwood_planks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_pressure_plate | minecraft:block | ars_nouveau:archwood_pressure_plate ars_nouveau:blocks/archwood_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_sconce | minecraft:block | ars_nouveau:archwood_sconce ars_nouveau:blocks/archwood_sconce minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_sign | minecraft:block | ars_nouveau:archwood_sign ars_nouveau:blocks/archwood_sign minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_slab | minecraft:block | ars_nouveau:archwood_slab ars_nouveau:blocks/archwood_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/archwood_stairs | minecraft:block | ars_nouveau:archwood_stairs ars_nouveau:blocks/archwood_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_trapdoor | minecraft:block | ars_nouveau:archwood_trapdoor ars_nouveau:blocks/archwood_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/archwood_wall_sign | minecraft:block | ars_nouveau:archwood_sign ars_nouveau:blocks/archwood_wall_sign minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/basic_spell_turret | minecraft:block | ars_nouveau:basic_spell_turret ars_nouveau:blocks/basic_spell_turret minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/bastion_pod | minecraft:block | ars_nouveau:bastion_pod ars_nouveau:blocks/bastion_pod minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count
ars_nouveau:blocks/blue_archwood_leaves | minecraft:block | ars_nouveau:blocks/blue_archwood_leaves ars_nouveau:blue_archwood_leaves ars_nouveau:blue_archwood_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
ars_nouveau:blocks/blue_archwood_log | minecraft:block | ars_nouveau:blocks/blue_archwood_log ars_nouveau:blue_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/blue_archwood_sapling | minecraft:block | ars_nouveau:blocks/blue_archwood_sapling ars_nouveau:blue_archwood_sapling minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/blue_archwood_wood | minecraft:block | ars_nouveau:blocks/blue_archwood_wood ars_nouveau:blue_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/blue_sbed | minecraft:block | ars_nouveau:blocks/blue_sbed ars_nouveau:blue_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/bombegranate_pod | minecraft:block | ars_nouveau:blocks/bombegranate_pod ars_nouveau:bombegranate_pod minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count
ars_nouveau:blocks/brazier_relay | minecraft:block | ars_nouveau:blocks/brazier_relay ars_nouveau:brazier_relay minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/creative_source_jar | minecraft:block | ars_nouveau:blocks/creative_source_jar ars_nouveau:creative_source_jar minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/decor_blossom | minecraft:block | ars_nouveau:blocks/decor_blossom ars_nouveau:decor_blossom minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/drygmy_stone | minecraft:block | ars_nouveau:blocks/drygmy_stone minecraft:block minecraft:item minecraft:mossy_cobblestone minecraft:survives_explosion
ars_nouveau:blocks/enchanting_apparatus | minecraft:block | ars_nouveau:blocks/enchanting_apparatus ars_nouveau:enchanting_apparatus minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/falseweave | minecraft:block | ars_nouveau:blocks/falseweave ars_nouveau:falseweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/frostaya_pod | minecraft:block | ars_nouveau:blocks/frostaya_pod ars_nouveau:frostaya_pod minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count
ars_nouveau:blocks/ghostweave | minecraft:block | ars_nouveau:blocks/ghostweave ars_nouveau:ghostweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_alternating | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_alternating ars_nouveau:gilded_sourcestone_alternating minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_alternating_slab | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_alternating_slab ars_nouveau:gilded_sourcestone_alternating_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/gilded_sourcestone_alternating_stairs | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_alternating_stairs ars_nouveau:gilded_sourcestone_alternating_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_basketweave | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_basketweave ars_nouveau:gilded_sourcestone_basketweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_basketweave_slab | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_basketweave_slab ars_nouveau:gilded_sourcestone_basketweave_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/gilded_sourcestone_basketweave_stairs | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_basketweave_stairs ars_nouveau:gilded_sourcestone_basketweave_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_large_bricks | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_large_bricks ars_nouveau:gilded_sourcestone_large_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_large_bricks_slab | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_large_bricks_slab ars_nouveau:gilded_sourcestone_large_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/gilded_sourcestone_large_bricks_stairs | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_large_bricks_stairs ars_nouveau:gilded_sourcestone_large_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_mosaic | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_mosaic ars_nouveau:gilded_sourcestone_mosaic minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_mosaic_slab | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_mosaic_slab ars_nouveau:gilded_sourcestone_mosaic_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/gilded_sourcestone_mosaic_stairs | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_mosaic_stairs ars_nouveau:gilded_sourcestone_mosaic_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_small_bricks | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_small_bricks ars_nouveau:gilded_sourcestone_small_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gilded_sourcestone_small_bricks_slab | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_small_bricks_slab ars_nouveau:gilded_sourcestone_small_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/gilded_sourcestone_small_bricks_stairs | minecraft:block | ars_nouveau:blocks/gilded_sourcestone_small_bricks_stairs ars_nouveau:gilded_sourcestone_small_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/gold_grate | minecraft:block | ars_nouveau:blocks/gold_grate ars_nouveau:gold_grate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/green_archwood_leaves | minecraft:block | ars_nouveau:blocks/green_archwood_leaves ars_nouveau:green_archwood_leaves ars_nouveau:green_archwood_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
ars_nouveau:blocks/green_archwood_log | minecraft:block | ars_nouveau:blocks/green_archwood_log ars_nouveau:green_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/green_archwood_sapling | minecraft:block | ars_nouveau:blocks/green_archwood_sapling ars_nouveau:green_archwood_sapling minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/green_archwood_wood | minecraft:block | ars_nouveau:blocks/green_archwood_wood ars_nouveau:green_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/green_sbed | minecraft:block | ars_nouveau:blocks/green_sbed ars_nouveau:green_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/imbuement_chamber | minecraft:block | ars_nouveau:blocks/imbuement_chamber ars_nouveau:imbuement_chamber minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/item_detector | minecraft:block | ars_nouveau:blocks/item_detector ars_nouveau:item_detector minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/magebloom_block | minecraft:block | ars_nouveau:blocks/magebloom_block ars_nouveau:magebloom_block minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/magebloom_crop | minecraft:block | ars_nouveau:blocks/magebloom_crop ars_nouveau:magebloom ars_nouveau:magebloom_crop minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
ars_nouveau:blocks/magelight_torch | minecraft:block | ars_nouveau:blocks/magelight_torch ars_nouveau:magelight_torch minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/mendosteen_pod | minecraft:block | ars_nouveau:blocks/mendosteen_pod ars_nouveau:mendosteen_pod minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count
ars_nouveau:blocks/mirrorweave | minecraft:block | ars_nouveau:blocks/mirrorweave ars_nouveau:mirrorweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/mob_jar | minecraft:block | ars_nouveau:blocks/mob_jar ars_nouveau:mob_jar minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
ars_nouveau:blocks/mycelial_sourcelink | minecraft:block | ars_nouveau:blocks/mycelial_sourcelink ars_nouveau:mycelial_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/orange_sbed | minecraft:block | ars_nouveau:blocks/orange_sbed ars_nouveau:orange_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/planarium | minecraft:block | ars_nouveau:blocks/planarium ars_nouveau:planarium minecraft:block minecraft:copy_name minecraft:item
ars_nouveau:blocks/polished_sconce | minecraft:block | ars_nouveau:blocks/polished_sconce ars_nouveau:polished_sconce minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potion_diffuser | minecraft:block | ars_nouveau:blocks/potion_diffuser ars_nouveau:potion_diffuser minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potion_jar | minecraft:block | ars_nouveau:blocks/potion_jar ars_nouveau:potion_jar minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
ars_nouveau:blocks/potion_melder | minecraft:block | ars_nouveau:blocks/potion_melder ars_nouveau:potion_melder minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potted_blue_archwood_sapling | minecraft:block | ars_nouveau:blocks/potted_blue_archwood_sapling ars_nouveau:blue_archwood_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potted_green_archwood_sapling | minecraft:block | ars_nouveau:blocks/potted_green_archwood_sapling ars_nouveau:green_archwood_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potted_magebloom_crop | minecraft:block | ars_nouveau:blocks/potted_magebloom_crop ars_nouveau:magebloom_crop minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potted_purple_archwood_sapling | minecraft:block | ars_nouveau:blocks/potted_purple_archwood_sapling ars_nouveau:purple_archwood_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/potted_red_archwood_sapling | minecraft:block | ars_nouveau:blocks/potted_red_archwood_sapling ars_nouveau:red_archwood_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/purple_archwood_leaves | minecraft:block | ars_nouveau:blocks/purple_archwood_leaves ars_nouveau:purple_archwood_leaves ars_nouveau:purple_archwood_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
ars_nouveau:blocks/purple_archwood_log | minecraft:block | ars_nouveau:blocks/purple_archwood_log ars_nouveau:purple_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/purple_archwood_sapling | minecraft:block | ars_nouveau:blocks/purple_archwood_sapling ars_nouveau:purple_archwood_sapling minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/purple_archwood_wood | minecraft:block | ars_nouveau:blocks/purple_archwood_wood ars_nouveau:purple_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/purple_sbed | minecraft:block | ars_nouveau:blocks/purple_sbed ars_nouveau:purple_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/red_archwood_leaves | minecraft:block | ars_nouveau:blocks/red_archwood_leaves ars_nouveau:red_archwood_leaves ars_nouveau:red_archwood_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
ars_nouveau:blocks/red_archwood_log | minecraft:block | ars_nouveau:blocks/red_archwood_log ars_nouveau:red_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/red_archwood_sapling | minecraft:block | ars_nouveau:blocks/red_archwood_sapling ars_nouveau:red_archwood_sapling minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/red_archwood_wood | minecraft:block | ars_nouveau:blocks/red_archwood_wood ars_nouveau:red_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/red_sbed | minecraft:block | ars_nouveau:blocks/red_sbed ars_nouveau:red_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/redstone_relay | minecraft:block | ars_nouveau:blocks/redstone_relay ars_nouveau:redstone_relay minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/relay | minecraft:block | ars_nouveau:blocks/relay ars_nouveau:relay minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/relay_collector | minecraft:block | ars_nouveau:blocks/relay_collector ars_nouveau:relay_collector minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/relay_deposit | minecraft:block | ars_nouveau:blocks/relay_deposit ars_nouveau:relay_deposit minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/relay_splitter | minecraft:block | ars_nouveau:blocks/relay_splitter ars_nouveau:relay_splitter minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/relay_warp | minecraft:block | ars_nouveau:blocks/relay_warp ars_nouveau:relay_warp minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/repository | minecraft:block | ars_nouveau:blocks/repository ars_nouveau:repository minecraft:block minecraft:copy_name minecraft:item
ars_nouveau:blocks/repository_controller | minecraft:block | ars_nouveau:blocks/repository_controller ars_nouveau:repository_controller minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/ritual_brazier | minecraft:block | ars_nouveau:blocks/ritual_brazier ars_nouveau:ritual_brazier minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/rotating_spell_turret | minecraft:block | ars_nouveau:blocks/rotating_spell_turret ars_nouveau:rotating_spell_turret minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sconce | minecraft:block | ars_nouveau:blocks/sconce ars_nouveau:sconce minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/scribes_table | minecraft:block | ars_nouveau:blocks/scribes_table ars_nouveau:scribes_table minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/scryers_crystal | minecraft:block | ars_nouveau:blocks/scryers_crystal ars_nouveau:scryers_crystal minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/scryers_oculus | minecraft:block | ars_nouveau:blocks/scryers_oculus ars_nouveau:scryers_oculus minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sky_block | minecraft:block | ars_nouveau:blocks/sky_block ars_nouveau:sky_block minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_alternating | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_alternating ars_nouveau:smooth_gilded_sourcestone_alternating minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_alternating_slab | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_alternating_slab ars_nouveau:smooth_gilded_sourcestone_alternating_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_gilded_sourcestone_alternating_stairs | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_alternating_stairs ars_nouveau:smooth_gilded_sourcestone_alternating_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave ars_nouveau:smooth_gilded_sourcestone_basketweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave_slab | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave_slab ars_nouveau:smooth_gilded_sourcestone_basketweave_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave_stairs | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_basketweave_stairs ars_nouveau:smooth_gilded_sourcestone_basketweave_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks ars_nouveau:smooth_gilded_sourcestone_large_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks_slab | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks_slab ars_nouveau:smooth_gilded_sourcestone_large_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks_stairs | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_large_bricks_stairs ars_nouveau:smooth_gilded_sourcestone_large_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic ars_nouveau:smooth_gilded_sourcestone_mosaic minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic_slab | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic_slab ars_nouveau:smooth_gilded_sourcestone_mosaic_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic_stairs | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_mosaic_stairs ars_nouveau:smooth_gilded_sourcestone_mosaic_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks ars_nouveau:smooth_gilded_sourcestone_small_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks_slab | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks_slab ars_nouveau:smooth_gilded_sourcestone_small_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks_stairs | minecraft:block | ars_nouveau:blocks/smooth_gilded_sourcestone_small_bricks_stairs ars_nouveau:smooth_gilded_sourcestone_small_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone | minecraft:block | ars_nouveau:blocks/smooth_sourcestone ars_nouveau:smooth_sourcestone minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_alternating | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_alternating ars_nouveau:smooth_sourcestone_alternating minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_alternating_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_alternating_slab ars_nouveau:smooth_sourcestone_alternating_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_alternating_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_alternating_stairs ars_nouveau:smooth_sourcestone_alternating_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_basketweave | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_basketweave ars_nouveau:smooth_sourcestone_basketweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_basketweave_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_basketweave_slab ars_nouveau:smooth_sourcestone_basketweave_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_basketweave_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_basketweave_stairs ars_nouveau:smooth_sourcestone_basketweave_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_grate | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_grate ars_nouveau:smooth_sourcestone_grate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_large_bricks | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_large_bricks ars_nouveau:smooth_sourcestone_large_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_large_bricks_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_large_bricks_slab ars_nouveau:smooth_sourcestone_large_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_large_bricks_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_large_bricks_stairs ars_nouveau:smooth_sourcestone_large_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_mosaic | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_mosaic ars_nouveau:smooth_sourcestone_mosaic minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_mosaic_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_mosaic_slab ars_nouveau:smooth_sourcestone_mosaic_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_mosaic_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_mosaic_stairs ars_nouveau:smooth_sourcestone_mosaic_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_slab ars_nouveau:smooth_sourcestone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_small_bricks | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_small_bricks ars_nouveau:smooth_sourcestone_small_bricks minecraft:block minecraft:item minecraft:survives_explosion
