northstar:blocks/amethyst_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:amethyst_crystal northstar:blocks/amethyst_crystal
northstar:blocks/bloom_fungus_stem_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/bloom_fungus_stem_block northstar:bloom_fungus_stem_block
northstar:blocks/budding_lunar_sapphire_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/budding_lunar_sapphire_block northstar:budding_lunar_sapphire_block
northstar:blocks/calorian_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/calorian_log northstar:calorian_log
northstar:blocks/calorian_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/calorian_planks northstar:calorian_planks
northstar:blocks/calorian_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/calorian_slab northstar:calorian_slab
northstar:blocks/calorian_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/calorian_stairs northstar:calorian_stairs
northstar:blocks/chiseled_mars_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/chiseled_mars_stone northstar:chiseled_mars_stone
northstar:blocks/chiseled_mercury_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/chiseled_mercury_stone northstar:chiseled_mercury_stone
northstar:blocks/chiseled_moon_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/chiseled_moon_stone northstar:chiseled_moon_stone
northstar:blocks/chiseled_venus_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/chiseled_venus_stone northstar:chiseled_venus_stone
northstar:blocks/circuit_engraver | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/circuit_engraver northstar:circuit_engraver
northstar:blocks/coiler_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform northstar:blocks/coiler_leaves northstar:coiler_leaves northstar:coiler_sapling
northstar:blocks/coiler_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/coiler_log northstar:coiler_log
northstar:blocks/coiler_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/coiler_planks northstar:coiler_planks
northstar:blocks/coiler_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/coiler_sapling northstar:coiler_sapling
northstar:blocks/coiler_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/coiler_slab northstar:coiler_slab
northstar:blocks/coiler_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/coiler_stairs northstar:coiler_stairs
northstar:blocks/coiler_vines | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:shears northstar:blocks/coiler_vines northstar:coiler_vines
northstar:blocks/combustion_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/combustion_engine northstar:combustion_engine
northstar:blocks/computer_rack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/computer_rack northstar:computer_rack
northstar:blocks/electrolysis_machine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/electrolysis_machine northstar:electrolysis_machine
northstar:blocks/extinguished_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/extinguished_lantern northstar:extinguished_lantern
northstar:blocks/extinguished_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/extinguished_torch northstar:extinguished_torch
northstar:blocks/extinguished_torch_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/extinguished_torch_wall northstar:extinguished_torch
northstar:blocks/frost | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch northstar:blocks/frost northstar:frost
northstar:blocks/glowing_mars_roots | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch northstar:blocks/glowing_mars_roots northstar:glowing_mars_roots
northstar:blocks/glowing_venus_vines | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:shears northstar:blocks/glowing_venus_vines northstar:glowing_venus_vines
northstar:blocks/glowstone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/glowstone_lamp northstar:glowstone_lamp
northstar:blocks/glowstone_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/glowstone_lantern northstar:glowstone_lantern
northstar:blocks/glowstone_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/glowstone_torch northstar:glowstone_torch
northstar:blocks/glowstone_torch_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/glowstone_torch_wall northstar:glowstone_torch
northstar:blocks/ice_box | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/ice_box northstar:ice_box
northstar:blocks/icicle | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/icicle northstar:icicle
northstar:blocks/insulated_vent | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/insulated_vent northstar:vent
northstar:blocks/interplanetary_navigator | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion northstar:blocks/interplanetary_navigator northstar:interplanetary_navigator
northstar:blocks/iron_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/iron_cogwheel northstar:iron_cogwheel
northstar:blocks/iron_large_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/iron_large_cogwheel northstar:iron_large_cogwheel
northstar:blocks/jet_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/jet_engine northstar:jet_engine
northstar:blocks/large_fan | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/large_fan northstar:large_fan
northstar:blocks/large_lunar_sapphire_bud | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/large_lunar_sapphire_bud northstar:large_lunar_sapphire_bud
northstar:blocks/lunar_sapphire_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/lunar_sapphire_block northstar:lunar_sapphire_block
northstar:blocks/lunar_sapphire_cluster | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/lunar_sapphire_cluster northstar:lunar_sapphire_cluster
northstar:blocks/lunar_sapphire_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/lunar_sapphire_crystal northstar:lunar_sapphire_crystal
northstar:blocks/mars_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mars_copper_ore northstar:mars_copper_ore
northstar:blocks/mars_deep_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mars_deep_copper_ore northstar:mars_deep_copper_ore
northstar:blocks/mars_deep_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_deep_diamond_ore northstar:mars_deep_diamond_ore
northstar:blocks/mars_deep_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/mars_deep_gold_ore northstar:mars_deep_gold_ore
northstar:blocks/mars_deep_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_deep_iron_ore northstar:mars_deep_iron_ore northstar:raw_martian_iron_ore
northstar:blocks/mars_deep_quartz_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:quartz minecraft:silk_touch northstar:blocks/mars_deep_quartz_ore northstar:mars_deep_quartz_ore
northstar:blocks/mars_deep_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/mars_deep_redstone_ore northstar:mars_deep_redstone_ore
northstar:blocks/mars_deep_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_deep_stone northstar:mars_deep_stone
northstar:blocks/mars_deep_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_deep_titanium_ore northstar:mars_deep_titanium_ore northstar:raw_titanium_ore
northstar:blocks/mars_deep_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_deep_zinc_ore northstar:mars_deep_zinc_ore
northstar:blocks/mars_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_diamond_ore northstar:mars_diamond_ore
northstar:blocks/mars_farmland | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_farmland northstar:mars_soil
northstar:blocks/mars_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/mars_gold_ore northstar:mars_gold_ore
northstar:blocks/mars_gravel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_gravel northstar:mars_gravel
northstar:blocks/mars_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_iron_ore northstar:mars_iron_ore northstar:raw_martian_iron_ore
northstar:blocks/mars_palm | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item northstar:blocks/mars_palm northstar:mars_palm northstar:mars_palm_flower northstar:mars_palm_seeds
northstar:blocks/mars_quartz_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:quartz minecraft:silk_touch northstar:blocks/mars_quartz_ore northstar:mars_quartz_ore
northstar:blocks/mars_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/mars_redstone_ore northstar:mars_redstone_ore
northstar:blocks/mars_roots | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears northstar:blocks/mars_roots northstar:mars_roots
northstar:blocks/mars_sand | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_sand northstar:mars_sand
northstar:blocks/mars_soil | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_soil northstar:mars_soil
northstar:blocks/mars_sprout | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item northstar:blocks/mars_sprout northstar:mars_sprout northstar:mars_sprout_flower northstar:mars_sprout_seeds
northstar:blocks/mars_sprout_big | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion northstar:blocks/mars_sprout_big northstar:mars_sprout_big
northstar:blocks/mars_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone northstar:mars_stone
northstar:blocks/mars_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/mars_stone_brick_slab northstar:mars_stone_brick_slab
northstar:blocks/mars_stone_brick_slab_vertical | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_brick_slab_vertical northstar:mars_stone_brick_slab_vertical
northstar:blocks/mars_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_brick_stairs northstar:mars_stone_brick_stairs
northstar:blocks/mars_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_brick_wall northstar:mars_stone_brick_wall
northstar:blocks/mars_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_bricks northstar:mars_stone_bricks
northstar:blocks/mars_stone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_lamp northstar:mars_stone_lamp
northstar:blocks/mars_stone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mars_stone_pillar northstar:mars_stone_pillar
northstar:blocks/mars_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_titanium_ore northstar:mars_titanium_ore northstar:raw_titanium_ore
northstar:blocks/mars_tulip | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item northstar:blocks/mars_tulip northstar:mars_tulip northstar:mars_tulip_flower northstar:mars_tulip_seeds
northstar:blocks/mars_worm_nest | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/mars_worm_nest northstar:mars_worm_nest
northstar:blocks/mars_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mars_zinc_ore northstar:mars_zinc_ore
northstar:blocks/martian_grass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_grass northstar:martian_grass
northstar:blocks/martian_steel_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_block northstar:martian_steel_block
northstar:blocks/martian_steel_blue_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_blue_lamp northstar:martian_steel_blue_lamp
northstar:blocks/martian_steel_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_grate northstar:martian_steel_grate
northstar:blocks/martian_steel_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_lamp northstar:martian_steel_lamp
northstar:blocks/martian_steel_large_plating | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_large_plating northstar:martian_steel_large_plating
northstar:blocks/martian_steel_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_pillar northstar:martian_steel_pillar
northstar:blocks/martian_steel_plating | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_plating northstar:martian_steel_plating
northstar:blocks/martian_steel_plating_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/martian_steel_plating_slab northstar:martian_steel_plating_slab
northstar:blocks/martian_steel_plating_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_plating_stairs northstar:martian_steel_plating_stairs
northstar:blocks/martian_steel_plating_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/martian_steel_plating_vertical_slab northstar:martian_steel_plating_vertical_slab
northstar:blocks/martian_steel_sheetmetal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/martian_steel_sheetmetal northstar:martian_steel_sheetmetal
northstar:blocks/martian_steel_sheetmetal_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/martian_steel_sheetmetal_slab northstar:martian_steel_sheetmetal_slab
northstar:blocks/martian_steel_sheetmetal_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/martian_steel_sheetmetal_vertical_slab northstar:martian_steel_sheetmetal_vertical_slab
northstar:blocks/martian_strawberry_bush | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/martian_strawberry_bush northstar:martian_strawberry northstar:martian_strawberry_bush
northstar:blocks/martian_tall_grass | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:shears northstar:blocks/martian_tall_grass northstar:martian_tall_grass
northstar:blocks/medium_lunar_sapphire_bud | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/medium_lunar_sapphire_bud northstar:medium_lunar_sapphire_bud
northstar:blocks/mercury_cactus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_cactus northstar:mercury_cactus
northstar:blocks/mercury_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mercury_copper_ore northstar:mercury_copper_ore
northstar:blocks/mercury_deep_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mercury_deep_copper_ore northstar:mercury_deep_copper_ore
northstar:blocks/mercury_deep_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_deep_diamond_ore northstar:mercury_deep_diamond_ore
northstar:blocks/mercury_deep_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_deep_glowstone_ore northstar:mercury_deep_glowstone_ore northstar:raw_glowstone_ore
northstar:blocks/mercury_deep_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/mercury_deep_gold_ore northstar:mercury_deep_gold_ore
northstar:blocks/mercury_deep_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/mercury_deep_iron_ore northstar:mercury_deep_iron_ore
northstar:blocks/mercury_deep_lapis_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mercury_deep_lapis_ore northstar:mercury_deep_lapis_ore
northstar:blocks/mercury_deep_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/mercury_deep_redstone_ore northstar:mercury_deep_redstone_ore
northstar:blocks/mercury_deep_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_deep_stone northstar:mercury_deep_stone
northstar:blocks/mercury_deep_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_deep_titanium_ore northstar:mercury_deep_titanium_ore northstar:raw_titanium_ore
northstar:blocks/mercury_deep_tungsten_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_deep_tungsten_ore northstar:mercury_deep_tungsten_ore northstar:raw_tungsten_ore
northstar:blocks/mercury_deep_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_deep_zinc_ore northstar:mercury_deep_zinc_ore
northstar:blocks/mercury_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_diamond_ore northstar:mercury_diamond_ore
northstar:blocks/mercury_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_glowstone_ore northstar:mercury_glowstone_ore northstar:raw_glowstone_ore
northstar:blocks/mercury_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/mercury_gold_ore northstar:mercury_gold_ore
northstar:blocks/mercury_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/mercury_iron_ore northstar:mercury_iron_ore
northstar:blocks/mercury_lapis_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/mercury_lapis_ore northstar:mercury_lapis_ore
northstar:blocks/mercury_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/mercury_redstone_ore northstar:mercury_redstone_ore
northstar:blocks/mercury_shelf_fungus | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/mercury_shelf_fungus northstar:mercury_shelf_fungus
northstar:blocks/mercury_shelf_fungus_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_shelf_fungus_block northstar:mercury_shelf_fungus_block
northstar:blocks/mercury_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone northstar:mercury_stone
northstar:blocks/mercury_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/mercury_stone_brick_slab northstar:mercury_stone_brick_slab
northstar:blocks/mercury_stone_brick_slab_vertical | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_brick_slab_vertical northstar:mercury_stone_brick_slab_vertical
northstar:blocks/mercury_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_brick_stairs northstar:mercury_stone_brick_stairs
northstar:blocks/mercury_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_brick_wall northstar:mercury_stone_brick_wall
northstar:blocks/mercury_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_bricks northstar:mercury_stone_bricks
