expandeddelight:blocks/asparagus_crate | minecraft:block | expandeddelight:asparagus_crate expandeddelight:blocks/asparagus_crate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/salt_ore | minecraft:block | expandeddelight:blocks/salt_ore expandeddelight:salt_ore expandeddelight:salt_rock minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
expandeddelight:blocks/stripped_cinnamon_log | minecraft:block | expandeddelight:blocks/stripped_cinnamon_log expandeddelight:stripped_cinnamon_log minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/stripped_cinnamon_wood | minecraft:block | expandeddelight:blocks/stripped_cinnamon_wood expandeddelight:stripped_cinnamon_wood minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/sweet_potato_crate | minecraft:block | expandeddelight:blocks/sweet_potato_crate expandeddelight:sweet_potato_crate minecraft:block minecraft:item minecraft:survives_explosion
expandeddelight:blocks/sweet_potato_crop | minecraft:block | expandeddelight:sweet_potato expandeddelight:sweet_potato_crop minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
expandeddelight:blocks/wild_asparagus | minecraft:block | expandeddelight:asparagus expandeddelight:wild_asparagus minecraft:alternatives minecraft:any_of minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:uniform_bonus_count neoforge:can_item_perform_ability
expandeddelight:blocks/wild_chili_pepper | minecraft:block | expandeddelight:chili_pepper expandeddelight:wild_chili_pepper minecraft:alternatives minecraft:any_of minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:uniform_bonus_count neoforge:can_item_perform_ability
expandeddelight:blocks/wild_peanuts | minecraft:block | expandeddelight:peanut expandeddelight:wild_peanuts minecraft:alternatives minecraft:any_of minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:uniform_bonus_count neoforge:can_item_perform_ability
expandeddelight:blocks/wild_sweet_potato | minecraft:block | expandeddelight:sweet_potato expandeddelight:wild_sweet_potato minecraft:alternatives minecraft:any_of minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:uniform_bonus_count neoforge:can_item_perform_ability
expandeddelight:chests/village_desert_house | ? | expandeddelight:asparagus_seeds expandeddelight:peanut minecraft:item minecraft:set_count minecraft:uniform
expandeddelight:chests/village_plains_house | ? | expandeddelight:asparagus expandeddelight:chili_pepper_seeds minecraft:item minecraft:set_count minecraft:uniform
expandeddelight:chests/village_savanna_house | ? | expandeddelight:asparagus expandeddelight:sweet_potato minecraft:item minecraft:set_count minecraft:uniform
expandeddelight:chests/village_snowy_house | ? | expandeddelight:chili_pepper_seeds expandeddelight:sweet_potato minecraft:item minecraft:set_count minecraft:uniform
expandeddelight:chests/village_taiga_house | ? | expandeddelight:asparagus_seeds expandeddelight:chili_pepper minecraft:item minecraft:set_count minecraft:uniform
