mcwstairs:blocks/acacia_bulk_stairs | minecraft:block | mcwstairs:acacia_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/cherry_compact_stairs | minecraft:block | mcwstairs:cherry_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/cherry_loft_stairs | minecraft:block | mcwstairs:cherry_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/cherry_platform | minecraft:block | mcwstairs:cherry_platform minecraft:block minecraft:item
mcwstairs:blocks/cherry_railing | minecraft:block | mcwstairs:cherry_railing minecraft:block minecraft:item
mcwstairs:blocks/cherry_skyline_stairs | minecraft:block | mcwstairs:cherry_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/cherry_terrace_stairs | minecraft:block | mcwstairs:cherry_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_bulk_stairs | minecraft:block | mcwstairs:cobbled_deepslate_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_compact_stairs | minecraft:block | mcwstairs:cobbled_deepslate_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_loft_stairs | minecraft:block | mcwstairs:cobbled_deepslate_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_platform | minecraft:block | mcwstairs:cobbled_deepslate_platform minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_railing | minecraft:block | mcwstairs:cobbled_deepslate_railing minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_skyline_stairs | minecraft:block | mcwstairs:cobbled_deepslate_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobbled_deepslate_terrace_stairs | minecraft:block | mcwstairs:cobbled_deepslate_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_bulk_stairs | minecraft:block | mcwstairs:cobblestone_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_compact_stairs | minecraft:block | mcwstairs:cobblestone_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_loft_stairs | minecraft:block | mcwstairs:cobblestone_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_platform | minecraft:block | mcwstairs:cobblestone_platform minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_railing | minecraft:block | mcwstairs:cobblestone_railing minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_skyline_stairs | minecraft:block | mcwstairs:cobblestone_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/cobblestone_terrace_stairs | minecraft:block | mcwstairs:cobblestone_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/crimson_bulk_stairs | minecraft:block | mcwstairs:crimson_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/crimson_compact_stairs | minecraft:block | mcwstairs:crimson_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/crimson_loft_stairs | minecraft:block | mcwstairs:crimson_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/crimson_platform | minecraft:block | mcwstairs:crimson_platform minecraft:block minecraft:item
mcwstairs:blocks/crimson_railing | minecraft:block | mcwstairs:crimson_railing minecraft:block minecraft:item
mcwstairs:blocks/crimson_skyline_stairs | minecraft:block | mcwstairs:crimson_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/crimson_terrace_stairs | minecraft:block | mcwstairs:crimson_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_bulk_stairs | minecraft:block | mcwstairs:dark_oak_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_compact_stairs | minecraft:block | mcwstairs:dark_oak_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_loft_stairs | minecraft:block | mcwstairs:dark_oak_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_platform | minecraft:block | mcwstairs:dark_oak_platform minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_railing | minecraft:block | mcwstairs:dark_oak_railing minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_skyline_stairs | minecraft:block | mcwstairs:dark_oak_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/dark_oak_terrace_stairs | minecraft:block | mcwstairs:dark_oak_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_bulk_stairs | minecraft:block | mcwstairs:deepslate_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_compact_stairs | minecraft:block | mcwstairs:deepslate_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_loft_stairs | minecraft:block | mcwstairs:deepslate_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_platform | minecraft:block | mcwstairs:deepslate_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_railing | minecraft:block | mcwstairs:deepslate_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_skyline_stairs | minecraft:block | mcwstairs:deepslate_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/deepslate_brick_terrace_stairs | minecraft:block | mcwstairs:deepslate_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/diorite_bulk_stairs | minecraft:block | mcwstairs:diorite_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/diorite_compact_stairs | minecraft:block | mcwstairs:diorite_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/diorite_loft_stairs | minecraft:block | mcwstairs:diorite_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/diorite_platform | minecraft:block | mcwstairs:diorite_platform minecraft:block minecraft:item
mcwstairs:blocks/diorite_railing | minecraft:block | mcwstairs:diorite_railing minecraft:block minecraft:item
mcwstairs:blocks/diorite_skyline_stairs | minecraft:block | mcwstairs:diorite_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/diorite_terrace_stairs | minecraft:block | mcwstairs:diorite_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/granite_bulk_stairs | minecraft:block | mcwstairs:granite_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/granite_compact_stairs | minecraft:block | mcwstairs:granite_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/granite_loft_stairs | minecraft:block | mcwstairs:granite_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/granite_platform | minecraft:block | mcwstairs:granite_platform minecraft:block minecraft:item
mcwstairs:blocks/granite_railing | minecraft:block | mcwstairs:granite_railing minecraft:block minecraft:item
mcwstairs:blocks/granite_skyline_stairs | minecraft:block | mcwstairs:granite_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/granite_terrace_stairs | minecraft:block | mcwstairs:granite_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/jungle_bulk_stairs | minecraft:block | mcwstairs:jungle_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/jungle_compact_stairs | minecraft:block | mcwstairs:jungle_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/jungle_loft_stairs | minecraft:block | mcwstairs:jungle_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/jungle_platform | minecraft:block | mcwstairs:jungle_platform minecraft:block minecraft:item
mcwstairs:blocks/jungle_railing | minecraft:block | mcwstairs:jungle_railing minecraft:block minecraft:item
mcwstairs:blocks/jungle_skyline_stairs | minecraft:block | mcwstairs:jungle_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/jungle_terrace_stairs | minecraft:block | mcwstairs:jungle_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/mangrove_bulk_stairs | minecraft:block | mcwstairs:mangrove_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/mangrove_compact_stairs | minecraft:block | mcwstairs:mangrove_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/mangrove_loft_stairs | minecraft:block | mcwstairs:mangrove_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/mangrove_platform | minecraft:block | mcwstairs:mangrove_platform minecraft:block minecraft:item
mcwstairs:blocks/mangrove_railing | minecraft:block | mcwstairs:mangrove_railing minecraft:block minecraft:item
mcwstairs:blocks/mangrove_skyline_stairs | minecraft:block | mcwstairs:mangrove_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/mangrove_terrace_stairs | minecraft:block | mcwstairs:mangrove_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_bulk_stairs | minecraft:block | mcwstairs:mossy_cobblestone_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_compact_stairs | minecraft:block | mcwstairs:mossy_cobblestone_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_loft_stairs | minecraft:block | mcwstairs:mossy_cobblestone_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_platform | minecraft:block | mcwstairs:mossy_cobblestone_platform minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_railing | minecraft:block | mcwstairs:mossy_cobblestone_railing minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_skyline_stairs | minecraft:block | mcwstairs:mossy_cobblestone_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_cobblestone_terrace_stairs | minecraft:block | mcwstairs:mossy_cobblestone_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_bulk_stairs | minecraft:block | mcwstairs:mossy_stone_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_compact_stairs | minecraft:block | mcwstairs:mossy_stone_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_loft_stairs | minecraft:block | mcwstairs:mossy_stone_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_platform | minecraft:block | mcwstairs:mossy_stone_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_railing | minecraft:block | mcwstairs:mossy_stone_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_skyline_stairs | minecraft:block | mcwstairs:mossy_stone_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/mossy_stone_brick_terrace_stairs | minecraft:block | mcwstairs:mossy_stone_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_bulk_stairs | minecraft:block | mcwstairs:mud_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_compact_stairs | minecraft:block | mcwstairs:mud_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_loft_stairs | minecraft:block | mcwstairs:mud_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_platform | minecraft:block | mcwstairs:mud_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_railing | minecraft:block | mcwstairs:mud_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_skyline_stairs | minecraft:block | mcwstairs:mud_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/mud_brick_terrace_stairs | minecraft:block | mcwstairs:mud_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_bulk_stairs | minecraft:block | mcwstairs:nether_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_compact_stairs | minecraft:block | mcwstairs:nether_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_loft_stairs | minecraft:block | mcwstairs:nether_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_platform | minecraft:block | mcwstairs:nether_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_railing | minecraft:block | mcwstairs:nether_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_skyline_stairs | minecraft:block | mcwstairs:nether_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/nether_brick_terrace_stairs | minecraft:block | mcwstairs:nether_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/oak_bulk_stairs | minecraft:block | mcwstairs:oak_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/oak_compact_stairs | minecraft:block | mcwstairs:oak_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/oak_loft_stairs | minecraft:block | mcwstairs:oak_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/oak_platform | minecraft:block | mcwstairs:oak_platform minecraft:block minecraft:item
mcwstairs:blocks/oak_railing | minecraft:block | mcwstairs:oak_railing minecraft:block minecraft:item
mcwstairs:blocks/oak_skyline_stairs | minecraft:block | mcwstairs:oak_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/oak_terrace_stairs | minecraft:block | mcwstairs:oak_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/prismarine_bulk_stairs | minecraft:block | mcwstairs:prismarine_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/prismarine_compact_stairs | minecraft:block | mcwstairs:prismarine_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/prismarine_loft_stairs | minecraft:block | mcwstairs:prismarine_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/prismarine_platform | minecraft:block | mcwstairs:prismarine_platform minecraft:block minecraft:item
mcwstairs:blocks/prismarine_railing | minecraft:block | mcwstairs:prismarine_railing minecraft:block minecraft:item
mcwstairs:blocks/prismarine_skyline_stairs | minecraft:block | mcwstairs:prismarine_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/prismarine_terrace_stairs | minecraft:block | mcwstairs:prismarine_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/quartz_bulk_stairs | minecraft:block | mcwstairs:quartz_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/quartz_compact_stairs | minecraft:block | mcwstairs:quartz_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/quartz_loft_stairs | minecraft:block | mcwstairs:quartz_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/quartz_platform | minecraft:block | mcwstairs:quartz_platform minecraft:block minecraft:item
mcwstairs:blocks/quartz_railing | minecraft:block | mcwstairs:quartz_railing minecraft:block minecraft:item
mcwstairs:blocks/quartz_skyline_stairs | minecraft:block | mcwstairs:quartz_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/quartz_terrace_stairs | minecraft:block | mcwstairs:quartz_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_bulk_stairs | minecraft:block | mcwstairs:red_nether_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_compact_stairs | minecraft:block | mcwstairs:red_nether_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_loft_stairs | minecraft:block | mcwstairs:red_nether_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_platform | minecraft:block | mcwstairs:red_nether_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_railing | minecraft:block | mcwstairs:red_nether_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_skyline_stairs | minecraft:block | mcwstairs:red_nether_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_nether_brick_terrace_stairs | minecraft:block | mcwstairs:red_nether_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_bulk_stairs | minecraft:block | mcwstairs:red_sandstone_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_compact_stairs | minecraft:block | mcwstairs:red_sandstone_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_loft_stairs | minecraft:block | mcwstairs:red_sandstone_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_platform | minecraft:block | mcwstairs:red_sandstone_platform minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_railing | minecraft:block | mcwstairs:red_sandstone_railing minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_skyline_stairs | minecraft:block | mcwstairs:red_sandstone_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/red_sandstone_terrace_stairs | minecraft:block | mcwstairs:red_sandstone_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/sandstone_bulk_stairs | minecraft:block | mcwstairs:sandstone_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/sandstone_compact_stairs | minecraft:block | mcwstairs:sandstone_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/sandstone_loft_stairs | minecraft:block | mcwstairs:sandstone_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/sandstone_platform | minecraft:block | mcwstairs:sandstone_platform minecraft:block minecraft:item
mcwstairs:blocks/sandstone_railing | minecraft:block | mcwstairs:sandstone_railing minecraft:block minecraft:item
mcwstairs:blocks/sandstone_skyline_stairs | minecraft:block | mcwstairs:sandstone_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/sandstone_terrace_stairs | minecraft:block | mcwstairs:sandstone_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/spruce_bulk_stairs | minecraft:block | mcwstairs:spruce_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/spruce_compact_stairs | minecraft:block | mcwstairs:spruce_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/spruce_loft_stairs | minecraft:block | mcwstairs:spruce_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/spruce_platform | minecraft:block | mcwstairs:spruce_platform minecraft:block minecraft:item
mcwstairs:blocks/spruce_railing | minecraft:block | mcwstairs:spruce_railing minecraft:block minecraft:item
mcwstairs:blocks/spruce_skyline_stairs | minecraft:block | mcwstairs:spruce_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/spruce_terrace_stairs | minecraft:block | mcwstairs:spruce_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_bulk_stairs | minecraft:block | mcwstairs:stone_brick_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_compact_stairs | minecraft:block | mcwstairs:stone_brick_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_loft_stairs | minecraft:block | mcwstairs:stone_brick_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_platform | minecraft:block | mcwstairs:stone_brick_platform minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_railing | minecraft:block | mcwstairs:stone_brick_railing minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_skyline_stairs | minecraft:block | mcwstairs:stone_brick_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/stone_brick_terrace_stairs | minecraft:block | mcwstairs:stone_brick_terrace_stairs minecraft:block minecraft:item
mcwstairs:blocks/warped_bulk_stairs | minecraft:block | mcwstairs:warped_bulk_stairs minecraft:block minecraft:item
mcwstairs:blocks/warped_compact_stairs | minecraft:block | mcwstairs:warped_compact_stairs minecraft:block minecraft:item
mcwstairs:blocks/warped_loft_stairs | minecraft:block | mcwstairs:warped_loft_stairs minecraft:block minecraft:item
mcwstairs:blocks/warped_platform | minecraft:block | mcwstairs:warped_platform minecraft:block minecraft:item
mcwstairs:blocks/warped_railing | minecraft:block | mcwstairs:warped_railing minecraft:block minecraft:item
mcwstairs:blocks/warped_skyline_stairs | minecraft:block | mcwstairs:warped_skyline_stairs minecraft:block minecraft:item
mcwstairs:blocks/warped_terrace_stairs | minecraft:block | mcwstairs:warped_terrace_stairs minecraft:block minecraft:item
