mcwroofs:blocks/acacia_attic_roof | minecraft:block | mcwroofs:acacia_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_lower_roof | minecraft:block | mcwroofs:bamboo_mosaic_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_roof | minecraft:block | mcwroofs:bamboo_mosaic_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_steep_roof | minecraft:block | mcwroofs:bamboo_mosaic_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_top_roof | minecraft:block | mcwroofs:bamboo_mosaic_top_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_upper_lower_roof | minecraft:block | mcwroofs:bamboo_mosaic_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_mosaic_upper_steep_roof | minecraft:block | mcwroofs:bamboo_mosaic_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_attic_roof | minecraft:block | mcwroofs:bamboo_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_lower_roof | minecraft:block | mcwroofs:bamboo_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_roof | minecraft:block | mcwroofs:bamboo_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_steep_roof | minecraft:block | mcwroofs:bamboo_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_top_roof | minecraft:block | mcwroofs:bamboo_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_upper_lower_roof | minecraft:block | mcwroofs:bamboo_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_planks_upper_steep_roof | minecraft:block | mcwroofs:bamboo_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_roof | minecraft:block | mcwroofs:bamboo_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_steep_roof | minecraft:block | mcwroofs:bamboo_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_top_roof | minecraft:block | mcwroofs:bamboo_top_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_upper_lower_roof | minecraft:block | mcwroofs:bamboo_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bamboo_upper_steep_roof | minecraft:block | mcwroofs:bamboo_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/base_attic_roof | minecraft:block | mcwroofs:base_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/base_lower_roof | minecraft:block | mcwroofs:base_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/base_roof | minecraft:block | mcwroofs:base_roof minecraft:block minecraft:item
mcwroofs:blocks/base_roof_block | minecraft:block | mcwroofs:base_roof_block minecraft:block minecraft:item
mcwroofs:blocks/base_roof_slab | minecraft:block | mcwroofs:base_roof_slab minecraft:block minecraft:item
mcwroofs:blocks/base_steep_roof | minecraft:block | mcwroofs:base_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/base_top_roof | minecraft:block | mcwroofs:base_top_roof minecraft:block minecraft:item
mcwroofs:blocks/base_upper_lower_roof | minecraft:block | mcwroofs:base_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/base_upper_steep_roof | minecraft:block | mcwroofs:base_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_attic_roof | minecraft:block | mcwroofs:birch_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_lower_roof | minecraft:block | mcwroofs:birch_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_attic_roof | minecraft:block | mcwroofs:birch_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_lower_roof | minecraft:block | mcwroofs:birch_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_roof | minecraft:block | mcwroofs:birch_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_steep_roof | minecraft:block | mcwroofs:birch_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_top_roof | minecraft:block | mcwroofs:birch_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_upper_lower_roof | minecraft:block | mcwroofs:birch_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_planks_upper_steep_roof | minecraft:block | mcwroofs:birch_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_roof | minecraft:block | mcwroofs:birch_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_steep_roof | minecraft:block | mcwroofs:birch_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_top_roof | minecraft:block | mcwroofs:birch_top_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_upper_lower_roof | minecraft:block | mcwroofs:birch_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/birch_upper_steep_roof | minecraft:block | mcwroofs:birch_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_attic_roof | minecraft:block | mcwroofs:black_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_attic_roof | minecraft:block | mcwroofs:black_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_lower_roof | minecraft:block | mcwroofs:black_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_roof | minecraft:block | mcwroofs:black_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_steep_roof | minecraft:block | mcwroofs:black_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_top_roof | minecraft:block | mcwroofs:black_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_upper_lower_roof | minecraft:block | mcwroofs:black_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_concrete_upper_steep_roof | minecraft:block | mcwroofs:black_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_lower_roof | minecraft:block | mcwroofs:black_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_roof | minecraft:block | mcwroofs:black_roof minecraft:block minecraft:item
mcwroofs:blocks/black_roof_block | minecraft:block | mcwroofs:black_roof_block minecraft:block minecraft:item
mcwroofs:blocks/black_roof_slab | minecraft:block | mcwroofs:black_roof_slab minecraft:block minecraft:item
mcwroofs:blocks/black_steep_roof | minecraft:block | mcwroofs:black_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_striped_awning | minecraft:block | mcwroofs:black_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_attic_roof | minecraft:block | mcwroofs:black_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_lower_roof | minecraft:block | mcwroofs:black_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_roof | minecraft:block | mcwroofs:black_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_steep_roof | minecraft:block | mcwroofs:black_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_top_roof | minecraft:block | mcwroofs:black_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_upper_lower_roof | minecraft:block | mcwroofs:black_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_terracotta_upper_steep_roof | minecraft:block | mcwroofs:black_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/black_top_roof | minecraft:block | mcwroofs:black_top_roof minecraft:block minecraft:item
mcwroofs:blocks/black_upper_lower_roof | minecraft:block | mcwroofs:black_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/black_upper_steep_roof | minecraft:block | mcwroofs:black_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_attic_roof | minecraft:block | mcwroofs:blackstone_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_lower_roof | minecraft:block | mcwroofs:blackstone_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_roof | minecraft:block | mcwroofs:blackstone_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_steep_roof | minecraft:block | mcwroofs:blackstone_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_top_roof | minecraft:block | mcwroofs:blackstone_top_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_upper_lower_roof | minecraft:block | mcwroofs:blackstone_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blackstone_upper_steep_roof | minecraft:block | mcwroofs:blackstone_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_attic_roof | minecraft:block | mcwroofs:blue_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_lower_roof | minecraft:block | mcwroofs:blue_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_roof | minecraft:block | mcwroofs:blue_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_steep_roof | minecraft:block | mcwroofs:blue_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_top_roof | minecraft:block | mcwroofs:blue_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_upper_lower_roof | minecraft:block | mcwroofs:blue_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_concrete_upper_steep_roof | minecraft:block | mcwroofs:blue_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_striped_awning | minecraft:block | mcwroofs:blue_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_attic_roof | minecraft:block | mcwroofs:blue_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_lower_roof | minecraft:block | mcwroofs:blue_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_roof | minecraft:block | mcwroofs:blue_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_steep_roof | minecraft:block | mcwroofs:blue_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_top_roof | minecraft:block | mcwroofs:blue_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_upper_lower_roof | minecraft:block | mcwroofs:blue_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/blue_terracotta_upper_steep_roof | minecraft:block | mcwroofs:blue_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_attic_roof | minecraft:block | mcwroofs:bricks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_lower_roof | minecraft:block | mcwroofs:bricks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_roof | minecraft:block | mcwroofs:bricks_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_steep_roof | minecraft:block | mcwroofs:bricks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_top_roof | minecraft:block | mcwroofs:bricks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_upper_lower_roof | minecraft:block | mcwroofs:bricks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/bricks_upper_steep_roof | minecraft:block | mcwroofs:bricks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_attic_roof | minecraft:block | mcwroofs:brown_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_lower_roof | minecraft:block | mcwroofs:brown_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_roof | minecraft:block | mcwroofs:brown_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_steep_roof | minecraft:block | mcwroofs:brown_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_top_roof | minecraft:block | mcwroofs:brown_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_upper_lower_roof | minecraft:block | mcwroofs:brown_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_concrete_upper_steep_roof | minecraft:block | mcwroofs:brown_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_striped_awning | minecraft:block | mcwroofs:brown_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_attic_roof | minecraft:block | mcwroofs:brown_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_lower_roof | minecraft:block | mcwroofs:brown_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_roof | minecraft:block | mcwroofs:brown_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_steep_roof | minecraft:block | mcwroofs:brown_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_top_roof | minecraft:block | mcwroofs:brown_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_upper_lower_roof | minecraft:block | mcwroofs:brown_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/brown_terracotta_upper_steep_roof | minecraft:block | mcwroofs:brown_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_attic_roof | minecraft:block | mcwroofs:cherry_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_lower_roof | minecraft:block | mcwroofs:cherry_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_attic_roof | minecraft:block | mcwroofs:cherry_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_lower_roof | minecraft:block | mcwroofs:cherry_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_roof | minecraft:block | mcwroofs:cherry_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_steep_roof | minecraft:block | mcwroofs:cherry_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_top_roof | minecraft:block | mcwroofs:cherry_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_upper_lower_roof | minecraft:block | mcwroofs:cherry_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_planks_upper_steep_roof | minecraft:block | mcwroofs:cherry_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_roof | minecraft:block | mcwroofs:cherry_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_steep_roof | minecraft:block | mcwroofs:cherry_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_top_roof | minecraft:block | mcwroofs:cherry_top_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_upper_lower_roof | minecraft:block | mcwroofs:cherry_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cherry_upper_steep_roof | minecraft:block | mcwroofs:cherry_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_attic_roof | minecraft:block | mcwroofs:cobblestone_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_lower_roof | minecraft:block | mcwroofs:cobblestone_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_roof | minecraft:block | mcwroofs:cobblestone_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_steep_roof | minecraft:block | mcwroofs:cobblestone_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_top_roof | minecraft:block | mcwroofs:cobblestone_top_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_upper_lower_roof | minecraft:block | mcwroofs:cobblestone_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cobblestone_upper_steep_roof | minecraft:block | mcwroofs:cobblestone_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_attic_roof | minecraft:block | mcwroofs:crimson_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_lower_roof | minecraft:block | mcwroofs:crimson_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_attic_roof | minecraft:block | mcwroofs:crimson_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_lower_roof | minecraft:block | mcwroofs:crimson_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_roof | minecraft:block | mcwroofs:crimson_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_steep_roof | minecraft:block | mcwroofs:crimson_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_top_roof | minecraft:block | mcwroofs:crimson_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_upper_lower_roof | minecraft:block | mcwroofs:crimson_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_planks_upper_steep_roof | minecraft:block | mcwroofs:crimson_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_roof | minecraft:block | mcwroofs:crimson_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_steep_roof | minecraft:block | mcwroofs:crimson_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_top_roof | minecraft:block | mcwroofs:crimson_top_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_upper_lower_roof | minecraft:block | mcwroofs:crimson_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/crimson_upper_steep_roof | minecraft:block | mcwroofs:crimson_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_attic_roof | minecraft:block | mcwroofs:cyan_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_lower_roof | minecraft:block | mcwroofs:cyan_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_roof | minecraft:block | mcwroofs:cyan_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_steep_roof | minecraft:block | mcwroofs:cyan_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_top_roof | minecraft:block | mcwroofs:cyan_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_upper_lower_roof | minecraft:block | mcwroofs:cyan_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_concrete_upper_steep_roof | minecraft:block | mcwroofs:cyan_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_striped_awning | minecraft:block | mcwroofs:cyan_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_attic_roof | minecraft:block | mcwroofs:cyan_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_lower_roof | minecraft:block | mcwroofs:cyan_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_roof | minecraft:block | mcwroofs:cyan_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_steep_roof | minecraft:block | mcwroofs:cyan_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_top_roof | minecraft:block | mcwroofs:cyan_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_upper_lower_roof | minecraft:block | mcwroofs:cyan_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/cyan_terracotta_upper_steep_roof | minecraft:block | mcwroofs:cyan_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_attic_roof | minecraft:block | mcwroofs:dark_oak_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_lower_roof | minecraft:block | mcwroofs:dark_oak_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_attic_roof | minecraft:block | mcwroofs:dark_oak_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_lower_roof | minecraft:block | mcwroofs:dark_oak_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_roof | minecraft:block | mcwroofs:dark_oak_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_steep_roof | minecraft:block | mcwroofs:dark_oak_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_top_roof | minecraft:block | mcwroofs:dark_oak_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_upper_lower_roof | minecraft:block | mcwroofs:dark_oak_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_planks_upper_steep_roof | minecraft:block | mcwroofs:dark_oak_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_roof | minecraft:block | mcwroofs:dark_oak_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_steep_roof | minecraft:block | mcwroofs:dark_oak_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_top_roof | minecraft:block | mcwroofs:dark_oak_top_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_upper_lower_roof | minecraft:block | mcwroofs:dark_oak_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_oak_upper_steep_roof | minecraft:block | mcwroofs:dark_oak_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_attic_roof | minecraft:block | mcwroofs:dark_prismarine_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_lower_roof | minecraft:block | mcwroofs:dark_prismarine_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_roof | minecraft:block | mcwroofs:dark_prismarine_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_steep_roof | minecraft:block | mcwroofs:dark_prismarine_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_top_roof | minecraft:block | mcwroofs:dark_prismarine_top_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_upper_lower_roof | minecraft:block | mcwroofs:dark_prismarine_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/dark_prismarine_upper_steep_roof | minecraft:block | mcwroofs:dark_prismarine_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_attic_roof | minecraft:block | mcwroofs:deepslate_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_lower_roof | minecraft:block | mcwroofs:deepslate_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_roof | minecraft:block | mcwroofs:deepslate_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_steep_roof | minecraft:block | mcwroofs:deepslate_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_top_roof | minecraft:block | mcwroofs:deepslate_top_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_upper_lower_roof | minecraft:block | mcwroofs:deepslate_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/deepslate_upper_steep_roof | minecraft:block | mcwroofs:deepslate_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_attic_roof | minecraft:block | mcwroofs:diorite_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_lower_roof | minecraft:block | mcwroofs:diorite_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_roof | minecraft:block | mcwroofs:diorite_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_steep_roof | minecraft:block | mcwroofs:diorite_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_top_roof | minecraft:block | mcwroofs:diorite_top_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_upper_lower_roof | minecraft:block | mcwroofs:diorite_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/diorite_upper_steep_roof | minecraft:block | mcwroofs:diorite_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_attic_roof | minecraft:block | mcwroofs:granite_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_lower_roof | minecraft:block | mcwroofs:granite_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_roof | minecraft:block | mcwroofs:granite_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_steep_roof | minecraft:block | mcwroofs:granite_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_top_roof | minecraft:block | mcwroofs:granite_top_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_upper_lower_roof | minecraft:block | mcwroofs:granite_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/granite_upper_steep_roof | minecraft:block | mcwroofs:granite_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_attic_roof | minecraft:block | mcwroofs:grass_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_lower_roof | minecraft:block | mcwroofs:grass_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_roof | minecraft:block | mcwroofs:grass_roof minecraft:block minecraft:item
