dtarsnouveau:blocks/bastion | minecraft:block | ars_nouveau:bastion_pod dtarsnouveau:bastion dtarsnouveau:blocks/bastion minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item
dtarsnouveau:trees/branches/stripped_blue_archwood | minecraft:block | ars_nouveau:stripped_blue_archwood_log dtarsnouveau:trees/branches/stripped_blue_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/stripped_green_archwood | minecraft:block | ars_nouveau:stripped_green_archwood_log dtarsnouveau:trees/branches/stripped_green_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/stripped_purple_archwood | minecraft:block | ars_nouveau:stripped_purple_archwood_log dtarsnouveau:trees/branches/stripped_purple_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/stripped_red_archwood | minecraft:block | ars_nouveau:stripped_red_archwood_log dtarsnouveau:trees/branches/stripped_red_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/stripped_yellow_archwood | minecraft:block | ars_elemental:stripped_yellow_archwood_log dtarsnouveau:trees/branches/stripped_yellow_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/branches/yellow_archwood | minecraft:block | ars_elemental:yellow_archwood_log dtarsnouveau:trees/branches/yellow_archwood dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick
dtarsnouveau:trees/leaves/blue_archwood | minecraft:block | dtarsnouveau:trees/leaves/blue_archwood dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/leaves/green_archwood | minecraft:block | dtarsnouveau:trees/leaves/green_archwood dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/leaves/purple_archwood | minecraft:block | dtarsnouveau:trees/leaves/purple_archwood dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/leaves/red_archwood | minecraft:block | dtarsnouveau:trees/leaves/red_archwood dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/leaves/yellow_archwood | minecraft:block | dtarsnouveau:trees/leaves/yellow_archwood dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtarsnouveau:trees/voluntary/blue_archwood | minecraft:block | dtarsnouveau:blue_archwood_seed dtarsnouveau:trees/voluntary/blue_archwood dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtarsnouveau:trees/voluntary/green_archwood | minecraft:block | dtarsnouveau:green_archwood_seed dtarsnouveau:trees/voluntary/green_archwood dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtarsnouveau:trees/voluntary/purple_archwood | minecraft:block | dtarsnouveau:purple_archwood_seed dtarsnouveau:trees/voluntary/purple_archwood dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtarsnouveau:trees/voluntary/red_archwood | minecraft:block | dtarsnouveau:red_archwood_seed dtarsnouveau:trees/voluntary/red_archwood dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtarsnouveau:trees/voluntary/yellow_archwood | minecraft:block | dtarsnouveau:trees/voluntary/yellow_archwood dtarsnouveau:yellow_archwood_seed dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
