mcwwindows:blocks/acacia_blinds | minecraft:block | mcwwindows:acacia_blinds minecraft:block minecraft:item
mcwwindows:blocks/cherry_log_parapet | minecraft:block | mcwwindows:cherry_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/cherry_louvered_shutter | minecraft:block | mcwwindows:cherry_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/cherry_pane_window | minecraft:block | mcwwindows:cherry_pane_window minecraft:block minecraft:item
mcwwindows:blocks/cherry_plank_four_window | minecraft:block | mcwwindows:cherry_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/cherry_plank_pane_window | minecraft:block | mcwwindows:cherry_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/cherry_plank_parapet | minecraft:block | mcwwindows:cherry_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/cherry_plank_window | minecraft:block | mcwwindows:cherry_plank_window minecraft:block minecraft:item
mcwwindows:blocks/cherry_plank_window2 | minecraft:block | mcwwindows:cherry_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/cherry_shutter | minecraft:block | mcwwindows:cherry_shutter minecraft:block minecraft:item
mcwwindows:blocks/cherry_window | minecraft:block | mcwwindows:cherry_window minecraft:block minecraft:item
mcwwindows:blocks/cherry_window2 | minecraft:block | mcwwindows:cherry_window2 minecraft:block minecraft:item
mcwwindows:blocks/cobblestone_arrow_slit | minecraft:block | mcwwindows:cobblestone_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/crimson_blinds | minecraft:block | mcwwindows:crimson_blinds minecraft:block minecraft:item
mcwwindows:blocks/crimson_curtain_rod | minecraft:block | mcwwindows:crimson_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/crimson_louvered_shutter | minecraft:block | mcwwindows:crimson_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/crimson_pane_window | minecraft:block | mcwwindows:crimson_pane_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_plank_pane_window | minecraft:block | mcwwindows:crimson_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_plank_parapet | minecraft:block | mcwwindows:crimson_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/crimson_planks_four_window | minecraft:block | mcwwindows:crimson_planks_four_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_planks_window | minecraft:block | mcwwindows:crimson_planks_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_planks_window2 | minecraft:block | mcwwindows:crimson_planks_window2 minecraft:block minecraft:item
mcwwindows:blocks/crimson_shutter | minecraft:block | mcwwindows:crimson_shutter minecraft:block minecraft:item
mcwwindows:blocks/crimson_stem_four_window | minecraft:block | mcwwindows:crimson_stem_four_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_stem_parapet | minecraft:block | mcwwindows:crimson_stem_parapet minecraft:block minecraft:item
mcwwindows:blocks/crimson_stem_window | minecraft:block | mcwwindows:crimson_stem_window minecraft:block minecraft:item
mcwwindows:blocks/crimson_stem_window2 | minecraft:block | mcwwindows:crimson_stem_window2 minecraft:block minecraft:item
mcwwindows:blocks/cyan_curtain | minecraft:block | mcwwindows:cyan_curtain minecraft:block minecraft:item
mcwwindows:blocks/cyan_mosaic_glass | minecraft:block | mcwwindows:cyan_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/cyan_mosaic_glass_pane | minecraft:block | mcwwindows:cyan_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/dark_oak_blinds | minecraft:block | mcwwindows:dark_oak_blinds minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_curtain_rod | minecraft:block | mcwwindows:dark_oak_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_four_window | minecraft:block | mcwwindows:dark_oak_four_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_log_parapet | minecraft:block | mcwwindows:dark_oak_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_louvered_shutter | minecraft:block | mcwwindows:dark_oak_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_pane_window | minecraft:block | mcwwindows:dark_oak_pane_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_plank_four_window | minecraft:block | mcwwindows:dark_oak_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_plank_pane_window | minecraft:block | mcwwindows:dark_oak_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_plank_parapet | minecraft:block | mcwwindows:dark_oak_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_plank_window | minecraft:block | mcwwindows:dark_oak_plank_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_plank_window2 | minecraft:block | mcwwindows:dark_oak_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_shutter | minecraft:block | mcwwindows:dark_oak_shutter minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_window | minecraft:block | mcwwindows:dark_oak_window minecraft:block minecraft:item
mcwwindows:blocks/dark_oak_window2 | minecraft:block | mcwwindows:dark_oak_window2 minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_brick_arrow_slit | minecraft:block | mcwwindows:dark_prismarine_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_brick_gothic | minecraft:block | mcwwindows:dark_prismarine_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_four_window | minecraft:block | mcwwindows:dark_prismarine_four_window minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_pane_window | minecraft:block | mcwwindows:dark_prismarine_pane_window minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_parapet | minecraft:block | mcwwindows:dark_prismarine_parapet minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_window | minecraft:block | mcwwindows:dark_prismarine_window minecraft:block minecraft:item
mcwwindows:blocks/dark_prismarine_window2 | minecraft:block | mcwwindows:dark_prismarine_window2 minecraft:block minecraft:item
mcwwindows:blocks/deepslate_four_window | minecraft:block | mcwwindows:deepslate_four_window minecraft:block minecraft:item
mcwwindows:blocks/deepslate_pane_window | minecraft:block | mcwwindows:deepslate_pane_window minecraft:block minecraft:item
mcwwindows:blocks/deepslate_window | minecraft:block | mcwwindows:deepslate_window minecraft:block minecraft:item
mcwwindows:blocks/deepslate_window2 | minecraft:block | mcwwindows:deepslate_window2 minecraft:block minecraft:item
mcwwindows:blocks/diorite_four_window | minecraft:block | mcwwindows:diorite_four_window minecraft:block minecraft:item
mcwwindows:blocks/diorite_louvered_shutter | minecraft:block | mcwwindows:diorite_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/diorite_pane_window | minecraft:block | mcwwindows:diorite_pane_window minecraft:block minecraft:item
mcwwindows:blocks/diorite_parapet | minecraft:block | mcwwindows:diorite_parapet minecraft:block minecraft:item
mcwwindows:blocks/diorite_window | minecraft:block | mcwwindows:diorite_window minecraft:block minecraft:item
mcwwindows:blocks/diorite_window2 | minecraft:block | mcwwindows:diorite_window2 minecraft:block minecraft:item
mcwwindows:blocks/end_brick_gothic | minecraft:block | mcwwindows:end_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/ender_brick_arrow_slit | minecraft:block | mcwwindows:ender_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/golden_curtain_rod | minecraft:block | mcwwindows:golden_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/granite_four_window | minecraft:block | mcwwindows:granite_four_window minecraft:block minecraft:item
mcwwindows:blocks/granite_louvered_shutter | minecraft:block | mcwwindows:granite_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/granite_pane_window | minecraft:block | mcwwindows:granite_pane_window minecraft:block minecraft:item
mcwwindows:blocks/granite_parapet | minecraft:block | mcwwindows:granite_parapet minecraft:block minecraft:item
mcwwindows:blocks/granite_window | minecraft:block | mcwwindows:granite_window minecraft:block minecraft:item
mcwwindows:blocks/granite_window2 | minecraft:block | mcwwindows:granite_window2 minecraft:block minecraft:item
mcwwindows:blocks/gray_curtain | minecraft:block | mcwwindows:gray_curtain minecraft:block minecraft:item
mcwwindows:blocks/gray_mosaic_glass | minecraft:block | mcwwindows:gray_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/gray_mosaic_glass_pane | minecraft:block | mcwwindows:gray_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/green_curtain | minecraft:block | mcwwindows:green_curtain minecraft:block minecraft:item
mcwwindows:blocks/green_mosaic_glass | minecraft:block | mcwwindows:green_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/green_mosaic_glass_pane | minecraft:block | mcwwindows:green_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/iron_shutter | minecraft:block | mcwwindows:iron_shutter minecraft:block minecraft:item
mcwwindows:blocks/jungle_blinds | minecraft:block | mcwwindows:jungle_blinds minecraft:block minecraft:item
mcwwindows:blocks/jungle_curtain_rod | minecraft:block | mcwwindows:jungle_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/jungle_four_window | minecraft:block | mcwwindows:jungle_four_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_log_parapet | minecraft:block | mcwwindows:jungle_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/jungle_louvered_shutter | minecraft:block | mcwwindows:jungle_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/jungle_pane_window | minecraft:block | mcwwindows:jungle_pane_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_plank_four_window | minecraft:block | mcwwindows:jungle_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_plank_pane_window | minecraft:block | mcwwindows:jungle_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_plank_parapet | minecraft:block | mcwwindows:jungle_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/jungle_plank_window | minecraft:block | mcwwindows:jungle_plank_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_plank_window2 | minecraft:block | mcwwindows:jungle_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/jungle_shutter | minecraft:block | mcwwindows:jungle_shutter minecraft:block minecraft:item
mcwwindows:blocks/jungle_window | minecraft:block | mcwwindows:jungle_window minecraft:block minecraft:item
mcwwindows:blocks/jungle_window2 | minecraft:block | mcwwindows:jungle_window2 minecraft:block minecraft:item
mcwwindows:blocks/light_blue_curtain | minecraft:block | mcwwindows:light_blue_curtain minecraft:block minecraft:item
mcwwindows:blocks/light_blue_mosaic_glass | minecraft:block | mcwwindows:light_blue_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/light_blue_mosaic_glass_pane | minecraft:block | mcwwindows:light_blue_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/light_gray_curtain | minecraft:block | mcwwindows:light_gray_curtain minecraft:block minecraft:item
mcwwindows:blocks/light_gray_mosaic_glass | minecraft:block | mcwwindows:light_gray_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/light_gray_mosaic_glass_pane | minecraft:block | mcwwindows:light_gray_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/lime_curtain | minecraft:block | mcwwindows:lime_curtain minecraft:block minecraft:item
mcwwindows:blocks/lime_mosaic_glass | minecraft:block | mcwwindows:lime_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/lime_mosaic_glass_pane | minecraft:block | mcwwindows:lime_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/magenta_curtain | minecraft:block | mcwwindows:magenta_curtain minecraft:block minecraft:item
mcwwindows:blocks/magenta_mosaic_glass | minecraft:block | mcwwindows:magenta_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/magenta_mosaic_glass_pane | minecraft:block | mcwwindows:magenta_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/mangrove_blinds | minecraft:block | mcwwindows:mangrove_blinds minecraft:block minecraft:item
mcwwindows:blocks/mangrove_curtain_rod | minecraft:block | mcwwindows:mangrove_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/mangrove_four_window | minecraft:block | mcwwindows:mangrove_four_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_log_parapet | minecraft:block | mcwwindows:mangrove_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/mangrove_louvered_shutter | minecraft:block | mcwwindows:mangrove_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/mangrove_pane_window | minecraft:block | mcwwindows:mangrove_pane_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_plank_four_window | minecraft:block | mcwwindows:mangrove_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_plank_pane_window | minecraft:block | mcwwindows:mangrove_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_plank_parapet | minecraft:block | mcwwindows:mangrove_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/mangrove_plank_window | minecraft:block | mcwwindows:mangrove_plank_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_plank_window2 | minecraft:block | mcwwindows:mangrove_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/mangrove_shutter | minecraft:block | mcwwindows:mangrove_shutter minecraft:block minecraft:item
mcwwindows:blocks/mangrove_window | minecraft:block | mcwwindows:mangrove_window minecraft:block minecraft:item
mcwwindows:blocks/mangrove_window2 | minecraft:block | mcwwindows:mangrove_window2 minecraft:block minecraft:item
mcwwindows:blocks/metal_curtain_rod | minecraft:block | mcwwindows:metal_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/metal_four_window | minecraft:block | mcwwindows:metal_four_window minecraft:block minecraft:item
mcwwindows:blocks/metal_pane_window | minecraft:block | mcwwindows:metal_pane_window minecraft:block minecraft:item
mcwwindows:blocks/metal_window | minecraft:block | mcwwindows:metal_window minecraft:block minecraft:item
mcwwindows:blocks/metal_window2 | minecraft:block | mcwwindows:metal_window2 minecraft:block minecraft:item
mcwwindows:blocks/mud_brick_arrow_slit | minecraft:block | mcwwindows:mud_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/mud_brick_gothic | minecraft:block | mcwwindows:mud_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/nether_brick_arrow_slit | minecraft:block | mcwwindows:nether_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/nether_brick_gothic | minecraft:block | mcwwindows:nether_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/oak_blinds | minecraft:block | mcwwindows:oak_blinds minecraft:block minecraft:item
mcwwindows:blocks/oak_curtain_rod | minecraft:block | mcwwindows:oak_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/oak_four_window | minecraft:block | mcwwindows:oak_four_window minecraft:block minecraft:item
mcwwindows:blocks/oak_log_parapet | minecraft:block | mcwwindows:oak_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/oak_louvered_shutter | minecraft:block | mcwwindows:oak_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/oak_pane_window | minecraft:block | mcwwindows:oak_pane_window minecraft:block minecraft:item
mcwwindows:blocks/oak_plank_four_window | minecraft:block | mcwwindows:oak_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/oak_plank_pane_window | minecraft:block | mcwwindows:oak_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/oak_plank_parapet | minecraft:block | mcwwindows:oak_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/oak_plank_window | minecraft:block | mcwwindows:oak_plank_window minecraft:block minecraft:item
mcwwindows:blocks/oak_plank_window2 | minecraft:block | mcwwindows:oak_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/oak_shutter | minecraft:block | mcwwindows:oak_shutter minecraft:block minecraft:item
mcwwindows:blocks/oak_window | minecraft:block | mcwwindows:oak_window minecraft:block minecraft:item
mcwwindows:blocks/oak_window2 | minecraft:block | mcwwindows:oak_window2 minecraft:block minecraft:item
mcwwindows:blocks/one_way_glass | minecraft:block | mcwwindows:one_way_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/one_way_glass_pane | minecraft:block | mcwwindows:one_way_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/orange_curtain | minecraft:block | mcwwindows:orange_curtain minecraft:block minecraft:item
mcwwindows:blocks/orange_mosaic_glass | minecraft:block | mcwwindows:orange_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/orange_mosaic_glass_pane | minecraft:block | mcwwindows:orange_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/pink_curtain | minecraft:block | mcwwindows:pink_curtain minecraft:block minecraft:item
mcwwindows:blocks/pink_mosaic_glass | minecraft:block | mcwwindows:pink_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/pink_mosaic_glass_pane | minecraft:block | mcwwindows:pink_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/prismarine_brick_arrow_slit | minecraft:block | mcwwindows:prismarine_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/prismarine_brick_gothic | minecraft:block | mcwwindows:prismarine_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/prismarine_four_window | minecraft:block | mcwwindows:prismarine_four_window minecraft:block minecraft:item
mcwwindows:blocks/prismarine_pane_window | minecraft:block | mcwwindows:prismarine_pane_window minecraft:block minecraft:item
mcwwindows:blocks/prismarine_parapet | minecraft:block | mcwwindows:prismarine_parapet minecraft:block minecraft:item
mcwwindows:blocks/prismarine_window | minecraft:block | mcwwindows:prismarine_window minecraft:block minecraft:item
mcwwindows:blocks/prismarine_window2 | minecraft:block | mcwwindows:prismarine_window2 minecraft:block minecraft:item
mcwwindows:blocks/purple_curtain | minecraft:block | mcwwindows:purple_curtain minecraft:block minecraft:item
mcwwindows:blocks/purple_mosaic_glass | minecraft:block | mcwwindows:purple_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/purple_mosaic_glass_pane | minecraft:block | mcwwindows:purple_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/quartz_four_window | minecraft:block | mcwwindows:quartz_four_window minecraft:block minecraft:item
mcwwindows:blocks/quartz_pane_window | minecraft:block | mcwwindows:quartz_pane_window minecraft:block minecraft:item
mcwwindows:blocks/quartz_window | minecraft:block | mcwwindows:quartz_window minecraft:block minecraft:item
mcwwindows:blocks/quartz_window2 | minecraft:block | mcwwindows:quartz_window2 minecraft:block minecraft:item
mcwwindows:blocks/red_curtain | minecraft:block | mcwwindows:red_curtain minecraft:block minecraft:item
mcwwindows:blocks/red_mosaic_glass | minecraft:block | mcwwindows:red_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/red_mosaic_glass_pane | minecraft:block | mcwwindows:red_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/red_sandstone_four_window | minecraft:block | mcwwindows:red_sandstone_four_window minecraft:block minecraft:item
mcwwindows:blocks/red_sandstone_pane_window | minecraft:block | mcwwindows:red_sandstone_pane_window minecraft:block minecraft:item
mcwwindows:blocks/red_sandstone_window | minecraft:block | mcwwindows:red_sandstone_window minecraft:block minecraft:item
mcwwindows:blocks/red_sandstone_window2 | minecraft:block | mcwwindows:red_sandstone_window2 minecraft:block minecraft:item
mcwwindows:blocks/sandstone_four_window | minecraft:block | mcwwindows:sandstone_four_window minecraft:block minecraft:item
mcwwindows:blocks/sandstone_pane_window | minecraft:block | mcwwindows:sandstone_pane_window minecraft:block minecraft:item
mcwwindows:blocks/sandstone_window | minecraft:block | mcwwindows:sandstone_window minecraft:block minecraft:item
mcwwindows:blocks/sandstone_window2 | minecraft:block | mcwwindows:sandstone_window2 minecraft:block minecraft:item
mcwwindows:blocks/spruce_blinds | minecraft:block | mcwwindows:spruce_blinds minecraft:block minecraft:item
mcwwindows:blocks/spruce_curtain_rod | minecraft:block | mcwwindows:spruce_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/spruce_four_window | minecraft:block | mcwwindows:spruce_four_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_log_parapet | minecraft:block | mcwwindows:spruce_log_parapet minecraft:block minecraft:item
mcwwindows:blocks/spruce_louvered_shutter | minecraft:block | mcwwindows:spruce_louvered_shutter minecraft:block minecraft:item
