deeperdarker:blocks/ancient_vase | minecraft:block | deeperdarker:ancient_vase deeperdarker:blocks/ancient_vase deeperdarker:warden_carapace minecraft:block minecraft:book minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:inverted minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:redstone minecraft:rotten_flesh minecraft:sand minecraft:set_count minecraft:silk_touch minecraft:stick minecraft:string minecraft:uniform
deeperdarker:blocks/echo_fence | minecraft:block | deeperdarker:blocks/echo_fence deeperdarker:echo_fence minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_fence_gate | minecraft:block | deeperdarker:blocks/echo_fence_gate deeperdarker:echo_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_hanging_sign | minecraft:block | deeperdarker:blocks/echo_hanging_sign deeperdarker:echo_hanging_sign minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_leaves | minecraft:block | deeperdarker:blocks/echo_leaves deeperdarker:echo_leaves deeperdarker:echo_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
deeperdarker:blocks/echo_log | minecraft:block | deeperdarker:blocks/echo_log deeperdarker:echo_log minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_planks | minecraft:block | deeperdarker:blocks/echo_planks deeperdarker:echo_planks minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_pressure_plate | minecraft:block | deeperdarker:blocks/echo_pressure_plate deeperdarker:echo_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_sapling | minecraft:block | deeperdarker:blocks/echo_sapling deeperdarker:echo_sapling minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_sign | minecraft:block | deeperdarker:blocks/echo_sign deeperdarker:echo_sign minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_slab | minecraft:block | deeperdarker:blocks/echo_slab deeperdarker:echo_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/echo_soil | minecraft:block | deeperdarker:blocks/echo_soil deeperdarker:echo_soil minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_stairs | minecraft:block | deeperdarker:blocks/echo_stairs deeperdarker:echo_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_trapdoor | minecraft:block | deeperdarker:blocks/echo_trapdoor deeperdarker:echo_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/echo_wood | minecraft:block | deeperdarker:blocks/echo_wood deeperdarker:echo_wood minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/enriched_gloomslate_bricks | minecraft:block | deeperdarker:blocks/enriched_gloomslate_bricks deeperdarker:cobbled_gloomslate deeperdarker:lite minecraft:block minecraft:empty minecraft:item
deeperdarker:blocks/gleam_gel_block | minecraft:block | deeperdarker:blocks/gleam_gel_block deeperdarker:gleam_gel_block minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate | minecraft:block | deeperdarker:blocks/gloomslate deeperdarker:cobbled_gloomslate deeperdarker:gloomslate minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion
deeperdarker:blocks/gloomslate_brick_fence | minecraft:block | deeperdarker:blocks/gloomslate_brick_fence deeperdarker:gloomslate_brick_fence minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_brick_slab | minecraft:block | deeperdarker:blocks/gloomslate_brick_slab deeperdarker:gloomslate_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/gloomslate_brick_stairs | minecraft:block | deeperdarker:blocks/gloomslate_brick_stairs deeperdarker:gloomslate_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_brick_wall | minecraft:block | deeperdarker:blocks/gloomslate_brick_wall deeperdarker:gloomslate_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_bricks | minecraft:block | deeperdarker:blocks/gloomslate_bricks deeperdarker:gloomslate_bricks minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_coal_ore | minecraft:block | deeperdarker:blocks/gloomslate_coal_ore deeperdarker:gloomslate_coal_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:coal minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/gloomslate_copper_ore | minecraft:block | deeperdarker:blocks/gloomslate_copper_ore deeperdarker:gloomslate_copper_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform
deeperdarker:blocks/gloomslate_diamond_ore | minecraft:block | deeperdarker:blocks/gloomslate_diamond_ore deeperdarker:gloomslate_diamond_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/gloomslate_emerald_ore | minecraft:block | deeperdarker:blocks/gloomslate_emerald_ore deeperdarker:gloomslate_emerald_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:emerald minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/gloomslate_gold_ore | minecraft:block | deeperdarker:blocks/gloomslate_gold_ore deeperdarker:gloomslate_gold_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch
deeperdarker:blocks/gloomslate_iron_ore | minecraft:block | deeperdarker:blocks/gloomslate_iron_ore deeperdarker:gloomslate_iron_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch
deeperdarker:blocks/gloomslate_lapis_ore | minecraft:block | deeperdarker:blocks/gloomslate_lapis_ore deeperdarker:gloomslate_lapis_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform
deeperdarker:blocks/gloomslate_light | minecraft:block | deeperdarker:blocks/gloomslate_light deeperdarker:gloomslate_light minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_pot | minecraft:block | deeperdarker:blocks/gloomslate_pot deeperdarker:gloomslate_pot minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:copy_components minecraft:dynamic minecraft:item minecraft:pot_decorations minecraft:sherds
deeperdarker:blocks/gloomslate_redstone_ore | minecraft:block | deeperdarker:blocks/gloomslate_redstone_ore deeperdarker:gloomslate_redstone_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count
deeperdarker:blocks/gloomslate_slab | minecraft:block | deeperdarker:blocks/gloomslate_slab deeperdarker:gloomslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/gloomslate_stairs | minecraft:block | deeperdarker:blocks/gloomslate_stairs deeperdarker:gloomslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_tile_slab | minecraft:block | deeperdarker:blocks/gloomslate_tile_slab deeperdarker:gloomslate_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/gloomslate_tile_stairs | minecraft:block | deeperdarker:blocks/gloomslate_tile_stairs deeperdarker:gloomslate_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_tile_wall | minecraft:block | deeperdarker:blocks/gloomslate_tile_wall deeperdarker:gloomslate_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_tiles | minecraft:block | deeperdarker:blocks/gloomslate_tiles deeperdarker:gloomslate_tiles minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomslate_wall | minecraft:block | deeperdarker:blocks/gloomslate_wall deeperdarker:gloomslate_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomy_cactus | minecraft:block | deeperdarker:blocks/gloomy_cactus deeperdarker:gloomy_cactus minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/gloomy_geyser | minecraft:block | deeperdarker:blocks/gloomy_geyser deeperdarker:gloomy_geyser minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
deeperdarker:blocks/gloomy_grass | minecraft:block | deeperdarker:blocks/gloomy_grass deeperdarker:gloomy_grass minecraft:block minecraft:item minecraft:match_tool minecraft:shears
deeperdarker:blocks/gloomy_sculk | minecraft:block | deeperdarker:blocks/gloomy_sculk deeperdarker:gloomy_sculk minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
deeperdarker:blocks/glowing_flowers | minecraft:block | deeperdarker:blocks/glowing_flowers deeperdarker:glowing_flowers minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/glowing_grass | minecraft:block | deeperdarker:blocks/glowing_grass deeperdarker:glowing_grass minecraft:block minecraft:item minecraft:match_tool minecraft:shears
deeperdarker:blocks/glowing_roots | minecraft:block | deeperdarker:blocks/glowing_roots deeperdarker:glowing_roots minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
deeperdarker:blocks/glowing_roots_plant | minecraft:block | deeperdarker:blocks/glowing_roots_plant deeperdarker:glowing_roots minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
deeperdarker:blocks/glowing_vines_plant | minecraft:block | deeperdarker:blocks/glowing_vines_plant deeperdarker:bloom_berries deeperdarker:glowing_vines_plant minecraft:block minecraft:block_state_property minecraft:item
deeperdarker:blocks/ice_lily | minecraft:block | deeperdarker:blocks/ice_lily deeperdarker:ice_lily minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/infested_sculk | minecraft:block | deeperdarker:blocks/infested_sculk minecraft:block minecraft:item minecraft:match_tool minecraft:sculk minecraft:silk_touch
deeperdarker:blocks/lily_flower | minecraft:block | deeperdarker:blocks/lily_flower deeperdarker:lily_flower minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/lite_block | minecraft:block | deeperdarker:blocks/lite_block deeperdarker:lite_block minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_gloomslate | minecraft:block | deeperdarker:blocks/polished_gloomslate deeperdarker:polished_gloomslate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_gloomslate_slab | minecraft:block | deeperdarker:blocks/polished_gloomslate_slab deeperdarker:polished_gloomslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/polished_gloomslate_stairs | minecraft:block | deeperdarker:blocks/polished_gloomslate_stairs deeperdarker:polished_gloomslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_gloomslate_wall | minecraft:block | deeperdarker:blocks/polished_gloomslate_wall deeperdarker:polished_gloomslate_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_sculk_stone | minecraft:block | deeperdarker:blocks/polished_sculk_stone deeperdarker:polished_sculk_stone minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_sculk_stone_slab | minecraft:block | deeperdarker:blocks/polished_sculk_stone_slab deeperdarker:polished_sculk_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/polished_sculk_stone_stairs | minecraft:block | deeperdarker:blocks/polished_sculk_stone_stairs deeperdarker:polished_sculk_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/polished_sculk_stone_wall | minecraft:block | deeperdarker:blocks/polished_sculk_stone_wall deeperdarker:polished_sculk_stone_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/porous_sculk_gleam | minecraft:block | deeperdarker:blocks/porous_sculk_gleam deeperdarker:porous_sculk_gleam minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/potted_blooming_stem | minecraft:block | deeperdarker:blocks/potted_blooming_stem deeperdarker:blooming_stem minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
deeperdarker:blocks/potted_echo_sapling | minecraft:block | deeperdarker:blocks/potted_echo_sapling deeperdarker:echo_sapling minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_gleam | minecraft:block | deeperdarker:blocks/sculk_gleam deeperdarker:sculk_gleam minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_grime | minecraft:block | deeperdarker:blocks/sculk_grime deeperdarker:grime_ball deeperdarker:sculk_grime minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform
deeperdarker:blocks/sculk_grime_brick_slab | minecraft:block | deeperdarker:blocks/sculk_grime_brick_slab deeperdarker:sculk_grime_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/sculk_grime_brick_stairs | minecraft:block | deeperdarker:blocks/sculk_grime_brick_stairs deeperdarker:sculk_grime_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_grime_brick_wall | minecraft:block | deeperdarker:blocks/sculk_grime_brick_wall deeperdarker:sculk_grime_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_grime_bricks | minecraft:block | deeperdarker:blocks/sculk_grime_bricks deeperdarker:sculk_grime_bricks minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_jaw | minecraft:block | deeperdarker:blocks/sculk_jaw deeperdarker:sculk_jaw minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
deeperdarker:blocks/sculk_stone | minecraft:block | deeperdarker:blocks/sculk_stone deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_brick_slab | minecraft:block | deeperdarker:blocks/sculk_stone_brick_slab deeperdarker:sculk_stone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/sculk_stone_brick_stairs | minecraft:block | deeperdarker:blocks/sculk_stone_brick_stairs deeperdarker:sculk_stone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_brick_wall | minecraft:block | deeperdarker:blocks/sculk_stone_brick_wall deeperdarker:sculk_stone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_bricks | minecraft:block | deeperdarker:blocks/sculk_stone_bricks deeperdarker:sculk_stone_bricks minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_coal_ore | minecraft:block | deeperdarker:blocks/sculk_stone_coal_ore deeperdarker:sculk_stone_coal_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:coal minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/sculk_stone_copper_ore | minecraft:block | deeperdarker:blocks/sculk_stone_copper_ore deeperdarker:sculk_stone_copper_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform
deeperdarker:blocks/sculk_stone_diamond_ore | minecraft:block | deeperdarker:blocks/sculk_stone_diamond_ore deeperdarker:sculk_stone_diamond_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/sculk_stone_emerald_ore | minecraft:block | deeperdarker:blocks/sculk_stone_emerald_ore deeperdarker:sculk_stone_emerald_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:emerald minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
deeperdarker:blocks/sculk_stone_gold_ore | minecraft:block | deeperdarker:blocks/sculk_stone_gold_ore deeperdarker:sculk_stone_gold_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch
deeperdarker:blocks/sculk_stone_iron_ore | minecraft:block | deeperdarker:blocks/sculk_stone_iron_ore deeperdarker:sculk_stone_iron_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch
deeperdarker:blocks/sculk_stone_lapis_ore | minecraft:block | deeperdarker:blocks/sculk_stone_lapis_ore deeperdarker:sculk_stone_lapis_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform
deeperdarker:blocks/sculk_stone_redstone_ore | minecraft:block | deeperdarker:blocks/sculk_stone_redstone_ore deeperdarker:sculk_stone_redstone_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count
deeperdarker:blocks/sculk_stone_slab | minecraft:block | deeperdarker:blocks/sculk_stone_slab deeperdarker:sculk_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/sculk_stone_stairs | minecraft:block | deeperdarker:blocks/sculk_stone_stairs deeperdarker:sculk_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_tile_slab | minecraft:block | deeperdarker:blocks/sculk_stone_tile_slab deeperdarker:sculk_stone_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/sculk_stone_tile_stairs | minecraft:block | deeperdarker:blocks/sculk_stone_tile_stairs deeperdarker:sculk_stone_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_tile_wall | minecraft:block | deeperdarker:blocks/sculk_stone_tile_wall deeperdarker:sculk_stone_tile_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_tiles | minecraft:block | deeperdarker:blocks/sculk_stone_tiles deeperdarker:sculk_stone_tiles minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_stone_wall | minecraft:block | deeperdarker:blocks/sculk_stone_wall deeperdarker:sculk_stone_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/sculk_tendrils | minecraft:block | deeperdarker:blocks/sculk_tendrils deeperdarker:sculk_tendrils minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
