createnuclear:blocks/autunite | minecraft:block | createnuclear:autunite createnuclear:blocks/autunite minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/lead_block | minecraft:block | createnuclear:blocks/lead_block createnuclear:lead_block minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/lead_ore | minecraft:block | createnuclear:blocks/lead_ore createnuclear:lead_ore createnuclear:raw_lead minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
createnuclear:blocks/polished_cut_autunite | minecraft:block | createnuclear:blocks/polished_cut_autunite createnuclear:polished_cut_autunite minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/polished_cut_autunite_slab | minecraft:block | createnuclear:blocks/polished_cut_autunite_slab createnuclear:polished_cut_autunite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
createnuclear:blocks/polished_cut_autunite_stairs | minecraft:block | createnuclear:blocks/polished_cut_autunite_stairs createnuclear:polished_cut_autunite_stairs minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/polished_cut_autunite_wall | minecraft:block | createnuclear:blocks/polished_cut_autunite_wall createnuclear:polished_cut_autunite_wall minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/raw_lead_block | minecraft:block | createnuclear:blocks/raw_lead_block createnuclear:raw_lead_block minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/raw_uranium_block | minecraft:block | createnuclear:blocks/raw_uranium_block createnuclear:raw_uranium_block minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_casing | minecraft:block | createnuclear:blocks/reactor_casing createnuclear:reactor_casing minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_controller | minecraft:block | createnuclear:blocks/reactor_controller createnuclear:reactor_controller minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_cooler | minecraft:block | createnuclear:blocks/reactor_cooler createnuclear:reactor_cooler minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_core | minecraft:block | createnuclear:blocks/reactor_core createnuclear:reactor_core minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_frame | minecraft:block | createnuclear:blocks/reactor_frame createnuclear:reactor_frame minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_input | minecraft:block | createnuclear:blocks/reactor_input createnuclear:reactor_input minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reactor_output | minecraft:block | createnuclear:blocks/reactor_output createnuclear:reactor_output minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/reinforced_glass | minecraft:block | createnuclear:blocks/reinforced_glass createnuclear:reinforced_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
createnuclear:blocks/small_autunite_brick_slab | minecraft:block | createnuclear:blocks/small_autunite_brick_slab createnuclear:small_autunite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
createnuclear:blocks/small_autunite_brick_stairs | minecraft:block | createnuclear:blocks/small_autunite_brick_stairs createnuclear:small_autunite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/small_autunite_brick_wall | minecraft:block | createnuclear:blocks/small_autunite_brick_wall createnuclear:small_autunite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/small_autunite_bricks | minecraft:block | createnuclear:blocks/small_autunite_bricks createnuclear:small_autunite_bricks minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/steel_block | minecraft:block | createnuclear:blocks/steel_block createnuclear:steel_block minecraft:block minecraft:item minecraft:survives_explosion
createnuclear:blocks/uranium_ore | minecraft:block | createnuclear:blocks/uranium_ore createnuclear:raw_uranium createnuclear:uranium_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
createnuclear:entities/irradiated_cat | minecraft:entity | createnuclear:entities/irradiated_cat minecraft:entity
createnuclear:entities/irradiated_chicken | minecraft:entity | createnuclear:entities/irradiated_chicken minecraft:entity
createnuclear:entities/irradiated_wolf | minecraft:entity | createnuclear:entities/irradiated_wolf minecraft:entity
