handcrafted:blocks/acacia_bench | minecraft:block | handcrafted:acacia_bench handcrafted:blocks/acacia_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_desk | minecraft:block | handcrafted:bamboo_desk handcrafted:blocks/bamboo_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_dining_bench | minecraft:block | handcrafted:bamboo_dining_bench handcrafted:blocks/bamboo_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_drawer | minecraft:block | handcrafted:bamboo_drawer handcrafted:blocks/bamboo_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_fancy_bed | minecraft:block | handcrafted:bamboo_fancy_bed handcrafted:blocks/bamboo_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_nightstand | minecraft:block | handcrafted:bamboo_nightstand handcrafted:blocks/bamboo_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_pillar_trim | minecraft:block | handcrafted:bamboo_pillar_trim handcrafted:blocks/bamboo_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_shelf | minecraft:block | handcrafted:bamboo_shelf handcrafted:blocks/bamboo_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_side_table | minecraft:block | handcrafted:bamboo_side_table handcrafted:blocks/bamboo_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bamboo_table | minecraft:block | handcrafted:bamboo_table handcrafted:blocks/bamboo_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bear_trophy | minecraft:block | handcrafted:bear_trophy handcrafted:blocks/bear_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bench | minecraft:block | handcrafted:bench handcrafted:blocks/bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/berry_jam_jar | minecraft:block | handcrafted:berry_jam_jar handcrafted:blocks/berry_jam_jar minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/birch_bench | minecraft:block | handcrafted:birch_bench handcrafted:blocks/birch_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_chair | minecraft:block | handcrafted:birch_chair handcrafted:blocks/birch_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_corner_trim | minecraft:block | handcrafted:birch_corner_trim handcrafted:blocks/birch_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_couch | minecraft:block | handcrafted:birch_couch handcrafted:blocks/birch_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_counter | minecraft:block | handcrafted:birch_counter handcrafted:blocks/birch_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_cupboard | minecraft:block | handcrafted:birch_cupboard handcrafted:blocks/birch_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_desk | minecraft:block | handcrafted:birch_desk handcrafted:blocks/birch_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_dining_bench | minecraft:block | handcrafted:birch_dining_bench handcrafted:blocks/birch_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_drawer | minecraft:block | handcrafted:birch_drawer handcrafted:blocks/birch_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_fancy_bed | minecraft:block | handcrafted:birch_fancy_bed handcrafted:blocks/birch_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_nightstand | minecraft:block | handcrafted:birch_nightstand handcrafted:blocks/birch_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_pillar_trim | minecraft:block | handcrafted:birch_pillar_trim handcrafted:blocks/birch_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_shelf | minecraft:block | handcrafted:birch_shelf handcrafted:blocks/birch_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_side_table | minecraft:block | handcrafted:birch_side_table handcrafted:blocks/birch_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/birch_table | minecraft:block | handcrafted:birch_table handcrafted:blocks/birch_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/black_cushion | minecraft:block | handcrafted:black_cushion handcrafted:blocks/black_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blackstone_corner_trim | minecraft:block | handcrafted:blackstone_corner_trim handcrafted:blocks/blackstone_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blackstone_pillar_trim | minecraft:block | handcrafted:blackstone_pillar_trim handcrafted:blocks/blackstone_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blaze_trophy | minecraft:block | handcrafted:blaze_trophy handcrafted:blocks/blaze_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_bowl | minecraft:block | handcrafted:blocks/blue_bowl handcrafted:blue_bowl minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/blue_crockery_combo | minecraft:block | handcrafted:blocks/blue_crockery_combo handcrafted:blue_crockery_combo minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_cup | minecraft:block | handcrafted:blocks/blue_cup handcrafted:blue_cup minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/blue_cushion | minecraft:block | handcrafted:blocks/blue_cushion handcrafted:blue_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_glazed_medium_pot | minecraft:block | handcrafted:blocks/blue_glazed_medium_pot handcrafted:blue_glazed_medium_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_glazed_thick_pot | minecraft:block | handcrafted:blocks/blue_glazed_thick_pot handcrafted:blue_glazed_thick_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_glazed_thin_pot | minecraft:block | handcrafted:blocks/blue_glazed_thin_pot handcrafted:blue_glazed_thin_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_glazed_wide_pot | minecraft:block | handcrafted:blocks/blue_glazed_wide_pot handcrafted:blue_glazed_wide_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/blue_plate | minecraft:block | handcrafted:blocks/blue_plate handcrafted:blue_plate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/bricks_corner_trim | minecraft:block | handcrafted:blocks/bricks_corner_trim handcrafted:bricks_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/bricks_pillar_trim | minecraft:block | handcrafted:blocks/bricks_pillar_trim handcrafted:bricks_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/brown_cushion | minecraft:block | handcrafted:blocks/brown_cushion handcrafted:brown_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/calcite_corner_trim | minecraft:block | handcrafted:blocks/calcite_corner_trim handcrafted:calcite_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/calcite_pillar_trim | minecraft:block | handcrafted:blocks/calcite_pillar_trim handcrafted:calcite_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_bench | minecraft:block | handcrafted:blocks/cherry_bench handcrafted:cherry_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_chair | minecraft:block | handcrafted:blocks/cherry_chair handcrafted:cherry_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_corner_trim | minecraft:block | handcrafted:blocks/cherry_corner_trim handcrafted:cherry_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_couch | minecraft:block | handcrafted:blocks/cherry_couch handcrafted:cherry_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_counter | minecraft:block | handcrafted:blocks/cherry_counter handcrafted:cherry_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_cupboard | minecraft:block | handcrafted:blocks/cherry_cupboard handcrafted:cherry_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_desk | minecraft:block | handcrafted:blocks/cherry_desk handcrafted:cherry_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_dining_bench | minecraft:block | handcrafted:blocks/cherry_dining_bench handcrafted:cherry_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_drawer | minecraft:block | handcrafted:blocks/cherry_drawer handcrafted:cherry_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_fancy_bed | minecraft:block | handcrafted:blocks/cherry_fancy_bed handcrafted:cherry_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_nightstand | minecraft:block | handcrafted:blocks/cherry_nightstand handcrafted:cherry_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_pillar_trim | minecraft:block | handcrafted:blocks/cherry_pillar_trim handcrafted:cherry_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_shelf | minecraft:block | handcrafted:blocks/cherry_shelf handcrafted:cherry_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_side_table | minecraft:block | handcrafted:blocks/cherry_side_table handcrafted:cherry_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cherry_table | minecraft:block | handcrafted:blocks/cherry_table handcrafted:cherry_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/creeper_trophy | minecraft:block | handcrafted:blocks/creeper_trophy handcrafted:creeper_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_bench | minecraft:block | handcrafted:blocks/crimson_bench handcrafted:crimson_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_chair | minecraft:block | handcrafted:blocks/crimson_chair handcrafted:crimson_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_corner_trim | minecraft:block | handcrafted:blocks/crimson_corner_trim handcrafted:crimson_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_couch | minecraft:block | handcrafted:blocks/crimson_couch handcrafted:crimson_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_counter | minecraft:block | handcrafted:blocks/crimson_counter handcrafted:crimson_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_cupboard | minecraft:block | handcrafted:blocks/crimson_cupboard handcrafted:crimson_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_desk | minecraft:block | handcrafted:blocks/crimson_desk handcrafted:crimson_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_dining_bench | minecraft:block | handcrafted:blocks/crimson_dining_bench handcrafted:crimson_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_drawer | minecraft:block | handcrafted:blocks/crimson_drawer handcrafted:crimson_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_fancy_bed | minecraft:block | handcrafted:blocks/crimson_fancy_bed handcrafted:crimson_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_nightstand | minecraft:block | handcrafted:blocks/crimson_nightstand handcrafted:crimson_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_pillar_trim | minecraft:block | handcrafted:blocks/crimson_pillar_trim handcrafted:crimson_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_shelf | minecraft:block | handcrafted:blocks/crimson_shelf handcrafted:crimson_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_side_table | minecraft:block | handcrafted:blocks/crimson_side_table handcrafted:crimson_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/crimson_table | minecraft:block | handcrafted:blocks/crimson_table handcrafted:crimson_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/cyan_cushion | minecraft:block | handcrafted:blocks/cyan_cushion handcrafted:cyan_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_bench | minecraft:block | handcrafted:blocks/dark_oak_bench handcrafted:dark_oak_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_chair | minecraft:block | handcrafted:blocks/dark_oak_chair handcrafted:dark_oak_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_corner_trim | minecraft:block | handcrafted:blocks/dark_oak_corner_trim handcrafted:dark_oak_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_couch | minecraft:block | handcrafted:blocks/dark_oak_couch handcrafted:dark_oak_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_counter | minecraft:block | handcrafted:blocks/dark_oak_counter handcrafted:dark_oak_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_cupboard | minecraft:block | handcrafted:blocks/dark_oak_cupboard handcrafted:dark_oak_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_desk | minecraft:block | handcrafted:blocks/dark_oak_desk handcrafted:dark_oak_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_dining_bench | minecraft:block | handcrafted:blocks/dark_oak_dining_bench handcrafted:dark_oak_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_drawer | minecraft:block | handcrafted:blocks/dark_oak_drawer handcrafted:dark_oak_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_fancy_bed | minecraft:block | handcrafted:blocks/dark_oak_fancy_bed handcrafted:dark_oak_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_nightstand | minecraft:block | handcrafted:blocks/dark_oak_nightstand handcrafted:dark_oak_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_pillar_trim | minecraft:block | handcrafted:blocks/dark_oak_pillar_trim handcrafted:dark_oak_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_shelf | minecraft:block | handcrafted:blocks/dark_oak_shelf handcrafted:dark_oak_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_side_table | minecraft:block | handcrafted:blocks/dark_oak_side_table handcrafted:dark_oak_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dark_oak_table | minecraft:block | handcrafted:blocks/dark_oak_table handcrafted:dark_oak_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/deepslate_corner_trim | minecraft:block | handcrafted:blocks/deepslate_corner_trim handcrafted:deepslate_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/deepslate_pillar_trim | minecraft:block | handcrafted:blocks/deepslate_pillar_trim handcrafted:deepslate_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/diorite_corner_trim | minecraft:block | handcrafted:blocks/diorite_corner_trim handcrafted:diorite_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/diorite_pillar_trim | minecraft:block | handcrafted:blocks/diorite_pillar_trim handcrafted:diorite_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dripstone_corner_trim | minecraft:block | handcrafted:blocks/dripstone_corner_trim handcrafted:dripstone_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/dripstone_pillar_trim | minecraft:block | handcrafted:blocks/dripstone_pillar_trim handcrafted:dripstone_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/evoker_trophy | minecraft:block | handcrafted:blocks/evoker_trophy handcrafted:evoker_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/fox_trophy | minecraft:block | handcrafted:blocks/fox_trophy handcrafted:fox_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/frozen_bench | minecraft:block | handcrafted:blocks/frozen_bench handcrafted:frozen_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/goat_trophy | minecraft:block | handcrafted:blocks/goat_trophy handcrafted:goat_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/golden_medium_pot | minecraft:block | handcrafted:blocks/golden_medium_pot handcrafted:golden_medium_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/golden_thick_pot | minecraft:block | handcrafted:blocks/golden_thick_pot handcrafted:golden_thick_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/golden_thin_pot | minecraft:block | handcrafted:blocks/golden_thin_pot handcrafted:golden_thin_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/golden_wide_pot | minecraft:block | handcrafted:blocks/golden_wide_pot handcrafted:golden_wide_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/granite_corner_trim | minecraft:block | handcrafted:blocks/granite_corner_trim handcrafted:granite_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/granite_pillar_trim | minecraft:block | handcrafted:blocks/granite_pillar_trim handcrafted:granite_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/gray_cushion | minecraft:block | handcrafted:blocks/gray_cushion handcrafted:gray_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/green_cushion | minecraft:block | handcrafted:blocks/green_cushion handcrafted:green_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_bench | minecraft:block | handcrafted:blocks/jungle_bench handcrafted:jungle_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_chair | minecraft:block | handcrafted:blocks/jungle_chair handcrafted:jungle_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_corner_trim | minecraft:block | handcrafted:blocks/jungle_corner_trim handcrafted:jungle_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_couch | minecraft:block | handcrafted:blocks/jungle_couch handcrafted:jungle_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_counter | minecraft:block | handcrafted:blocks/jungle_counter handcrafted:jungle_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_cupboard | minecraft:block | handcrafted:blocks/jungle_cupboard handcrafted:jungle_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_desk | minecraft:block | handcrafted:blocks/jungle_desk handcrafted:jungle_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_dining_bench | minecraft:block | handcrafted:blocks/jungle_dining_bench handcrafted:jungle_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_drawer | minecraft:block | handcrafted:blocks/jungle_drawer handcrafted:jungle_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_fancy_bed | minecraft:block | handcrafted:blocks/jungle_fancy_bed handcrafted:jungle_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_nightstand | minecraft:block | handcrafted:blocks/jungle_nightstand handcrafted:jungle_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_pillar_trim | minecraft:block | handcrafted:blocks/jungle_pillar_trim handcrafted:jungle_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_shelf | minecraft:block | handcrafted:blocks/jungle_shelf handcrafted:jungle_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_side_table | minecraft:block | handcrafted:blocks/jungle_side_table handcrafted:jungle_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/jungle_table | minecraft:block | handcrafted:blocks/jungle_table handcrafted:jungle_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/kitchen_hood | minecraft:block | handcrafted:blocks/kitchen_hood handcrafted:kitchen_hood minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/kitchen_hood_pipe | minecraft:block | handcrafted:blocks/kitchen_hood_pipe handcrafted:kitchen_hood_pipe minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/light_blue_cushion | minecraft:block | handcrafted:blocks/light_blue_cushion handcrafted:light_blue_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/light_gray_cushion | minecraft:block | handcrafted:blocks/light_gray_cushion handcrafted:light_gray_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/lime_cushion | minecraft:block | handcrafted:blocks/lime_cushion handcrafted:lime_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/magenta_cushion | minecraft:block | handcrafted:blocks/magenta_cushion handcrafted:magenta_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_bench | minecraft:block | handcrafted:blocks/mangrove_bench handcrafted:mangrove_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_chair | minecraft:block | handcrafted:blocks/mangrove_chair handcrafted:mangrove_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_corner_trim | minecraft:block | handcrafted:blocks/mangrove_corner_trim handcrafted:mangrove_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_couch | minecraft:block | handcrafted:blocks/mangrove_couch handcrafted:mangrove_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_counter | minecraft:block | handcrafted:blocks/mangrove_counter handcrafted:mangrove_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_cupboard | minecraft:block | handcrafted:blocks/mangrove_cupboard handcrafted:mangrove_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_desk | minecraft:block | handcrafted:blocks/mangrove_desk handcrafted:mangrove_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_dining_bench | minecraft:block | handcrafted:blocks/mangrove_dining_bench handcrafted:mangrove_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_drawer | minecraft:block | handcrafted:blocks/mangrove_drawer handcrafted:mangrove_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_fancy_bed | minecraft:block | handcrafted:blocks/mangrove_fancy_bed handcrafted:mangrove_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_nightstand | minecraft:block | handcrafted:blocks/mangrove_nightstand handcrafted:mangrove_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_pillar_trim | minecraft:block | handcrafted:blocks/mangrove_pillar_trim handcrafted:mangrove_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_shelf | minecraft:block | handcrafted:blocks/mangrove_shelf handcrafted:mangrove_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_side_table | minecraft:block | handcrafted:blocks/mangrove_side_table handcrafted:mangrove_side_table minecraft:block minecraft:item minecraft:survives_explosion
