illagerinvasion:blocks/imbuing_table | minecraft:block | illagerinvasion:blocks/imbuing_table illagerinvasion:imbuing_table minecraft:block minecraft:item minecraft:survives_explosion
illagerinvasion:entities/basher | minecraft:entity | illagerinvasion:entities/basher minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:iron_nugget minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
illagerinvasion:entities/firecaller | minecraft:entity | illagerinvasion:entities/firecaller minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:fire_charge minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
illagerinvasion:entities/inject/illusioner | minecraft:entity | illagerinvasion:entities/inject/illusioner illagerinvasion:illusionary_dust minecraft:arrow minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
illagerinvasion:entities/inject/pillager | minecraft:entity | illagerinvasion:entities/inject/pillager illagerinvasion:platinum_chunk minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
illagerinvasion:entities/inject/ravager | minecraft:entity | illagerinvasion:entities/inject/ravager illagerinvasion:platinum_chunk minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
illagerinvasion:entities/inquisitor | minecraft:entity | illagerinvasion:entities/inquisitor illagerinvasion:platinum_chunk minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:iron_ingot minecraft:item minecraft:killed_by_player minecraft:leather minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
illagerinvasion:entities/invoker | minecraft:entity | illagerinvasion:entities/invoker illagerinvasion:primal_essence minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
illagerinvasion:entities/marauder | minecraft:entity | illagerinvasion:entities/marauder minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:killed_by_player minecraft:looting minecraft:ominous_bottle minecraft:raider minecraft:set_count minecraft:set_ominous_bottle_amplifier minecraft:uniform
illagerinvasion:entities/necromancer | minecraft:entity | illagerinvasion:entities/necromancer minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:skeleton_skull minecraft:uniform minecraft:zombie_head
illagerinvasion:entities/provoker | minecraft:entity | illagerinvasion:entities/provoker minecraft:arrow minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
illagerinvasion:entities/sorcerer | minecraft:entity | illagerinvasion:entities/sorcerer illagerinvasion:unusual_dust minecraft:book minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
illagerinvasion:entities/surrendered | minecraft:entity | illagerinvasion:entities/surrendered minecraft:entity
