createbigcannons:blocks/ap_shell | minecraft:block | createbigcannons:ap_shell createbigcannons:blocks/ap_shell createbigcannons:fuze createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/log_cannon_chamber | minecraft:block | createbigcannons:blocks/log_cannon_chamber createbigcannons:log_cannon_chamber minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/log_cannon_end | minecraft:block | createbigcannons:blocks/log_cannon_end createbigcannons:log_cannon_end minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/medium_cast_mould | minecraft:block | createbigcannons:blocks/medium_cast_mould createbigcannons:medium_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/medium_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/medium_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/medium_steel_cannon_layer | minecraft:block | createbigcannons:blocks/medium_steel_cannon_layer createbigcannons:medium_steel_cannon_layer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/mortar_stone | minecraft:block | createbigcannons:blocks/mortar_stone createbigcannons:mortar_stone minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/mortar_stone_projectile | minecraft:block | createbigcannons:blocks/mortar_stone_projectile createbigcannons:mortar_stone_projectile minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/nethersteel_block | minecraft:block | createbigcannons:blocks/nethersteel_block createbigcannons:nethersteel_block minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/nethersteel_cannon_barrel | minecraft:block | createbigcannons:blocks/nethersteel_cannon_barrel createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/nethersteel_cannon_chamber | minecraft:block | createbigcannons:blocks/nethersteel_cannon_chamber createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/nethersteel_screw_breech | minecraft:block | createbigcannons:blocks/nethersteel_screw_breech createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/powder_charge | minecraft:block | createbigcannons:blocks/powder_charge createbigcannons:powder_charge minecraft:block minecraft:block_state_property minecraft:item minecraft:set_components minecraft:survives_explosion
createbigcannons:blocks/ram_head | minecraft:block | createbigcannons:blocks/ram_head createbigcannons:ram_head minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/screw_breech_cast_mould | minecraft:block | createbigcannons:blocks/screw_breech_cast_mould createbigcannons:screw_breech_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/shrapnel_shell | minecraft:block | createbigcannons:blocks/shrapnel_shell createbigcannons:fuze createbigcannons:shrapnel_shell createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/sliding_breech_cast_mould | minecraft:block | createbigcannons:blocks/sliding_breech_cast_mould createbigcannons:sliding_breech_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/small_cast_mould | minecraft:block | createbigcannons:blocks/small_cast_mould createbigcannons:small_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/small_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/small_steel_cannon_layer | minecraft:block | createbigcannons:blocks/small_steel_cannon_layer createbigcannons:small_steel_cannon_layer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/smoke_shell | minecraft:block | createbigcannons:blocks/smoke_shell createbigcannons:fuze createbigcannons:smoke_shell createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/solid_shot | minecraft:block | createbigcannons:blocks/solid_shot createbigcannons:solid_shot createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/steel_autocannon_barrel | minecraft:block | createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_autocannon_breech | minecraft:block | createbigcannons:blocks/steel_autocannon_breech createbigcannons:steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/steel_autocannon_recoil_spring createbigcannons:steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_block | minecraft:block | createbigcannons:blocks/steel_block createbigcannons:steel_block minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/steel_cannon_barrel | minecraft:block | createbigcannons:blocks/steel_cannon_barrel createbigcannons:steel_cannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_cannon_chamber | minecraft:block | createbigcannons:blocks/steel_cannon_chamber createbigcannons:steel_cannon_chamber createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_quickfiring_breech | minecraft:block | createbigcannons:blocks/steel_quickfiring_breech createbigcannons:steel_quickfiring_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_screw_breech | minecraft:block | createbigcannons:blocks/steel_screw_breech createbigcannons:steel_scrap createbigcannons:steel_screw_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/steel_sliding_breech | minecraft:block | createbigcannons:blocks/steel_sliding_breech createbigcannons:steel_scrap createbigcannons:steel_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/thick_nethersteel_cannon_chamber | minecraft:block | createbigcannons:blocks/thick_nethersteel_cannon_chamber createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/thick_steel_cannon_chamber | minecraft:block | createbigcannons:blocks/thick_steel_cannon_chamber createbigcannons:steel_scrap createbigcannons:thick_steel_cannon_chamber minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/traffic_cone | minecraft:block | createbigcannons:blocks/traffic_cone createbigcannons:tracer createbigcannons:traffic_cone minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/unbored_bronze_autocannon_barrel | minecraft:block | createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap createbigcannons:unbored_bronze_autocannon_barrel minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_bronze_autocannon_breech | minecraft:block | createbigcannons:blocks/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap createbigcannons:unbored_bronze_autocannon_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_bronze_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap createbigcannons:unbored_bronze_autocannon_recoil_spring minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_bronze_cannon_barrel | minecraft:block | createbigcannons:blocks/unbored_bronze_cannon_barrel createbigcannons:bronze_scrap createbigcannons:unbored_bronze_cannon_barrel minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_bronze_cannon_chamber | minecraft:block | createbigcannons:blocks/unbored_bronze_cannon_chamber createbigcannons:bronze_scrap createbigcannons:unbored_bronze_cannon_chamber minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_bronze_sliding_breech | minecraft:block | createbigcannons:blocks/unbored_bronze_sliding_breech createbigcannons:bronze_scrap createbigcannons:unbored_bronze_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_autocannon_barrel | minecraft:block | createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_autocannon_barrel minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_autocannon_breech | minecraft:block | createbigcannons:blocks/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_autocannon_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_autocannon_recoil_spring minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_cannon_barrel | minecraft:block | createbigcannons:blocks/unbored_cast_iron_cannon_barrel createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_cannon_barrel minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_cannon_chamber | minecraft:block | createbigcannons:blocks/unbored_cast_iron_cannon_chamber createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_cannon_chamber minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_cast_iron_sliding_breech | minecraft:block | createbigcannons:blocks/unbored_cast_iron_sliding_breech createbigcannons:cast_iron_nugget createbigcannons:unbored_cast_iron_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_large_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/unbored_large_steel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_large_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:unbored_large_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_medium_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_medium_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/unbored_medium_steel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_medium_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:unbored_medium_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_nethersteel_screw_breech | minecraft:block | createbigcannons:blocks/unbored_nethersteel_screw_breech createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
