trek:overworld/common/elven_pillar_tall | minecraft:chest | minecraft:apple minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:golden_apple minecraft:gunpowder minecraft:iron_horse_armor minecraft:item minecraft:leather_horse_armor minecraft:melon_slice minecraft:saddle minecraft:set_count minecraft:vine minecraft:wheat
trek:overworld/medium/camp_4/street_barrels | minecraft:chest | minecraft:chest minecraft:empty minecraft:feather minecraft:iron_nugget minecraft:item minecraft:pumpkin_pie minecraft:set_count minecraft:spruce_log minecraft:sweet_berries minecraft:tripwire_hook minecraft:wooden_axe
trek:overworld/medium/cold_red_trade/capitan | minecraft:chest | minecraft:chest minecraft:cod minecraft:emerald minecraft:empty minecraft:gold_nugget minecraft:golden_apple minecraft:item minecraft:nautilus_shell minecraft:salmon minecraft:set_count minecraft:stick minecraft:string
trek:overworld/medium/cold_red_trade/hay | minecraft:chest | minecraft:blue_ice minecraft:chest minecraft:empty minecraft:golden_apple minecraft:hay_block minecraft:item minecraft:set_count minecraft:wheat
trek:overworld/medium/cold_red_trade/iron | minecraft:chest | minecraft:chest minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:raw_iron_block minecraft:set_count
trek:overworld/medium/cold_red_trade/main | minecraft:chest | minecraft:bone minecraft:chest minecraft:cooked_cod minecraft:cooked_salmon minecraft:item minecraft:set_count minecraft:string
trek:overworld/medium/dark_oak_trade | minecraft:chest | minecraft:book minecraft:bread minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:paper minecraft:set_count minecraft:white_wool minecraft:writable_book
trek:overworld/medium/desert_ranch/loot | minecraft:chest | minecraft:chest minecraft:compass minecraft:empty minecraft:glow_berries minecraft:honey_bottle minecraft:item minecraft:lead minecraft:set_count
trek:overworld/medium/desert_ranch/trash | minecraft:chest | minecraft:bucket minecraft:chest minecraft:dead_bush minecraft:empty minecraft:flower_pot minecraft:item minecraft:set_count
trek:overworld/medium/dirt_hut | minecraft:chest | minecraft:chest minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:set_damage minecraft:string minecraft:wheat_seeds minecraft:wooden_pickaxe
trek:overworld/medium/enchanter | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:lapis_lazuli minecraft:paper minecraft:set_count minecraft:wheat_seeds
trek:overworld/medium/explorer_cabin/default_1 | minecraft:chest | minecraft:apple minecraft:blindness minecraft:brick minecraft:chest minecraft:dried_kelp minecraft:empty minecraft:golden_carrot minecraft:item minecraft:jump_boost minecraft:large_fern minecraft:name_tag minecraft:night_vision minecraft:poison minecraft:rabbit_stew minecraft:saturation minecraft:set_count minecraft:set_stew_effect minecraft:suspicious_stew minecraft:uniform minecraft:weakness
trek:overworld/medium/explorer_cabin/default_2 | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:chest minecraft:empty minecraft:feather minecraft:iron_nugget minecraft:item minecraft:potion minecraft:set_count minecraft:set_potion minecraft:water
trek:overworld/medium/explorer_cabin/fridge | minecraft:chest | minecraft:beetroot_soup minecraft:bone_meal minecraft:chest minecraft:dried_kelp_block minecraft:empty minecraft:golden_carrot minecraft:item minecraft:mushroom_stew minecraft:rabbit_stew minecraft:set_count
trek:overworld/medium/fort | minecraft:chest | minecraft:bow minecraft:chest minecraft:gunpowder minecraft:item minecraft:lantern minecraft:rotten_flesh minecraft:set_count minecraft:tnt minecraft:wheat
trek:overworld/medium/graveyard | minecraft:chest | minecraft:bone minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:redstone minecraft:rotten_flesh minecraft:set_count minecraft:set_lore minecraft:skeleton_skull minecraft:white_tulip
trek:overworld/medium/haunted_house | minecraft:chest | minecraft:book minecraft:bread minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:set_count minecraft:white_wool minecraft:writable_book
trek:overworld/medium/hobbit_hole | minecraft:chest | minecraft:chest minecraft:clock minecraft:coarse_dirt minecraft:empty minecraft:hanging_roots minecraft:item minecraft:lantern minecraft:set_count
trek:overworld/medium/ice_fort/bottom | minecraft:chest | minecraft:blue_ice minecraft:chest minecraft:cooked_cod minecraft:golden_apple minecraft:ice minecraft:invisibility minecraft:item minecraft:set_count minecraft:set_damage minecraft:set_potion minecraft:slow_falling minecraft:tipped_arrow minecraft:weakness
trek:overworld/medium/ice_fort/top | minecraft:chest | minecraft:blue_ice minecraft:chest minecraft:empty minecraft:golden_apple minecraft:ice minecraft:item minecraft:powder_snow_bucket minecraft:set_count minecraft:snowball
trek:overworld/medium/igloo_village | minecraft:chest | minecraft:chest minecraft:ice minecraft:item minecraft:packed_ice minecraft:set_count minecraft:snowball minecraft:stick
trek:overworld/medium/jungle_treehouse | minecraft:chest | minecraft:chest minecraft:cocoa_beans minecraft:emerald minecraft:item minecraft:set_count minecraft:sugar_cane minecraft:vine
trek:overworld/medium/maison | minecraft:chest | minecraft:apple minecraft:chest minecraft:dried_kelp minecraft:item minecraft:set_count minecraft:wheat minecraft:wheat_seeds
trek:overworld/medium/mangrove_watchtowers | minecraft:chest | minecraft:blue_orchid minecraft:chest minecraft:diamond minecraft:empty minecraft:glass_bottle minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:spyglass
trek:overworld/medium/orbital | minecraft:chest | minecraft:chest minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:item minecraft:poppy minecraft:set_count minecraft:string minecraft:sugar_cane minecraft:vine
trek:overworld/medium/plains_cottage/1_floor | minecraft:chest | minecraft:apple minecraft:cake minecraft:chest minecraft:cookie minecraft:empty minecraft:gold_nugget minecraft:honeycomb minecraft:item minecraft:peony minecraft:rose_bush minecraft:set_count minecraft:sunflower minecraft:sweet_berries
trek:overworld/medium/plains_cottage/2_floor | minecraft:chest | minecraft:chest minecraft:cornflower minecraft:item minecraft:orange_tulip minecraft:pink_tulip minecraft:red_tulip minecraft:white_tulip
trek:overworld/medium/plains_cottage/2_floor_barrels | minecraft:chest | minecraft:bread minecraft:chest minecraft:cornflower minecraft:diamond minecraft:empty minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:orange_tulip minecraft:pink_tulip minecraft:red_tulip minecraft:set_count minecraft:white_tulip
trek:overworld/medium/plains_cottage/2_floor_bed | minecraft:chest | minecraft:amethyst_shard minecraft:chest minecraft:cornflower minecraft:diamond minecraft:empty minecraft:gold_nugget minecraft:golden_apple minecraft:honeycomb minecraft:item minecraft:orange_tulip minecraft:pink_tulip minecraft:red_tulip minecraft:set_count minecraft:white_tulip
trek:overworld/medium/railroad/coal | minecraft:chest | minecraft:chest minecraft:coal minecraft:coal_block minecraft:empty minecraft:gunpowder minecraft:item minecraft:minecart minecraft:set_count minecraft:string minecraft:tripwire_hook
trek:overworld/medium/railroad/horse | minecraft:chest | minecraft:apple minecraft:chest minecraft:empty minecraft:item minecraft:saddle minecraft:set_count minecraft:string minecraft:tripwire_hook minecraft:wheat
trek:overworld/medium/ritual | minecraft:chest | minecraft:bone minecraft:chest minecraft:diamond minecraft:empty minecraft:golden_apple minecraft:golden_carrot minecraft:item minecraft:map minecraft:redstone minecraft:rotten_flesh minecraft:set_count
trek:overworld/medium/ruine_bateaux | minecraft:chest | minecraft:chest minecraft:cod minecraft:compass minecraft:empty minecraft:glass_bottle minecraft:item minecraft:map minecraft:potato minecraft:potion minecraft:salmon minecraft:scaffolding minecraft:set_count minecraft:set_potion minecraft:water
trek:overworld/medium/ruine_cabane | minecraft:chest | minecraft:charcoal minecraft:chest minecraft:cocoa_beans minecraft:empty minecraft:feather minecraft:item minecraft:map minecraft:set_count minecraft:wheat_seeds
trek:overworld/medium/small_red_trade | minecraft:chest | minecraft:bone_meal minecraft:chest minecraft:cod minecraft:emerald minecraft:empty minecraft:gold_nugget minecraft:golden_carrot minecraft:item minecraft:salmon minecraft:set_count
trek:overworld/medium/snowman | minecraft:chest | minecraft:blue_ice minecraft:chest minecraft:cookie minecraft:empty minecraft:item minecraft:set_count minecraft:snow_block minecraft:snowball minecraft:sweet_berries minecraft:wooden_shovel
trek:overworld/medium/sorcerers_house | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:empty minecraft:flint minecraft:golden_apple minecraft:item minecraft:music_disc_13 minecraft:music_disc_blocks minecraft:music_disc_cat minecraft:music_disc_chirp minecraft:music_disc_far minecraft:music_disc_mall minecraft:music_disc_mellohi minecraft:music_disc_wait minecraft:music_disc_ward minecraft:set_count minecraft:spider_eye
trek:overworld/medium/star_spike | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:chest minecraft:empty minecraft:golden_apple minecraft:item minecraft:set_count minecraft:stick minecraft:string minecraft:wheat_seeds
trek:overworld/medium/stelzens | minecraft:chest | minecraft:bread minecraft:bucket minecraft:chest minecraft:item minecraft:set_count minecraft:stick minecraft:vine
trek:overworld/medium/strange_house/basement_diamond | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:diamond minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:spider_eye
trek:overworld/medium/strange_house/basement_emerald | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:emerald minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:spider_eye
trek:overworld/medium/strange_house/basement_gold | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:gold_ingot minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:spider_eye
trek:overworld/medium/strange_house/basement_redstone | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:golden_apple minecraft:item minecraft:redstone_block minecraft:rotten_flesh minecraft:set_count minecraft:spider_eye
trek:overworld/medium/strange_house/top | minecraft:chest | minecraft:beef minecraft:bone minecraft:chest minecraft:cobweb minecraft:item minecraft:redstone minecraft:set_count
trek:overworld/medium/strange_house/top_hay | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:empty minecraft:item minecraft:poisonous_potato minecraft:porkchop minecraft:redstone minecraft:set_count minecraft:wheat
trek:overworld/medium/tour_deserts | minecraft:chest | minecraft:bone minecraft:chest minecraft:dead_bush minecraft:empty minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:stone_sword minecraft:string
trek:overworld/medium/tours | minecraft:chest | minecraft:apple minecraft:bone minecraft:chest minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:stone_sword minecraft:string
trek:overworld/medium/tower | minecraft:chest | minecraft:allium minecraft:bucket minecraft:cauldron minecraft:chest minecraft:diamond minecraft:emerald minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:wheat
trek:overworld/medium/tower_of_ice | minecraft:chest | minecraft:blue_ice minecraft:chest minecraft:cobweb minecraft:empty minecraft:golden_apple minecraft:ice minecraft:item minecraft:set_count minecraft:set_potion minecraft:snowball minecraft:strong_slowness minecraft:tipped_arrow minecraft:weakness
trek:overworld/medium/wandering_traders/1 | minecraft:chest | minecraft:beetroot_seeds minecraft:chest minecraft:emerald minecraft:empty minecraft:iron_ingot minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:string
trek:overworld/medium/wandering_traders/2 | minecraft:chest | minecraft:chest minecraft:coal minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:gunpowder minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:string minecraft:wheat
trek:overworld/medium/wandering_traders/3 | minecraft:chest | minecraft:bone minecraft:chest minecraft:empty minecraft:gunpowder minecraft:item minecraft:name_tag minecraft:saddle minecraft:set_count minecraft:string minecraft:wheat
trek:overworld/medium/witch_tower | minecraft:chest | minecraft:book minecraft:bread minecraft:chest minecraft:cookie minecraft:diamond minecraft:empty minecraft:item minecraft:set_count minecraft:sugar minecraft:wheat
trek:overworld/rare/abandoned_castle_pillager | minecraft:chest | minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:feather minecraft:gold_ingot minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:stick
trek:overworld/rare/castle | minecraft:chest | minecraft:book minecraft:bread minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:golden_horse_armor minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:leather minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:shield minecraft:stone_sword minecraft:string
trek:overworld/rare/island_village_1/common_barrels | minecraft:chest | minecraft:carrot minecraft:chest minecraft:cobblestone minecraft:ink_sac minecraft:item minecraft:lantern minecraft:map minecraft:melon_slice minecraft:paper minecraft:pumpkin_seeds minecraft:set_count minecraft:torch minecraft:wheat
trek:overworld/rare/island_village_1/top_barrels | minecraft:chest | minecraft:book minecraft:carrot minecraft:chest minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:hay_block minecraft:item minecraft:map minecraft:paper minecraft:pumpkin_pie minecraft:set_count
trek:overworld/rare/mushroom_island/middle | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:brown_mushroom minecraft:brown_mushroom_block minecraft:chest minecraft:cod minecraft:empty minecraft:golden_apple minecraft:item minecraft:mushroom_stew minecraft:potato minecraft:pumpkin_seeds minecraft:red_mushroom minecraft:red_mushroom_block minecraft:salmon minecraft:sea_pickle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:tripwire_hook minecraft:vex_armor_trim_smithing_template
trek:overworld/rare/mushroom_island/top | minecraft:chest | minecraft:book minecraft:brown_mushroom minecraft:chest minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_nugget minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:red_mushroom minecraft:set_count
trek:overworld/rare/pyramide_of_anubis/bottom | minecraft:chest | minecraft:chest minecraft:cobweb minecraft:diamond minecraft:empty minecraft:enchanted_golden_apple minecraft:gold_block minecraft:item minecraft:lead minecraft:set_count
trek:overworld/rare/pyramide_of_anubis/top | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:diamond minecraft:empty minecraft:enchanted_golden_apple minecraft:ender_eye minecraft:gold_block minecraft:iron_ingot minecraft:item minecraft:set_count
trek:overworld/rare/sleepy_island_3 | minecraft:chest | minecraft:apple minecraft:azalea minecraft:blue_orchid minecraft:chest minecraft:emerald minecraft:hay_block minecraft:item minecraft:set_count minecraft:wheat
trek:overworld/rare/stronghold_dispenser | minecraft:chest | minecraft:arrow minecraft:chest minecraft:harming minecraft:item minecraft:poison minecraft:random_chance minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:tipped_arrow minecraft:uniform
trek:overworld/rare/tower_island | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:item minecraft:paper minecraft:set_count minecraft:wheat_seeds minecraft:writable_book
trek:overworld/rare/villager_castle/bedroom | minecraft:chest | minecraft:apple minecraft:book minecraft:bread minecraft:chest minecraft:coal minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:iron_ingot minecraft:iron_sword minecraft:item minecraft:paper minecraft:set_count
trek:overworld/rare/villager_castle/default_loot | minecraft:chest | minecraft:chest minecraft:item minecraft:set_count minecraft:wheat minecraft:wheat_seeds
trek:overworld/rare/villager_castle/default_loot_food | minecraft:chest | minecraft:beetroot minecraft:bread minecraft:chest minecraft:item minecraft:set_count
trek:overworld/rare/villager_castle/default_loot_food_better | minecraft:chest | minecraft:bread minecraft:chest minecraft:golden_carrot minecraft:item minecraft:set_count
trek:overworld/rare/villager_castle/default_loot_trash | minecraft:chest | minecraft:chest minecraft:cobweb minecraft:feather minecraft:item minecraft:set_count minecraft:string
trek:overworld/rare/villager_castle/defending_tower | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:flame minecraft:flint minecraft:harming minecraft:infinity minecraft:item minecraft:poison minecraft:power minecraft:punch minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:set_potion minecraft:slowness minecraft:string minecraft:tipped_arrow minecraft:uniform
trek:overworld/rare/villager_castle/enchantment_room | minecraft:chest | minecraft:book minecraft:chest minecraft:enchant_randomly minecraft:feather minecraft:item minecraft:paper minecraft:set_count
trek:overworld/rare/villager_castle/potions | minecraft:chest | minecraft:chest minecraft:glass_bottle minecraft:gunpowder minecraft:harming minecraft:item minecraft:poison minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:splash_potion minecraft:weakness
trek:overworld/rare/villager_island/bottom_barrels | minecraft:chest | minecraft:bone_meal minecraft:brick minecraft:chest minecraft:cod minecraft:emerald minecraft:empty minecraft:hay_block minecraft:iron_nugget minecraft:item minecraft:pufferfish minecraft:salmon minecraft:set_count minecraft:tripwire_hook
trek:overworld/rare/villager_island/good_loot | minecraft:chest | minecraft:brick minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:gold_nugget minecraft:golden_apple minecraft:gunpowder minecraft:iron_ingot minecraft:iron_pickaxe minecraft:item minecraft:set_count minecraft:stick minecraft:wheat
trek:overworld/rare/villager_island/lighthouse | minecraft:chest | minecraft:bread minecraft:chest minecraft:empty minecraft:firework_rocket minecraft:item minecraft:painting minecraft:set_count minecraft:spyglass minecraft:torch
trek:overworld/rare/wooden_manor/blacksmith | minecraft:chest | minecraft:chest minecraft:coal minecraft:empty minecraft:flint minecraft:item minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:set_count
trek:overworld/rare/wooden_manor/default_loot | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:book minecraft:chest minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:gold_nugget minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:stick minecraft:wheat minecraft:wheat_seeds
trek:overworld/very_common/crystal_rock | minecraft:chest | minecraft:amethyst_shard minecraft:apple minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:golden_apple minecraft:item minecraft:raw_copper minecraft:set_count minecraft:wheat_seeds
trek:overworld/very_rare/farm_island/house | minecraft:chest | minecraft:apple minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:honeycomb minecraft:item minecraft:poppy minecraft:set_count minecraft:wheat minecraft:wheat_seeds
trek:overworld/very_rare/farm_island/mill | minecraft:chest | minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:golden_carrot minecraft:item minecraft:set_count minecraft:wheat
trek:overworld/very_rare/floating_farm_large/barn | minecraft:chest | minecraft:chest minecraft:empty minecraft:golden_hoe minecraft:item minecraft:melon minecraft:melon_seeds minecraft:melon_slice minecraft:pumpkin minecraft:pumpkin_seeds minecraft:set_count minecraft:wheat minecraft:wheat_seeds
trek:overworld/very_rare/floating_farm_large/default_loot | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:chest minecraft:emerald minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_carrot minecraft:hay_block minecraft:item minecraft:melon_slice minecraft:pumpkin_pie minecraft:set_count minecraft:stick minecraft:wheat
trek:overworld/very_rare/floating_farm_large/pen | minecraft:chest | minecraft:apple minecraft:bucket minecraft:chest minecraft:empty minecraft:hay_block minecraft:item minecraft:melon_slice minecraft:set_count minecraft:stick minecraft:string minecraft:wheat
trek:pillagers/miner | minecraft:chest | minecraft:chest minecraft:chests/pillager_outpost minecraft:clay_ball minecraft:dark_oak_log minecraft:dark_oak_planks minecraft:dark_oak_sapling minecraft:deepslate_copper_ore minecraft:emerald minecraft:experience_bottle minecraft:item minecraft:raw_iron minecraft:set_count minecraft:uniform minecraft:wheat minecraft:wheat_seeds
trek:pillagers/ocean | minecraft:chest | minecraft:carrot minecraft:chest minecraft:chests/pillager_outpost minecraft:dried_kelp minecraft:empty minecraft:experience_bottle minecraft:glass_bottle minecraft:goat_horn minecraft:iron_nugget minecraft:item minecraft:kelp minecraft:lily_pad minecraft:set_count minecraft:set_instrument minecraft:string minecraft:tripwire_hook minecraft:uniform
trek:pillagers/outpost_barrel | minecraft:chest | minecraft:arrow minecraft:chest minecraft:chests/pillager_outpost minecraft:dark_oak_log minecraft:dark_oak_planks minecraft:emerald minecraft:empty minecraft:experience_bottle minecraft:goat_horn minecraft:gold_nugget minecraft:golden_carrot minecraft:item minecraft:poisonous_potato minecraft:sea_pickle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:uniform
trek:pillagers/outpost_desert | minecraft:chest | minecraft:cactus minecraft:chest minecraft:chests/pillager_outpost minecraft:cut_sandstone minecraft:dead_bush minecraft:emerald minecraft:empty minecraft:experience_bottle minecraft:goat_horn minecraft:item minecraft:lantern minecraft:sandstone minecraft:set_count minecraft:set_instrument minecraft:uniform minecraft:wheat minecraft:wheat_seeds
trek:pillagers/outpost_jungle | minecraft:chest | minecraft:bamboo minecraft:bamboo_block minecraft:chest minecraft:chests/pillager_outpost minecraft:cocoa_beans minecraft:emerald minecraft:empty minecraft:experience_bottle minecraft:goat_horn minecraft:item minecraft:jungle_log minecraft:jungle_planks minecraft:jungle_sapling minecraft:lantern minecraft:set_count minecraft:set_instrument minecraft:uniform
trek:pillagers/outpost_mangrove | minecraft:chest | minecraft:arrow minecraft:chest minecraft:chests/pillager_outpost minecraft:emerald minecraft:empty minecraft:experience_bottle minecraft:goat_horn minecraft:iron_ingot minecraft:item minecraft:mangrove_log minecraft:mangrove_planks minecraft:mangrove_propagule minecraft:melon_slice minecraft:pumpkin_seeds minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:uniform
trek:pillagers/pillager_mansion | minecraft:chest | minecraft:arrow minecraft:baked_potato minecraft:book minecraft:bread minecraft:chest minecraft:crossbow minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:spruce_log minecraft:string minecraft:tripwire_hook minecraft:wheat
trek:village/village_cherry_house | minecraft:chest | minecraft:apple minecraft:book minecraft:bread minecraft:cherry_sapling minecraft:chest minecraft:dandelion minecraft:emerald minecraft:feather minecraft:honey_bottle minecraft:iron_nugget minecraft:item minecraft:pink_petals minecraft:set_count minecraft:uniform trek:village/vilage_cherry_house
trek:village/village_library | minecraft:chest | minecraft:book minecraft:bookshelf minecraft:bread minecraft:chest minecraft:dandelion minecraft:emerald minecraft:feather minecraft:glow_ink_sac minecraft:ink_sac minecraft:iron_nugget minecraft:item minecraft:lantern minecraft:set_count minecraft:uniform trek:village/vilage_library
trek:village/village_library_secret | minecraft:chest | minecraft:book minecraft:bookshelf minecraft:bread minecraft:chest minecraft:dandelion minecraft:emerald minecraft:enchant_with_levels minecraft:feather minecraft:glow_ink_sac minecraft:ink_sac minecraft:iron_nugget minecraft:item minecraft:lantern minecraft:set_count minecraft:uniform trek:village/vilage_library_secret
trek:village/village_swamp_house | minecraft:chest | minecraft:apple minecraft:blue_orchid minecraft:book minecraft:bread minecraft:chest minecraft:emerald minecraft:iron_nugget minecraft:item minecraft:lily_pad minecraft:seagrass minecraft:set_count minecraft:slime_ball minecraft:uniform minecraft:vine trek:village/vilage_swamp_house
