minecraft:entities/bat | minecraft:entity | minecraft:entities/bat minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/donkey | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/donkey minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/fox | minecraft:entity | minecraft:entities/fox minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/frog | minecraft:entity | minecraft:entities/frog minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/ghast | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/ghast minecraft:entity minecraft:ghast_tear minecraft:green_stained_glass minecraft:gunpowder minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:uniform
minecraft:entities/glow_squid | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/glow_squid minecraft:entity minecraft:glow_ink_sac minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/goat | minecraft:entity | minecraft:entities/goat minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/hoglin | minecraft:entity | minecraft:any_of minecraft:enchanted_count_increase minecraft:entities/hoglin minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:porkchop minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/horse | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/horse minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/iron_golem | minecraft:entity | minecraft:entities/iron_golem minecraft:entity minecraft:iron_ingot minecraft:item minecraft:poppy minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/llama | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/llama minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/magma_cube | minecraft:entity | minecraft:cold minecraft:damage_source_properties minecraft:enchanted_count_increase minecraft:entities/magma_cube minecraft:entity minecraft:entity_properties minecraft:frog minecraft:inverted minecraft:item minecraft:lime_stained_glass minecraft:looting minecraft:magma_cream minecraft:ochre_froglight minecraft:pearlescent_froglight minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:slime minecraft:temperate minecraft:uniform minecraft:verdant_froglight minecraft:warm
minecraft:entities/mooshroom | minecraft:entity | minecraft:any_of minecraft:beef minecraft:enchanted_count_increase minecraft:entities/mooshroom minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/mule | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/mule minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/ocelot | minecraft:entity | minecraft:entities/ocelot minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/panda | minecraft:entity | minecraft:bamboo minecraft:entities/panda minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/parrot | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/parrot minecraft:entity minecraft:feather minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/phantom | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/phantom minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:phantom_membrane minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/pig | minecraft:entity | minecraft:any_of minecraft:enchanted_count_increase minecraft:entities/pig minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:porkchop minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/piglin | minecraft:entity | minecraft:entities/piglin minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/piglin_brute | minecraft:entity | minecraft:entities/piglin_brute minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/polar_bear | minecraft:entity | minecraft:any_of minecraft:cod minecraft:enchanted_count_increase minecraft:entities/polar_bear minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:random_chance minecraft:salmon minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/pufferfish | minecraft:entity | minecraft:bone_meal minecraft:entities/pufferfish minecraft:entity minecraft:item minecraft:pufferfish minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/rabbit | minecraft:entity | minecraft:any_of minecraft:enchanted_count_increase minecraft:entities/rabbit minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:rabbit minecraft:rabbit_foot minecraft:rabbit_hide minecraft:random_chance minecraft:random_chance_with_enchanted_bonus minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/salmon | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:entities/salmon minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance minecraft:salmon minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/sheep | minecraft:entity | minecraft:any_of minecraft:enchanted_count_increase minecraft:entities/sheep minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:mutton minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/skeleton | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entities/skeleton minecraft:entity minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/slime | minecraft:entity | minecraft:damage_source_properties minecraft:enchanted_count_increase minecraft:entities/slime minecraft:entity minecraft:entity_properties minecraft:frog minecraft:inverted minecraft:item minecraft:lime_stained_glass minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:slime minecraft:slime_ball minecraft:uniform
minecraft:entities/spider | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/spider minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:spider_eye minecraft:string minecraft:uniform
minecraft:entities/squid | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/squid minecraft:entity minecraft:ink_sac minecraft:item minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/stray | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entities/stray minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:set_potion minecraft:slowness minecraft:snowball minecraft:tipped_arrow minecraft:uniform
minecraft:entities/trader_llama | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/trader_llama minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/tropical_fish | minecraft:entity | minecraft:bone_meal minecraft:entities/tropical_fish minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:tropical_fish
minecraft:entities/turtle | minecraft:entity | minecraft:bowl minecraft:damage_source_properties minecraft:enchanted_count_increase minecraft:entities/turtle minecraft:entity minecraft:is_lightning minecraft:item minecraft:looting minecraft:random_chance minecraft:seagrass minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
minecraft:entities/vex | minecraft:entity | minecraft:entities/vex minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/villager | minecraft:entity | minecraft:entities/villager minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/wandering_trader | minecraft:entity | minecraft:entities/wandering_trader minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/witch | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/witch minecraft:entity minecraft:glass_bottle minecraft:glowstone_dust minecraft:gunpowder minecraft:item minecraft:looting minecraft:random_chance minecraft:redstone minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:spider_eye minecraft:stick minecraft:sugar minecraft:uniform
minecraft:entities/wither_skeleton | minecraft:entity | minecraft:bone minecraft:coal minecraft:enchanted_count_increase minecraft:entities/wither_skeleton minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance minecraft:random_chance_with_enchanted_bonus minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform minecraft:wither_skeleton_skull
minecraft:entities/wolf | minecraft:entity | minecraft:entities/wolf minecraft:entity minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball
minecraft:entities/zombified_piglin | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/zombified_piglin minecraft:entity minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_components minecraft:set_count minecraft:set_custom_data minecraft:snowball minecraft:uniform
