terralith:desert_outpost | minecraft:chest | minecraft:arrow minecraft:book minecraft:carrot minecraft:chest minecraft:chests/pillager_outpost minecraft:crossbow minecraft:dune_armor_trim_smithing_template minecraft:empty minecraft:enchant_randomly minecraft:experience_bottle minecraft:goat_horn minecraft:iron_ingot minecraft:item minecraft:orange_wool minecraft:potato minecraft:sandstone minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:string minecraft:tripwire_hook minecraft:uniform minecraft:wheat
terralith:spire/junk | minecraft:chest | minecraft:apple minecraft:bone minecraft:bread minecraft:chest minecraft:cobweb minecraft:enchant_with_levels minecraft:ice minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:random_chance minecraft:rotten_flesh minecraft:set_count minecraft:set_damage minecraft:snow_block minecraft:snowball minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:string minecraft:wooden_axe minecraft:wooden_pickaxe minecraft:wooden_shovel minecraft:wooden_sword
terralith:spire/rare | minecraft:chest | minecraft:blue_ice minecraft:book minecraft:chest minecraft:copper_block minecraft:diamond minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:exposed_copper minecraft:gold_ingot minecraft:iron_block minecraft:item minecraft:oxidized_copper minecraft:packed_ice minecraft:powder_snow_bucket minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:snow_block minecraft:snowball minecraft:tag minecraft:weathered_copper terralith:spire/rare_tools
terralith:spire/treasure | minecraft:chest | minecraft:blue_ice minecraft:book minecraft:chest minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:diamond_sword minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:ender_pearl minecraft:fortune minecraft:item minecraft:looting minecraft:mending minecraft:packed_ice minecraft:powder_snow_bucket minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:silk_touch minecraft:snow_block minecraft:snowball minecraft:tag minecraft:tnt minecraft:trident terralith:spire/diamond
terralith:underground/chest | minecraft:chest | minecraft:amethyst_block minecraft:amethyst_cluster minecraft:amethyst_shard minecraft:book minecraft:bookshelf minecraft:chest minecraft:clay minecraft:clay_ball minecraft:copper_ingot minecraft:diamond minecraft:diamond_helmet minecraft:diamond_ore minecraft:diamond_pickaxe minecraft:enchant_with_levels minecraft:glow_berries minecraft:gold_ingot minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_shovel minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:large_amethyst_bud minecraft:location_check minecraft:medium_amethyst_bud minecraft:moss_block minecraft:moss_carpet minecraft:paper minecraft:random_chance minecraft:raw_copper minecraft:raw_copper_block minecraft:raw_gold minecraft:raw_gold_block minecraft:raw_iron minecraft:raw_iron_block minecraft:set_count minecraft:set_damage minecraft:short_grass minecraft:small_amethyst_bud minecraft:uniform minecraft:vine
terralith:underground/giant_bee_hive | ? | minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:loot_table minecraft:set_count terralith:royal_jelly
terralith:village/desert/archer | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:crossbow minecraft:enchant_with_levels minecraft:feather minecraft:flint minecraft:iron_nugget minecraft:item minecraft:rabbit_foot minecraft:rabbit_hide minecraft:random_chance minecraft:set_count minecraft:spectral_arrow minecraft:stick minecraft:string minecraft:tripwire_hook minecraft:uniform
terralith:village/desert/attic | ? | minecraft:bowl minecraft:cobweb minecraft:glass_bottle minecraft:item minecraft:spider_eye
terralith:village/desert/butcher | ? | minecraft:loot_table terralith:village/fortified/butcher
terralith:village/desert/cartographer | minecraft:chest | minecraft:bundle minecraft:chest minecraft:compass minecraft:emerald minecraft:enchant_with_levels minecraft:fixed minecraft:item minecraft:lead minecraft:leather_boots minecraft:map minecraft:paper minecraft:random_chance minecraft:saddle minecraft:score minecraft:set_count minecraft:spyglass minecraft:stick minecraft:uniform minecraft:value_check minecraft:writable_book
terralith:village/desert/fisherman | ? | minecraft:loot_table terralith:village/fortified/fisherman
terralith:village/desert/food | ? | minecraft:enchanted_golden_apple minecraft:item minecraft:loot_table minecraft:random_chance terralith:village/fortified/food
terralith:village/desert/generic | ? | minecraft:loot_table terralith:village/fortified/generic
terralith:village/desert/generic_low | ? | minecraft:loot_table terralith:village/fortified/generic_low
terralith:village/desert/junk | ? | minecraft:acacia_door minecraft:bowl minecraft:cactus minecraft:clay_ball minecraft:cut_sandstone minecraft:dead_bush minecraft:diamond_hoe minecraft:enchant_with_levels minecraft:item minecraft:random_chance minecraft:sand minecraft:sandstone minecraft:set_count minecraft:set_damage minecraft:spruce_fence minecraft:stick minecraft:stripped_spruce_log minecraft:terracotta minecraft:uniform minecraft:wooden_hoe
terralith:village/desert/library | ? | minecraft:loot_table terralith:village/fortified/library
terralith:village/desert/mason | ? | minecraft:loot_table terralith:village/fortified/mason
terralith:village/desert/shepherd | ? | minecraft:loot_table terralith:village/desert/food
terralith:village/desert/smith | ? | minecraft:loot_table terralith:village/fortified/smith/expert terralith:village/fortified/smith/novice
terralith:village/desert/smith/expert | minecraft:chest | minecraft:chest minecraft:coal minecraft:cobbled_deepslate minecraft:deepslate minecraft:deepslate_diamond_ore minecraft:deepslate_lapis_ore minecraft:diamond minecraft:diamond_pickaxe minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gold_ore minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:obsidian minecraft:random_chance minecraft:set_count minecraft:uniform
terralith:village/desert/smith/novice | minecraft:chest | minecraft:chest minecraft:coal minecraft:cobblestone minecraft:copper_ingot minecraft:copper_ore minecraft:diamond minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gold_ore minecraft:iron_block minecraft:iron_ingot minecraft:iron_nugget minecraft:iron_ore minecraft:iron_pickaxe minecraft:item minecraft:random_chance minecraft:set_count minecraft:stone minecraft:uniform
terralith:village/desert/treasure | minecraft:chest | minecraft:azalea_leaves minecraft:chain minecraft:chest minecraft:dune_armor_trim_smithing_template minecraft:iron_nugget minecraft:item minecraft:lantern minecraft:loot_table minecraft:random_chance minecraft:set_count minecraft:uniform terralith:village/treasure/diamond terralith:village/treasure/emerald terralith:village/treasure/golem
terralith:village/fortified/archer | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:crossbow minecraft:enchant_with_levels minecraft:feather minecraft:flint minecraft:iron_nugget minecraft:item minecraft:rabbit_foot minecraft:rabbit_hide minecraft:random_chance minecraft:set_count minecraft:spectral_arrow minecraft:stick minecraft:string minecraft:tripwire_hook minecraft:uniform
terralith:village/fortified/attic | ? | minecraft:bowl minecraft:cobweb minecraft:glass_bottle minecraft:item minecraft:spider_eye
terralith:village/fortified/butcher | minecraft:chest | minecraft:beef minecraft:binomial minecraft:blindness minecraft:charcoal minecraft:chest minecraft:chicken minecraft:enchant_with_levels minecraft:iron_axe minecraft:item minecraft:jump_boost minecraft:leather minecraft:night_vision minecraft:oak_wood minecraft:poison minecraft:porkchop minecraft:rabbit minecraft:rabbit_hide minecraft:random_chance minecraft:saturation minecraft:set_count minecraft:set_stew_effect minecraft:stripped_oak_wood minecraft:suspicious_stew minecraft:uniform minecraft:weakness
terralith:village/fortified/cartographer | minecraft:chest | minecraft:bundle minecraft:chest minecraft:compass minecraft:emerald minecraft:enchant_with_levels minecraft:fixed minecraft:item minecraft:lead minecraft:leather_boots minecraft:map minecraft:paper minecraft:random_chance minecraft:saddle minecraft:score minecraft:set_count minecraft:spyglass minecraft:stick minecraft:uniform minecraft:value_check minecraft:writable_book
terralith:village/fortified/fisherman | ? | minecraft:axolotl_bucket minecraft:clay_ball minecraft:cod minecraft:cod_bucket minecraft:glass_bottle minecraft:item minecraft:name_tag minecraft:potion minecraft:pufferfish minecraft:pufferfish_bucket minecraft:salmon minecraft:salmon_bucket minecraft:set_count minecraft:set_potion minecraft:stick minecraft:string minecraft:tadpole_bucket minecraft:tropical_fish minecraft:water minecraft:water_bucket
terralith:village/fortified/food | minecraft:chest | minecraft:apple minecraft:bowl minecraft:bread minecraft:chest minecraft:cooked_beef minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:item minecraft:set_count minecraft:stick minecraft:uniform
terralith:village/fortified/generic | minecraft:chest | minecraft:apple minecraft:book minecraft:bread minecraft:chest minecraft:dandelion minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:oak_sapling minecraft:poppy minecraft:potato minecraft:set_count minecraft:uniform
terralith:village/fortified/generic_low | minecraft:chest | minecraft:apple minecraft:book minecraft:bread minecraft:chest minecraft:dandelion minecraft:emerald minecraft:feather minecraft:gold_nugget minecraft:item minecraft:oak_sapling minecraft:poppy minecraft:potato minecraft:set_count minecraft:uniform
terralith:village/fortified/junk | ? | minecraft:bowl minecraft:coarse_dirt minecraft:cobblestone minecraft:diamond_hoe minecraft:dirt minecraft:enchant_with_levels minecraft:hanging_roots minecraft:item minecraft:mossy_cobblestone minecraft:oak_door minecraft:random_chance minecraft:rooted_dirt minecraft:set_count minecraft:set_damage minecraft:spruce_fence minecraft:stick minecraft:stripped_oak_log minecraft:uniform minecraft:wheat_seeds minecraft:wooden_hoe
terralith:village/fortified/library | minecraft:chest | minecraft:book minecraft:bookshelf minecraft:candle minecraft:chest minecraft:enchant_with_levels minecraft:flint_and_steel minecraft:glow_item_frame minecraft:item minecraft:item_frame minecraft:painting minecraft:paper minecraft:set_count minecraft:uniform minecraft:writable_book
terralith:village/fortified/mason | ? | minecraft:brick minecraft:clay minecraft:clay_ball minecraft:enchant_with_levels minecraft:flower_pot minecraft:iron_shovel minecraft:item minecraft:set_count minecraft:smooth_stone minecraft:stone minecraft:stone_bricks minecraft:uniform minecraft:water_bucket minecraft:yellow_dye
terralith:village/fortified/smith | ? | minecraft:loot_table terralith:village/fortified/smith/expert terralith:village/fortified/smith/novice
terralith:village/fortified/smith/expert | minecraft:chest | minecraft:chest minecraft:coal minecraft:cobbled_deepslate minecraft:deepslate minecraft:deepslate_diamond_ore minecraft:deepslate_lapis_ore minecraft:diamond minecraft:diamond_pickaxe minecraft:enchant_with_levels minecraft:gold_nugget minecraft:gold_ore minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:obsidian minecraft:random_chance minecraft:set_count minecraft:uniform
terralith:village/fortified/smith/novice | minecraft:chest | minecraft:chest minecraft:coal minecraft:cobblestone minecraft:copper_ingot minecraft:copper_ore minecraft:diamond minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:gold_ore minecraft:iron_block minecraft:iron_ingot minecraft:iron_nugget minecraft:iron_ore minecraft:iron_pickaxe minecraft:item minecraft:random_chance minecraft:set_count minecraft:stone minecraft:uniform
terralith:village/fortified/tavern_downstairs | ? | minecraft:apple minecraft:baked_potato minecraft:beetroot_soup minecraft:bread minecraft:carrot minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_mutton minecraft:cooked_porkchop minecraft:cookie minecraft:golden_apple minecraft:item minecraft:melon_slice minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:rabbit_stew minecraft:set_count minecraft:sweet_berries
terralith:village/fortified/tavern_upstairs | ? | minecraft:apple minecraft:beef minecraft:beetroot minecraft:carrot minecraft:chicken minecraft:cocoa_beans minecraft:egg minecraft:honey_bottle minecraft:item minecraft:melon_slice minecraft:milk_bucket minecraft:mutton minecraft:porkchop minecraft:potato minecraft:potion minecraft:pumpkin minecraft:rabbit minecraft:set_count minecraft:set_potion minecraft:sugar minecraft:sweet_berries minecraft:water minecraft:wheat
terralith:village/fortified/treasure | ? | minecraft:apple minecraft:carved_pumpkin minecraft:chain minecraft:coal minecraft:cobbled_deepslate minecraft:dark_oak_sapling minecraft:diamond minecraft:emerald minecraft:emerald_block minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lantern minecraft:oak_sapling minecraft:obsidian minecraft:raw_gold minecraft:raw_iron minecraft:sentry_armor_trim_smithing_template minecraft:set_count
terralith:village/treasure/diamond | minecraft:chest | minecraft:chest minecraft:diamond minecraft:item minecraft:obsidian minecraft:set_count minecraft:uniform
terralith:village/treasure/emerald | minecraft:chest | minecraft:chest minecraft:emerald minecraft:emerald_block minecraft:item minecraft:set_count
terralith:village/treasure/golem | minecraft:chest | minecraft:carved_pumpkin minecraft:chest minecraft:iron_block minecraft:item minecraft:poppy minecraft:set_count
terralith:witch_hut | ? | minecraft:cobweb minecraft:golden_apple minecraft:item minecraft:lily_pad minecraft:long_weakness minecraft:oozing minecraft:potion minecraft:salmon minecraft:set_count minecraft:set_potion minecraft:slime_ball minecraft:splash_potion minecraft:string minecraft:tadpole_bucket
