cataclysm:archaeology/cursed_pyramid | minecraft:archaeology | cataclysm:archaeology/cursed_pyramid cataclysm:necklace_of_the_desert minecraft:archaeology minecraft:archer_pottery_sherd minecraft:diamond minecraft:emerald minecraft:gunpowder minecraft:item minecraft:miner_pottery_sherd minecraft:prize_pottery_sherd minecraft:skull_pottery_sherd minecraft:tnt
cataclysm:blocks/curved_azure_seastone_cindaria_3 | minecraft:block | cataclysm:curved_azure_seastone_cindaria_3 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_cindaria_4 | minecraft:block | cataclysm:curved_azure_seastone_cindaria_4 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_clawdian_1 | minecraft:block | cataclysm:curved_azure_seastone_clawdian_1 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_clawdian_2 | minecraft:block | cataclysm:curved_azure_seastone_clawdian_2 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_clawdian_3 | minecraft:block | cataclysm:curved_azure_seastone_clawdian_3 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_clawdian_4 | minecraft:block | cataclysm:curved_azure_seastone_clawdian_4 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_hippocamtus_1 | minecraft:block | cataclysm:curved_azure_seastone_hippocamtus_1 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_hippocamtus_2 | minecraft:block | cataclysm:curved_azure_seastone_hippocamtus_2 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_hippocamtus_3 | minecraft:block | cataclysm:curved_azure_seastone_hippocamtus_3 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_hippocamtus_4 | minecraft:block | cataclysm:curved_azure_seastone_hippocamtus_4 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_1 | minecraft:block | cataclysm:curved_azure_seastone_scylla_1 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_2 | minecraft:block | cataclysm:curved_azure_seastone_scylla_2 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_3 | minecraft:block | cataclysm:curved_azure_seastone_scylla_3 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_4 | minecraft:block | cataclysm:curved_azure_seastone_scylla_4 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_5 | minecraft:block | cataclysm:curved_azure_seastone_scylla_5 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_6 | minecraft:block | cataclysm:curved_azure_seastone_scylla_6 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_7 | minecraft:block | cataclysm:curved_azure_seastone_scylla_7 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_8 | minecraft:block | cataclysm:curved_azure_seastone_scylla_8 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_scylla_9 | minecraft:block | cataclysm:curved_azure_seastone_scylla_9 minecraft:block minecraft:item
cataclysm:blocks/curved_azure_seastone_urchinkin | minecraft:block | cataclysm:curved_azure_seastone_urchinkin minecraft:block minecraft:item
cataclysm:blocks/draugr_head | minecraft:block | cataclysm:draugr_head minecraft:block minecraft:item
cataclysm:blocks/end_stone_pillar | minecraft:block | cataclysm:end_stone_pillar minecraft:block minecraft:item
cataclysm:blocks/end_stone_teleport_trap_bricks | minecraft:block | cataclysm:end_stone_teleport_trap_bricks minecraft:block minecraft:item
cataclysm:blocks/enderite_block | minecraft:block | cataclysm:enderite_block minecraft:block minecraft:item
cataclysm:blocks/frosted_stone_brick_slab | minecraft:block | cataclysm:frosted_stone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/frosted_stone_brick_stairs | minecraft:block | cataclysm:frosted_stone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/frosted_stone_brick_wall | minecraft:block | cataclysm:frosted_stone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/frosted_stone_bricks | minecraft:block | cataclysm:frosted_stone_bricks minecraft:block minecraft:item
cataclysm:blocks/goddess_statue | minecraft:block | cataclysm:blocks/goddess_statue cataclysm:goddess_statue minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
cataclysm:blocks/ignitium_block | minecraft:block | cataclysm:ignitium_block minecraft:block minecraft:item
cataclysm:blocks/kobolediator_skull | minecraft:block | cataclysm:kobolediator_skull minecraft:block minecraft:item
cataclysm:blocks/mechanical_fusion_anvil | minecraft:block | cataclysm:mechanical_fusion_anvil minecraft:block minecraft:item
cataclysm:blocks/obsidian_brick_slab | minecraft:block | cataclysm:obsidian_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/obsidian_brick_stairs | minecraft:block | cataclysm:obsidian_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/obsidian_brick_wall | minecraft:block | cataclysm:obsidian_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/obsidian_bricks | minecraft:block | cataclysm:obsidian_bricks minecraft:block minecraft:item
cataclysm:blocks/obsidian_explosion_trap_bricks | minecraft:block | cataclysm:obsidian_explosion_trap_bricks minecraft:block minecraft:item
cataclysm:blocks/obsidian_pillar | minecraft:block | cataclysm:obsidian_pillar minecraft:block minecraft:item
cataclysm:blocks/pointed_icicle | minecraft:block | cataclysm:blocks/pointed_icicle cataclysm:pointed_icicle minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/polished_azure_seastone | minecraft:block | cataclysm:polished_azure_seastone minecraft:block minecraft:item
cataclysm:blocks/polished_azure_seastone_slab | minecraft:block | cataclysm:polished_azure_seastone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/polished_azure_seastone_stairs | minecraft:block | cataclysm:polished_azure_seastone_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/polished_azure_seastone_wall | minecraft:block | cataclysm:azure_seastone_wall minecraft:block minecraft:item
cataclysm:blocks/polished_end_stone | minecraft:block | cataclysm:polished_end_stone minecraft:block minecraft:item
cataclysm:blocks/polished_end_stone_slab | minecraft:block | cataclysm:polished_end_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/polished_end_stone_stairs | minecraft:block | cataclysm:polished_end_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/polished_obsidian | minecraft:block | cataclysm:polished_obsidian minecraft:block minecraft:item
cataclysm:blocks/polished_obsidian_slab | minecraft:block | cataclysm:polished_obsidian_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/polished_obsidian_stairs | minecraft:block | cataclysm:polished_obsidian_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/polished_obsidian_wall | minecraft:block | cataclysm:polished_obsidian_wall minecraft:block minecraft:item
cataclysm:blocks/prismarine_brick_fence | minecraft:block | cataclysm:prismarine_brick_fence minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/prismarine_brick_wall | minecraft:block | cataclysm:prismarine_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/purpur_tile_pillar | minecraft:block | cataclysm:purpur_tile_pillar minecraft:block minecraft:item
cataclysm:blocks/purpur_tile_slab | minecraft:block | cataclysm:purpur_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
cataclysm:blocks/purpur_tile_stairs | minecraft:block | cataclysm:purpur_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/purpur_tile_wall | minecraft:block | cataclysm:purpur_tile_wall minecraft:block minecraft:item
cataclysm:blocks/purpur_tiles | minecraft:block | cataclysm:purpur_tiles minecraft:block minecraft:item
cataclysm:blocks/purpur_void_rune_trap_block | minecraft:block | cataclysm:purpur_void_rune_trap_block minecraft:block minecraft:item
cataclysm:blocks/purpur_wall | minecraft:block | cataclysm:purpur_wall minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/quartz_brick_wall | minecraft:block | cataclysm:quartz_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/sandstone_falling_trap | minecraft:block | cataclysm:sandstone_falling_trap minecraft:block minecraft:item
cataclysm:blocks/sandstone_ignite_trap | minecraft:block | cataclysm:sandstone_ignite_trap minecraft:block minecraft:item
cataclysm:blocks/sandstone_poison_dart_trap | minecraft:block | cataclysm:sandstone_poison_dart_trap minecraft:block minecraft:item
cataclysm:blocks/stone_pillar | minecraft:block | cataclysm:stone_pillar minecraft:block minecraft:item
cataclysm:blocks/stone_tile_slab | minecraft:block | cataclysm:stone_tile_slab minecraft:block minecraft:item
cataclysm:blocks/stone_tile_stairs | minecraft:block | cataclysm:stone_tile_stairs minecraft:block minecraft:item
cataclysm:blocks/stone_tile_wall | minecraft:block | cataclysm:stone_tile_wall minecraft:block minecraft:item
cataclysm:blocks/stone_tiles | minecraft:block | cataclysm:stone_tiles minecraft:block minecraft:item
cataclysm:blocks/void_crystal | minecraft:block | cataclysm:void_crystal minecraft:block minecraft:item
cataclysm:blocks/void_infused_end_stone_bricks | minecraft:block | cataclysm:void_infused_end_stone_bricks minecraft:block minecraft:item
cataclysm:blocks/void_lantern_block | minecraft:block | cataclysm:void_lantern_block minecraft:block minecraft:item minecraft:survives_explosion
cataclysm:blocks/void_purpur_tiles | minecraft:block | cataclysm:void_purpur_tiles minecraft:block minecraft:item
cataclysm:blocks/void_stone | minecraft:block | cataclysm:void_stone minecraft:block minecraft:item
cataclysm:blocks/witherite_block | minecraft:block | cataclysm:witherite_block minecraft:block minecraft:item
cataclysm:chests/abandoned | minecraft:chest | cataclysm:black_steel_ingot cataclysm:chests/abandoned cataclysm:sturdy_boots minecraft:chest minecraft:diamond_horse_armor minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_horse_armor minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:leather minecraft:saddle minecraft:set_count minecraft:uniform
cataclysm:chests/abandoned_treasure | minecraft:chest | cataclysm:berserker_soul_amulet cataclysm:black_steel_axe cataclysm:black_steel_ingot cataclysm:black_steel_shovel cataclysm:black_steel_sword cataclysm:chests/abandoned_treasure cataclysm:ring_of_grudged cataclysm:sturdy_boots minecraft:chest minecraft:diamond minecraft:diamond_horse_armor minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_horse_armor minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:leather minecraft:saddle minecraft:set_count minecraft:uniform
cataclysm:chests/acropolis_treasure | minecraft:chest | cataclysm:chests/acropolis_treasure cataclysm:lacrima minecraft:book minecraft:chest minecraft:copper_ingot minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:diamond_sword minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:golden_shovel minecraft:golden_sword minecraft:item minecraft:nautilus_shell minecraft:set_count minecraft:trident minecraft:turtle_scute minecraft:uniform minecraft:wind_burst
cataclysm:chests/amethyst_nest_chest | minecraft:chest | cataclysm:amethyst_crab_meat cataclysm:amethyst_crab_shell cataclysm:chests/amethyst_nest_chest minecraft:amethyst_shard minecraft:beetroot_seeds minecraft:bread minecraft:chest minecraft:coal minecraft:diamond minecraft:empty minecraft:enchanted_golden_apple minecraft:glow_berries minecraft:golden_apple minecraft:item minecraft:lapis_lazuli minecraft:melon_seeds minecraft:name_tag minecraft:pumpkin_seeds minecraft:redstone minecraft:set_count minecraft:uniform
cataclysm:chests/desert_treasure | minecraft:chest | cataclysm:ancient_metal_ingot cataclysm:chests/desert_treasure cataclysm:unbreakable_skull cataclysm:vitality_ankh minecraft:book minecraft:chest minecraft:diamond minecraft:diamond_horse_armor minecraft:dune_armor_trim_smithing_template minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:golden_horse_armor minecraft:iron_horse_armor minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:uniform
cataclysm:chests/frosted_prison_treasure | minecraft:chest | cataclysm:black_steel_axe cataclysm:black_steel_ingot cataclysm:black_steel_sword cataclysm:chests/frosted_prison_treasure minecraft:chest minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_horse_armor minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:diamond_sword minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_horse_armor minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_shovel minecraft:item minecraft:saddle minecraft:set_count minecraft:uniform
cataclysm:entities/amethyst_crab | minecraft:entity | cataclysm:amethyst_crab_meat cataclysm:amethyst_crab_shell minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
cataclysm:entities/ancient_remnant | ? | cataclysm:ancient_metal_block cataclysm:music_disc_ancient_remnant cataclysm:remnant_skull cataclysm:sandstorm_in_a_bottle minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/aptrgangr | minecraft:entity | cataclysm:black_steel_ingot cataclysm:black_steel_nugget cataclysm:entities/draugr cataclysm:strange_key minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:rotten_flesh minecraft:set_count minecraft:uniform
cataclysm:entities/cindaria | minecraft:entity | cataclysm:entities/cindaria cataclysm:lacrima minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
cataclysm:entities/clawdian | minecraft:entity | cataclysm:chitin_claw cataclysm:entities/clawdian cataclysm:lacrima minecraft:entity minecraft:item minecraft:set_count minecraft:uniform
cataclysm:entities/coral_golem | ? | cataclysm:crystallized_coral_fragments minecraft:item
cataclysm:entities/coralssus | ? | cataclysm:coral_chunk minecraft:item
cataclysm:entities/deepling | minecraft:entity | minecraft:entity minecraft:item minecraft:nautilus_shell minecraft:random_chance
cataclysm:entities/deepling_angler | minecraft:entity | minecraft:entity minecraft:item minecraft:nautilus_shell minecraft:random_chance
cataclysm:entities/deepling_brute | minecraft:entity | minecraft:entity minecraft:item minecraft:nautilus_shell minecraft:random_chance
cataclysm:entities/deepling_priest | ? | cataclysm:athame minecraft:item
cataclysm:entities/deepling_warlock | ? | cataclysm:athame minecraft:item
cataclysm:entities/draugr | minecraft:entity | cataclysm:black_steel_ingot cataclysm:black_steel_nugget cataclysm:entities/draugr minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
cataclysm:entities/drowned_host | minecraft:entity | cataclysm:entities/drowned_host cataclysm:lacrima minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
cataclysm:entities/elite_draugr | minecraft:entity | cataclysm:black_steel_ingot cataclysm:black_steel_nugget cataclysm:entities/elite_draugr minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
cataclysm:entities/ender_golem | ? | cataclysm:void_core minecraft:item
cataclysm:entities/ender_guardian | ? | cataclysm:gauntlet_of_guard cataclysm:music_disc_ender_guardian minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/endermaptera | ? | 
cataclysm:entities/endermaptera_has_jaws | ? | cataclysm:void_jaw minecraft:item
cataclysm:entities/hippocamtus | minecraft:entity | cataclysm:entities/hippocamtus cataclysm:lacrima minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
cataclysm:entities/ignis | ? | cataclysm:ignitium_ingot cataclysm:music_disc_ignis minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/ignited_berserker | minecraft:entity | cataclysm:dying_ember minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
cataclysm:entities/ignited_revenant | ? | cataclysm:burning_ashes minecraft:item
cataclysm:entities/kobolediator | minecraft:entity | cataclysm:ancient_metal_ingot cataclysm:entities/kobolediator cataclysm:kobolediator_skull cataclysm:koboleton_bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
cataclysm:entities/koboleton | minecraft:entity | cataclysm:ancient_metal_ingot cataclysm:ancient_metal_nugget cataclysm:entities/koboleton cataclysm:koboleton_bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
cataclysm:entities/lionfish | minecraft:entity | cataclysm:lionfish minecraft:bone_meal minecraft:entity minecraft:item minecraft:random_chance minecraft:set_count
cataclysm:entities/maledictus | minecraft:entity | cataclysm:cursium_ingot cataclysm:entities/maledictus cataclysm:music_disc_maledictus minecraft:entity minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
cataclysm:entities/modern_remnant | ? | cataclysm:remnant_skull minecraft:item
cataclysm:entities/netherite_ministrosity | ? | cataclysm:netherite_effigy minecraft:item
cataclysm:entities/netherite_monstrosity | ? | cataclysm:infernal_forge cataclysm:lava_power_cell cataclysm:monstrous_horn cataclysm:music_disc_netherite_monstrosity minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
cataclysm:entities/royal_draugr | minecraft:entity | cataclysm:black_steel_ingot cataclysm:black_steel_nugget cataclysm:entities/royal_draugr minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
cataclysm:entities/scylla | minecraft:entity | cataclysm:entities/scylla cataclysm:essence_of_the_storm cataclysm:lacrima cataclysm:music_disc_scylla minecraft:entity minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
cataclysm:entities/symbiocto | minecraft:entity | cataclysm:entities/symbiocto cataclysm:lacrima minecraft:enchanted_count_increase minecraft:entity minecraft:ink_sac minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform
cataclysm:entities/the_baby_leviathan | ? | cataclysm:abyssal_egg minecraft:item
cataclysm:entities/the_harbinger | ? | cataclysm:music_disc_the_harbinger cataclysm:witherite_block minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/the_leviathan | ? | cataclysm:abyssal_egg cataclysm:music_disc_the_leviathan cataclysm:tidal_claws minecraft:item minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/the_prowler | minecraft:entity | minecraft:entity minecraft:iron_ingot minecraft:item minecraft:redstone minecraft:set_count minecraft:uniform
cataclysm:entities/the_watcher | minecraft:entity | minecraft:entity minecraft:iron_ingot minecraft:item minecraft:redstone minecraft:set_count minecraft:uniform
cataclysm:entities/urchinkin | minecraft:entity | cataclysm:entities/symbiocto cataclysm:lacrima minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
cataclysm:entities/wadjet | minecraft:entity | cataclysm:ancient_metal_ingot cataclysm:entities/wadjet minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
