woodworks:blocks/acacia_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:acacia_beehive woodworks:blocks/acacia_beehive
woodworks:blocks/birch_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:birch_beehive woodworks:blocks/birch_beehive
woodworks:blocks/birch_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:birch_boards woodworks:blocks/birch_boards
woodworks:blocks/birch_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:birch_bookshelf woodworks:blocks/birch_bookshelf
woodworks:blocks/birch_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:birch_chest woodworks:blocks/birch_chest
woodworks:blocks/birch_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:birch_ladder woodworks:blocks/birch_ladder
woodworks:blocks/birch_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:birch_leaf_pile woodworks:blocks/birch_leaf_pile
woodworks:blocks/cherry_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/cherry_beehive woodworks:cherry_beehive
woodworks:blocks/cherry_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/cherry_boards woodworks:cherry_boards
woodworks:blocks/cherry_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/cherry_bookshelf woodworks:cherry_bookshelf
woodworks:blocks/cherry_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/cherry_chest woodworks:cherry_chest
woodworks:blocks/cherry_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/cherry_ladder woodworks:cherry_ladder
woodworks:blocks/cherry_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/cherry_leaf_pile woodworks:cherry_leaf_pile
woodworks:blocks/chiseled_acacia_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_acacia_bookshelf woodworks:chiseled_acacia_bookshelf
woodworks:blocks/chiseled_bamboo_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_bamboo_bookshelf woodworks:chiseled_bamboo_bookshelf
woodworks:blocks/chiseled_birch_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_birch_bookshelf woodworks:chiseled_birch_bookshelf
woodworks:blocks/chiseled_cherry_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_cherry_bookshelf woodworks:chiseled_cherry_bookshelf
woodworks:blocks/chiseled_crimson_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_crimson_bookshelf woodworks:chiseled_crimson_bookshelf
woodworks:blocks/chiseled_dark_oak_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_dark_oak_bookshelf woodworks:chiseled_dark_oak_bookshelf
woodworks:blocks/chiseled_jungle_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_jungle_bookshelf woodworks:chiseled_jungle_bookshelf
woodworks:blocks/chiseled_mangrove_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_mangrove_bookshelf woodworks:chiseled_mangrove_bookshelf
woodworks:blocks/chiseled_spruce_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_spruce_bookshelf woodworks:chiseled_spruce_bookshelf
woodworks:blocks/chiseled_warped_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/chiseled_warped_bookshelf woodworks:chiseled_warped_bookshelf
woodworks:blocks/crimson_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/crimson_beehive woodworks:crimson_beehive
woodworks:blocks/crimson_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/crimson_boards woodworks:crimson_boards
woodworks:blocks/crimson_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/crimson_bookshelf woodworks:crimson_bookshelf
woodworks:blocks/crimson_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/crimson_chest woodworks:crimson_chest
woodworks:blocks/crimson_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/crimson_ladder woodworks:crimson_ladder
woodworks:blocks/dark_oak_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/dark_oak_beehive woodworks:dark_oak_beehive
woodworks:blocks/dark_oak_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/dark_oak_boards woodworks:dark_oak_boards
woodworks:blocks/dark_oak_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/dark_oak_bookshelf woodworks:dark_oak_bookshelf
woodworks:blocks/dark_oak_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/dark_oak_chest woodworks:dark_oak_chest
woodworks:blocks/dark_oak_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/dark_oak_ladder woodworks:dark_oak_ladder
woodworks:blocks/dark_oak_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/dark_oak_leaf_pile woodworks:dark_oak_leaf_pile
woodworks:blocks/flowering_azalea_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/flowering_azalea_leaf_pile woodworks:flowering_azalea_leaf_pile
woodworks:blocks/jungle_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/jungle_beehive woodworks:jungle_beehive
woodworks:blocks/jungle_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/jungle_boards woodworks:jungle_boards
woodworks:blocks/jungle_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/jungle_bookshelf woodworks:jungle_bookshelf
woodworks:blocks/jungle_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/jungle_chest woodworks:jungle_chest
woodworks:blocks/jungle_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/jungle_ladder woodworks:jungle_ladder
woodworks:blocks/jungle_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/jungle_leaf_pile woodworks:jungle_leaf_pile
woodworks:blocks/mangrove_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/mangrove_beehive woodworks:mangrove_beehive
woodworks:blocks/mangrove_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/mangrove_boards woodworks:mangrove_boards
woodworks:blocks/mangrove_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/mangrove_bookshelf woodworks:mangrove_bookshelf
woodworks:blocks/mangrove_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/mangrove_chest woodworks:mangrove_chest
woodworks:blocks/mangrove_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/mangrove_ladder woodworks:mangrove_ladder
woodworks:blocks/mangrove_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/mangrove_leaf_pile woodworks:mangrove_leaf_pile
woodworks:blocks/oak_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/oak_boards woodworks:oak_boards
woodworks:blocks/oak_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/oak_chest woodworks:oak_chest
woodworks:blocks/oak_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/oak_leaf_pile woodworks:oak_leaf_pile
woodworks:blocks/sawmill | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/sawmill woodworks:sawmill
woodworks:blocks/spruce_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/spruce_beehive woodworks:spruce_beehive
woodworks:blocks/spruce_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/spruce_boards woodworks:spruce_boards
woodworks:blocks/spruce_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/spruce_bookshelf woodworks:spruce_bookshelf
woodworks:blocks/spruce_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/spruce_chest woodworks:spruce_chest
woodworks:blocks/spruce_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/spruce_ladder woodworks:spruce_ladder
woodworks:blocks/spruce_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:blocks/spruce_leaf_pile woodworks:spruce_leaf_pile
woodworks:blocks/trapped_acacia_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_acacia_chest woodworks:trapped_acacia_chest
woodworks:blocks/trapped_bamboo_closet | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_bamboo_closet woodworks:trapped_bamboo_closet
woodworks:blocks/trapped_birch_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_birch_chest woodworks:trapped_birch_chest
woodworks:blocks/trapped_cherry_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_cherry_chest woodworks:trapped_cherry_chest
woodworks:blocks/trapped_crimson_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_crimson_chest woodworks:trapped_crimson_chest
woodworks:blocks/trapped_dark_oak_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_dark_oak_chest woodworks:trapped_dark_oak_chest
woodworks:blocks/trapped_jungle_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_jungle_chest woodworks:trapped_jungle_chest
woodworks:blocks/trapped_mangrove_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_mangrove_chest woodworks:trapped_mangrove_chest
woodworks:blocks/trapped_oak_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_oak_chest woodworks:trapped_oak_chest
woodworks:blocks/trapped_spruce_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_spruce_chest woodworks:trapped_spruce_chest
woodworks:blocks/trapped_warped_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/trapped_warped_chest woodworks:trapped_warped_chest
woodworks:blocks/warped_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:blocks/warped_beehive woodworks:warped_beehive
woodworks:blocks/warped_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/warped_boards woodworks:warped_boards
woodworks:blocks/warped_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:blocks/warped_bookshelf woodworks:warped_bookshelf
woodworks:blocks/warped_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:blocks/warped_chest woodworks:warped_chest
woodworks:blocks/warped_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:blocks/warped_ladder woodworks:warped_ladder
