fxntstorage:blocks/acacia_simple_storage_box | minecraft:block | fxntstorage:acacia_simple_storage_box fxntstorage:block_entity_save_components fxntstorage:blocks/acacia_simple_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/cherry_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/cherry_simple_storage_box fxntstorage:cherry_simple_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/cherry_storage_trim | minecraft:block | fxntstorage:blocks/cherry_storage_trim fxntstorage:cherry_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/copper_backpack | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/copper_backpack fxntstorage:copper_backpack fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/copper_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/copper_storage_box fxntstorage:copper_storage_box fxntstorage:copy_block_entity_data minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/crimson_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/crimson_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:crimson_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/crimson_storage_trim | minecraft:block | fxntstorage:blocks/crimson_storage_trim fxntstorage:crimson_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/dark_oak_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/dark_oak_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:dark_oak_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/dark_oak_storage_trim | minecraft:block | fxntstorage:blocks/dark_oak_storage_trim fxntstorage:dark_oak_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/hardened_backpack | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/hardened_backpack fxntstorage:copy_block_entity_data fxntstorage:hardened_backpack minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/hardened_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/hardened_storage_box fxntstorage:copy_block_entity_data fxntstorage:hardened_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/jungle_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/jungle_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:jungle_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/jungle_storage_trim | minecraft:block | fxntstorage:blocks/jungle_storage_trim fxntstorage:jungle_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/mangrove_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/mangrove_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:mangrove_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/mangrove_storage_trim | minecraft:block | fxntstorage:blocks/mangrove_storage_trim fxntstorage:mangrove_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/oak_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/oak_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:oak_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/oak_storage_trim | minecraft:block | fxntstorage:blocks/oak_storage_trim fxntstorage:oak_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/pale_oak_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/pale_oak_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:pale_oak_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/pale_oak_storage_trim | minecraft:block | fxntstorage:blocks/pale_oak_storage_trim fxntstorage:pale_oak_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/passer_block | minecraft:block | fxntstorage:blocks/passer_block fxntstorage:passer_block minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/smart_passer_block | minecraft:block | fxntstorage:blocks/smart_passer_block fxntstorage:smart_passer_block minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/spruce_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/spruce_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:spruce_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/spruce_storage_trim | minecraft:block | fxntstorage:blocks/spruce_storage_trim fxntstorage:spruce_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/storage_box fxntstorage:copy_block_entity_data fxntstorage:storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/storage_controller | minecraft:block | fxntstorage:blocks/storage_controller fxntstorage:storage_controller minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/storage_interface | minecraft:block | fxntstorage:blocks/storage_interface fxntstorage:storage_interface minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/storage_interface_filtered | minecraft:block | fxntstorage:blocks/storage_interface_filtered fxntstorage:storage_interface_filtered minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/warped_simple_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/warped_simple_storage_box fxntstorage:copy_block_entity_data fxntstorage:warped_simple_storage_box minecraft:alternatives minecraft:block minecraft:item
fxntstorage:blocks/warped_storage_trim | minecraft:block | fxntstorage:blocks/warped_storage_trim fxntstorage:warped_storage_trim minecraft:block minecraft:item minecraft:survives_explosion
fxntstorage:blocks/weathered_storage_box | minecraft:block | fxntstorage:block_entity_save_components fxntstorage:blocks/weathered_storage_box fxntstorage:copy_block_entity_data fxntstorage:weathered_storage_box minecraft:alternatives minecraft:block minecraft:item
