farmersdelight:blocks/acacia_cabinet | minecraft:block | farmersdelight:acacia_cabinet farmersdelight:blocks/acacia_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cabbages | minecraft:block | farmersdelight:blocks/cabbages farmersdelight:cabbage farmersdelight:cabbage_seeds farmersdelight:cabbages minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
farmersdelight:blocks/canvas_rug | minecraft:block | farmersdelight:blocks/canvas_rug farmersdelight:canvas_rug minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/canvas_sign | minecraft:block | farmersdelight:blocks/canvas_sign farmersdelight:canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/carrot_crate | minecraft:block | farmersdelight:blocks/carrot_crate farmersdelight:carrot_crate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cherry_cabinet | minecraft:block | farmersdelight:blocks/cherry_cabinet farmersdelight:cherry_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/chocolate_pie | minecraft:block | farmersdelight:blocks/chocolate_pie minecraft:block
farmersdelight:blocks/cooking_pot | minecraft:block | farmersdelight:blocks/cooking_pot farmersdelight:container farmersdelight:cooking_pot farmersdelight:meal minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/crimson_cabinet | minecraft:block | farmersdelight:blocks/crimson_cabinet farmersdelight:crimson_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cutting_board | minecraft:block | farmersdelight:blocks/cutting_board farmersdelight:cutting_board minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cyan_canvas_sign | minecraft:block | farmersdelight:blocks/cyan_canvas_sign farmersdelight:cyan_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/cyan_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/cyan_hanging_canvas_sign farmersdelight:cyan_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/dark_oak_cabinet | minecraft:block | farmersdelight:blocks/dark_oak_cabinet farmersdelight:dark_oak_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/full_tatami_mat | minecraft:block | farmersdelight:blocks/full_tatami_mat farmersdelight:full_tatami_mat minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
farmersdelight:blocks/gleaming_salad_block | minecraft:block | farmersdelight:blocks/gleaming_salad_block farmersdelight:gleaming_salad_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
farmersdelight:blocks/gray_canvas_sign | minecraft:block | farmersdelight:blocks/gray_canvas_sign farmersdelight:gray_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/gray_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/gray_hanging_canvas_sign farmersdelight:gray_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/green_canvas_sign | minecraft:block | farmersdelight:blocks/green_canvas_sign farmersdelight:green_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/green_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/green_hanging_canvas_sign farmersdelight:green_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/half_tatami_mat | minecraft:block | farmersdelight:blocks/half_tatami_mat farmersdelight:half_tatami_mat minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/hanging_canvas_sign | minecraft:block | farmersdelight:blocks/hanging_canvas_sign farmersdelight:hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/honey_glazed_ham_block | minecraft:block | farmersdelight:blocks/honey_glazed_ham_block farmersdelight:honey_glazed_ham_block minecraft:block minecraft:block_state_property minecraft:bone minecraft:bowl minecraft:inverted minecraft:item
farmersdelight:blocks/jungle_cabinet | minecraft:block | farmersdelight:blocks/jungle_cabinet farmersdelight:jungle_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/light_blue_canvas_sign | minecraft:block | farmersdelight:blocks/light_blue_canvas_sign farmersdelight:light_blue_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/light_blue_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/light_blue_hanging_canvas_sign farmersdelight:light_blue_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/light_gray_canvas_sign | minecraft:block | farmersdelight:blocks/light_gray_canvas_sign farmersdelight:light_gray_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/light_gray_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/light_gray_hanging_canvas_sign farmersdelight:light_gray_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/lime_canvas_sign | minecraft:block | farmersdelight:blocks/lime_canvas_sign farmersdelight:lime_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/lime_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/lime_hanging_canvas_sign farmersdelight:lime_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/magenta_canvas_sign | minecraft:block | farmersdelight:blocks/magenta_canvas_sign farmersdelight:magenta_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/magenta_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/magenta_hanging_canvas_sign farmersdelight:magenta_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/mangrove_cabinet | minecraft:block | farmersdelight:blocks/mangrove_cabinet farmersdelight:mangrove_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/oak_cabinet | minecraft:block | farmersdelight:blocks/oak_cabinet farmersdelight:oak_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/onion_crate | minecraft:block | farmersdelight:blocks/onion_crate farmersdelight:onion_crate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/onions | minecraft:block | farmersdelight:blocks/onions farmersdelight:onion farmersdelight:onions minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item
farmersdelight:blocks/orange_canvas_sign | minecraft:block | farmersdelight:blocks/orange_canvas_sign farmersdelight:orange_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/orange_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/orange_hanging_canvas_sign farmersdelight:orange_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/organic_compost | minecraft:block | farmersdelight:blocks/organic_compost farmersdelight:organic_compost minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/pink_canvas_sign | minecraft:block | farmersdelight:blocks/pink_canvas_sign farmersdelight:pink_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/pink_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/pink_hanging_canvas_sign farmersdelight:pink_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/potato_crate | minecraft:block | farmersdelight:blocks/potato_crate farmersdelight:potato_crate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/pumpkin_pie | minecraft:block | farmersdelight:blocks/pumpkin_pie minecraft:block
farmersdelight:blocks/purple_canvas_sign | minecraft:block | farmersdelight:blocks/purple_canvas_sign farmersdelight:purple_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/purple_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/purple_hanging_canvas_sign farmersdelight:purple_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/red_canvas_sign | minecraft:block | farmersdelight:blocks/red_canvas_sign farmersdelight:red_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/red_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/red_hanging_canvas_sign farmersdelight:red_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/red_mushroom_colony | minecraft:block | farmersdelight:blocks/red_mushroom_colony farmersdelight:red_mushroom_colony minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:inverted minecraft:item minecraft:red_mushroom minecraft:set_count neoforge:can_item_perform_ability
farmersdelight:blocks/rice | minecraft:block | farmersdelight:blocks/rice farmersdelight:rice minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rice_bag | minecraft:block | farmersdelight:blocks/rice_bag farmersdelight:rice_bag minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rice_bale | minecraft:block | farmersdelight:blocks/rice_bale farmersdelight:rice_bale minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rice_panicles | minecraft:block | farmersdelight:blocks/rice_panicles farmersdelight:rice farmersdelight:rice_panicle farmersdelight:rice_panicles minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool
farmersdelight:blocks/rice_roll_medley_block | minecraft:block | farmersdelight:blocks/rice_roll_medley_block farmersdelight:rice_roll_medley_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
farmersdelight:blocks/rich_soil | minecraft:block | farmersdelight:blocks/rich_soil farmersdelight:rich_soil minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rich_soil_farmland | minecraft:block | farmersdelight:blocks/rich_soil_farmland farmersdelight:rich_soil minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/roast_chicken_block | minecraft:block | farmersdelight:blocks/roast_chicken_block farmersdelight:roast_chicken_block minecraft:block minecraft:block_state_property minecraft:bone_meal minecraft:bowl minecraft:inverted minecraft:item
farmersdelight:blocks/rope | minecraft:block | farmersdelight:blocks/rope farmersdelight:rope minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rope_fence | minecraft:block | farmersdelight:blocks/rope_fence farmersdelight:rope_fence minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/rope_fence_gate | minecraft:block | farmersdelight:blocks/rope_fence_gate farmersdelight:rope_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/safety_net | minecraft:block | farmersdelight:blocks/safety_net farmersdelight:safety_net minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/sandy_shrub | minecraft:block | farmersdelight:blocks/sandy_shrub farmersdelight:sandy_shrub minecraft:alternatives minecraft:apply_bonus minecraft:beetroot_seeds minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:random_chance minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/shepherds_pie_block | minecraft:block | farmersdelight:blocks/shepherds_pie_block farmersdelight:shepherds_pie_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
farmersdelight:blocks/skillet | minecraft:block | farmersdelight:blocks/skillet farmersdelight:copy_skillet farmersdelight:skillet minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/spruce_cabinet | minecraft:block | farmersdelight:blocks/spruce_cabinet farmersdelight:spruce_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/stove | minecraft:block | farmersdelight:blocks/stove farmersdelight:stove minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/straw_bale | minecraft:block | farmersdelight:blocks/straw_bale farmersdelight:straw_bale minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/stuffed_pumpkin_block | minecraft:block | farmersdelight:blocks/stuffed_pumpkin_block farmersdelight:stuffed_pumpkin_block minecraft:block minecraft:block_state_property minecraft:item
farmersdelight:blocks/sweet_berry_cheesecake | minecraft:block | farmersdelight:blocks/sweet_berry_cheesecake minecraft:block
farmersdelight:blocks/tatami | minecraft:block | farmersdelight:blocks/tatami farmersdelight:tatami minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/tomato_crate | minecraft:block | farmersdelight:blocks/tomato_crate farmersdelight:tomato_crate minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/tomatoes | minecraft:block | farmersdelight:blocks/tomatoes farmersdelight:rotten_tomato farmersdelight:tomato farmersdelight:tomato_seeds farmersdelight:tomatoes minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:random_chance minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count
farmersdelight:blocks/tomatoes_on_rope | minecraft:block | farmersdelight:blocks/tomatoes_on_rope farmersdelight:rotten_tomato farmersdelight:tomato farmersdelight:tomatoes_on_rope minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:random_chance minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count
farmersdelight:blocks/warped_cabinet | minecraft:block | farmersdelight:blocks/warped_cabinet farmersdelight:warped_cabinet minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/white_canvas_sign | minecraft:block | farmersdelight:blocks/white_canvas_sign farmersdelight:white_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/white_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/white_hanging_canvas_sign farmersdelight:white_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/wild_beetroots | minecraft:block | farmersdelight:blocks/wild_beetroots farmersdelight:wild_beetroots minecraft:alternatives minecraft:apply_bonus minecraft:beetroot minecraft:beetroot_seeds minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:random_chance minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wild_cabbages | minecraft:block | farmersdelight:blocks/wild_cabbages farmersdelight:cabbage farmersdelight:cabbage_seeds farmersdelight:wild_cabbages minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:random_chance minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wild_carrots | minecraft:block | farmersdelight:blocks/wild_carrots farmersdelight:wild_carrots minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:carrot minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wild_onions | minecraft:block | farmersdelight:blocks/wild_onions farmersdelight:onion farmersdelight:wild_onions minecraft:allium minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wild_potatoes | minecraft:block | farmersdelight:blocks/wild_potatoes farmersdelight:wild_potatoes minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:potato minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wild_rice | minecraft:block | farmersdelight:blocks/wild_rice farmersdelight:rice farmersdelight:wild_rice minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item minecraft:location_check minecraft:survives_explosion neoforge:can_item_perform_ability
farmersdelight:blocks/wild_tomatoes | minecraft:block | farmersdelight:blocks/wild_tomatoes farmersdelight:tomato farmersdelight:tomato_seeds farmersdelight:wild_tomatoes minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:random_chance minecraft:uniform_bonus_count neoforge:can_item_perform_ability
farmersdelight:blocks/wooden_basket | minecraft:block | farmersdelight:blocks/wooden_basket farmersdelight:wooden_basket minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion
farmersdelight:blocks/yellow_canvas_sign | minecraft:block | farmersdelight:blocks/yellow_canvas_sign farmersdelight:yellow_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:blocks/yellow_hanging_canvas_sign | minecraft:block | farmersdelight:blocks/yellow_hanging_canvas_sign farmersdelight:yellow_hanging_canvas_sign minecraft:block minecraft:item minecraft:survives_explosion
farmersdelight:chests/fd_abandoned_mineshaft | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_abandoned_mineshaft farmersdelight:cooking_pot farmersdelight:rice farmersdelight:rope farmersdelight:skillet farmersdelight:tomato_seeds minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:set_damage minecraft:uniform
farmersdelight:chests/fd_bastion_hoglin_stable | minecraft:chest | farmersdelight:chests/fd_bastion_hoglin_stable farmersdelight:diamond_knife farmersdelight:golden_knife farmersdelight:ham farmersdelight:smoked_ham minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:set_count minecraft:set_damage minecraft:uniform
farmersdelight:chests/fd_bastion_treasure | minecraft:chest | farmersdelight:chests/fd_bastion_treasure farmersdelight:diamond_knife minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:set_damage minecraft:uniform
farmersdelight:chests/fd_end_city_treasure | minecraft:chest | farmersdelight:chests/fd_end_city_treasure farmersdelight:diamond_knife farmersdelight:iron_knife minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:item minecraft:uniform
farmersdelight:chests/fd_pillager_outpost | minecraft:chest | farmersdelight:chests/fd_pillager_outpost farmersdelight:onion farmersdelight:onion_crate minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_ruined_portal | minecraft:chest | farmersdelight:chests/fd_ruined_portal farmersdelight:golden_knife minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item
farmersdelight:chests/fd_shipwreck_supply | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_shipwreck_supply farmersdelight:onion farmersdelight:rice farmersdelight:rope farmersdelight:tomato_seeds minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_simple_dungeon | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_simple_dungeon farmersdelight:rope farmersdelight:tomato_seeds minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_butcher | minecraft:chest | farmersdelight:bacon farmersdelight:chests/fd_village_butcher farmersdelight:flint_knife farmersdelight:ham farmersdelight:iron_knife farmersdelight:minced_beef farmersdelight:mutton_chops minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_desert_house | minecraft:chest | farmersdelight:chests/fd_village_desert_house farmersdelight:rice farmersdelight:tomato_seeds minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_plains_house | minecraft:chest | farmersdelight:chests/fd_village_plains_house farmersdelight:onion farmersdelight:tomato_seeds minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_savanna_house | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_village_savanna_house farmersdelight:tomato_seeds minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_snowy_house | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_village_snowy_house farmersdelight:onion minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
farmersdelight:chests/fd_village_taiga_house | minecraft:chest | farmersdelight:cabbage_seeds farmersdelight:chests/fd_village_taiga_house farmersdelight:rice minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
