minecolonies:blocks/barrel_block | minecraft:block | minecolonies:barrel_block minecolonies:blocks/barrel_block minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutenchanter | minecraft:block | minecolonies:blockhutenchanter minecolonies:blocks/blockhutenchanter minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutfarmer | minecraft:block | minecolonies:blockhutfarmer minecolonies:blocks/blockhutfarmer minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutfield | minecraft:block | minecolonies:blockhutfield minecolonies:blocks/blockhutfield minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutfisherman | minecraft:block | minecolonies:blockhutfisherman minecolonies:blocks/blockhutfisherman minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutfletcher | minecraft:block | minecolonies:blockhutfletcher minecolonies:blocks/blockhutfletcher minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutflorist | minecraft:block | minecolonies:blockhutflorist minecolonies:blocks/blockhutflorist minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutgatehouse | minecraft:block | minecolonies:blockhutgatehouse minecolonies:blocks/blockhutgatehouse minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutglassblower | minecraft:block | minecolonies:blockhutglassblower minecolonies:blocks/blockhutglassblower minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutgraveyard | minecraft:block | minecolonies:blockhutgraveyard minecolonies:blocks/blockhutgraveyard minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutguardtower | minecraft:block | minecolonies:blockhutguardtower minecolonies:blocks/blockhutguardtower minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhuthospital | minecraft:block | minecolonies:blockhuthospital minecolonies:blocks/blockhuthospital minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutkitchen | minecraft:block | minecolonies:blockhutkitchen minecolonies:blocks/blockhutkitchen minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutlibrary | minecraft:block | minecolonies:blockhutlibrary minecolonies:blocks/blockhutlibrary minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutlumberjack | minecraft:block | minecolonies:blockhutlumberjack minecolonies:blocks/blockhutlumberjack minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutmechanic | minecraft:block | minecolonies:blockhutmechanic minecolonies:blocks/blockhutmechanic minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutminer | minecraft:block | minecolonies:blockhutminer minecolonies:blocks/blockhutminer minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutmysticalsite | minecraft:block | minecolonies:blockhutmysticalsite minecolonies:blocks/blockhutmysticalsite minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutnetherworker | minecraft:block | minecolonies:blockhutnetherworker minecolonies:blocks/blockhutnetherworker minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutplantation | minecraft:block | minecolonies:blockhutplantation minecolonies:blocks/blockhutplantation minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutplantationfield | minecraft:block | minecolonies:blockhutplantationfield minecolonies:blocks/blockhutplantationfield minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutrabbithutch | minecraft:block | minecolonies:blockhutrabbithutch minecolonies:blocks/blockhutrabbithutch minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutsawmill | minecraft:block | minecolonies:blockhutsawmill minecolonies:blocks/blockhutsawmill minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutschool | minecraft:block | minecolonies:blockhutschool minecolonies:blocks/blockhutschool minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutshepherd | minecraft:block | minecolonies:blockhutshepherd minecolonies:blocks/blockhutshepherd minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutsifter | minecraft:block | minecolonies:blockhutsifter minecolonies:blocks/blockhutsifter minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutsmeltery | minecraft:block | minecolonies:blockhutsmeltery minecolonies:blocks/blockhutsmeltery minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutstonemason | minecraft:block | minecolonies:blockhutstonemason minecolonies:blocks/blockhutstonemason minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutstonesmeltery | minecraft:block | minecolonies:blockhutstonesmeltery minecolonies:blocks/blockhutstonesmeltery minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutswineherder | minecraft:block | minecolonies:blockhutswineherder minecolonies:blocks/blockhutswineherder minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhuttavern | minecraft:block | minecolonies:blockhuttavern minecolonies:blocks/blockhuttavern minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhuttownhall | minecraft:block | minecolonies:blockhuttownhall minecolonies:blocks/blockhuttownhall minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutuniversity | minecraft:block | minecolonies:blockhutuniversity minecolonies:blocks/blockhutuniversity minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockhutwarehouse | minecraft:block | minecolonies:blockhutwarehouse minecolonies:blocks/blockhutwarehouse minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockminecoloniesrack | minecraft:block | minecolonies:blockminecoloniesrack minecolonies:blocks/blockminecoloniesrack minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockpostbox | minecraft:block | minecolonies:blockpostbox minecolonies:blocks/blockpostbox minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockstash | minecraft:block | minecolonies:blocks/blockstash minecolonies:blockstash minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/blockwaypoint | minecraft:block | minecolonies:blocks/blockwaypoint minecolonies:blockwaypoint minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/butternut_squash | minecraft:block | minecolonies:blocks/butternut_squash minecolonies:butternut_squash minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/cabbage | minecraft:block | minecolonies:blocks/cabbage minecolonies:cabbage minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/chickpea | minecraft:block | minecolonies:blocks/chickpea minecolonies:chickpea minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/colony_banner | minecraft:block | minecolonies:blocks/colony_banner minecolonies:colony_banner minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/colony_wall_banner | minecraft:block | minecolonies:blocks/colony_wall_banner minecolonies:colony_banner minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/colonysign | minecraft:block | minecolonies:blocks/colonysign minecolonies:colonysign minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/composted_dirt | minecraft:block | minecolonies:blocks/composted_dirt minecolonies:composted_dirt minecraft:alternatives minecraft:block minecraft:dirt minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion
minecolonies:blocks/corn | minecraft:block | minecolonies:blocks/corn minecolonies:corn minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/durum | minecraft:block | minecolonies:blocks/durum minecolonies:durum minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/eggplant | minecraft:block | minecolonies:blocks/eggplant minecolonies:eggplant minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/farmland | minecraft:block | minecolonies:blocks/farmland minecraft:alternatives minecraft:block minecraft:dirt minecraft:item
minecolonies:blocks/floodedfarmland | minecraft:block | minecolonies:blocks/floodedfarmland minecraft:alternatives minecraft:block minecraft:dirt minecraft:item
minecolonies:blocks/garlic | minecraft:block | minecolonies:blocks/garlic minecolonies:garlic minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/gate_iron | minecraft:block | minecolonies:blocks/gate_iron minecolonies:gate_iron minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/gate_wood | minecraft:block | minecolonies:blocks/gate_wood minecolonies:gate_wood minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:blocks/mediumquarry | minecraft:block | minecolonies:blocks/mediumquarry minecolonies:mediumquarry minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/mint | minecraft:block | minecolonies:blocks/mint minecolonies:mint minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/nether_pepper | minecraft:block | minecolonies:blocks/nether_pepper minecolonies:nether_pepper minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/onion | minecraft:block | minecolonies:blocks/onion minecolonies:onion minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/peas | minecraft:block | minecolonies:blocks/peas minecolonies:peas minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/rice | minecraft:block | minecolonies:blocks/rice minecolonies:rice minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/simplequarry | minecraft:block | minecolonies:blocks/simplequarry minecolonies:simplequarry minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion
minecolonies:blocks/soybean | minecraft:block | minecolonies:blocks/soybean minecolonies:soybean minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:blocks/tomato | minecraft:block | minecolonies:blocks/tomato minecolonies:tomato minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
minecolonies:chests/supplycamp | minecraft:chest | minecolonies:chests/supplycamp minecolonies:scroll_buff minecolonies:supplycampdeployer minecraft:chest minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_name
minecolonies:chests/supplyship | minecraft:chest | minecolonies:chests/supplyship minecolonies:scroll_buff minecolonies:supplychestdeployer minecraft:chest minecraft:item minecraft:random_chance minecraft:set_components minecraft:set_count minecraft:set_name
minecolonies:crops/blocks/dead_bush | minecraft:block | minecolonies:chickpea minecolonies:crops/blocks/dead_bush minecolonies:entity_in_biome_tag minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/blocks/fern | minecraft:block | minecolonies:cabbage minecolonies:crops/blocks/fern minecolonies:entity_in_biome_tag minecolonies:soybean minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/blocks/seagrass | minecraft:block | minecolonies:crops/blocks/seagrass minecolonies:entity_in_biome_tag minecolonies:rice minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/blocks/short_grass | minecraft:block | minecolonies:bell_pepper minecolonies:butternut_squash minecolonies:chickpea minecolonies:corn minecolonies:crops/blocks/short_grass minecolonies:durum minecolonies:eggplant minecolonies:entity_in_biome_tag minecolonies:garlic minecolonies:mint minecolonies:nether_pepper minecolonies:onion minecolonies:peas minecolonies:soybean minecolonies:tomato minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/blocks/small_dripleaf | minecraft:block | minecolonies:crops/blocks/small_dripleaf minecolonies:entity_in_biome_tag minecolonies:rice minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/blocks/tall_grass | minecraft:block | minecolonies:bell_pepper minecolonies:butternut_squash minecolonies:chickpea minecolonies:corn minecolonies:crops/blocks/tall_grass minecolonies:durum minecolonies:eggplant minecolonies:entity_in_biome_tag minecolonies:garlic minecolonies:mint minecolonies:nether_pepper minecolonies:onion minecolonies:peas minecolonies:soybean minecolonies:tomato minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:diamond_hoe minecraft:golden_hoe minecraft:inverted minecraft:iron_hoe minecraft:item minecraft:match_tool minecraft:netherite_hoe minecraft:random_chance minecraft:shears minecraft:silk_touch
minecolonies:crops/dungeon | minecraft:block | minecolonies:bell_pepper minecolonies:butternut_squash minecolonies:cabbage minecolonies:chickpea minecolonies:corn minecolonies:crops/dungeon minecolonies:durum minecolonies:eggplant minecolonies:garlic minecolonies:mint minecolonies:nether_pepper minecolonies:onion minecolonies:peas minecolonies:rice minecolonies:soybean minecolonies:tomato minecraft:block minecraft:item minecraft:random_chance
minecolonies:entities/amazon | minecraft:entity | minecolonies:ancienttome minecolonies:entities/amazon minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/amazonchief | minecraft:entity | minecolonies:ancienttome minecolonies:entities/amazonchief minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/amazonspearman | minecraft:entity | minecolonies:ancienttome minecolonies:entities/amazonspearman minecolonies:spear minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/archerbarbarian | minecraft:entity | minecolonies:ancienttome minecolonies:entities/archerbarbarian minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/archermummy | minecraft:entity | minecolonies:ancienttome minecolonies:entities/archermummy minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/archerpirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/archerpirate minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/barbarian | minecraft:entity | minecolonies:ancienttome minecolonies:entities/barbarian minecraft:diamond_axe minecraft:empty minecraft:entity minecraft:golden_axe minecraft:iron_axe minecraft:item minecraft:stone_axe
minecolonies:entities/chiefbarbarian | minecraft:entity | minecolonies:ancienttome minecolonies:chiefsword minecolonies:entities/chiefbarbarian minecraft:diamond_sword minecraft:empty minecraft:entity minecraft:golden_sword minecraft:iron_sword minecraft:item minecraft:stone_sword
minecolonies:entities/chiefpirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/chiefpirate minecolonies:iron_scimitar minecolonies:pirate_boots minecolonies:pirate_cap minecolonies:pirate_chest minecolonies:pirate_hat minecolonies:pirate_leggins minecolonies:pirate_legs minecolonies:pirate_shoes minecolonies:pirate_top minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/drownedarcherpirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/drownedarcherpirate minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/drownedchiefpirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/drownedchiefpirate minecolonies:iron_scimitar minecolonies:pirate_boots minecolonies:pirate_cap minecolonies:pirate_chest minecolonies:pirate_hat minecolonies:pirate_leggins minecolonies:pirate_legs minecolonies:pirate_shoes minecolonies:pirate_top minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/drownedpirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/drownedpirate minecolonies:iron_scimitar minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/mummy | minecraft:entity | minecolonies:ancienttome minecolonies:entities/mummy minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/norsemenarcher | minecraft:entity | minecolonies:ancienttome minecolonies:entities/norsemenarcher minecraft:bow minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/norsemenchief | minecraft:entity | minecolonies:ancienttome minecolonies:entities/norsemenchief minecraft:diamond_axe minecraft:empty minecraft:entity minecraft:item minecraft:leather
minecolonies:entities/pharao | minecraft:entity | minecolonies:ancienttome minecolonies:entities/pharao minecolonies:firearrow minecolonies:pharaoscepter minecraft:arrow minecraft:empty minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
minecolonies:entities/pirate | minecraft:entity | minecolonies:ancienttome minecolonies:entities/pirate minecolonies:iron_scimitar minecraft:empty minecraft:entity minecraft:item
minecolonies:entities/shieldmaiden | minecraft:entity | minecolonies:ancienttome minecolonies:entities/shieldmaiden minecraft:empty minecraft:entity minecraft:item minecraft:shield
minecolonies:fisherman | minecraft:fishing | minecolonies:effects/fishingtreasure minecolonies:entity_in_biome_tag minecolonies:fisherman minecolonies:fisherman/fish minecolonies:fisherman/junk minecolonies:fisherman/treasure minecolonies:research_unlocked minecraft:any_of minecraft:fishing minecraft:loot_table
minecolonies:fisherman/bonus1 | minecraft:fishing | minecolonies:fisherman/bonus1 minecraft:fishing
minecolonies:fisherman/bonus2 | minecraft:fishing | minecolonies:fisherman/bonus2 minecraft:fishing
minecolonies:fisherman/bonus3 | minecraft:fishing | minecolonies:fisherman/bonus3 minecraft:empty minecraft:fishing minecraft:item minecraft:prismarine_crystals minecraft:prismarine_shard
minecolonies:fisherman/bonus4 | minecraft:fishing | minecolonies:fisherman/bonus4 minecraft:empty minecraft:fishing minecraft:item minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:sponge
minecolonies:fisherman/bonus5 | minecraft:fishing | minecolonies:fisherman/bonus5 minecraft:empty minecraft:fishing minecraft:item minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:sponge
minecolonies:fisherman/fish | minecraft:fishing | minecolonies:fisherman/fish minecraft:fishing minecraft:gameplay/fishing/fish minecraft:loot_table
minecolonies:fisherman/junk | minecraft:fishing | minecolonies:fisherman/junk minecraft:fishing minecraft:gameplay/fishing/junk minecraft:loot_table
minecolonies:fisherman/treasure | minecraft:fishing | minecolonies:fisherman/treasure minecraft:fishing minecraft:gameplay/fishing/treasure minecraft:loot_table
minecolonies:miner/lucky_ore1 | minecraft:block | minecolonies:miner/lucky_ore1 minecraft:block minecraft:coal_ore minecraft:copper_ore minecraft:item
minecolonies:miner/lucky_ore2 | minecraft:block | minecolonies:miner/lucky_ore2 minecraft:block minecraft:coal_ore minecraft:copper_ore minecraft:gold_ore minecraft:iron_ore minecraft:item
minecolonies:miner/lucky_ore3 | minecraft:block | minecolonies:miner/lucky_ore3 minecraft:block minecraft:coal_ore minecraft:copper_ore minecraft:gold_ore minecraft:iron_ore minecraft:item minecraft:lapis_ore minecraft:redstone_ore
minecolonies:miner/lucky_ore4 | minecraft:block | minecolonies:miner/lucky_ore4 minecraft:block minecraft:coal_ore minecraft:copper_ore minecraft:diamond_ore minecraft:emerald_ore minecraft:gold_ore minecraft:iron_ore minecraft:item minecraft:lapis_ore minecraft:redstone_ore
minecolonies:miner/lucky_ore5 | minecraft:block | minecolonies:miner/lucky_ore5 minecraft:block minecraft:coal_ore minecraft:copper_ore minecraft:diamond_ore minecraft:emerald_ore minecraft:gold_ore minecraft:iron_ore minecraft:item minecraft:lapis_ore minecraft:redstone_ore
minecolonies:recipes/diamond/dirt | ? | minecolonies:recipes/diamond/dirt minecraft:acacia_sapling minecraft:beetroot_seeds minecraft:birch_sapling minecraft:carrot minecraft:dark_oak_sapling minecraft:empty minecraft:item minecraft:jungle_sapling minecraft:melon_seeds minecraft:oak_sapling minecraft:potato minecraft:pumpkin_seeds minecraft:spruce_sapling minecraft:wheat_seeds
minecolonies:recipes/diamond/gravel | ? | minecolonies:recipes/diamond/gravel minecraft:coal minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:redstone
minecolonies:recipes/diamond/sand | ? | minecolonies:recipes/diamond/sand minecraft:cactus minecraft:cocoa_beans minecraft:empty minecraft:gold_nugget minecraft:item minecraft:sugar_cane
minecolonies:recipes/diamond/soul_sand | ? | minecolonies:recipes/diamond/soul_sand minecraft:blaze_powder minecraft:empty minecraft:glowstone_dust minecraft:item minecraft:magma_cream minecraft:nether_wart minecraft:player_head minecraft:quartz
minecolonies:recipes/enchanter1 | ? | minecolonies:recipes/enchanter1 minecraft:enchanted_book minecraft:item minecraft:set_components
minecolonies:recipes/enchanter2 | ? | minecolonies:recipes/enchanter2 minecraft:enchanted_book minecraft:item minecraft:set_components
minecolonies:recipes/enchanter3 | ? | minecolonies:recipes/enchanter3 minecraft:enchanted_book minecraft:item minecraft:set_components
minecolonies:recipes/enchanter4 | ? | minecolonies:recipes/enchanter4 minecraft:enchanted_book minecraft:item minecraft:set_components
minecolonies:recipes/enchanter5 | ? | minecolonies:recipes/enchanter5 minecraft:enchanted_book minecraft:item minecraft:set_components
minecolonies:recipes/flint/dirt | ? | minecolonies:recipes/flint/dirt minecraft:birch_sapling minecraft:carrot minecraft:empty minecraft:item minecraft:jungle_sapling minecraft:oak_sapling minecraft:potato minecraft:spruce_sapling minecraft:wheat_seeds
minecolonies:recipes/flint/gravel | ? | minecolonies:recipes/flint/gravel minecraft:coal minecraft:empty minecraft:flint minecraft:iron_nugget minecraft:item minecraft:redstone
minecolonies:recipes/flint/sand | ? | minecolonies:recipes/flint/sand minecraft:cactus minecraft:empty minecraft:gold_nugget minecraft:item minecraft:sugar_cane
minecolonies:recipes/flint/soul_sand | ? | minecolonies:recipes/flint/soul_sand minecraft:empty minecraft:glowstone_dust minecraft:item minecraft:nether_wart minecraft:quartz
minecolonies:recipes/glass_bottle | ? | minecolonies:recipes/glass_bottle minecraft:empty minecraft:glass_bottle minecraft:item
minecolonies:recipes/gravel | ? | minecolonies:recipes/gravel minecraft:empty minecraft:flint minecraft:item
minecolonies:recipes/iron/dirt | ? | minecolonies:recipes/iron/dirt minecraft:acacia_sapling minecraft:beetroot_seeds minecraft:birch_sapling minecraft:carrot minecraft:dark_oak_sapling minecraft:empty minecraft:item minecraft:jungle_sapling minecraft:melon_seeds minecraft:oak_sapling minecraft:potato minecraft:pumpkin_seeds minecraft:spruce_sapling minecraft:wheat_seeds
