alexsmobs:blocks/banana_peel | minecraft:block | alexsmobs:banana_peel minecraft:block minecraft:item
alexsmobs:entities/laviathan | ? | minecraft:blackstone minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:magma_block
alexsmobs:entities/laviathan_obsidian | ? | minecraft:blackstone minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:obsidian
alexsmobs:entities/leafcutter_ant | ? | 
alexsmobs:entities/leafcutter_ant_queen | ? | alexsmobs:leafcutter_ant_pupa minecraft:enchanted_count_increase minecraft:item minecraft:looting
alexsmobs:entities/lobster | ? | alexsmobs:lobster_tail minecraft:enchanted_count_increase minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting
alexsmobs:entities/maned_wolf | ? | 
alexsmobs:entities/mimic_octopus | ? | minecraft:enchanted_count_increase minecraft:ink_sac minecraft:item minecraft:looting
alexsmobs:entities/mimicube | ? | alexsmobs:mimicream minecraft:item
alexsmobs:entities/moose | ? | alexsmobs:moose_ribs minecraft:enchanted_count_increase minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting
alexsmobs:entities/mudskipper | minecraft:entity | minecraft:entity minecraft:item minecraft:set_count minecraft:tropical_fish
alexsmobs:entities/mungus | ? | 
alexsmobs:entities/murmur | ? | alexsmobs:elastic_tendon alexsmobs:unsettling_kimono minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:red_wool
alexsmobs:entities/orca | ? | 
alexsmobs:entities/platypus | ? | 
alexsmobs:entities/potoo | ? | minecraft:enchanted_count_increase minecraft:feather minecraft:item minecraft:looting
alexsmobs:entities/raccoon | ? | alexsmobs:raccoon_tail minecraft:item
alexsmobs:entities/rain_frog | ? | 
alexsmobs:entities/rattlesnake | ? | alexsmobs:rattlesnake_rattle minecraft:item
alexsmobs:entities/rhinoceros | ? | 
alexsmobs:entities/roadrunner | ? | alexsmobs:roadrunner_feather minecraft:enchanted_count_increase minecraft:feather minecraft:item minecraft:looting
alexsmobs:entities/rocky_roller | ? | alexsmobs:rocky_shell minecraft:enchanted_count_increase minecraft:item minecraft:linear minecraft:looting minecraft:pointed_dripstone minecraft:random_chance_with_enchanted_bonus minecraft:tuff
alexsmobs:entities/sea_bear | ? | 
alexsmobs:entities/seagull | ? | minecraft:enchanted_count_increase minecraft:feather minecraft:item minecraft:looting
alexsmobs:entities/seal | ? | 
alexsmobs:entities/shoebill | ? | minecraft:enchanted_count_increase minecraft:feather minecraft:item minecraft:looting
alexsmobs:entities/skelewag | ? | alexsmobs:fish_bones alexsmobs:novelty_hat alexsmobs:skelewag_sword minecraft:bone minecraft:enchanted_count_increase minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
alexsmobs:entities/skreecher | ? | alexsmobs:skreecher_soul minecraft:item
alexsmobs:entities/skunk | ? | 
alexsmobs:entities/snow_leopard | ? | 
alexsmobs:entities/soul_vulture | ? | minecraft:bone minecraft:coal minecraft:enchanted_count_increase minecraft:item minecraft:looting
alexsmobs:entities/soul_vulture_heart | ? | alexsmobs:soul_heart minecraft:bone minecraft:coal minecraft:enchanted_count_increase minecraft:item minecraft:looting
alexsmobs:entities/spectre | ? | 
alexsmobs:entities/straddler | ? | alexsmobs:straddlite minecraft:basalt minecraft:enchanted_count_increase minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
alexsmobs:entities/stradpole | ? | 
alexsmobs:entities/sugar_glider | ? | 
alexsmobs:entities/sunbird | ? | 
alexsmobs:entities/tarantula_hawk | ? | alexsmobs:tarantula_hawk_wing_fragment minecraft:enchanted_count_increase minecraft:item minecraft:looting
alexsmobs:entities/tasmanian_devil | ? | 
alexsmobs:entities/terrapin | ? | 
alexsmobs:entities/tiger | ? | 
alexsmobs:entities/toucan | ? | minecraft:enchanted_count_increase minecraft:feather minecraft:item minecraft:looting
alexsmobs:entities/triops | ? | 
alexsmobs:entities/tusklin | ? | minecraft:enchanted_count_increase minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:porkchop minecraft:snowball
alexsmobs:entities/void_worm | minecraft:entity | alexsmobs:void_worm_eye alexsmobs:void_worm_mandible minecraft:entity minecraft:item minecraft:set_count
alexsmobs:entities/void_worm_splitter | ? | 
alexsmobs:entities/warped_mosco | ? | alexsmobs:hemolymph_sac alexsmobs:warped_muscle minecraft:enchanted_count_increase minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus
alexsmobs:entities/warped_toad | ? | minecraft:enchanted_count_increase minecraft:item minecraft:looting minecraft:nether_wart minecraft:shroomlight
alexsmobs:gameplay/anteater_reward | minecraft:barter | alexsmobs:leafcutter_ant_pupa alexsmobs:maggot minecraft:barter minecraft:beetroot minecraft:coarse_dirt minecraft:dirt minecraft:hanging_roots minecraft:item minecraft:potato minecraft:rooted_dirt
alexsmobs:gameplay/platypus_reward | minecraft:barter | alexsmobs:maggot minecraft:barter minecraft:clay_ball minecraft:item
alexsmobs:gameplay/platypus_supercharged_reward | minecraft:barter | alexsmobs:fedora alexsmobs:maggot minecraft:barter minecraft:clay_ball minecraft:item minecraft:set_count minecraft:uniform
alexsmobs:gameplay/pupfish_reward | minecraft:barter | minecraft:barter minecraft:item minecraft:slime_ball
alexsmobs:gameplay/seal_reward | minecraft:barter | alexsmobs:fish_bones alexsmobs:lobster_bucket alexsmobs:music_disc_thime alexsmobs:serrated_shark_tooth alexsmobs:shark_tooth minecraft:barter minecraft:brain_coral minecraft:brain_coral_block minecraft:bubble_coral minecraft:bubble_coral_block minecraft:clay_ball minecraft:fire_coral minecraft:fire_coral_block minecraft:gravel minecraft:horn_coral minecraft:horn_coral_block minecraft:ink_sac minecraft:item minecraft:kelp minecraft:nautilus_shell minecraft:potion minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:sand minecraft:set_components minecraft:set_count minecraft:tube_coral minecraft:tube_coral_block minecraft:turtle_egg minecraft:turtle_scute minecraft:uniform minecraft:water minecraft:wet_sponge
alexsmobs:gameplay/sugar_glider_reward | minecraft:barter | alexsmobs:bear_fur alexsmobs:cockroach_ootheca alexsmobs:cockroach_wing alexsmobs:maggot alexsmobs:moose_antler minecraft:arrow minecraft:bamboo minecraft:barter minecraft:cobweb minecraft:egg minecraft:feather minecraft:fern minecraft:glow_berries minecraft:hanging_roots minecraft:honeycomb minecraft:item minecraft:moss_carpet minecraft:stick minecraft:sweet_berries minecraft:vine minecraft:wheat_seeds
alexsmobs:gameplay/trader_elephant_chest | ? | alexsmobs:acacia_blossom alexsmobs:animal_dictionary alexsmobs:banana alexsmobs:centipede_leg alexsmobs:cockroach_wing_fragment alexsmobs:crocodile_scute alexsmobs:emu_egg alexsmobs:emu_feather alexsmobs:maggot alexsmobs:mosquito_larva alexsmobs:shark_tooth alexsmobs:tarantula_hawk_wing_fragment minecraft:cobweb minecraft:emerald minecraft:sand minecraft:stick
alexsmobs:gameplay/transmutation_table_common | ? | minecraft:andesite minecraft:clay_ball minecraft:cobbled_deepslate minecraft:cobblestone minecraft:diorite minecraft:dirt minecraft:granite minecraft:item minecraft:kelp minecraft:netherrack minecraft:red_sand minecraft:sand minecraft:snowball minecraft:stick minecraft:torch
alexsmobs:gameplay/transmutation_table_rare | ? | alexsmobs:mimicream minecraft:amethyst_shard minecraft:blaze_rod minecraft:diamond minecraft:emerald minecraft:end_rod minecraft:ender_pearl minecraft:ghast_tear minecraft:gilded_blackstone minecraft:item minecraft:lapis_lazuli minecraft:nautilus_shell minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:quartz minecraft:raw_copper minecraft:shulker_shell
alexsmobs:gameplay/transmutation_table_uncommon | ? | alexsmobs:acacia_blossom alexsmobs:capsid minecraft:book minecraft:coal minecraft:feather minecraft:flint minecraft:glowstone_dust minecraft:gunpowder minecraft:item minecraft:melon_slice minecraft:pumpkin minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:redstone minecraft:slime_ball minecraft:wheat
