tfmg:blocks/accumulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:accumulator tfmg:blocks/accumulator
tfmg:blocks/blast_furnace_reinforcement_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blast_furnace_reinforcement tfmg:blocks/blast_furnace_reinforcement_wall
tfmg:blocks/blast_stove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blast_stove tfmg:blocks/blast_stove
tfmg:blocks/blue_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_caution_block tfmg:blue_caution_block
tfmg:blocks/blue_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_concrete tfmg:blue_concrete
tfmg:blocks/blue_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_concrete_slab tfmg:blue_concrete_slab
tfmg:blocks/blue_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_concrete_stairs tfmg:blue_concrete_stairs
tfmg:blocks/blue_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_concrete_wall tfmg:blue_concrete_wall
tfmg:blocks/blue_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_rebar_concrete tfmg:blue_rebar_concrete
tfmg:blocks/blue_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_rebar_concrete_slab tfmg:blue_rebar_concrete_slab
tfmg:blocks/blue_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_rebar_concrete_stairs tfmg:blue_rebar_concrete_stairs
tfmg:blocks/blue_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/blue_rebar_concrete_wall tfmg:blue_rebar_concrete_wall
tfmg:blocks/brass_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_cable_hub tfmg:brass_cable_hub
tfmg:blocks/brass_fluid_valve | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_fluid_valve tfmg:brass_fluid_valve
tfmg:blocks/brass_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_frame tfmg:brass_frame
tfmg:blocks/brass_mechanical_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_mechanical_pump tfmg:brass_mechanical_pump
tfmg:blocks/brass_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_pipe tfmg:brass_pipe
tfmg:blocks/brass_smart_fluid_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_smart_fluid_pipe tfmg:brass_smart_fluid_pipe
tfmg:blocks/brass_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brass_truss tfmg:brass_truss
tfmg:blocks/brick_smokestack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brick_smokestack tfmg:brick_smokestack
tfmg:blocks/brown_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_caution_block tfmg:brown_caution_block
tfmg:blocks/brown_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_concrete tfmg:brown_concrete
tfmg:blocks/brown_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_concrete_slab tfmg:brown_concrete_slab
tfmg:blocks/brown_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_concrete_stairs tfmg:brown_concrete_stairs
tfmg:blocks/brown_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_concrete_wall tfmg:brown_concrete_wall
tfmg:blocks/brown_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_rebar_concrete tfmg:brown_rebar_concrete
tfmg:blocks/brown_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_rebar_concrete_slab tfmg:brown_rebar_concrete_slab
tfmg:blocks/brown_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_rebar_concrete_stairs tfmg:brown_rebar_concrete_stairs
tfmg:blocks/brown_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/brown_rebar_concrete_wall tfmg:brown_rebar_concrete_wall
tfmg:blocks/cable_connector | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cable_connector tfmg:cable_connector
tfmg:blocks/cable_tube | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cable_tube tfmg:cable_tube
tfmg:blocks/cast_iron_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_bars tfmg:cast_iron_bars
tfmg:blocks/cast_iron_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_block tfmg:cast_iron_block
tfmg:blocks/cast_iron_chemical_vat | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_chemical_vat tfmg:cast_iron_chemical_vat
tfmg:blocks/cast_iron_fluid_tank | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_fluid_tank tfmg:cast_iron_fluid_tank
tfmg:blocks/cast_iron_fluid_valve | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_fluid_valve tfmg:cast_iron_fluid_valve
tfmg:blocks/cast_iron_flywheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_flywheel tfmg:cast_iron_flywheel
tfmg:blocks/cast_iron_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_frame tfmg:cast_iron_frame
tfmg:blocks/cast_iron_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_ladder tfmg:cast_iron_ladder
tfmg:blocks/cast_iron_mechanical_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_mechanical_pump tfmg:cast_iron_mechanical_pump
tfmg:blocks/cast_iron_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_pipe tfmg:cast_iron_pipe
tfmg:blocks/cast_iron_smart_fluid_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_smart_fluid_pipe tfmg:cast_iron_smart_fluid_pipe
tfmg:blocks/cast_iron_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cast_iron_truss tfmg:cast_iron_truss
tfmg:blocks/casting_basin | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/casting_basin tfmg:casting_basin
tfmg:blocks/cement | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cement tfmg:cement
tfmg:blocks/cinder_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cinder_block tfmg:cinder_block
tfmg:blocks/cinderflour_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cinderflour_block tfmg:cinderflour_block
tfmg:blocks/circular_light | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/circular_light tfmg:circular_light
tfmg:blocks/coal_coke_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/coal_coke_block tfmg:coal_coke_block
tfmg:blocks/coke_oven | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/coke_oven tfmg:coke_oven
tfmg:blocks/concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete tfmg:concrete
tfmg:blocks/concrete_encased_cable_tube | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_encased_cable_tube tfmg:cable_tube
tfmg:blocks/concrete_encased_electric_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_encased_electric_post tfmg:electric_post
tfmg:blocks/concrete_encased_industrial_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_encased_industrial_pipe tfmg:industrial_pipe
tfmg:blocks/concrete_hose | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_hose tfmg:concrete_hose
tfmg:blocks/concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_slab tfmg:concrete_slab
tfmg:blocks/concrete_smokestack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_smokestack tfmg:concrete_smokestack
tfmg:blocks/concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_stairs tfmg:concrete_stairs
tfmg:blocks/concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/concrete_wall tfmg:concrete_wall
tfmg:blocks/constantan_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/constantan_block tfmg:constantan_block
tfmg:blocks/constantan_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/constantan_frame tfmg:constantan_frame
tfmg:blocks/constantan_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/constantan_ladder tfmg:constantan_ladder
tfmg:blocks/constantan_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/constantan_truss tfmg:constantan_truss
tfmg:blocks/converter | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/converter tfmg:converter
tfmg:blocks/copper_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/copper_cable_hub tfmg:copper_cable_hub
tfmg:blocks/copper_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/copper_frame tfmg:copper_frame
tfmg:blocks/copper_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/copper_truss tfmg:copper_truss
tfmg:blocks/copycat_cable_base | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/copycat_cable_base
tfmg:blocks/copycat_cable_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/copycat_cable_block tfmg:copycat_cable_block
tfmg:blocks/creative_generator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/creative_generator tfmg:creative_generator
tfmg:blocks/cut_bauxite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite tfmg:cut_bauxite
tfmg:blocks/cut_bauxite_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/cut_bauxite_brick_slab tfmg:cut_bauxite_brick_slab
tfmg:blocks/cut_bauxite_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite_brick_stairs tfmg:cut_bauxite_brick_stairs
tfmg:blocks/cut_bauxite_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite_brick_wall tfmg:cut_bauxite_brick_wall
tfmg:blocks/cut_bauxite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite_bricks tfmg:cut_bauxite_bricks
tfmg:blocks/cut_bauxite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/cut_bauxite_slab tfmg:cut_bauxite_slab
tfmg:blocks/cut_bauxite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite_stairs tfmg:cut_bauxite_stairs
tfmg:blocks/cut_bauxite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_bauxite_wall tfmg:cut_bauxite_wall
tfmg:blocks/cut_galena | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena tfmg:cut_galena
tfmg:blocks/cut_galena_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/cut_galena_brick_slab tfmg:cut_galena_brick_slab
tfmg:blocks/cut_galena_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena_brick_stairs tfmg:cut_galena_brick_stairs
tfmg:blocks/cut_galena_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena_brick_wall tfmg:cut_galena_brick_wall
tfmg:blocks/cut_galena_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena_bricks tfmg:cut_galena_bricks
tfmg:blocks/cut_galena_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/cut_galena_slab tfmg:cut_galena_slab
tfmg:blocks/cut_galena_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena_stairs tfmg:cut_galena_stairs
tfmg:blocks/cut_galena_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cut_galena_wall tfmg:cut_galena_wall
tfmg:blocks/cyan_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_caution_block tfmg:cyan_caution_block
tfmg:blocks/cyan_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_concrete tfmg:cyan_concrete
tfmg:blocks/cyan_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_concrete_slab tfmg:cyan_concrete_slab
tfmg:blocks/cyan_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_concrete_stairs tfmg:cyan_concrete_stairs
tfmg:blocks/cyan_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_concrete_wall tfmg:cyan_concrete_wall
tfmg:blocks/cyan_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_rebar_concrete tfmg:cyan_rebar_concrete
tfmg:blocks/cyan_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_rebar_concrete_slab tfmg:cyan_rebar_concrete_slab
tfmg:blocks/cyan_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_rebar_concrete_stairs tfmg:cyan_rebar_concrete_stairs
tfmg:blocks/cyan_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/cyan_rebar_concrete_wall tfmg:cyan_rebar_concrete_wall
tfmg:blocks/deepslate_lead_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/deepslate_lead_ore tfmg:deepslate_lead_ore tfmg:raw_lead
tfmg:blocks/deepslate_lithium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/deepslate_lithium_ore tfmg:deepslate_lithium_ore tfmg:raw_lithium
tfmg:blocks/deepslate_nickel_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/deepslate_nickel_ore tfmg:deepslate_nickel_ore tfmg:raw_nickel
tfmg:blocks/diagonal_cable_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/diagonal_cable_block tfmg:diagonal_cable_block
tfmg:blocks/electric_diode | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electric_diode tfmg:electric_diode
tfmg:blocks/electric_motor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electric_motor tfmg:electric_motor
tfmg:blocks/electric_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electric_post tfmg:electric_post
tfmg:blocks/electric_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electric_pump tfmg:electric_pump
tfmg:blocks/electrical_switch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electrical_switch tfmg:electrical_switch
tfmg:blocks/electrode_holder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/electrode_holder tfmg:electrode_holder
tfmg:blocks/encased_aluminum_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_pipe tfmg:blocks/encased_aluminum_pipe
tfmg:blocks/encased_brass_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_brass_pipe tfmg:brass_pipe
tfmg:blocks/encased_cast_iron_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_cast_iron_pipe tfmg:cast_iron_pipe
tfmg:blocks/encased_diode | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_diode
tfmg:blocks/encased_plastic_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_plastic_pipe tfmg:plastic_pipe
tfmg:blocks/encased_potentiometer | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_potentiometer
tfmg:blocks/encased_steel_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/encased_steel_pipe tfmg:steel_pipe
tfmg:blocks/engine_controller | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/engine_controller tfmg:engine_controller
tfmg:blocks/engine_gearbox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/engine_gearbox tfmg:engine_gearbox
tfmg:blocks/exhaust | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/exhaust tfmg:exhaust
tfmg:blocks/factory_floor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/factory_floor tfmg:factory_floor
tfmg:blocks/firebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/firebox tfmg:firebox
tfmg:blocks/fireclay | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/fireclay tfmg:fireclay_ball
tfmg:blocks/fireproof_brick_reinforcement | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/fireproof_brick_reinforcement tfmg:fireproof_brick_reinforcement
tfmg:blocks/fireproof_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/fireproof_bricks tfmg:fireproof_bricks
tfmg:blocks/fireproof_chemical_vat | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/fireproof_chemical_vat tfmg:fireproof_chemical_vat
tfmg:blocks/flarestack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/flarestack tfmg:flarestack
tfmg:blocks/fossilstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/fossilstone tfmg:fossilstone
tfmg:blocks/galena | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/galena tfmg:galena
tfmg:blocks/galena_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/galena_pillar tfmg:galena_pillar
tfmg:blocks/gas_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gas_lamp tfmg:gas_lamp
tfmg:blocks/generator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/generator tfmg:generator
tfmg:blocks/glass_aluminum_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_pipe tfmg:blocks/glass_aluminum_pipe
tfmg:blocks/glass_brass_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/glass_brass_pipe tfmg:brass_pipe
tfmg:blocks/glass_cable_insulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/glass_cable_insulator tfmg:glass_cable_insulator
tfmg:blocks/glass_cast_iron_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/glass_cast_iron_pipe tfmg:cast_iron_pipe
tfmg:blocks/glass_plastic_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/glass_plastic_pipe tfmg:plastic_pipe
tfmg:blocks/glass_steel_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/glass_steel_pipe tfmg:steel_pipe
tfmg:blocks/gray_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_caution_block tfmg:gray_caution_block
tfmg:blocks/gray_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_concrete tfmg:gray_concrete
tfmg:blocks/gray_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_concrete_slab tfmg:gray_concrete_slab
