friendsandfoes:barrels/citadel | minecraft:chest | minecraft:chain minecraft:chest minecraft:coal minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_pickaxe minecraft:golden_sword minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_nugget minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:saddle minecraft:set_count minecraft:set_damage minecraft:uniform
friendsandfoes:blocks/crimson_beehive | minecraft:block | friendsandfoes:crimson_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/dark_oak_beehive | minecraft:block | friendsandfoes:dark_oak_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/exposed_copper_button | minecraft:block | friendsandfoes:exposed_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/exposed_lightning_rod | minecraft:block | friendsandfoes:exposed_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/jungle_beehive | minecraft:block | friendsandfoes:jungle_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/mangrove_beehive | minecraft:block | friendsandfoes:mangrove_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/oxidized_copper_button | minecraft:block | friendsandfoes:oxidized_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/oxidized_lightning_rod | minecraft:block | friendsandfoes:oxidized_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/potted_buttercup | minecraft:block | friendsandfoes:buttercup minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/spruce_beehive | minecraft:block | friendsandfoes:spruce_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/warped_beehive | minecraft:block | friendsandfoes:warped_beehive minecraft:alternatives minecraft:bees minecraft:block minecraft:blocks/beehive minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch
friendsandfoes:blocks/waxed_copper_button | minecraft:block | friendsandfoes:waxed_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_exposed_copper_button | minecraft:block | friendsandfoes:waxed_exposed_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_exposed_lightning_rod | minecraft:block | friendsandfoes:waxed_exposed_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_lightning_rod | minecraft:block | friendsandfoes:waxed_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_oxidized_copper_button | minecraft:block | friendsandfoes:waxed_oxidized_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_oxidized_lightning_rod | minecraft:block | friendsandfoes:waxed_oxidized_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_weathered_copper_button | minecraft:block | friendsandfoes:waxed_weathered_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/waxed_weathered_lightning_rod | minecraft:block | friendsandfoes:waxed_weathered_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/weathered_copper_button | minecraft:block | friendsandfoes:weathered_copper_button minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:blocks/weathered_lightning_rod | minecraft:block | friendsandfoes:weathered_lightning_rod minecraft:block minecraft:item minecraft:survives_explosion
friendsandfoes:chests/abandoned_mineshaft_music_disc | minecraft:chest | friendsandfoes:music_disc_around_the_corner minecraft:chest minecraft:item minecraft:random_chance
friendsandfoes:chests/iceologer_cabin | minecraft:chest | minecraft:blue_ice minecraft:bread minecraft:bundle minecraft:chest minecraft:item minecraft:set_count minecraft:spruce_log minecraft:uniform minecraft:wheat
friendsandfoes:chests/illusioner_shack | minecraft:chest | minecraft:arrow minecraft:bow minecraft:bread minecraft:bundle minecraft:chest minecraft:enchant_with_levels minecraft:invisibility minecraft:item minecraft:night_vision minecraft:potion minecraft:set_count minecraft:set_damage minecraft:set_potion minecraft:sweet_berries minecraft:uniform minecraft:water
friendsandfoes:entities/copper_golem | minecraft:entity | minecraft:copper_ingot minecraft:entity minecraft:item minecraft:set_count minecraft:uniform
friendsandfoes:entities/crab | minecraft:entity | friendsandfoes:crab_claw minecraft:entity minecraft:item minecraft:set_count minecraft:uniform
friendsandfoes:entities/glare | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:glow_berries minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
friendsandfoes:entities/iceologer | minecraft:entity | friendsandfoes:totem_of_freezing minecraft:blue_ice minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
friendsandfoes:entities/illusioner | minecraft:entity | friendsandfoes:totem_of_illusion minecraft:arrow minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform
friendsandfoes:entities/moobloom | minecraft:entity | minecraft:any_of minecraft:beef minecraft:enchanted_count_increase minecraft:entities/moobloom minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform
friendsandfoes:entities/rascal | minecraft:entity | minecraft:entity
friendsandfoes:entities/tuff_golem | minecraft:entity | minecraft:entity minecraft:item minecraft:set_count minecraft:tuff minecraft:uniform
friendsandfoes:entities/wildfire | minecraft:entity | friendsandfoes:wildfire_crown_fragment minecraft:entity minecraft:item minecraft:set_count minecraft:uniform
friendsandfoes:gameplay/hero_of_the_village/beekeeper_gift | minecraft:gift | friendsandfoes:gameplay/hero_of_the_village/beekeeper_gift minecraft:gift minecraft:glass_bottle minecraft:honey_bottle minecraft:honeycomb minecraft:item
friendsandfoes:rewards/rascal_good_reward | minecraft:empty | minecraft:empty minecraft:enchant_with_levels minecraft:gold_ore minecraft:iron_ore minecraft:iron_pickaxe minecraft:item minecraft:set_count minecraft:uniform
