dndesires:blocks/asphalt | minecraft:block | dndesires:asphalt dndesires:blocks/asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/cyan_bore_block | minecraft:block | dndesires:blocks/cyan_bore_block dndesires:cyan_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/dragon_breathing_sail | minecraft:block | dndesires:blocks/dragon_breathing_sail dndesires:dragon_breathing_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/fluid_gauge | minecraft:block | dndesires:blocks/fluid_gauge dndesires:fluid_gauge minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/fluid_hatch | minecraft:block | dndesires:blocks/fluid_hatch dndesires:fluid_hatch minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/freezing_sail | minecraft:block | dndesires:blocks/freezing_sail dndesires:freezing_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/gold_mixer | minecraft:block | dndesires:blocks/gold_mixer dndesires:gold_mixer minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/gray_asphalt | minecraft:block | dndesires:blocks/gray_asphalt dndesires:gray_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/gray_bore_block | minecraft:block | dndesires:blocks/gray_bore_block dndesires:gray_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/green_asphalt | minecraft:block | dndesires:blocks/green_asphalt dndesires:green_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/green_bore_block | minecraft:block | dndesires:blocks/green_bore_block dndesires:green_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/haunting_sail | minecraft:block | dndesires:blocks/haunting_sail dndesires:haunting_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/hydraulic_press | minecraft:block | dndesires:blocks/hydraulic_press dndesires:hydraulic_press minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/industrial_casing | minecraft:block | dndesires:blocks/industrial_casing dndesires:industrial_casing minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/industrial_fan | minecraft:block | dndesires:blocks/industrial_fan dndesires:industrial_fan minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/inverse_gearshift | minecraft:block | dndesires:blocks/inverse_gearshift dndesires:inverse_gearshift minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/large_cog_crank | minecraft:block | dndesires:blocks/large_cog_crank dndesires:large_cog_crank minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/layered_breccia | minecraft:block | dndesires:blocks/layered_breccia dndesires:layered_breccia minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/light_blue_asphalt | minecraft:block | dndesires:blocks/light_blue_asphalt dndesires:light_blue_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/light_blue_bore_block | minecraft:block | dndesires:blocks/light_blue_bore_block dndesires:light_blue_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/light_gray_asphalt | minecraft:block | dndesires:blocks/light_gray_asphalt dndesires:light_gray_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/light_gray_bore_block | minecraft:block | dndesires:blocks/light_gray_bore_block dndesires:light_gray_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/lime_asphalt | minecraft:block | dndesires:blocks/lime_asphalt dndesires:lime_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/lime_bore_block | minecraft:block | dndesires:blocks/lime_bore_block dndesires:lime_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/magenta_asphalt | minecraft:block | dndesires:blocks/magenta_asphalt dndesires:magenta_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/magenta_bore_block | minecraft:block | dndesires:blocks/magenta_bore_block dndesires:magenta_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/multimeter | minecraft:block | dndesires:blocks/multimeter dndesires:multimeter minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/omni_gearbox | minecraft:block | dndesires:blocks/omni_gearbox dndesires:omni_gearbox minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/omni_speed_controller | minecraft:block | dndesires:blocks/omni_speed_controller dndesires:omni_speed_controller minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/orange_asphalt | minecraft:block | dndesires:blocks/orange_asphalt dndesires:orange_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/orange_bore_block | minecraft:block | dndesires:blocks/orange_bore_block dndesires:orange_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/overburden_casing | minecraft:block | dndesires:blocks/overburden_casing dndesires:overburden_casing minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/pink_asphalt | minecraft:block | dndesires:blocks/pink_asphalt dndesires:pink_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/pink_bore_block | minecraft:block | dndesires:blocks/pink_bore_block dndesires:pink_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/polished_cut_breccia | minecraft:block | dndesires:blocks/polished_cut_breccia dndesires:polished_cut_breccia minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/polished_cut_breccia_slab | minecraft:block | dndesires:blocks/polished_cut_breccia_slab dndesires:polished_cut_breccia_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
dndesires:blocks/polished_cut_breccia_stairs | minecraft:block | dndesires:blocks/polished_cut_breccia_stairs dndesires:polished_cut_breccia_stairs minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/polished_cut_breccia_wall | minecraft:block | dndesires:blocks/polished_cut_breccia_wall dndesires:polished_cut_breccia_wall minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/powered_flywheel | minecraft:block | create:flywheel dndesires:blocks/powered_flywheel minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/purple_asphalt | minecraft:block | dndesires:blocks/purple_asphalt dndesires:purple_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/purple_bore_block | minecraft:block | dndesires:blocks/purple_bore_block dndesires:purple_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/red_asphalt | minecraft:block | dndesires:blocks/red_asphalt dndesires:red_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/red_bore_block | minecraft:block | dndesires:blocks/red_bore_block dndesires:red_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/roll_table | minecraft:block | dndesires:blocks/roll_table dndesires:roll_table minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/sanding_sail | minecraft:block | dndesires:blocks/sanding_sail dndesires:sanding_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/seething_sail | minecraft:block | dndesires:blocks/seething_sail dndesires:seething_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/small_breccia_brick_slab | minecraft:block | dndesires:blocks/small_breccia_brick_slab dndesires:small_breccia_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
dndesires:blocks/small_breccia_brick_stairs | minecraft:block | dndesires:blocks/small_breccia_brick_stairs dndesires:small_breccia_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/small_breccia_brick_wall | minecraft:block | dndesires:blocks/small_breccia_brick_wall dndesires:small_breccia_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/small_breccia_bricks | minecraft:block | dndesires:blocks/small_breccia_bricks dndesires:small_breccia_bricks minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/smart_hopper | minecraft:block | dndesires:blocks/smart_hopper dndesires:smart_hopper minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/smoking_sail | minecraft:block | dndesires:blocks/smoking_sail dndesires:smoking_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/splashing_sail | minecraft:block | dndesires:blocks/splashing_sail dndesires:splashing_sail minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/stirling_engine | minecraft:block | dndesires:blocks/stirling_engine dndesires:stirling_engine minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/white_asphalt | minecraft:block | dndesires:blocks/white_asphalt dndesires:white_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/white_bore_block | minecraft:block | dndesires:blocks/white_bore_block dndesires:white_bore_block minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/yellow_asphalt | minecraft:block | dndesires:blocks/yellow_asphalt dndesires:yellow_asphalt minecraft:block minecraft:item minecraft:survives_explosion
dndesires:blocks/yellow_bore_block | minecraft:block | dndesires:blocks/yellow_bore_block dndesires:yellow_bore_block minecraft:block minecraft:item minecraft:survives_explosion
