occultism:blocks/celestial_chalice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/celestial_chalice occultism:celestial_chalice
occultism:blocks/otherflower_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item minecraft:poppy occultism:blocks/otherflower_natural occultism:otherflower occultism:otherflower_natural
occultism:blocks/otherglass | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherglass
occultism:blocks/otherglass_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item occultism:blocks/otherglass_natural occultism:crushed_end_stone occultism:otherglass_natural
occultism:blocks/otherplanks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks occultism:otherplanks
occultism:blocks/otherplanks_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_button occultism:otherplanks_button
occultism:blocks/otherplanks_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_door occultism:otherplanks_door
occultism:blocks/otherplanks_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_fence occultism:otherplanks_fence
occultism:blocks/otherplanks_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_fence_gate occultism:otherplanks_fence_gate
occultism:blocks/otherplanks_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_hanging_sign occultism:otherplanks_hanging_sign
occultism:blocks/otherplanks_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_pressure_plate occultism:otherplanks_pressure_plate
occultism:blocks/otherplanks_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_sign occultism:otherplanks_sign
occultism:blocks/otherplanks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count occultism:blocks/otherplanks_slab occultism:otherplanks_slab
occultism:blocks/otherplanks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_stairs occultism:otherplanks_stairs
occultism:blocks/otherplanks_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_trapdoor occultism:otherplanks_trapdoor
occultism:blocks/otherplanks_wall_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_wall_hanging_sign occultism:otherplanks_hanging_sign
occultism:blocks/otherplanks_wall_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherplanks_wall_sign occultism:otherplanks_sign
occultism:blocks/otherrock | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion occultism:blocks/otherrock occultism:othercobblerock occultism:otherrock
occultism:blocks/otherrock_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_bricks occultism:otherrock_bricks
occultism:blocks/otherrock_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_bricks_stairs occultism:otherrock_bricks_stairs
occultism:blocks/otherrock_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_bricks_wall occultism:otherrock_bricks_wall
occultism:blocks/otherrock_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_button occultism:otherrock_button
occultism:blocks/otherrock_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:diorite minecraft:item occultism:blocks/otherrock_natural occultism:otherrock occultism:otherrock_natural
occultism:blocks/otherrock_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_pressure_plate occultism:otherrock_pressure_plate
occultism:blocks/otherrock_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_stairs occultism:otherrock_stairs
occultism:blocks/otherrock_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherrock_wall occultism:otherrock_wall
occultism:blocks/otherstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion occultism:blocks/otherstone occultism:othercobblestone occultism:otherstone
occultism:blocks/otherstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_bricks occultism:otherstone_bricks
occultism:blocks/otherstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count occultism:blocks/otherstone_bricks_slab occultism:otherstone_bricks_slab
occultism:blocks/otherstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_bricks_stairs occultism:otherstone_bricks_stairs
occultism:blocks/otherstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_bricks_wall occultism:otherstone_bricks_wall
occultism:blocks/otherstone_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_button occultism:otherstone_button
occultism:blocks/otherstone_natural | minecraft:block | minecraft:alternatives minecraft:andesite minecraft:block minecraft:block_state_property minecraft:item occultism:blocks/otherstone_natural occultism:otherstone occultism:otherstone_natural
occultism:blocks/otherstone_pedestal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_pedestal occultism:otherstone_pedestal
occultism:blocks/otherstone_pedestal_silver | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_pedestal_silver occultism:otherstone_pedestal_silver
occultism:blocks/otherstone_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_pressure_plate occultism:otherstone_pressure_plate
occultism:blocks/otherstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count occultism:blocks/otherstone_slab occultism:otherstone_slab
occultism:blocks/otherstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_stairs occultism:otherstone_stairs
occultism:blocks/otherstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherstone_wall occultism:otherstone_wall
occultism:blocks/otherworld_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform occultism:blocks/otherworld_leaves occultism:otherworld_leaves occultism:otherworld_sapling
occultism:blocks/otherworld_leaves_natural | minecraft:block | minecraft:all_of minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:oak_leaves minecraft:oak_sapling minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform occultism:blocks/otherworld_leaves_natural occultism:otherworld_leaves_natural occultism:otherworld_sapling_natural
occultism:blocks/otherworld_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherworld_log occultism:otherworld_log
occultism:blocks/otherworld_log_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item minecraft:oak_log occultism:blocks/otherworld_log_natural occultism:otherworld_log occultism:otherworld_log_natural
occultism:blocks/otherworld_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherworld_sapling occultism:otherworld_sapling
occultism:blocks/otherworld_sapling_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item minecraft:oak_sapling occultism:blocks/otherworld_sapling_natural occultism:otherworld_sapling_natural
occultism:blocks/otherworld_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/otherworld_wood occultism:otherworld_wood
occultism:blocks/polished_otherrock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherrock occultism:polished_otherrock
occultism:blocks/polished_otherrock_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherrock_stairs occultism:polished_otherrock_stairs
occultism:blocks/polished_otherrock_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherrock_wall occultism:polished_otherrock_wall
occultism:blocks/polished_otherstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherstone occultism:polished_otherstone
occultism:blocks/polished_otherstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count occultism:blocks/polished_otherstone_slab occultism:polished_otherstone_slab
occultism:blocks/polished_otherstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherstone_stairs occultism:polished_otherstone_stairs
occultism:blocks/polished_otherstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/polished_otherstone_wall occultism:polished_otherstone_wall
occultism:blocks/potted_otherflower | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion occultism:blocks/potted_otherflower occultism:otherflower
occultism:blocks/raw_iesnium_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/raw_iesnium_block occultism:raw_iesnium_block
occultism:blocks/raw_silver_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/raw_silver_block occultism:raw_silver_block
occultism:blocks/sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/sacrificial_bowl occultism:sacrificial_bowl
occultism:blocks/silver_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/silver_block occultism:silver_block
occultism:blocks/silver_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch occultism:blocks/silver_ore occultism:raw_silver occultism:silver_ore
occultism:blocks/silver_ore_deepslate | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch occultism:blocks/silver_ore_deepslate occultism:raw_silver occultism:silver_ore_deepslate
occultism:blocks/silver_sacrificial_bowl | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/silver_sacrificial_bowl occultism:silver_sacrificial_bowl
occultism:blocks/skeleton_skull_dummy | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/skeleton_skull_dummy
occultism:blocks/spirit_attuned_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/spirit_attuned_crystal occultism:spirit_attuned_crystal
occultism:blocks/spirit_campfire | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/spirit_campfire occultism:spirit_campfire
occultism:blocks/spirit_grindstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/spirit_grindstone occultism:spirit_grindstone
occultism:blocks/spirit_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/spirit_lantern occultism:spirit_lantern
occultism:blocks/spirit_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/spirit_torch occultism:spirit_torch
occultism:blocks/stable_wormhole | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/stable_wormhole occultism:crafting_matrix occultism:linked_storage_controller occultism:order_stack occultism:sort_direction occultism:sort_type occultism:stable_wormhole
occultism:blocks/stable_wormhole_dark | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/stable_wormhole_dark occultism:crafting_matrix occultism:linked_storage_controller occultism:order_stack occultism:sort_direction occultism:sort_type occultism:stable_wormhole_dark
occultism:blocks/storage_controller | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller occultism:crafting_matrix occultism:order_stack occultism:sort_direction occultism:sort_type occultism:storage_controller occultism:storage_controller_contents
occultism:blocks/storage_controller_base | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller_base occultism:storage_controller_base
occultism:blocks/storage_controller_base_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller_base_dark occultism:storage_controller_base_dark
occultism:blocks/storage_controller_dark | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller_dark occultism:crafting_matrix occultism:order_stack occultism:sort_direction occultism:sort_type occultism:storage_controller_contents occultism:storage_controller_dark
occultism:blocks/storage_controller_stabilized | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller_stabilized occultism:crafting_matrix occultism:order_stack occultism:sort_direction occultism:sort_type occultism:storage_controller_contents occultism:storage_controller_stabilized
occultism:blocks/storage_controller_stabilized_dark | minecraft:block | minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion occultism:blocks/storage_controller_stabilized_dark occultism:crafting_matrix occultism:order_stack occultism:sort_direction occultism:sort_type occultism:storage_controller_contents occultism:storage_controller_stabilized_dark
occultism:blocks/storage_stabilizer_tier0 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier0 occultism:storage_stabilizer_tier0
occultism:blocks/storage_stabilizer_tier0_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier0_dark occultism:storage_stabilizer_tier0_dark
occultism:blocks/storage_stabilizer_tier1 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier1 occultism:storage_stabilizer_tier1
occultism:blocks/storage_stabilizer_tier1_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier1_dark occultism:storage_stabilizer_tier1_dark
occultism:blocks/storage_stabilizer_tier2 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier2 occultism:storage_stabilizer_tier2
occultism:blocks/storage_stabilizer_tier2_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier2_dark occultism:storage_stabilizer_tier2_dark
occultism:blocks/storage_stabilizer_tier3 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier3 occultism:storage_stabilizer_tier3
occultism:blocks/storage_stabilizer_tier3_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier3_dark occultism:storage_stabilizer_tier3_dark
occultism:blocks/storage_stabilizer_tier4 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier4 occultism:storage_stabilizer_tier4
occultism:blocks/storage_stabilizer_tier4_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier4_dark occultism:storage_stabilizer_tier4_dark
occultism:blocks/storage_stabilizer_tier5 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier5 occultism:storage_stabilizer_tier5
occultism:blocks/storage_stabilizer_tier5_dark | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/storage_stabilizer_tier5_dark occultism:storage_stabilizer_tier5_dark
occultism:blocks/stripped_otherworld_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/stripped_otherworld_log occultism:stripped_otherworld_log
occultism:blocks/stripped_otherworld_log_natural | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item minecraft:stripped_oak_log occultism:blocks/stripped_otherworld_log_natural occultism:stripped_otherworld_log occultism:stripped_otherworld_log_natural
occultism:blocks/stripped_otherworld_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/stripped_otherworld_wood occultism:stripped_otherworld_wood
occultism:blocks/tallow_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/tallow_block occultism:tallow_block
occultism:blocks/wither_skeleton_skull_dummy | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/wither_skeleton_skull_dummy
occultism:entities/afrit_wild | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform occultism:afrit_essence occultism:entities/afrit_wild
occultism:entities/marid_unbound | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform occultism:entities/marid_unbound occultism:marid_essence
occultism:entities/mercy_goat | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:uniform occultism:cruelty_essence occultism:entities/mercy_goat
occultism:entities/possessed_bee | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform occultism:cursed_honey occultism:entities/possessed_bee
occultism:entities/possessed_blaze | minecraft:entity | minecraft:ancient_debris minecraft:basalt minecraft:blackstone minecraft:blaze_powder minecraft:blaze_rod minecraft:bone_block minecraft:brown_mushroom minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_roots minecraft:crying_obsidian minecraft:empty minecraft:enchanted_count_increase minecraft:entity minecraft:gilded_blackstone minecraft:glowstone minecraft:glowstone_dust minecraft:gravel minecraft:item minecraft:looting minecraft:magma_block minecraft:nether_quartz_ore minecraft:nether_wart minecraft:nether_wart_block minecraft:netherrack minecraft:obsidian minecraft:red_mushroom minecraft:set_count minecraft:shroomlight minecraft:soul_sand minecraft:soul_soil minecraft:twisting_vines minecraft:uniform minecraft:warped_fungus minecraft:warped_nylium minecraft:warped_roots minecraft:warped_wart_block minecraft:weeping_vines occultism:entities/possessed_blaze
occultism:entities/possessed_breeze | minecraft:entity | minecraft:bolt_armor_trim_smithing_template minecraft:breeze_rod minecraft:empty minecraft:entity minecraft:guster_banner_pattern minecraft:item minecraft:music_disc_precipice minecraft:ominous_trial_key minecraft:set_count minecraft:uniform occultism:entities/possessed_breeze
occultism:entities/possessed_elder_guardian | minecraft:entity | minecraft:any_of minecraft:coast_armor_trim_smithing_template minecraft:cod minecraft:empty minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:gameplay/fishing/fish minecraft:heart_of_the_sea minecraft:item minecraft:killed_by_player minecraft:linear minecraft:loot_table minecraft:looting minecraft:nautilus_shell minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:tide_armor_trim_smithing_template minecraft:uniform minecraft:wet_sponge occultism:entities/possessed_elder_guardian
occultism:entities/possessed_enderman | minecraft:entity | minecraft:enchanted_count_increase minecraft:ender_pearl minecraft:entity minecraft:eye_armor_trim_smithing_template minecraft:item minecraft:looting minecraft:random_chance minecraft:set_count minecraft:uniform occultism:entities/possessed_enderman
