undergroundworlds:blocks/chiseled_temple_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:chiseled_temple_bricks
undergroundworlds:chests/temple | ? | minecraft:brown_mushroom minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:glow_berries minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:moss_block minecraft:red_mushroom minecraft:set_count minecraft:vine undergroundworlds:antidote_flask undergroundworlds:config
undergroundworlds:chests/temple_dispenser | minecraft:chest | minecraft:arrow minecraft:chest minecraft:item minecraft:poison minecraft:set_count minecraft:set_potion minecraft:tipped_arrow minecraft:uniform
undergroundworlds:chests/temple_key | ? | minecraft:book minecraft:empty minecraft:enchant_with_levels minecraft:item minecraft:loot_table undergroundworlds:chests/temple undergroundworlds:temple_key
undergroundworlds:chests/temple_treasure | ? | minecraft:book minecraft:enchant_with_levels minecraft:item minecraft:loot_table undergroundworlds:chests/temple undergroundworlds:config undergroundworlds:temple_axe undergroundworlds:temple_hoe undergroundworlds:temple_pickaxe undergroundworlds:temple_shovel undergroundworlds:temple_sword
undergroundworlds:chests/tundra_house_barrel | minecraft:chest | minecraft:blue_wool minecraft:chest minecraft:item minecraft:set_count minecraft:stick minecraft:uniform minecraft:white_wool
undergroundworlds:chests/tundra_house_chest | minecraft:chest | minecraft:book minecraft:chest minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:paper minecraft:set_count minecraft:torch minecraft:uniform undergroundworlds:chests/tundra_house_barrel undergroundworlds:config undergroundworlds:winter_boots undergroundworlds:winter_chestplate undergroundworlds:winter_helmet undergroundworlds:winter_leggings
undergroundworlds:chests/web_covered_chest | ? | minecraft:cobblestone minecraft:cobweb minecraft:empty minecraft:entities/spider minecraft:item minecraft:leather minecraft:loot_table minecraft:set_count minecraft:stick minecraft:uniform undergroundworlds:entities/black_recluse
undergroundworlds:entities/ashan | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:sand minecraft:set_count minecraft:uniform
undergroundworlds:entities/black_recluse | minecraft:entity | minecraft:empty minecraft:entities/spider minecraft:entity minecraft:item minecraft:loot_table undergroundworlds:spider_fang
undergroundworlds:entities/frozen_zombie | minecraft:entity | minecraft:empty minecraft:enchanted_count_increase minecraft:entities/zombie minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:set_damage minecraft:uniform undergroundworlds:config undergroundworlds:icicle undergroundworlds:winter_boots undergroundworlds:winter_chestplate undergroundworlds:winter_helmet undergroundworlds:winter_leggings
undergroundworlds:entities/hatchling_spider | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/spider minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:spider_eye minecraft:string minecraft:uniform
undergroundworlds:entities/icy_creeper | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/creeper minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform undergroundworlds:icicle
undergroundworlds:entities/jungle_bee | minecraft:entity | minecraft:entity minecraft:honeycomb minecraft:item minecraft:uniform undergroundworlds:jungle_spores
undergroundworlds:entities/jungle_zombie | minecraft:entity | minecraft:enchanted_count_increase minecraft:entities/zombie minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:moss_block minecraft:set_count minecraft:uniform
undergroundworlds:entities/wrapped | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:paper minecraft:rotten_flesh minecraft:sand minecraft:set_count minecraft:uniform
