ctov:chests/village/village_badlands_house | minecraft:chest | minecraft:book minecraft:bread minecraft:cactus minecraft:chest minecraft:dead_bush minecraft:emerald minecraft:green_dye minecraft:item minecraft:red_sand minecraft:set_count minecraft:uniform minecraft:wheat
wares:agreement/village/badlands_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/badlands_requested_buy
wares:agreement/village/badlands_requested_sell | minecraft:chest | minecraft:black_terracotta minecraft:bread minecraft:cactus minecraft:chest minecraft:clay_ball minecraft:green_dye minecraft:item minecraft:paper minecraft:rabbit_hide minecraft:red_sandstone minecraft:sandstone minecraft:set_count minecraft:terracotta minecraft:uniform minecraft:wheat minecraft:white_terracotta wares:agreement/village/badlands_requested_sell
wares:agreement/village/beach_payment_buy | minecraft:chest | minecraft:bread minecraft:chest minecraft:clay_ball minecraft:dead_bush minecraft:item minecraft:paper minecraft:rabbit_hide minecraft:set_count minecraft:sugar_cane minecraft:uniform minecraft:wheat wares:agreement/village/beach_payment_buy
wares:agreement/village/beach_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/beach_payment_sell
wares:agreement/village/beach_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/beach_requested_buy
wares:agreement/village/beach_requested_sell | minecraft:chest | minecraft:bread minecraft:chest minecraft:clay_ball minecraft:dead_bush minecraft:item minecraft:paper minecraft:rabbit_hide minecraft:set_count minecraft:sugar_cane minecraft:uniform minecraft:wheat wares:agreement/village/beach_requested_sell
wares:agreement/village/dark_forest_payment_buy | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:dandelion minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:sunflower minecraft:uniform minecraft:wheat wares:agreement/village/dark_forest_payment_buy
wares:agreement/village/dark_forest_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/dark_forest_payment_sell
wares:agreement/village/dark_forest_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/dark_forest_requested_buy
wares:agreement/village/dark_forest_requested_sell | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/dark_forest_requested_sell
wares:agreement/village/jungle_payment_buy | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:dandelion minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:sunflower minecraft:uniform minecraft:wheat wares:agreement/village/jungle_payment_buy
wares:agreement/village/jungle_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/jungle_payment_sell
wares:agreement/village/jungle_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/jungle_requested_buy
wares:agreement/village/jungle_requested_sell | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/jungle_requested_sell
wares:agreement/village/mountain_payment_buy | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:dandelion minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:sunflower minecraft:uniform minecraft:wheat wares:agreement/village/dark_forest_payment_buy
wares:agreement/village/mountain_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/mountain_payment_sell
wares:agreement/village/mountain_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/mountain_requested_buy
wares:agreement/village/mountain_requested_sell | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/mountain_requested_sell
wares:agreement/village/mushroom_payment_buy | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:dandelion minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:sunflower minecraft:uniform minecraft:wheat wares:agreement/village/mushroom_payment_buy
wares:agreement/village/mushroom_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/mushroom_payment_sell
wares:agreement/village/mushroom_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/mushroom_requested_buy
wares:agreement/village/mushroom_requested_sell | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/mushroom_requested_sell
wares:agreement/village/swamp_payment_buy | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:dandelion minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:sunflower minecraft:uniform minecraft:wheat wares:agreement/village/swamp_payment_buy
wares:agreement/village/swamp_payment_sell | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/swamp_payment_sell
wares:agreement/village/swamp_requested_buy | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:set_count minecraft:uniform wares:agreement/village/swamp_requested_buy
wares:agreement/village/swamp_requested_sell | minecraft:chest | minecraft:beef minecraft:bread minecraft:chest minecraft:chicken minecraft:item minecraft:leather minecraft:paper minecraft:porkchop minecraft:potato minecraft:set_count minecraft:uniform minecraft:wheat wares:agreement/village/swamp_requested_sell
wares:chests/village/badlands_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/badlands_warehouse
wares:chests/village/beach_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/beach_warehouse
wares:chests/village/dark_forest_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/dark_forest_warehouse
wares:chests/village/jungle_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/jungle_warehouse
wares:chests/village/mountain_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/mountain_warehouse
wares:chests/village/mushroom_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/mushroom_warehouse
wares:chests/village/swamp_warehouse | minecraft:chest | ctov:wares/cardboard_box ctov:wares/sealed_delivery_agreement minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:set_nbt minecraft:tag minecraft:uniform wares:chests/village/swamp_warehouse
