more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/bamboo_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:bamboo_block_slab
more_slabs_stairs_and_walls:blocks/bamboo_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bamboo_block_stairs
more_slabs_stairs_and_walls:blocks/bamboo_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bamboo_block_wall
more_slabs_stairs_and_walls:blocks/bamboo_mosaic_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bamboo_mosaic_wall
more_slabs_stairs_and_walls:blocks/bamboo_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bamboo_planks_wall
more_slabs_stairs_and_walls:blocks/basalt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:basalt_slab
more_slabs_stairs_and_walls:blocks/basalt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:basalt_stairs
more_slabs_stairs_and_walls:blocks/basalt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:basalt_wall
more_slabs_stairs_and_walls:blocks/bedrock_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:bedrock_slab
more_slabs_stairs_and_walls:blocks/bedrock_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bedrock_stairs
more_slabs_stairs_and_walls:blocks/bedrock_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bedrock_wall
more_slabs_stairs_and_walls:blocks/birch_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:birch_leaves_slab
more_slabs_stairs_and_walls:blocks/birch_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_leaves_stairs
more_slabs_stairs_and_walls:blocks/birch_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_leaves_wall
more_slabs_stairs_and_walls:blocks/birch_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:birch_log_slab
more_slabs_stairs_and_walls:blocks/birch_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_log_stairs
more_slabs_stairs_and_walls:blocks/birch_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_log_wall
more_slabs_stairs_and_walls:blocks/birch_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_planks_wall
more_slabs_stairs_and_walls:blocks/birch_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:birch_wood_slab
more_slabs_stairs_and_walls:blocks/birch_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_wood_stairs
more_slabs_stairs_and_walls:blocks/birch_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:birch_wood_wall
more_slabs_stairs_and_walls:blocks/black_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/black_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/black_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/black_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_concrete_slab
more_slabs_stairs_and_walls:blocks/black_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_concrete_stairs
more_slabs_stairs_and_walls:blocks/black_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_concrete_wall
more_slabs_stairs_and_walls:blocks/black_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/black_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/black_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/black_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_stained_glass_slab
more_slabs_stairs_and_walls:blocks/black_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/black_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_stained_glass_wall
more_slabs_stairs_and_walls:blocks/black_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_terracotta_slab
more_slabs_stairs_and_walls:blocks/black_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_terracotta_stairs
more_slabs_stairs_and_walls:blocks/black_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_terracotta_wall
more_slabs_stairs_and_walls:blocks/black_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:black_wool_slab
more_slabs_stairs_and_walls:blocks/black_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_wool_stairs
more_slabs_stairs_and_walls:blocks/black_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:black_wool_wall
more_slabs_stairs_and_walls:blocks/blue_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/blue_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/blue_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/blue_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_concrete_slab
more_slabs_stairs_and_walls:blocks/blue_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_concrete_stairs
more_slabs_stairs_and_walls:blocks/blue_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_concrete_wall
more_slabs_stairs_and_walls:blocks/blue_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/blue_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/blue_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/blue_ice_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_ice_slab
more_slabs_stairs_and_walls:blocks/blue_ice_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_ice_stairs
more_slabs_stairs_and_walls:blocks/blue_ice_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_ice_wall
more_slabs_stairs_and_walls:blocks/blue_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_stained_glass_slab
more_slabs_stairs_and_walls:blocks/blue_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/blue_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_stained_glass_wall
more_slabs_stairs_and_walls:blocks/blue_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_terracotta_slab
more_slabs_stairs_and_walls:blocks/blue_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_terracotta_stairs
more_slabs_stairs_and_walls:blocks/blue_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_terracotta_wall
more_slabs_stairs_and_walls:blocks/blue_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:blue_wool_slab
more_slabs_stairs_and_walls:blocks/blue_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_wool_stairs
more_slabs_stairs_and_walls:blocks/blue_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:blue_wool_wall
more_slabs_stairs_and_walls:blocks/bone_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:bone_block_slab
more_slabs_stairs_and_walls:blocks/bone_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bone_block_stairs
more_slabs_stairs_and_walls:blocks/bone_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bone_block_wall
more_slabs_stairs_and_walls:blocks/bookshelf_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:bookshelf_slab
more_slabs_stairs_and_walls:blocks/bookshelf_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bookshelf_stairs
more_slabs_stairs_and_walls:blocks/bookshelf_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bookshelf_wall
more_slabs_stairs_and_walls:blocks/brain_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brain_coral_block_slab
more_slabs_stairs_and_walls:blocks/brain_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brain_coral_block_stairs
more_slabs_stairs_and_walls:blocks/brain_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brain_coral_block_wall
more_slabs_stairs_and_walls:blocks/brown_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/brown_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/brown_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/brown_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_concrete_slab
more_slabs_stairs_and_walls:blocks/brown_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_concrete_stairs
more_slabs_stairs_and_walls:blocks/brown_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_concrete_wall
more_slabs_stairs_and_walls:blocks/brown_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/brown_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/brown_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/brown_mushroom_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_mushroom_block_slab
more_slabs_stairs_and_walls:blocks/brown_mushroom_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_mushroom_block_stairs
more_slabs_stairs_and_walls:blocks/brown_mushroom_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_mushroom_block_wall
more_slabs_stairs_and_walls:blocks/brown_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_stained_glass_slab
more_slabs_stairs_and_walls:blocks/brown_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/brown_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_stained_glass_wall
more_slabs_stairs_and_walls:blocks/brown_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_terracotta_slab
more_slabs_stairs_and_walls:blocks/brown_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_terracotta_stairs
more_slabs_stairs_and_walls:blocks/brown_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_terracotta_wall
more_slabs_stairs_and_walls:blocks/brown_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:brown_wool_slab
more_slabs_stairs_and_walls:blocks/brown_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_wool_stairs
more_slabs_stairs_and_walls:blocks/brown_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:brown_wool_wall
more_slabs_stairs_and_walls:blocks/bubble_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:bubble_coral_block_slab
more_slabs_stairs_and_walls:blocks/bubble_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bubble_coral_block_stairs
more_slabs_stairs_and_walls:blocks/bubble_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:bubble_coral_block_wall
more_slabs_stairs_and_walls:blocks/calcite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:calcite_slab
more_slabs_stairs_and_walls:blocks/calcite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:calcite_stairs
more_slabs_stairs_and_walls:blocks/calcite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:calcite_wall
more_slabs_stairs_and_walls:blocks/cherry_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cherry_leaves_slab
more_slabs_stairs_and_walls:blocks/cherry_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_leaves_stairs
more_slabs_stairs_and_walls:blocks/cherry_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_leaves_wall
more_slabs_stairs_and_walls:blocks/cherry_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cherry_log_slab
more_slabs_stairs_and_walls:blocks/cherry_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_log_stairs
more_slabs_stairs_and_walls:blocks/cherry_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_log_wall
more_slabs_stairs_and_walls:blocks/cherry_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_planks_wall
more_slabs_stairs_and_walls:blocks/cherry_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cherry_wood_slab
more_slabs_stairs_and_walls:blocks/cherry_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_wood_stairs
more_slabs_stairs_and_walls:blocks/cherry_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cherry_wood_wall
more_slabs_stairs_and_walls:blocks/chiseled_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_copper_slab
more_slabs_stairs_and_walls:blocks/chiseled_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_copper_stairs
more_slabs_stairs_and_walls:blocks/chiseled_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_copper_wall
more_slabs_stairs_and_walls:blocks/chiseled_deepslate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_deepslate_slab
more_slabs_stairs_and_walls:blocks/chiseled_deepslate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_deepslate_stairs
more_slabs_stairs_and_walls:blocks/chiseled_deepslate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_deepslate_wall
more_slabs_stairs_and_walls:blocks/chiseled_nether_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_nether_bricks_slab
more_slabs_stairs_and_walls:blocks/chiseled_nether_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_nether_bricks_stairs
more_slabs_stairs_and_walls:blocks/chiseled_nether_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_nether_bricks_wall
more_slabs_stairs_and_walls:blocks/chiseled_polished_blackstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_polished_blackstone_slab
more_slabs_stairs_and_walls:blocks/chiseled_polished_blackstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_polished_blackstone_stairs
more_slabs_stairs_and_walls:blocks/chiseled_polished_blackstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_polished_blackstone_wall
more_slabs_stairs_and_walls:blocks/chiseled_quartz_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_quartz_block_slab
more_slabs_stairs_and_walls:blocks/chiseled_quartz_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_quartz_block_stairs
more_slabs_stairs_and_walls:blocks/chiseled_quartz_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_quartz_block_wall
more_slabs_stairs_and_walls:blocks/chiseled_red_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_red_sandstone_slab
more_slabs_stairs_and_walls:blocks/chiseled_red_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_red_sandstone_stairs
more_slabs_stairs_and_walls:blocks/chiseled_red_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_red_sandstone_wall
more_slabs_stairs_and_walls:blocks/chiseled_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_sandstone_slab
more_slabs_stairs_and_walls:blocks/chiseled_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_sandstone_stairs
more_slabs_stairs_and_walls:blocks/chiseled_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_sandstone_wall
more_slabs_stairs_and_walls:blocks/chiseled_stone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_stone_bricks_slab
more_slabs_stairs_and_walls:blocks/chiseled_stone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_stone_bricks_stairs
more_slabs_stairs_and_walls:blocks/chiseled_stone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_stone_bricks_wall
more_slabs_stairs_and_walls:blocks/chiseled_tuff_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_tuff_bricks_slab
more_slabs_stairs_and_walls:blocks/chiseled_tuff_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_tuff_bricks_stairs
more_slabs_stairs_and_walls:blocks/chiseled_tuff_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_tuff_bricks_wall
