gnkinetics:blocks/andesite_cogwheel | minecraft:block | gnkinetics:andesite_cogwheel gnkinetics:blocks/andesite_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/planetary_gear | minecraft:block | gnkinetics:blocks/planetary_gear gnkinetics:planetary_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/planetary_gear_struct | minecraft:block | gnkinetics:blocks/planetary_gear_struct minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/ring_gear | minecraft:block | gnkinetics:blocks/ring_gear gnkinetics:ring_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/ring_gear_struct | minecraft:block | gnkinetics:blocks/ring_gear_struct minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_andesite_cogwheel | minecraft:block | gnkinetics:blocks/shaftless_andesite_cogwheel gnkinetics:shaftless_andesite_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_brass_gear | minecraft:block | gnkinetics:blocks/shaftless_brass_gear gnkinetics:shaftless_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_cogstone | minecraft:block | gnkinetics:blocks/shaftless_cogstone gnkinetics:shaftless_cogstone minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_cogwheel | minecraft:block | gnkinetics:blocks/shaftless_cogwheel gnkinetics:shaftless_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_industrial_gear | minecraft:block | gnkinetics:blocks/shaftless_industrial_gear gnkinetics:shaftless_industrial_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_large_brass_gear | minecraft:block | gnkinetics:blocks/shaftless_large_brass_gear gnkinetics:shaftless_large_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_large_cogwheel | minecraft:block | gnkinetics:blocks/shaftless_large_cogwheel gnkinetics:shaftless_large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_large_industrial_gear | minecraft:block | gnkinetics:blocks/shaftless_large_industrial_gear gnkinetics:shaftless_large_industrial_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_tiny_brass_gear | minecraft:block | gnkinetics:blocks/shaftless_tiny_brass_gear gnkinetics:shaftless_tiny_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/shaftless_tiny_cogwheel | minecraft:block | gnkinetics:blocks/shaftless_tiny_cogwheel gnkinetics:shaftless_tiny_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/tiny_brass_gear | minecraft:block | gnkinetics:blocks/tiny_brass_gear gnkinetics:tiny_brass_gear minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/tiny_cogwheel | minecraft:block | gnkinetics:blocks/tiny_cogwheel gnkinetics:tiny_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
gnkinetics:blocks/worm_gear | minecraft:block | gnkinetics:blocks/worm_gear gnkinetics:worm_gear minecraft:block minecraft:item minecraft:survives_explosion
