create_ltab:core/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:core/basic_loot minecraft:chest minecraft:coal minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:rail minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:string
create_ltab:desert/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:desert/basic_loot minecraft:chest minecraft:clay_ball minecraft:cooked_rabbit minecraft:dune_armor_trim_smithing_template minecraft:flint minecraft:item minecraft:potion minecraft:rabbit_foot minecraft:rabbit_hide minecraft:raw_copper minecraft:raw_gold minecraft:sand minecraft:set_count minecraft:set_potion minecraft:stick minecraft:water
create_ltab:nether/basic_loot | minecraft:chest | create_ltab:normal/basic_loot minecraft:chest minecraft:fire_charge minecraft:gilded_blackstone minecraft:gold_ingot minecraft:golden_axe minecraft:iron_nugget minecraft:item minecraft:leather minecraft:obsidian minecraft:random_chance minecraft:set_enchantments minecraft:string
create_ltab:normal/basic2_loot | minecraft:chest | create:zinc_ingot create_ltab:normal/basic_loot minecraft:baked_potato minecraft:chest minecraft:item minecraft:poisonous_potato minecraft:potato minecraft:rotten_flesh minecraft:set_count minecraft:stick
create_ltab:normal/basic3_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:bone minecraft:chest minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:set_count minecraft:wheat_seeds
create_ltab:normal/basic4_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:bread minecraft:chest minecraft:group minecraft:item minecraft:luck minecraft:music_disc_cat minecraft:music_disc_far minecraft:potion minecraft:rotten_flesh minecraft:set_count minecraft:set_lore minecraft:set_name minecraft:set_nbt minecraft:set_potion minecraft:wheat
create_ltab:normal/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:normal/basic_loot minecraft:brick minecraft:carrot minecraft:chest minecraft:emerald minecraft:iron_ingot minecraft:item minecraft:luck minecraft:name_tag minecraft:potato minecraft:potion minecraft:saddle minecraft:set_count minecraft:set_lore minecraft:set_name minecraft:set_nbt minecraft:set_potion minecraft:wheat
create_ltab:normal/legend_loot | minecraft:chest | create:brass_block create:brass_ingot create:empty_blaze_burner create:polished_rose_quartz create_ltab:normal/legend_loot minecraft:aqua_affinity minecraft:bane_of_arthropods minecraft:blast_protection minecraft:book minecraft:bread minecraft:channeling minecraft:chest minecraft:clock minecraft:cooked_beef minecraft:depth_strider minecraft:diamond minecraft:efficiency minecraft:enchant_randomly minecraft:enchanted_book minecraft:feather_falling minecraft:fire_aspect minecraft:fire_protection minecraft:flame minecraft:fortune minecraft:frost_walker minecraft:gold_ingot minecraft:host_armor_trim_smithing_template minecraft:impaling minecraft:infinity minecraft:item minecraft:knockback minecraft:lapis_lazuli minecraft:looting minecraft:mending minecraft:raiser_armor_trim_smithing_template minecraft:riptide minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:sharpness minecraft:sweeping minecraft:unbreaking minecraft:vex_armor_trim_smithing_template minecraft:wayfinder_armor_trim_smithing_template
create_ltab:normal/rare_loot | minecraft:chest | create:andesite_alloy create:zinc_ingot create_ltab:core create_ltab:enchantment_luck create_ltab:normal/rare_loot minecraft:bread minecraft:chest minecraft:cooked_mutton minecraft:enchant_randomly minecraft:enchanted_book minecraft:enchanted_golden_apple minecraft:exploration_map minecraft:fortune minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:looting minecraft:luck minecraft:luck_of_the_sea minecraft:map minecraft:name_tag minecraft:potion minecraft:saddle minecraft:set_count minecraft:set_lore minecraft:set_name minecraft:set_nbt minecraft:set_potion
create_ltab:normal/trash_loot | minecraft:chest | create_ltab:normal/trash_loot minecraft:brick minecraft:chest minecraft:cobweb minecraft:item minecraft:paper minecraft:string
create_ltab:snow/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:snow/basic_loot minecraft:carved_pumpkin minecraft:chest minecraft:emerald minecraft:iron_ingot minecraft:item minecraft:leather minecraft:set_count minecraft:snow_block minecraft:snowball minecraft:string minecraft:vex_armor_trim_smithing_template
create_ltab:water/basic_loot | minecraft:chest | create:andesite_alloy create_ltab:water/basic_loot minecraft:aqua_affinity minecraft:bane_of_arthropods minecraft:blast_protection minecraft:bowl minecraft:channeling minecraft:chest minecraft:cod minecraft:copper_ingot minecraft:depth_strider minecraft:efficiency minecraft:enchant_randomly minecraft:enchanted_book minecraft:feather_falling minecraft:fire_aspect minecraft:fire_protection minecraft:fishing_rod minecraft:flame minecraft:flint minecraft:fortune minecraft:frost_walker minecraft:impaling minecraft:infinity minecraft:item minecraft:knockback minecraft:looting minecraft:mending minecraft:pufferfish minecraft:riptide minecraft:salmon minecraft:set_count minecraft:set_damage minecraft:sharpness minecraft:sweeping minecraft:tropical_fish minecraft:unbreaking
minecraft:chests/abandoned_mineshaft | minecraft:chest | create:builders_tea minecraft:activator_rail minecraft:beetroot_seeds minecraft:book minecraft:bread minecraft:chest minecraft:chests/abandoned_mineshaft minecraft:coal minecraft:detector_rail minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:glow_berries minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:iron_pickaxe minecraft:item minecraft:lapis_lazuli minecraft:melon_seeds minecraft:name_tag minecraft:powered_rail minecraft:pumpkin_seeds minecraft:rail minecraft:redstone minecraft:set_count minecraft:torch minecraft:uniform
minecraft:chests/bastion_treasure | minecraft:chest | create:brass_ingot minecraft:ancient_debris minecraft:chest minecraft:chests/bastion_treasure minecraft:crying_obsidian minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gilded_blackstone minecraft:gold_block minecraft:gold_ingot minecraft:iron_block minecraft:iron_ingot minecraft:item minecraft:magma_cream minecraft:netherite_ingot minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:quartz minecraft:set_count minecraft:set_damage minecraft:snout_armor_trim_smithing_template minecraft:spectral_arrow minecraft:uniform
minecraft:chests/buried_treasure | minecraft:chest | create:andesite_alloy minecraft:chest minecraft:chests/buried_treasure minecraft:cooked_cod minecraft:cooked_salmon minecraft:diamond minecraft:emerald minecraft:gold_ingot minecraft:heart_of_the_sea minecraft:iron_ingot minecraft:iron_sword minecraft:item minecraft:leather_chestplate minecraft:potion minecraft:prismarine_crystals minecraft:set_count minecraft:set_potion minecraft:tnt minecraft:uniform minecraft:water_breathing
minecraft:chests/village/village_cartographer | minecraft:chest | create_ltab:big_structures_plains minecraft:banner_red minecraft:bread minecraft:chest minecraft:chests/village/village_cartographer minecraft:compass minecraft:empty minecraft:exploration_map minecraft:item minecraft:map minecraft:paper minecraft:set_count minecraft:stick minecraft:uniform
minecraft:gameplay/fishing/junk | minecraft:fishing | create:super_glue minecraft:any_of minecraft:bamboo minecraft:bamboo_jungle minecraft:bone minecraft:bowl minecraft:fishing minecraft:fishing_rod minecraft:gameplay/fishing/junk minecraft:ink_sac minecraft:item minecraft:jungle minecraft:leather minecraft:leather_boots minecraft:lily_pad minecraft:location_check minecraft:potion minecraft:rotten_flesh minecraft:set_count minecraft:set_damage minecraft:set_potion minecraft:sparse_jungle minecraft:stick minecraft:string minecraft:tripwire_hook minecraft:uniform minecraft:water
minecraft:gameplay/fishing/treasure | minecraft:fishing | create:brass_ingot minecraft:book minecraft:bow minecraft:enchant_with_levels minecraft:fishing minecraft:fishing_rod minecraft:gameplay/fishing/treasure minecraft:item minecraft:name_tag minecraft:nautilus_shell minecraft:saddle minecraft:set_damage minecraft:uniform
