beachparty:advancements/completionist | minecraft:block | beachparty:beachparty_banner minecraft:block minecraft:item minecraft:set_count
beachparty:blocks/sandwaves | minecraft:block | beachparty:sandwaves minecraft:alternatives minecraft:block minecraft:blocks/stone minecraft:item minecraft:match_tool minecraft:sand minecraft:silk_touch minecraft:survives_explosion
beachparty:blocks/seashell_block | minecraft:block | beachparty:seashell minecraft:block minecraft:item minecraft:survives_explosion
beachparty:blocks/stripped_palm_log | minecraft:block | beachparty:stripped_palm_log minecraft:block minecraft:item minecraft:survives_explosion
beachparty:blocks/stripped_palm_wood | minecraft:block | beachparty:stripped_palm_wood minecraft:block minecraft:item minecraft:survives_explosion
beachparty:blocks/sweetberries_cocktail | minecraft:block | beachparty:sweetberries_cocktail minecraft:block minecraft:block_state_property minecraft:item minecraft:set_components minecraft:survives_explosion
beachparty:blocks/tall_palm_torch | minecraft:block | beachparty:tall_palm_torch minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
beachparty:blocks/thatch | minecraft:block | beachparty:thatch minecraft:block minecraft:item minecraft:survives_explosion
beachparty:blocks/thatch_slab | minecraft:block | beachparty:thatch_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
beachparty:blocks/thatch_stairs | minecraft:block | beachparty:thatch_stairs minecraft:block minecraft:item minecraft:survives_explosion
beachparty:blocks/wet_hay_block | minecraft:block | beachparty:wet_hay_block minecraft:block minecraft:item minecraft:survives_explosion
beachparty:chests/buried_treasure | ? | beachparty:beach_ball beachparty:beach_hat beachparty:bikini beachparty:coconut beachparty:crocs beachparty:floaty_boat beachparty:music_disc_beachparty beachparty:music_disc_caribbean_beach beachparty:music_disc_pridelands beachparty:music_disc_vocalista beachparty:music_disc_wild_veins beachparty:overgrown_disc beachparty:palm_sprout beachparty:palm_torch_item beachparty:pool_noodle beachparty:radio beachparty:rubber_ring_axolotl beachparty:rubber_ring_blue beachparty:rubber_ring_pelican beachparty:rubber_ring_pink beachparty:rubber_ring_stripped beachparty:sunglasses beachparty:swim_wings beachparty:trunks minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/desert_pyramid | ? | beachparty:overgrown_disc minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
beachparty:chests/shipwreck_supply | ? | beachparty:beach_ball beachparty:beach_hat beachparty:bikini beachparty:coconut beachparty:crocs beachparty:floaty_boat beachparty:overgrown_disc beachparty:palm_sprout beachparty:palm_torch_item beachparty:pool_noodle beachparty:radio beachparty:rubber_ring_axolotl beachparty:rubber_ring_blue beachparty:rubber_ring_pelican beachparty:rubber_ring_pink beachparty:rubber_ring_stripped beachparty:sunglasses beachparty:swim_wings beachparty:trunks minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/shipwreck_treasure | ? | beachparty:beach_ball beachparty:beach_hat beachparty:bikini beachparty:coconut beachparty:crocs beachparty:floaty_boat beachparty:overgrown_disc beachparty:palm_sprout beachparty:palm_torch_item beachparty:pool_noodle beachparty:radio beachparty:rubber_ring_axolotl beachparty:rubber_ring_blue beachparty:rubber_ring_pelican beachparty:rubber_ring_pink beachparty:rubber_ring_stripped beachparty:sunglasses beachparty:swim_wings beachparty:trunks minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/simple_dungeon | ? | beachparty:overgrown_disc beachparty:pool_noodle minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/underwater_ruin_big | ? | beachparty:beach_ball beachparty:beach_hat beachparty:bikini beachparty:coconut beachparty:crocs beachparty:floaty_boat beachparty:overgrown_disc beachparty:palm_sprout beachparty:palm_torch_item beachparty:pool_noodle beachparty:radio beachparty:rubber_ring_axolotl beachparty:rubber_ring_blue beachparty:rubber_ring_pelican beachparty:rubber_ring_pink beachparty:rubber_ring_stripped beachparty:sunglasses beachparty:swim_wings beachparty:trunks minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/underwater_ruin_small | ? | beachparty:beach_ball beachparty:beach_hat beachparty:bikini beachparty:coconut beachparty:crocs beachparty:floaty_boat beachparty:overgrown_disc beachparty:palm_sprout beachparty:palm_torch_item beachparty:pool_noodle beachparty:radio beachparty:rubber_ring_axolotl beachparty:rubber_ring_blue beachparty:rubber_ring_pelican beachparty:rubber_ring_pink beachparty:rubber_ring_stripped beachparty:sunglasses beachparty:swim_wings beachparty:trunks minecraft:empty minecraft:item minecraft:set_components minecraft:set_count minecraft:uniform
beachparty:chests/woodland_mansion | ? | beachparty:overgrown_disc minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
beachparty:gameplay/seashell | minecraft:generic | beachparty:raw_mussel_meat minecraft:diamond minecraft:emerald minecraft:generic minecraft:gold_ingot minecraft:item
