minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
minecraft:chests/illager_mansion/witch_chest | minecraft:chest | minecraft:awkward minecraft:chest minecraft:fermented_spider_eye minecraft:glass_bottle minecraft:glowstone_dust minecraft:gunpowder minecraft:harming minecraft:healing minecraft:item minecraft:magma_cream minecraft:poison minecraft:potion minecraft:pufferfish minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:spider_eye minecraft:splash_potion minecraft:strong_harming minecraft:strong_healing minecraft:strong_poison minecraft:strong_slowness minecraft:strong_swiftness minecraft:swiftness minecraft:uniform minecraft:water minecraft:weakness nova_structures:loot_modifier
minecraft:chests/illager_mansion/wool | minecraft:chest | minecraft:black_wool minecraft:blue_wool minecraft:brown_wool minecraft:chest minecraft:cyan_wool minecraft:efficiency minecraft:enchant_randomly minecraft:gray_wool minecraft:green_wool minecraft:item minecraft:light_blue_wool minecraft:light_gray_wool minecraft:lime_wool minecraft:magenta_wool minecraft:orange_wool minecraft:pink_wool minecraft:purple_wool minecraft:red_wool minecraft:reference minecraft:set_count minecraft:shears minecraft:uniform minecraft:white_wool minecraft:yellow_wool nova_structures:loot_modifier
minecraft:chests/nether_fortress/fort_inside | minecraft:chest | minecraft:ancient_debris minecraft:blaze_rod minecraft:chest minecraft:crying_obsidian minecraft:diamond minecraft:empty minecraft:fire_charge minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:item minecraft:music_disc_chirp minecraft:nether_brick minecraft:nether_wart minecraft:netherite_ingot minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:obsidian minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:set_damage minecraft:skull_banner_pattern minecraft:soul_torch minecraft:stone_sword minecraft:uniform minecraft:wither_skeleton_skull nova_structures:loot_modifier
minecraft:chests/nether_fortress/fort_inside_generic | minecraft:chest | minecraft:arrow minecraft:blaze_rod minecraft:bone minecraft:chest minecraft:coal minecraft:crying_obsidian minecraft:diamond minecraft:empty minecraft:fire_charge minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:item minecraft:nether_brick minecraft:nether_wart minecraft:netherite_upgrade_smithing_template minecraft:obsidian minecraft:ominous_bottle minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:set_damage minecraft:set_ominous_bottle_amplifier minecraft:soul_torch minecraft:stone_sword minecraft:uniform nova_structures:loot_modifier
minecraft:chests/village/village_jungle_house | minecraft:chest | minecraft:bamboo minecraft:bread minecraft:chest minecraft:cocoa_beans minecraft:emerald minecraft:fern minecraft:iron_nugget minecraft:item minecraft:jungle_log minecraft:jungle_sapling minecraft:jungle_sign minecraft:melon minecraft:melon_seeds minecraft:potato minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
minecraft:chests/village/village_swamp_house | minecraft:chest | minecraft:blue_orchid minecraft:bread minecraft:brown_mushroom minecraft:chest minecraft:emerald minecraft:fern minecraft:iron_nugget minecraft:item minecraft:mushroom_stew minecraft:oak_log minecraft:oak_sapling minecraft:potato minecraft:red_mushroom minecraft:reference minecraft:set_count minecraft:uniform minecraft:vine nova_structures:loot_modifier
nova_structures:archaelogy/archeology_toxic | minecraft:archaeology | minecraft:angler_pottery_sherd minecraft:archaeology minecraft:archer_pottery_sherd minecraft:black_dye minecraft:bone minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_candle minecraft:brown_dye minecraft:candle minecraft:cauldron minecraft:charcoal minecraft:dried_kelp minecraft:explorer_pottery_sherd minecraft:exposed_chiseled_copper minecraft:exposed_copper minecraft:exposed_copper_grate minecraft:exposed_copper_trapdoor minecraft:exposed_cut_copper minecraft:feather minecraft:fermented_spider_eye minecraft:fishing_rod minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:green_candle minecraft:green_dye minecraft:heartbreak_pottery_sherd minecraft:honeycomb minecraft:item minecraft:lead minecraft:lime_candle minecraft:lime_dye minecraft:loot_table minecraft:magenta_candle minecraft:moss_block minecraft:mossy_cobblestone minecraft:mud minecraft:name_tag minecraft:oak_log minecraft:paper minecraft:poisonous_potato minecraft:purple_candle minecraft:purple_dye minecraft:red_dye minecraft:reference minecraft:skeleton_skull minecraft:skull_pottery_sherd minecraft:spruce_boat minecraft:spruce_planks minecraft:stick minecraft:string minecraft:wheat minecraft:white_candle minecraft:wooden_hoe minecraft:wooden_shovel nova_structures:keys/ominous_toxic_key nova_structures:keys/toxic_key nova_structures:loot_modifier
nova_structures:archaelogy/conduit_ruin | minecraft:archaeology | minecraft:angler_pottery_sherd minecraft:archaeology minecraft:bone minecraft:copper_ingot minecraft:emerald minecraft:explorer_pottery_sherd minecraft:fishing_rod minecraft:gold_nugget minecraft:iron_nugget minecraft:item minecraft:plenty_pottery_sherd minecraft:raw_copper minecraft:reference minecraft:rotten_flesh minecraft:stone_axe minecraft:stone_hoe minecraft:stone_shovel minecraft:tide_armor_trim_smithing_template minecraft:trident nova_structures:loot_modifier
nova_structures:archaelogy/crypt | minecraft:archaeology | minecraft:archaeology minecraft:archer_pottery_sherd minecraft:beetroot minecraft:blade_pottery_sherd minecraft:bone minecraft:bone_meal minecraft:bowl minecraft:brick minecraft:burn_pottery_sherd minecraft:candle minecraft:carrot minecraft:creeper_head minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:gunpowder minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:moss_block minecraft:red_dye minecraft:red_wool minecraft:redstone minecraft:redstone_torch minecraft:reference minecraft:salmon minecraft:short_grass minecraft:skeleton_skull minecraft:skull_pottery_sherd minecraft:spruce_hanging_sign minecraft:spruce_sign minecraft:string minecraft:tnt minecraft:wheat minecraft:white_dye minecraft:white_wool minecraft:yellow_dye minecraft:yellow_wool nova_structures:keys/creeper_key nova_structures:loot_modifier
nova_structures:archaelogy/desert_ruin_inside_temple | minecraft:archaeology | minecraft:archaeology minecraft:archer_pottery_sherd minecraft:bone minecraft:book minecraft:copper_ingot minecraft:creeper_head minecraft:danger_pottery_sherd minecraft:diamond minecraft:dune_armor_trim_smithing_template minecraft:efficiency minecraft:emerald minecraft:enchant_randomly minecraft:experience_bottle minecraft:explorer_pottery_sherd minecraft:friend_pottery_sherd minecraft:gold_nugget minecraft:gunpowder minecraft:heart_pottery_sherd minecraft:heartbreak_pottery_sherd minecraft:honeycomb minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:music_disc_relic minecraft:plenty_pottery_sherd minecraft:prize_pottery_sherd minecraft:redstone minecraft:reference minecraft:skull_pottery_sherd minecraft:tnt nova_structures:loot_modifier
nova_structures:archaelogy/desert_ruin_ruins | minecraft:archaeology | minecraft:archaeology minecraft:archer_pottery_sherd minecraft:blue_dye minecraft:bone minecraft:book minecraft:brick minecraft:burn_pottery_sherd minecraft:cyan_dye minecraft:danger_pottery_sherd minecraft:dune_armor_trim_smithing_template minecraft:emerald minecraft:enchant_randomly minecraft:gold_nugget minecraft:golden_hoe minecraft:golden_shovel minecraft:green_dye minecraft:heartbreak_pottery_sherd minecraft:honeycomb minecraft:iron_nugget minecraft:item minecraft:light_blue_dye minecraft:lime_dye minecraft:orange_dye minecraft:reference minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:skull_pottery_sherd minecraft:stick nova_structures:loot_modifier
nova_structures:chests/badland_miner_outpost | minecraft:chest | minecraft:apple minecraft:arrow minecraft:bread minecraft:chest minecraft:crossbow minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/badland_miner_outpost_forge | minecraft:chest | minecraft:chest minecraft:coal minecraft:empty minecraft:gold_ingot minecraft:iron_axe minecraft:iron_ingot minecraft:iron_pickaxe minecraft:item minecraft:raw_gold minecraft:raw_iron minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/badland_miner_outpost_towers | minecraft:chest | minecraft:apple minecraft:arrow minecraft:chest minecraft:crossbow minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/bunker_altar | minecraft:chest | minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:chests/stronghold_corridor minecraft:emerald minecraft:filtered minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count nova_structures:loot_modifier
nova_structures:chests/conduit_ruin/conduit_ruin_big | minecraft:chest | minecraft:chest minecraft:chests/underwater_ruin_big minecraft:coast_armor_trim_smithing_template minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:empty minecraft:exploration_map minecraft:fishing_rod minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:map minecraft:pointed_dripstone minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_name minecraft:stone_axe minecraft:trident minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/conduit_ruin/conduit_ruin_main | minecraft:chest | minecraft:chest minecraft:chests/underwater_ruin_big minecraft:copper_ingot minecraft:empty minecraft:fishing_rod minecraft:item minecraft:loot_table minecraft:nautilus_shell minecraft:pointed_dripstone minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:tide_armor_trim_smithing_template minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/conduit_ruin/conduit_ruin_small | minecraft:chest | minecraft:chest minecraft:chests/underwater_ruin_small minecraft:coast_armor_trim_smithing_template minecraft:copper_ingot minecraft:empty minecraft:gold_nugget minecraft:item minecraft:loot_table minecraft:pointed_dripstone minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/creeping_crypt/crypt_grave | minecraft:chest | minecraft:arrow minecraft:bone minecraft:chest minecraft:copper_ingot minecraft:creeper_banner_pattern minecraft:empty minecraft:gunpowder minecraft:honey_bottle minecraft:honeycomb minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:redstone minecraft:redstone_torch minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/creeping_crypt/crypt_hallway | minecraft:chest | minecraft:bow minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:emerald minecraft:honey_bottle minecraft:item minecraft:music_disc_11 minecraft:music_disc_far minecraft:redstone_torch minecraft:reference minecraft:set_count minecraft:tnt minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/creeping_crypt/vault_creeping | minecraft:chest | minecraft:blast_protection minecraft:chest minecraft:creeper_banner_pattern minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:emerald minecraft:emerald_block minecraft:enchant_randomly minecraft:gold_block minecraft:gunpowder minecraft:iron_block minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:looting minecraft:redstone_block minecraft:reference minecraft:set_count minecraft:tnt minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/desert_ruins/desert_ruin_grave | minecraft:chest | minecraft:bone minecraft:chest minecraft:copper_ingot minecraft:diamond minecraft:dune_armor_trim_smithing_template minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:gunpowder minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:skeleton_skull minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/desert_ruins/desert_ruin_house | minecraft:chest | minecraft:bone minecraft:book minecraft:bucket minecraft:cactus minecraft:chest minecraft:compass minecraft:dead_bush minecraft:emerald minecraft:enchant_randomly minecraft:fire_protection minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:honey_bottle minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:name_tag minecraft:reference minecraft:rotten_flesh minecraft:saddle minecraft:sand minecraft:sea_pickle minecraft:set_count minecraft:sugar_cane minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/desert_ruins/desert_ruin_lesser_treasure | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:chests/desert_pyramid minecraft:cooked_rabbit minecraft:copper_ingot minecraft:diamond minecraft:dune_armor_trim_smithing_template minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:filtered minecraft:gold_ingot minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:lead minecraft:loot_table minecraft:reference minecraft:saddle minecraft:sand minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/desert_ruins/desert_ruin_main_temple | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:copper_ingot minecraft:diamond minecraft:dune_armor_trim_smithing_template minecraft:efficiency minecraft:emerald minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:fire_protection minecraft:gold_ingot minecraft:golden_apple minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:music_disc_relic minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/dungeon_1 | minecraft:chest | minecraft:beetroot minecraft:beetroot_seeds minecraft:carrot minecraft:chest minecraft:chests/simple_dungeon minecraft:flower_pot minecraft:item minecraft:loot_table minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:uniform minecraft:wheat_seeds nova_structures:loot_modifier
nova_structures:chests/dungeon_2 | minecraft:chest | minecraft:book minecraft:candle minecraft:chest minecraft:chests/simple_dungeon minecraft:enchant_with_levels minecraft:feather minecraft:ink_sac minecraft:item minecraft:loot_table minecraft:paper minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/dungeon_3 | minecraft:chest | minecraft:chest minecraft:chests/simple_dungeon minecraft:coal minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:stone_axe minecraft:stone_hoe minecraft:stone_shovel minecraft:uniform minecraft:wheat nova_structures:loot_modifier
nova_structures:chests/dungeon_4 | minecraft:chest | minecraft:bowl minecraft:bread minecraft:brown_mushroom minecraft:chest minecraft:chests/simple_dungeon minecraft:item minecraft:loot_table minecraft:red_mushroom minecraft:reference minecraft:set_count minecraft:uniform minecraft:wheat nova_structures:loot_modifier
nova_structures:chests/dungeon_5 | minecraft:chest | minecraft:chest minecraft:chests/simple_dungeon minecraft:flint minecraft:iron_ingot minecraft:item minecraft:lantern minecraft:loot_table minecraft:reference minecraft:set_count minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/dungeon_6 | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:chests/simple_dungeon minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/dungeon_7 | minecraft:chest | minecraft:chest minecraft:chests/simple_dungeon minecraft:emerald minecraft:gold_ingot minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/end_castle/castle_bar | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:beetroot_soup minecraft:blindness minecraft:chest minecraft:chorus_fruit minecraft:golden_apple minecraft:item minecraft:jump_boost minecraft:levitation minecraft:lingering_potion minecraft:night_vision minecraft:poison minecraft:potion minecraft:reference minecraft:saturation minecraft:set_stew_effect minecraft:splash_potion minecraft:suspicious_stew minecraft:uniform minecraft:weakness nova_structures:loot_modifier
nova_structures:chests/end_castle/castle_brewing | minecraft:chest | minecraft:blaze_powder minecraft:blaze_rod minecraft:book minecraft:chest minecraft:enchant_randomly minecraft:fermented_spider_eye minecraft:glowstone minecraft:glowstone_dust minecraft:gunpowder minecraft:item minecraft:loot_table minecraft:nether_wart minecraft:redstone minecraft:reference nova_structures:loot_modifier nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:chests/end_castle/greater_loot | minecraft:chest | minecraft:blaze_powder minecraft:blaze_rod minecraft:book minecraft:chest minecraft:crossbow minecraft:diamond minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:emerald minecraft:emerald_block minecraft:empty minecraft:end_crystal minecraft:ender_eye minecraft:ender_pearl minecraft:eye_armor_trim_smithing_template minecraft:ghast_tear minecraft:gold_block minecraft:gold_ingot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:name_tag minecraft:potion minecraft:reference minecraft:set_count minecraft:spire_armor_trim_smithing_template minecraft:tipped_arrow minecraft:uniform nova_structures:keys/end_castle_key nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:chests/end_castle/lesser_loot | minecraft:chest | minecraft:blaze_powder minecraft:blaze_rod minecraft:book minecraft:chest minecraft:crossbow minecraft:diamond_sword minecraft:empty minecraft:enchant_randomly minecraft:end_crystal minecraft:ender_eye minecraft:ender_pearl minecraft:eye_armor_trim_smithing_template minecraft:ghast_tear minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:name_tag minecraft:potion minecraft:reference minecraft:set_count minecraft:spire_armor_trim_smithing_template minecraft:stick minecraft:string minecraft:uniform nova_structures:keys/end_castle_key nova_structures:loot_modifier nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:chests/end_castle/rocket_barrel | minecraft:chest | minecraft:chest minecraft:crossbow minecraft:firework_rocket minecraft:item minecraft:loot_table minecraft:phantom_membrane minecraft:reference minecraft:set_count minecraft:set_fireworks minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_potion
