cbc_at:blocks/armor_piercing_cartridge | minecraft:block | cbc_at:armor_piercing_cartridge createbigcannons:blocks/ap_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/bronze_silencer | minecraft:block | cbc_at:blocks/bronze_silencer cbc_at:bronze_silencer createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_twin_autocannon_barrel | minecraft:block | cbc_at:bronze_twin_autocannon_barrel createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_twin_autocannon_breech | minecraft:block | cbc_at:bronze_twin_autocannon_breech createbigcannons:blocks/bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:bronze_twin_autocannon_muzzle_brake createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_twin_autocannon_recoil_spring | minecraft:block | cbc_at:bronze_twin_autocannon_recoil_spring createbigcannons:blocks/bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_twin_autocannon_silencer | minecraft:block | cbc_at:bronze_twin_autocannon_silencer createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_vert_twin_autocannon_barrel | minecraft:block | cbc_at:bronze_vert_twin_autocannon_barrel createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_vert_twin_autocannon_breech | minecraft:block | cbc_at:bronze_vert_twin_autocannon_breech createbigcannons:blocks/bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:bronze_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:bronze_vert_twin_autocannon_recoil_spring createbigcannons:blocks/bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/bronze_vert_twin_autocannon_silencer | minecraft:block | cbc_at:bronze_vert_twin_autocannon_silencer createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/built_up_nethersteel_rifled_barrel | minecraft:block | cbc_at:blocks/built_up_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/built_up_nethersteel_silencer | minecraft:block | cbc_at:blocks/built_up_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/built_up_steel_rifled_barrel | minecraft:block | cbc_at:blocks/built_up_steel_rifled_barrel cbc_at:built_up_steel_rifled_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/built_up_steel_silencer | minecraft:block | cbc_at:blocks/built_up_steel_silencer cbc_at:built_up_steel_silencer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_autocannon_muzzle_brake | minecraft:block | cbc_at:cast_iron_autocannon_muzzle_brake createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_autocannon_silencer | minecraft:block | cbc_at:cast_iron_autocannon_silencer createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_fume_extractor | minecraft:block | cbc_at:blocks/cast_iron_fume_extractor cbc_at:cast_iron_fume_extractor createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_barrel | minecraft:block | cbc_at:cast_iron_heavy_autocannon_barrel createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_breech | minecraft:block | cbc_at:cast_iron_heavy_autocannon_breech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:cast_iron_heavy_autocannon_muzzle_brake createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_qfbreech | minecraft:block | cbc_at:cast_iron_heavy_autocannon_qfbreech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:cast_iron_heavy_autocannon_recoil_spring createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_heavy_autocannon_silencer | minecraft:block | cbc_at:cast_iron_heavy_autocannon_silencer createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_muzzle_brake | minecraft:block | cbc_at:blocks/cast_iron_muzzle_brake cbc_at:cast_iron_muzzle_brake createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_rifled_barrel | minecraft:block | cbc_at:blocks/cast_iron_rifled_barrel cbc_at:cast_iron_rifled_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_rocket_pod_breech | minecraft:block | cbc_at:cast_iron_rocket_pod_breech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_rocket_pod_rail | minecraft:block | cbc_at:cast_iron_rocket_pod_rail createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_silencer | minecraft:block | cbc_at:blocks/cast_iron_silencer cbc_at:cast_iron_silencer createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_twin_autocannon_barrel | minecraft:block | cbc_at:cast_iron_twin_autocannon_barrel createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_twin_autocannon_breech | minecraft:block | cbc_at:cast_iron_twin_autocannon_breech createbigcannons:blocks/cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:cast_iron_twin_autocannon_muzzle_brake createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_twin_autocannon_recoil_spring | minecraft:block | cbc_at:cast_iron_twin_autocannon_recoil_spring createbigcannons:blocks/cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_twin_autocannon_silencer | minecraft:block | cbc_at:cast_iron_twin_autocannon_silencer createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_vert_twin_autocannon_barrel | minecraft:block | cbc_at:cast_iron_vert_twin_autocannon_barrel createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_vert_twin_autocannon_breech | minecraft:block | cbc_at:cast_iron_vert_twin_autocannon_breech createbigcannons:blocks/cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:cast_iron_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:cast_iron_vert_twin_autocannon_recoil_spring createbigcannons:blocks/cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cast_iron_vert_twin_autocannon_silencer | minecraft:block | cbc_at:cast_iron_vert_twin_autocannon_silencer createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/cluster | minecraft:block | cbc_at:cluster createbigcannons:blocks/he_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/cluster_cartridge | minecraft:block | cbc_at:cluster_cartridge createbigcannons:blocks/he_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/cluster_caseless | minecraft:block | cbc_at:cluster_caseless createbigcannons:blocks/he_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/creative_heavy_autocannon_ammo_box | minecraft:block | cbc_at:creative_heavy_autocannon_ammo_box createbigcannons:blocks/autocannon_ammo_container minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item minecraft:survives_explosion
cbc_at:blocks/fluid_shell_cartridge | minecraft:block | cbc_at:fluid_shell_cartridge createbigcannons:blocks/fluid_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/fluid_shell_caseless | minecraft:block | cbc_at:fluid_shell_caseless createbigcannons:blocks/fluid_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/fume_extractor_cast_mould | minecraft:block | cbc_at:blocks/fume_extractor_cast_mould cbc_at:fume_extractor_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/grapeshot_cartridge | minecraft:block | cbc_at:grapeshot_cartridge createbigcannons:blocks/bag_of_grapeshot minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/grapeshot_caseless | minecraft:block | cbc_at:grapeshot_caseless createbigcannons:blocks/bag_of_grapeshot minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/heavy_autocannon_ammo_box | minecraft:block | cbc_at:heavy_autocannon_ammo_box createbigcannons:blocks/autocannon_ammo_container minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item minecraft:survives_explosion
cbc_at:blocks/heavy_autocannon_barrel_cast_mould | minecraft:block | cbc_at:blocks/heavy_autocannon_barrel_cast_mould cbc_at:heavy_autocannon_barrel_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/heavy_autocannon_breech_cast_mould | minecraft:block | cbc_at:blocks/heavy_autocannon_breech_cast_mould cbc_at:heavy_autocannon_breech_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/heavy_autocannon_recoil_spring_cast_mould | minecraft:block | cbc_at:blocks/heavy_autocannon_recoil_spring_cast_mould cbc_at:heavy_autocannon_recoil_spring_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/high_explosive_cartridge | minecraft:block | cbc_at:high_explosive_cartridge createbigcannons:blocks/he_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/high_explosive_caseless | minecraft:block | cbc_at:high_explosive_caseless createbigcannons:blocks/he_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/muzzle_brake_cast_mould | minecraft:block | cbc_at:blocks/muzzle_brake_cast_mould cbc_at:muzzle_brake_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/nethersteel_fume_extractor | minecraft:block | cbc_at:blocks/nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/nethersteel_muzzle_brake | minecraft:block | cbc_at:blocks/nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/nethersteel_rifled_barrel | minecraft:block | cbc_at:blocks/nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/nethersteel_silencer | minecraft:block | cbc_at:blocks/nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/rifled_barrel_cast_mould | minecraft:block | cbc_at:blocks/rifled_barrel_cast_mould cbc_at:rifled_barrel_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/rocket_pod_breech_mould | minecraft:block | cbc_at:blocks/rocket_pod_rail_mould cbc_at:rocket_pod_breech_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/rocket_pod_rail_mould | minecraft:block | cbc_at:blocks/rocket_pod_rail_mould cbc_at:rocket_pod_rail_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/shrapnel_cartridge | minecraft:block | cbc_at:shrapnel_cartridge createbigcannons:blocks/shrapnel_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/shrapnel_caseless | minecraft:block | cbc_at:shrapnel_caseless createbigcannons:blocks/shrapnel_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/silencer_cast_mould | minecraft:block | cbc_at:blocks/silencer_cast_mould cbc_at:silencer_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/smoke_cartridge | minecraft:block | cbc_at:smoke_cartridge createbigcannons:blocks/smoke_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/smoke_caseless | minecraft:block | cbc_at:smoke_caseless createbigcannons:blocks/smoke_shell minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/solid_cartridge | minecraft:block | cbc_at:solid_cartridge createbigcannons:blocks/solid_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/solid_caseless | minecraft:block | cbc_at:solid_caseless createbigcannons:blocks/solid_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/steel_autocannon_muzzle_brake | minecraft:block | cbc_at:steel_autocannon_muzzle_brake createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_autocannon_silencer | minecraft:block | cbc_at:steel_autocannon_silencer createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_fume_extractor | minecraft:block | cbc_at:blocks/steel_fume_extractor cbc_at:steel_fume_extractor createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_barrel | minecraft:block | cbc_at:steel_heavy_autocannon_barrel createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_breech | minecraft:block | cbc_at:steel_heavy_autocannon_breech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:steel_heavy_autocannon_muzzle_brake createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_qfbreech | minecraft:block | cbc_at:steel_heavy_autocannon_qfbreech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:steel_heavy_autocannon_recoil_spring createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_heavy_autocannon_silencer | minecraft:block | cbc_at:steel_heavy_autocannon_silencer createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_muzzle_brake | minecraft:block | cbc_at:blocks/steel_muzzle_brake cbc_at:steel_muzzle_brake createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_rifled_barrel | minecraft:block | cbc_at:blocks/steel_rifled_barrel cbc_at:steel_rifled_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_rocket_pod_breech | minecraft:block | cbc_at:steel_rocket_pod_breech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_rocket_pod_rail | minecraft:block | cbc_at:steel_rocket_pod_rail createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_silencer | minecraft:block | cbc_at:blocks/steel_silencer cbc_at:steel_silencer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_twin_autocannon_barrel | minecraft:block | cbc_at:steel_twin_autocannon_barrel createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_twin_autocannon_breech | minecraft:block | cbc_at:steel_twin_autocannon_breech createbigcannons:blocks/steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:steel_twin_autocannon_muzzle_brake createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
