create:blocks/acacia_window | minecraft:block | create:acacia_window create:blocks/acacia_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/black_sail | minecraft:block | create:blocks/black_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/black_seat | minecraft:block | create:black_seat create:blocks/black_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/black_table_cloth | minecraft:block | create:black_table_cloth create:blocks/black_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/black_toolbox | minecraft:block | create:black_toolbox create:blocks/black_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/black_valve_handle | minecraft:block | create:black_valve_handle create:blocks/black_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blaze_burner | minecraft:block | create:blaze_burner create:blocks/blaze_burner create:empty_blaze_burner minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/blue_nixie_tube | minecraft:block | create:blocks/blue_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blue_postbox | minecraft:block | create:blocks/blue_postbox create:blue_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blue_sail | minecraft:block | create:blocks/blue_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blue_seat | minecraft:block | create:blocks/blue_seat create:blue_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blue_table_cloth | minecraft:block | create:blocks/blue_table_cloth create:blue_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/blue_toolbox | minecraft:block | create:blocks/blue_toolbox create:blue_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/blue_valve_handle | minecraft:block | create:blocks/blue_valve_handle create:blue_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/bound_cardboard_block | minecraft:block | create:blocks/bound_cardboard_block create:bound_cardboard_block create:cardboard_block minecraft:alternatives minecraft:block minecraft:inverted minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:string minecraft:survives_explosion
create:blocks/brass_bars | minecraft:block | create:blocks/brass_bars create:brass_bars minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_belt_funnel | minecraft:block | create:blocks/brass_belt_funnel create:brass_funnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_block | minecraft:block | create:blocks/brass_block create:brass_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_casing | minecraft:block | create:blocks/brass_casing create:brass_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_door | minecraft:block | create:blocks/brass_door create:brass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/brass_encased_cogwheel | minecraft:block | create:blocks/brass_encased_cogwheel create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_encased_large_cogwheel | minecraft:block | create:blocks/brass_encased_large_cogwheel create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_encased_shaft | minecraft:block | create:blocks/brass_encased_shaft create:shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_funnel | minecraft:block | create:blocks/brass_funnel create:brass_funnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_ladder | minecraft:block | create:blocks/brass_ladder create:brass_ladder minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_scaffolding | minecraft:block | create:blocks/brass_scaffolding create:brass_scaffolding minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_table_cloth | minecraft:block | create:blocks/brass_table_cloth create:brass_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brass_tunnel | minecraft:block | create:blocks/brass_tunnel create:brass_tunnel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_nixie_tube | minecraft:block | create:blocks/brown_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_postbox | minecraft:block | create:blocks/brown_postbox create:brown_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_sail | minecraft:block | create:blocks/brown_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_seat | minecraft:block | create:blocks/brown_seat create:brown_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_table_cloth | minecraft:block | create:blocks/brown_table_cloth create:brown_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/brown_toolbox | minecraft:block | create:blocks/brown_toolbox create:brown_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/brown_valve_handle | minecraft:block | create:blocks/brown_valve_handle create:brown_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/calcite_pillar | minecraft:block | create:blocks/calcite_pillar create:calcite_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cardboard_block | minecraft:block | create:blocks/cardboard_block create:cardboard_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cart_assembler | minecraft:block | create:blocks/cart_assembler create:cart_assembler minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/chain_conveyor | minecraft:block | create:blocks/chain_conveyor create:chain_conveyor minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cherry_window | minecraft:block | create:blocks/cherry_window create:cherry_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/cherry_window_pane | minecraft:block | create:blocks/cherry_window_pane create:cherry_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/chute | minecraft:block | create:blocks/chute create:chute minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/clipboard | minecraft:block | create:blocks/clipboard minecraft:block
create:blocks/clockwork_bearing | minecraft:block | create:blocks/clockwork_bearing create:clockwork_bearing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/clutch | minecraft:block | create:blocks/clutch create:clutch minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cogwheel | minecraft:block | create:blocks/cogwheel create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/content_observer | minecraft:block | create:blocks/content_observer create:content_observer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/contraption_controls | minecraft:block | create:blocks/contraption_controls create:contraption_controls minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/controller_rail | minecraft:block | create:blocks/controller_rail create:controller_rail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/controls | minecraft:block | create:blocks/controls create:controls minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_backtank | minecraft:block | create:banktank_air create:blocks/copper_backtank create:copper_backtank minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion
create:blocks/copper_bars | minecraft:block | create:blocks/copper_bars create:copper_bars minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_casing | minecraft:block | create:blocks/copper_casing create:copper_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_door | minecraft:block | create:blocks/copper_door create:copper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/copper_ladder | minecraft:block | create:blocks/copper_ladder create:copper_ladder minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_scaffolding | minecraft:block | create:blocks/copper_scaffolding create:copper_scaffolding minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_shingle_slab | minecraft:block | create:blocks/copper_shingle_slab create:copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/copper_shingle_stairs | minecraft:block | create:blocks/copper_shingle_stairs create:copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_shingles | minecraft:block | create:blocks/copper_shingles create:copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_table_cloth | minecraft:block | create:blocks/copper_table_cloth create:copper_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_tile_slab | minecraft:block | create:blocks/copper_tile_slab create:copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/copper_tile_stairs | minecraft:block | create:blocks/copper_tile_stairs create:copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_tiles | minecraft:block | create:blocks/copper_tiles create:copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copper_valve_handle | minecraft:block | create:blocks/copper_valve_handle create:copper_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copycat_bars | minecraft:block | create:blocks/copycat_bars minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copycat_base | minecraft:block | create:blocks/copycat_base minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copycat_panel | minecraft:block | create:blocks/copycat_panel create:copycat_panel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/copycat_step | minecraft:block | create:blocks/copycat_step create:copycat_step minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/creative_crate | minecraft:block | create:blocks/creative_crate create:creative_crate minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/creative_fluid_tank | minecraft:block | create:blocks/creative_fluid_tank create:creative_fluid_tank minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/creative_motor | minecraft:block | create:blocks/creative_motor create:creative_motor minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/crimsite | minecraft:block | create:blocks/crimsite create:crimsite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/crimsite_pillar | minecraft:block | create:blocks/crimsite_pillar create:crimsite_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/crimson_window | minecraft:block | create:blocks/crimson_window create:crimson_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/crimson_window_pane | minecraft:block | create:blocks/crimson_window_pane create:crimson_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/crushing_wheel | minecraft:block | create:blocks/crushing_wheel create:crushing_wheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cuckoo_clock | minecraft:block | create:blocks/cuckoo_clock create:cuckoo_clock minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite | minecraft:block | create:blocks/cut_andesite create:cut_andesite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite_brick_slab | minecraft:block | create:blocks/cut_andesite_brick_slab create:cut_andesite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_andesite_brick_stairs | minecraft:block | create:blocks/cut_andesite_brick_stairs create:cut_andesite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite_brick_wall | minecraft:block | create:blocks/cut_andesite_brick_wall create:cut_andesite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite_bricks | minecraft:block | create:blocks/cut_andesite_bricks create:cut_andesite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite_slab | minecraft:block | create:blocks/cut_andesite_slab create:cut_andesite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_andesite_stairs | minecraft:block | create:blocks/cut_andesite_stairs create:cut_andesite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_andesite_wall | minecraft:block | create:blocks/cut_andesite_wall create:cut_andesite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine | minecraft:block | create:blocks/cut_asurine create:cut_asurine minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine_brick_slab | minecraft:block | create:blocks/cut_asurine_brick_slab create:cut_asurine_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_asurine_brick_stairs | minecraft:block | create:blocks/cut_asurine_brick_stairs create:cut_asurine_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine_brick_wall | minecraft:block | create:blocks/cut_asurine_brick_wall create:cut_asurine_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine_bricks | minecraft:block | create:blocks/cut_asurine_bricks create:cut_asurine_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine_slab | minecraft:block | create:blocks/cut_asurine_slab create:cut_asurine_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_asurine_stairs | minecraft:block | create:blocks/cut_asurine_stairs create:cut_asurine_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_asurine_wall | minecraft:block | create:blocks/cut_asurine_wall create:cut_asurine_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite | minecraft:block | create:blocks/cut_calcite create:cut_calcite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite_brick_slab | minecraft:block | create:blocks/cut_calcite_brick_slab create:cut_calcite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_calcite_brick_stairs | minecraft:block | create:blocks/cut_calcite_brick_stairs create:cut_calcite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite_brick_wall | minecraft:block | create:blocks/cut_calcite_brick_wall create:cut_calcite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite_bricks | minecraft:block | create:blocks/cut_calcite_bricks create:cut_calcite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite_slab | minecraft:block | create:blocks/cut_calcite_slab create:cut_calcite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_calcite_stairs | minecraft:block | create:blocks/cut_calcite_stairs create:cut_calcite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_calcite_wall | minecraft:block | create:blocks/cut_calcite_wall create:cut_calcite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite | minecraft:block | create:blocks/cut_crimsite create:cut_crimsite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite_brick_slab | minecraft:block | create:blocks/cut_crimsite_brick_slab create:cut_crimsite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_crimsite_brick_stairs | minecraft:block | create:blocks/cut_crimsite_brick_stairs create:cut_crimsite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite_brick_wall | minecraft:block | create:blocks/cut_crimsite_brick_wall create:cut_crimsite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite_bricks | minecraft:block | create:blocks/cut_crimsite_bricks create:cut_crimsite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite_slab | minecraft:block | create:blocks/cut_crimsite_slab create:cut_crimsite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_crimsite_stairs | minecraft:block | create:blocks/cut_crimsite_stairs create:cut_crimsite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_crimsite_wall | minecraft:block | create:blocks/cut_crimsite_wall create:cut_crimsite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate | minecraft:block | create:blocks/cut_deepslate create:cut_deepslate minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate_brick_slab | minecraft:block | create:blocks/cut_deepslate_brick_slab create:cut_deepslate_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_deepslate_brick_stairs | minecraft:block | create:blocks/cut_deepslate_brick_stairs create:cut_deepslate_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate_brick_wall | minecraft:block | create:blocks/cut_deepslate_brick_wall create:cut_deepslate_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate_bricks | minecraft:block | create:blocks/cut_deepslate_bricks create:cut_deepslate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate_slab | minecraft:block | create:blocks/cut_deepslate_slab create:cut_deepslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_deepslate_stairs | minecraft:block | create:blocks/cut_deepslate_stairs create:cut_deepslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_deepslate_wall | minecraft:block | create:blocks/cut_deepslate_wall create:cut_deepslate_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite | minecraft:block | create:blocks/cut_diorite create:cut_diorite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite_brick_slab | minecraft:block | create:blocks/cut_diorite_brick_slab create:cut_diorite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_diorite_brick_stairs | minecraft:block | create:blocks/cut_diorite_brick_stairs create:cut_diorite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite_brick_wall | minecraft:block | create:blocks/cut_diorite_brick_wall create:cut_diorite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite_bricks | minecraft:block | create:blocks/cut_diorite_bricks create:cut_diorite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite_slab | minecraft:block | create:blocks/cut_diorite_slab create:cut_diorite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_diorite_stairs | minecraft:block | create:blocks/cut_diorite_stairs create:cut_diorite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_diorite_wall | minecraft:block | create:blocks/cut_diorite_wall create:cut_diorite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone | minecraft:block | create:blocks/cut_dripstone create:cut_dripstone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone_brick_slab | minecraft:block | create:blocks/cut_dripstone_brick_slab create:cut_dripstone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_dripstone_brick_stairs | minecraft:block | create:blocks/cut_dripstone_brick_stairs create:cut_dripstone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone_brick_wall | minecraft:block | create:blocks/cut_dripstone_brick_wall create:cut_dripstone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone_bricks | minecraft:block | create:blocks/cut_dripstone_bricks create:cut_dripstone_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone_slab | minecraft:block | create:blocks/cut_dripstone_slab create:cut_dripstone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_dripstone_stairs | minecraft:block | create:blocks/cut_dripstone_stairs create:cut_dripstone_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_dripstone_wall | minecraft:block | create:blocks/cut_dripstone_wall create:cut_dripstone_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite | minecraft:block | create:blocks/cut_granite create:cut_granite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite_brick_slab | minecraft:block | create:blocks/cut_granite_brick_slab create:cut_granite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_granite_brick_stairs | minecraft:block | create:blocks/cut_granite_brick_stairs create:cut_granite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite_brick_wall | minecraft:block | create:blocks/cut_granite_brick_wall create:cut_granite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite_bricks | minecraft:block | create:blocks/cut_granite_bricks create:cut_granite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite_slab | minecraft:block | create:blocks/cut_granite_slab create:cut_granite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_granite_stairs | minecraft:block | create:blocks/cut_granite_stairs create:cut_granite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_granite_wall | minecraft:block | create:blocks/cut_granite_wall create:cut_granite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone | minecraft:block | create:blocks/cut_limestone create:cut_limestone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone_brick_slab | minecraft:block | create:blocks/cut_limestone_brick_slab create:cut_limestone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_limestone_brick_stairs | minecraft:block | create:blocks/cut_limestone_brick_stairs create:cut_limestone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone_brick_wall | minecraft:block | create:blocks/cut_limestone_brick_wall create:cut_limestone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone_bricks | minecraft:block | create:blocks/cut_limestone_bricks create:cut_limestone_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone_slab | minecraft:block | create:blocks/cut_limestone_slab create:cut_limestone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_limestone_stairs | minecraft:block | create:blocks/cut_limestone_stairs create:cut_limestone_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_limestone_wall | minecraft:block | create:blocks/cut_limestone_wall create:cut_limestone_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum | minecraft:block | create:blocks/cut_ochrum create:cut_ochrum minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum_brick_slab | minecraft:block | create:blocks/cut_ochrum_brick_slab create:cut_ochrum_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_ochrum_brick_stairs | minecraft:block | create:blocks/cut_ochrum_brick_stairs create:cut_ochrum_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum_brick_wall | minecraft:block | create:blocks/cut_ochrum_brick_wall create:cut_ochrum_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum_bricks | minecraft:block | create:blocks/cut_ochrum_bricks create:cut_ochrum_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum_slab | minecraft:block | create:blocks/cut_ochrum_slab create:cut_ochrum_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_ochrum_stairs | minecraft:block | create:blocks/cut_ochrum_stairs create:cut_ochrum_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_ochrum_wall | minecraft:block | create:blocks/cut_ochrum_wall create:cut_ochrum_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia | minecraft:block | create:blocks/cut_scorchia create:cut_scorchia minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia_brick_slab | minecraft:block | create:blocks/cut_scorchia_brick_slab create:cut_scorchia_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
