railways:blocks/big_buffer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:big_buffer railways:blocks/big_buffer
railways:blocks/blue_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_copper_wrapped_locometal railways:blue_copper_wrapped_locometal
railways:blocks/blue_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_copper_wrapped_locometal_boiler railways:blue_copper_wrapped_locometal_boiler
railways:blocks/blue_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_flat_riveted_locometal railways:blue_flat_riveted_locometal
railways:blocks/blue_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_flat_slashed_locometal railways:blue_flat_slashed_locometal
railways:blocks/blue_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_iron_wrapped_locometal railways:blue_iron_wrapped_locometal
railways:blocks/blue_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_iron_wrapped_locometal_boiler railways:blue_iron_wrapped_locometal_boiler
railways:blocks/blue_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_locometal_boiler railways:blue_locometal_boiler
railways:blocks/blue_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_locometal_pillar railways:blue_locometal_pillar
railways:blocks/blue_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_locometal_smokebox railways:blue_locometal_smokebox
railways:blocks/blue_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_plated_locometal railways:blue_plated_locometal
railways:blocks/blue_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_riveted_locometal railways:blue_riveted_locometal
railways:blocks/blue_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_slashed_locometal railways:blue_slashed_locometal
railways:blocks/brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brass_wrapped_locometal railways:brass_wrapped_locometal
railways:blocks/brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brass_wrapped_locometal_boiler railways:brass_wrapped_locometal_boiler
railways:blocks/brown_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_brass_wrapped_locometal railways:brown_brass_wrapped_locometal
railways:blocks/brown_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_brass_wrapped_locometal_boiler railways:brown_brass_wrapped_locometal_boiler
railways:blocks/brown_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_copper_wrapped_locometal railways:brown_copper_wrapped_locometal
railways:blocks/brown_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_copper_wrapped_locometal_boiler railways:brown_copper_wrapped_locometal_boiler
railways:blocks/brown_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_flat_riveted_locometal railways:brown_flat_riveted_locometal
railways:blocks/brown_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_flat_slashed_locometal railways:brown_flat_slashed_locometal
railways:blocks/brown_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_iron_wrapped_locometal railways:brown_iron_wrapped_locometal
railways:blocks/brown_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_iron_wrapped_locometal_boiler railways:brown_iron_wrapped_locometal_boiler
railways:blocks/brown_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_locometal_boiler railways:brown_locometal_boiler
railways:blocks/brown_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_locometal_pillar railways:brown_locometal_pillar
railways:blocks/brown_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_locometal_smokebox railways:brown_locometal_smokebox
railways:blocks/brown_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_plated_locometal railways:brown_plated_locometal
railways:blocks/brown_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_riveted_locometal railways:brown_riveted_locometal
railways:blocks/brown_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/brown_slashed_locometal railways:brown_slashed_locometal
railways:blocks/buffer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/buffer railways:buffer
railways:blocks/buffer_mono | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/buffer_mono railways:buffer
railways:blocks/buffer_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/buffer_narrow railways:buffer
railways:blocks/buffer_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/buffer_wide railways:buffer
railways:blocks/conductor_vent | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/conductor_vent railways:conductor_vent
railways:blocks/copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/copper_wrapped_locometal railways:copper_wrapped_locometal
railways:blocks/copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/copper_wrapped_locometal_boiler railways:copper_wrapped_locometal_boiler
railways:blocks/copycat_headstock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/copycat_headstock railways:copycat_headstock
railways:blocks/copycat_headstock_bars | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/copycat_headstock_bars
railways:blocks/cyan_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_brass_wrapped_locometal railways:cyan_brass_wrapped_locometal
railways:blocks/cyan_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_brass_wrapped_locometal_boiler railways:cyan_brass_wrapped_locometal_boiler
railways:blocks/cyan_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_copper_wrapped_locometal railways:cyan_copper_wrapped_locometal
railways:blocks/cyan_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_copper_wrapped_locometal_boiler railways:cyan_copper_wrapped_locometal_boiler
railways:blocks/cyan_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_flat_riveted_locometal railways:cyan_flat_riveted_locometal
railways:blocks/cyan_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_flat_slashed_locometal railways:cyan_flat_slashed_locometal
railways:blocks/cyan_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_iron_wrapped_locometal railways:cyan_iron_wrapped_locometal
railways:blocks/cyan_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_iron_wrapped_locometal_boiler railways:cyan_iron_wrapped_locometal_boiler
railways:blocks/cyan_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_locometal_boiler railways:cyan_locometal_boiler
railways:blocks/cyan_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_locometal_pillar railways:cyan_locometal_pillar
railways:blocks/cyan_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_locometal_smokebox railways:cyan_locometal_smokebox
railways:blocks/cyan_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_plated_locometal railways:cyan_plated_locometal
railways:blocks/cyan_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_riveted_locometal railways:cyan_riveted_locometal
railways:blocks/cyan_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/cyan_slashed_locometal railways:cyan_slashed_locometal
railways:blocks/doubleaxle_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/doubleaxle_bogey
railways:blocks/flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/flat_riveted_locometal railways:flat_riveted_locometal
railways:blocks/flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/flat_slashed_locometal railways:flat_slashed_locometal
railways:blocks/fuel_tank | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/fuel_tank railways:fuel_tank
railways:blocks/gray_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_brass_wrapped_locometal railways:gray_brass_wrapped_locometal
railways:blocks/gray_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_brass_wrapped_locometal_boiler railways:gray_brass_wrapped_locometal_boiler
railways:blocks/gray_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_copper_wrapped_locometal railways:gray_copper_wrapped_locometal
railways:blocks/gray_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_copper_wrapped_locometal_boiler railways:gray_copper_wrapped_locometal_boiler
railways:blocks/gray_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_flat_riveted_locometal railways:gray_flat_riveted_locometal
railways:blocks/gray_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_flat_slashed_locometal railways:gray_flat_slashed_locometal
railways:blocks/gray_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_iron_wrapped_locometal railways:gray_iron_wrapped_locometal
railways:blocks/gray_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_iron_wrapped_locometal_boiler railways:gray_iron_wrapped_locometal_boiler
railways:blocks/gray_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_locometal_boiler railways:gray_locometal_boiler
railways:blocks/gray_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_locometal_pillar railways:gray_locometal_pillar
railways:blocks/gray_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_locometal_smokebox railways:gray_locometal_smokebox
railways:blocks/gray_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_plated_locometal railways:gray_plated_locometal
railways:blocks/gray_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_riveted_locometal railways:gray_riveted_locometal
railways:blocks/gray_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/gray_slashed_locometal railways:gray_slashed_locometal
railways:blocks/green_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_brass_wrapped_locometal railways:green_brass_wrapped_locometal
railways:blocks/green_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_brass_wrapped_locometal_boiler railways:green_brass_wrapped_locometal_boiler
railways:blocks/green_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_copper_wrapped_locometal railways:green_copper_wrapped_locometal
railways:blocks/green_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_copper_wrapped_locometal_boiler railways:green_copper_wrapped_locometal_boiler
railways:blocks/green_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_flat_riveted_locometal railways:green_flat_riveted_locometal
railways:blocks/green_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_flat_slashed_locometal railways:green_flat_slashed_locometal
railways:blocks/green_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_iron_wrapped_locometal railways:green_iron_wrapped_locometal
railways:blocks/green_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_iron_wrapped_locometal_boiler railways:green_iron_wrapped_locometal_boiler
railways:blocks/green_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_locometal_boiler railways:green_locometal_boiler
railways:blocks/green_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_locometal_pillar railways:green_locometal_pillar
railways:blocks/green_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_locometal_smokebox railways:green_locometal_smokebox
railways:blocks/green_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_plated_locometal railways:green_plated_locometal
railways:blocks/green_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_riveted_locometal railways:green_riveted_locometal
railways:blocks/green_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/green_slashed_locometal railways:green_slashed_locometal
railways:blocks/handcar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/handcar railways:handcar
railways:blocks/headstock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/headstock railways:wooden_headstock
railways:blocks/invisible_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/invisible_bogey
railways:blocks/invisible_mono_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/invisible_mono_bogey
railways:blocks/iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/iron_wrapped_locometal railways:iron_wrapped_locometal
railways:blocks/iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/iron_wrapped_locometal_boiler railways:iron_wrapped_locometal_boiler
railways:blocks/large_create_styled_0_10_0 | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_create_styled_0_10_0
railways:blocks/large_create_styled_0_12_0 | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_create_styled_0_12_0
railways:blocks/large_create_styled_0_4_0 | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_create_styled_0_4_0
railways:blocks/large_create_styled_0_6_0 | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_create_styled_0_6_0
railways:blocks/large_create_styled_0_8_0 | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_create_styled_0_8_0
railways:blocks/large_platform_doubleaxle_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/large_platform_doubleaxle_bogey
railways:blocks/light_blue_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_brass_wrapped_locometal railways:light_blue_brass_wrapped_locometal
railways:blocks/light_blue_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_brass_wrapped_locometal_boiler railways:light_blue_brass_wrapped_locometal_boiler
railways:blocks/light_blue_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_copper_wrapped_locometal railways:light_blue_copper_wrapped_locometal
railways:blocks/light_blue_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_copper_wrapped_locometal_boiler railways:light_blue_copper_wrapped_locometal_boiler
railways:blocks/light_blue_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_flat_riveted_locometal railways:light_blue_flat_riveted_locometal
railways:blocks/light_blue_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_flat_slashed_locometal railways:light_blue_flat_slashed_locometal
railways:blocks/light_blue_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_iron_wrapped_locometal railways:light_blue_iron_wrapped_locometal
railways:blocks/light_blue_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_iron_wrapped_locometal_boiler railways:light_blue_iron_wrapped_locometal_boiler
railways:blocks/light_blue_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_locometal_boiler railways:light_blue_locometal_boiler
railways:blocks/light_blue_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_locometal_pillar railways:light_blue_locometal_pillar
railways:blocks/light_blue_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_locometal_smokebox railways:light_blue_locometal_smokebox
railways:blocks/light_blue_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_plated_locometal railways:light_blue_plated_locometal
railways:blocks/light_blue_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_riveted_locometal railways:light_blue_riveted_locometal
railways:blocks/light_blue_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_blue_slashed_locometal railways:light_blue_slashed_locometal
railways:blocks/light_gray_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_brass_wrapped_locometal railways:light_gray_brass_wrapped_locometal
railways:blocks/light_gray_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_brass_wrapped_locometal_boiler railways:light_gray_brass_wrapped_locometal_boiler
railways:blocks/light_gray_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_copper_wrapped_locometal railways:light_gray_copper_wrapped_locometal
railways:blocks/light_gray_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_copper_wrapped_locometal_boiler railways:light_gray_copper_wrapped_locometal_boiler
railways:blocks/light_gray_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_flat_riveted_locometal railways:light_gray_flat_riveted_locometal
railways:blocks/light_gray_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_flat_slashed_locometal railways:light_gray_flat_slashed_locometal
railways:blocks/light_gray_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_iron_wrapped_locometal railways:light_gray_iron_wrapped_locometal
railways:blocks/light_gray_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_iron_wrapped_locometal_boiler railways:light_gray_iron_wrapped_locometal_boiler
railways:blocks/light_gray_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_locometal_boiler railways:light_gray_locometal_boiler
railways:blocks/light_gray_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_locometal_pillar railways:light_gray_locometal_pillar
railways:blocks/light_gray_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_locometal_smokebox railways:light_gray_locometal_smokebox
railways:blocks/light_gray_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_plated_locometal railways:light_gray_plated_locometal
railways:blocks/light_gray_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_riveted_locometal railways:light_gray_riveted_locometal
railways:blocks/light_gray_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/light_gray_slashed_locometal railways:light_gray_slashed_locometal
railways:blocks/lime_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_brass_wrapped_locometal railways:lime_brass_wrapped_locometal
railways:blocks/lime_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_brass_wrapped_locometal_boiler railways:lime_brass_wrapped_locometal_boiler
railways:blocks/lime_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_copper_wrapped_locometal railways:lime_copper_wrapped_locometal
railways:blocks/lime_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_copper_wrapped_locometal_boiler railways:lime_copper_wrapped_locometal_boiler
railways:blocks/lime_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_flat_riveted_locometal railways:lime_flat_riveted_locometal
railways:blocks/lime_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_flat_slashed_locometal railways:lime_flat_slashed_locometal
railways:blocks/lime_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_iron_wrapped_locometal railways:lime_iron_wrapped_locometal
railways:blocks/lime_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_iron_wrapped_locometal_boiler railways:lime_iron_wrapped_locometal_boiler
railways:blocks/lime_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_locometal_boiler railways:lime_locometal_boiler
railways:blocks/lime_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_locometal_pillar railways:lime_locometal_pillar
railways:blocks/lime_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_locometal_smokebox railways:lime_locometal_smokebox
railways:blocks/lime_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_plated_locometal railways:lime_plated_locometal
railways:blocks/lime_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_riveted_locometal railways:lime_riveted_locometal
railways:blocks/lime_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/lime_slashed_locometal railways:lime_slashed_locometal
railways:blocks/link_and_pin | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/link_and_pin railways:link_and_pin
railways:blocks/locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/locometal_boiler railways:locometal_boiler
railways:blocks/locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/locometal_pillar railways:locometal_pillar
railways:blocks/locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/locometal_smokebox railways:locometal_smokebox
railways:blocks/magenta_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/magenta_brass_wrapped_locometal railways:magenta_brass_wrapped_locometal
railways:blocks/magenta_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/magenta_brass_wrapped_locometal_boiler railways:magenta_brass_wrapped_locometal_boiler
railways:blocks/magenta_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/magenta_copper_wrapped_locometal railways:magenta_copper_wrapped_locometal
