securitycraft:blocks/alarm | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:alarm securitycraft:blocks/alarm
securitycraft:blocks/copper_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/copper_mine securitycraft:copper_mine
securitycraft:blocks/crystal_quartz | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/crystal_quartz securitycraft:crystal_quartz
securitycraft:blocks/crystal_quartz_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/crystal_quartz_bricks securitycraft:crystal_quartz_bricks
securitycraft:blocks/crystal_quartz_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/crystal_quartz_pillar securitycraft:crystal_quartz_pillar
securitycraft:blocks/crystal_quartz_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/crystal_quartz_slab securitycraft:crystal_quartz_slab
securitycraft:blocks/crystal_quartz_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/crystal_quartz_stairs securitycraft:crystal_quartz_stairs
securitycraft:blocks/deepslate_coal_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_coal_mine securitycraft:deepslate_coal_mine
securitycraft:blocks/deepslate_copper_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_copper_mine securitycraft:deepslate_copper_mine
securitycraft:blocks/deepslate_diamond_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_diamond_mine securitycraft:deepslate_diamond_mine
securitycraft:blocks/deepslate_emerald_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_emerald_mine securitycraft:deepslate_emerald_mine
securitycraft:blocks/deepslate_gold_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_gold_mine securitycraft:deepslate_gold_mine
securitycraft:blocks/deepslate_iron_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_iron_mine securitycraft:deepslate_iron_mine
securitycraft:blocks/deepslate_lapis_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_lapis_mine securitycraft:deepslate_lapis_mine
securitycraft:blocks/deepslate_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_mine securitycraft:deepslate_mine
securitycraft:blocks/deepslate_redstone_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/deepslate_redstone_mine securitycraft:deepslate_redstone_mine
securitycraft:blocks/diamond_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/diamond_mine securitycraft:diamond_mine
securitycraft:blocks/dirt_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/dirt_mine securitycraft:dirt_mine
securitycraft:blocks/display_case | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/display_case securitycraft:display_case
securitycraft:blocks/electrified_iron_fence | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/electrified_iron_fence securitycraft:electrified_iron_fence
securitycraft:blocks/emerald_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/emerald_mine securitycraft:emerald_mine
securitycraft:blocks/end_stone_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/end_stone_mine securitycraft:end_stone_mine
securitycraft:blocks/floor_trap | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/floor_trap securitycraft:floor_trap
securitycraft:blocks/furnace_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/furnace_mine securitycraft:furnace_mine
securitycraft:blocks/gilded_blackstone_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/gilded_blackstone_mine securitycraft:gilded_blackstone_mine
securitycraft:blocks/glow_display_case | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/glow_display_case securitycraft:glow_display_case
securitycraft:blocks/gold_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/gold_mine securitycraft:gold_mine
securitycraft:blocks/gravel_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/gravel_mine securitycraft:gravel_mine
securitycraft:blocks/ims | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:set_count securitycraft:blocks/ims securitycraft:bouncing_betty securitycraft:ims
securitycraft:blocks/inventory_scanner | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/inventory_scanner securitycraft:inventory_scanner
securitycraft:blocks/iron_door_reinforced | minecraft:block | minecraft:block minecraft:block_state_property minecraft:copy_name minecraft:item minecraft:survives_explosion securitycraft:blocks/iron_door_reinforced securitycraft:door_indestructible_iron_item securitycraft:iron_door_reinforced
securitycraft:blocks/iron_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/iron_mine securitycraft:iron_mine
securitycraft:blocks/key_panel | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/key_panel securitycraft:keypad_item
securitycraft:blocks/keycard_lock | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keycard_lock securitycraft:keycard_lock
securitycraft:blocks/keycard_reader | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keycard_reader securitycraft:keycard_reader
securitycraft:blocks/keypad | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad securitycraft:keypad
securitycraft:blocks/keypad_barrel | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_barrel securitycraft:keypad_barrel
securitycraft:blocks/keypad_blast_furnace | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_blast_furnace securitycraft:keypad_blast_furnace
securitycraft:blocks/keypad_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_chest securitycraft:keypad_chest
securitycraft:blocks/keypad_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:copy_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_door securitycraft:keypad_door securitycraft:keypad_door_item
securitycraft:blocks/keypad_frame | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_frame securitycraft:keypad_frame
securitycraft:blocks/keypad_furnace | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_furnace securitycraft:keypad_furnace
securitycraft:blocks/keypad_smoker | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_smoker securitycraft:keypad_smoker
securitycraft:blocks/keypad_trapdoor | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/keypad_trapdoor securitycraft:keypad_trapdoor
securitycraft:blocks/lapis_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/lapis_mine securitycraft:lapis_mine
securitycraft:blocks/laser_block | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/laser_block securitycraft:laser_block
securitycraft:blocks/mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/mine securitycraft:mine
securitycraft:blocks/motion_activated_light | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/motion_activated_light securitycraft:motion_activated_light
securitycraft:blocks/nether_gold_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/nether_gold_mine securitycraft:nether_gold_mine
securitycraft:blocks/netherrack_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/netherrack_mine securitycraft:netherrack_mine
securitycraft:blocks/panic_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/panic_button securitycraft:panic_button
securitycraft:blocks/portable_radar | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/portable_radar securitycraft:portable_radar
securitycraft:blocks/projector | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/projector securitycraft:projector
securitycraft:blocks/protecto | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/protecto securitycraft:protecto
securitycraft:blocks/quartz_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/quartz_mine securitycraft:quartz_mine
securitycraft:blocks/redstone_mine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/redstone_mine securitycraft:redstone_mine
securitycraft:blocks/reinforced_acacia_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_button securitycraft:reinforced_acacia_button
securitycraft:blocks/reinforced_acacia_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_fence securitycraft:reinforced_acacia_fence
securitycraft:blocks/reinforced_acacia_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_fence_gate securitycraft:reinforced_acacia_fence_gate
securitycraft:blocks/reinforced_acacia_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_log securitycraft:reinforced_acacia_log
securitycraft:blocks/reinforced_acacia_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_planks securitycraft:reinforced_acacia_planks
securitycraft:blocks/reinforced_acacia_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_pressure_plate securitycraft:reinforced_acacia_pressure_plate
securitycraft:blocks/reinforced_acacia_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_acacia_slab securitycraft:reinforced_acacia_slab
securitycraft:blocks/reinforced_acacia_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_stairs securitycraft:reinforced_acacia_stairs
securitycraft:blocks/reinforced_acacia_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_acacia_wood securitycraft:reinforced_acacia_wood
securitycraft:blocks/reinforced_amethyst_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_amethyst_block securitycraft:reinforced_amethyst_block
securitycraft:blocks/reinforced_andesite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_andesite securitycraft:reinforced_andesite
securitycraft:blocks/reinforced_andesite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_andesite_slab securitycraft:reinforced_andesite_slab
securitycraft:blocks/reinforced_andesite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_andesite_stairs securitycraft:reinforced_andesite_stairs
securitycraft:blocks/reinforced_andesite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_andesite_wall securitycraft:reinforced_andesite_wall
securitycraft:blocks/reinforced_bamboo_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_block securitycraft:reinforced_bamboo_block
securitycraft:blocks/reinforced_bamboo_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_button securitycraft:reinforced_bamboo_button
securitycraft:blocks/reinforced_bamboo_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_fence securitycraft:reinforced_bamboo_fence
securitycraft:blocks/reinforced_bamboo_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_fence_gate securitycraft:reinforced_bamboo_fence_gate
securitycraft:blocks/reinforced_bamboo_mosaic | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_mosaic securitycraft:reinforced_bamboo_mosaic
securitycraft:blocks/reinforced_bamboo_mosaic_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_bamboo_mosaic_slab securitycraft:reinforced_bamboo_mosaic_slab
securitycraft:blocks/reinforced_bamboo_mosaic_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_mosaic_stairs securitycraft:reinforced_bamboo_mosaic_stairs
securitycraft:blocks/reinforced_bamboo_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_planks securitycraft:reinforced_bamboo_planks
securitycraft:blocks/reinforced_bamboo_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_pressure_plate securitycraft:reinforced_bamboo_pressure_plate
securitycraft:blocks/reinforced_bamboo_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_bamboo_slab securitycraft:reinforced_bamboo_slab
securitycraft:blocks/reinforced_bamboo_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bamboo_stairs securitycraft:reinforced_bamboo_stairs
securitycraft:blocks/reinforced_basalt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_basalt securitycraft:reinforced_basalt
securitycraft:blocks/reinforced_birch_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_button securitycraft:reinforced_birch_button
securitycraft:blocks/reinforced_birch_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_fence securitycraft:reinforced_birch_fence
securitycraft:blocks/reinforced_birch_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_fence_gate securitycraft:reinforced_birch_fence_gate
securitycraft:blocks/reinforced_birch_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_log securitycraft:reinforced_birch_log
securitycraft:blocks/reinforced_birch_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_planks securitycraft:reinforced_birch_planks
securitycraft:blocks/reinforced_birch_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_pressure_plate securitycraft:reinforced_birch_pressure_plate
securitycraft:blocks/reinforced_birch_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_birch_slab securitycraft:reinforced_birch_slab
securitycraft:blocks/reinforced_birch_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_stairs securitycraft:reinforced_birch_stairs
securitycraft:blocks/reinforced_birch_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_birch_wood securitycraft:reinforced_birch_wood
securitycraft:blocks/reinforced_black_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_carpet securitycraft:reinforced_black_carpet
securitycraft:blocks/reinforced_black_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_concrete securitycraft:reinforced_black_concrete
securitycraft:blocks/reinforced_black_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_glazed_terracotta securitycraft:reinforced_black_glazed_terracotta
securitycraft:blocks/reinforced_black_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_stained_glass securitycraft:reinforced_black_stained_glass
securitycraft:blocks/reinforced_black_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_stained_glass_pane securitycraft:reinforced_black_stained_glass_pane
securitycraft:blocks/reinforced_black_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_terracotta securitycraft:reinforced_black_terracotta
securitycraft:blocks/reinforced_black_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_black_wool securitycraft:reinforced_black_wool
securitycraft:blocks/reinforced_blackstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blackstone securitycraft:reinforced_blackstone
securitycraft:blocks/reinforced_blackstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_blackstone_slab securitycraft:reinforced_blackstone_slab
securitycraft:blocks/reinforced_blackstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blackstone_stairs securitycraft:reinforced_blackstone_stairs
securitycraft:blocks/reinforced_blackstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blackstone_wall securitycraft:reinforced_blackstone_wall
securitycraft:blocks/reinforced_blue_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_carpet securitycraft:reinforced_blue_carpet
securitycraft:blocks/reinforced_blue_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_concrete securitycraft:reinforced_blue_concrete
securitycraft:blocks/reinforced_blue_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_glazed_terracotta securitycraft:reinforced_blue_glazed_terracotta
securitycraft:blocks/reinforced_blue_ice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_ice securitycraft:reinforced_blue_ice
securitycraft:blocks/reinforced_blue_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_stained_glass securitycraft:reinforced_blue_stained_glass
securitycraft:blocks/reinforced_blue_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_stained_glass_pane securitycraft:reinforced_blue_stained_glass_pane
securitycraft:blocks/reinforced_blue_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_terracotta securitycraft:reinforced_blue_terracotta
securitycraft:blocks/reinforced_blue_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_blue_wool securitycraft:reinforced_blue_wool
securitycraft:blocks/reinforced_bone_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bone_block securitycraft:reinforced_bone_block
securitycraft:blocks/reinforced_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bookshelf securitycraft:reinforced_bookshelf
securitycraft:blocks/reinforced_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_brick_slab securitycraft:reinforced_brick_slab
securitycraft:blocks/reinforced_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brick_stairs securitycraft:reinforced_brick_stairs
securitycraft:blocks/reinforced_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brick_wall securitycraft:reinforced_brick_wall
securitycraft:blocks/reinforced_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_bricks securitycraft:reinforced_bricks
securitycraft:blocks/reinforced_brown_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_carpet securitycraft:reinforced_brown_carpet
securitycraft:blocks/reinforced_brown_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_concrete securitycraft:reinforced_brown_concrete
securitycraft:blocks/reinforced_brown_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_glazed_terracotta securitycraft:reinforced_brown_glazed_terracotta
securitycraft:blocks/reinforced_brown_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_stained_glass securitycraft:reinforced_brown_stained_glass
securitycraft:blocks/reinforced_brown_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_stained_glass_pane securitycraft:reinforced_brown_stained_glass_pane
securitycraft:blocks/reinforced_brown_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_terracotta securitycraft:reinforced_brown_terracotta
securitycraft:blocks/reinforced_brown_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_brown_wool securitycraft:reinforced_brown_wool
securitycraft:blocks/reinforced_calcite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_calcite securitycraft:reinforced_calcite
securitycraft:blocks/reinforced_cauldron | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cauldron securitycraft:reinforced_cauldron
securitycraft:blocks/reinforced_chain | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chain securitycraft:reinforced_chain
securitycraft:blocks/reinforced_cherry_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_button securitycraft:reinforced_cherry_button
securitycraft:blocks/reinforced_cherry_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_fence securitycraft:reinforced_cherry_fence
securitycraft:blocks/reinforced_cherry_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_fence_gate securitycraft:reinforced_cherry_fence_gate
securitycraft:blocks/reinforced_cherry_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_log securitycraft:reinforced_cherry_log
securitycraft:blocks/reinforced_cherry_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_planks securitycraft:reinforced_cherry_planks
securitycraft:blocks/reinforced_cherry_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_pressure_plate securitycraft:reinforced_cherry_pressure_plate
securitycraft:blocks/reinforced_cherry_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cherry_slab securitycraft:reinforced_cherry_slab
securitycraft:blocks/reinforced_cherry_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_stairs securitycraft:reinforced_cherry_stairs
securitycraft:blocks/reinforced_cherry_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cherry_wood securitycraft:reinforced_cherry_wood
securitycraft:blocks/reinforced_chiseled_bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_bookshelf securitycraft:reinforced_chiseled_bookshelf
securitycraft:blocks/reinforced_chiseled_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_copper securitycraft:reinforced_chiseled_copper
