minecraft:entities/cod | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:cod minecraft:entities/cod minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance tide:apply_fish_entity_length
tide:entities/amber_rockfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:amber_rockfish tide:apply_fish_entity_length
tide:entities/anchovy | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:anchovy tide:apply_fish_entity_length
tide:entities/angelfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:angelfish tide:apply_fish_entity_length
tide:entities/anglerfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:anglerfish tide:apply_fish_entity_length
tide:entities/aquathorn | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:aquathorn
tide:entities/arapaima | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:arapaima
tide:entities/ash_perch | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:ash_perch
tide:entities/bedrock_bug | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:bedrock_bug
tide:entities/bedrock_tetra | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:bedrock_tetra
tide:entities/black_crappie | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:black_crappie
tide:entities/blazing_swordfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:blazing_swordfish
tide:entities/blossom_bass | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:blossom_bass
tide:entities/blue_neonfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:blue_neonfish
tide:entities/bluegill | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:bluegill
tide:entities/brook_trout | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:brook_trout
tide:entities/bull_shark | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:bull_shark
tide:entities/carp | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:carp
tide:entities/catfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:catfish
tide:entities/cave_crawler | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:cave_crawler
tide:entities/cave_eel | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:cave_eel
tide:entities/chasm_eel | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:chasm_eel
tide:entities/chorus_cod | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:chorus_cod
tide:entities/coelacanth | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:coelacanth
tide:entities/crimson_fangjaw | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:crimson_fangjaw
tide:entities/crystal_shrimp | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:crystal_shrimp
tide:entities/crystalline_carp | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:crystalline_carp
tide:entities/darkness_eater | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:darkness_eater
tide:entities/deep_blue | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:deep_blue
tide:entities/deep_grouper | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:deep_grouper
tide:entities/devils_hole_pupfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:devils_hole_pupfish
tide:entities/dragon_fish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:dragon_fish
tide:entities/dripstone_darter | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:dripstone_darter
tide:entities/dutchman_sock | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:dutchman_sock
tide:entities/echo_snapper | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:echo_snapper
tide:entities/elytrout | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:elytrout
tide:entities/ember_koi | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:ember_koi
tide:entities/ender_glider | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:ender_glider
tide:entities/enderfin | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:enderfin
tide:entities/endergazer | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:endergazer
tide:entities/flounder | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:flounder
tide:entities/frostbite_flounder | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:frostbite_flounder
tide:entities/gilded_minnow | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:gilded_minnow
tide:entities/glowfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:glowfish
tide:entities/great_white_shark | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:great_white_shark
tide:entities/guppy | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:guppy
tide:entities/incandescent_larva | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:incandescent_larva
tide:entities/inferno_guppy | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:inferno_guppy
tide:entities/iron_tetra | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:iron_tetra
tide:entities/judgment_fish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:judgment_fish
tide:entities/lapis_lanternfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:lapis_lanternfish
tide:entities/largemouth_bass | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:largemouth_bass
tide:entities/luminescent_jellyfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:luminescent_jellyfish
tide:entities/mackerel | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:mackerel
tide:entities/magma_mackerel | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:magma_mackerel
tide:entities/mahi_mahi | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:mahi_mahi
tide:entities/manta_ray | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:manta_ray
tide:entities/mantyvern | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:mantyvern
tide:entities/marstilus | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:marstilus
tide:entities/midas_fish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:midas_fish
tide:entities/mirage_catfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:mirage_catfish
tide:entities/mooneye | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:mooneye
tide:entities/nephrosilu | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:nephrosilu
tide:entities/neptune_koi | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:neptune_koi
tide:entities/obsidian_pike | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:obsidian_pike
tide:entities/ocean_perch | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:ocean_perch
tide:entities/pale_clubfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:pale_clubfish
tide:entities/pentapus | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:pentapus
tide:entities/pike | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:pike
tide:entities/pluto_snail | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:pluto_snail
tide:entities/rainbow_trout | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:rainbow_trout
tide:entities/red_40 | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:red_40
tide:entities/red_snapper | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:red_snapper
tide:entities/sailfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:sailfish
tide:entities/sand_tiger_shark | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:sand_tiger_shark
tide:entities/saturn_cuttlefish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:saturn_cuttlefish
tide:entities/shadow_shark | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:shadow_shark
tide:entities/shadow_snapper | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:shadow_snapper
tide:entities/shooting_starfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:shooting_starfish
tide:entities/sleepy_carp | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:sleepy_carp
tide:entities/slimy_salmon | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:slimy_salmon
tide:entities/smallmouth_bass | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:smallmouth_bass
tide:entities/snatcher_squid | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:snatcher_squid
tide:entities/snook | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:snook
tide:entities/soulscale | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:soulscale
tide:entities/spore_stalker | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:spore_stalker
tide:entities/sturgeon | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:sturgeon
tide:entities/sun_emblem | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:sun_emblem
tide:entities/swordfish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:swordfish
tide:entities/tuna | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:tuna
tide:entities/uranias_pisces | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:uranias_pisces
tide:entities/vengeance | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:vengeance
tide:entities/violet_carp | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:violet_carp
tide:entities/voidseeker | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:voidseeker
tide:entities/volcano_tuna | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:volcano_tuna
tide:entities/walleye | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:walleye
tide:entities/warped_guppy | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:warped_guppy
tide:entities/white_crappie | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:white_crappie
tide:entities/windbass | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:windbass
tide:entities/witherfin | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:witherfin
tide:entities/yellow_perch | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:apply_fish_entity_length tide:yellow_perch
tide:gameplay/fishing/bonus_gold | minecraft:fishing | minecraft:fishing minecraft:gold_block minecraft:gold_ingot minecraft:item
tide:gameplay/fishing/desert_well | minecraft:fishing | minecraft:diamond minecraft:emerald minecraft:fishing minecraft:gold_nugget minecraft:iron_nugget minecraft:item
tide:gameplay/fishing/junk_lava | minecraft:fishing | minecraft:fishing minecraft:item tide:fish_bone tide:obsidian_fragment
tide:gameplay/fishing/junk_underground | minecraft:fishing | minecraft:bone minecraft:fishing minecraft:glow_ink_sac minecraft:iron_nugget minecraft:item minecraft:leather_boots minecraft:raw_copper minecraft:rotten_flesh minecraft:set_count minecraft:set_damage minecraft:stick minecraft:string minecraft:uniform minecraft:wooden_pickaxe
tide:gameplay/fishing/ocean_monument | minecraft:fishing | minecraft:fishing minecraft:item minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:tide_armor_trim_smithing_template minecraft:wet_sponge
tide:gameplay/fishing/treasure_nether | minecraft:fishing | minecraft:ancient_debris minecraft:fishing minecraft:item minecraft:netherite_scrap
tide:gameplay/fishing/treasure_underground | minecraft:fishing | minecraft:book minecraft:bow minecraft:enchant_with_levels minecraft:fishing minecraft:fishing_rod minecraft:gold_ingot minecraft:golden_pickaxe minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:saddle minecraft:set_damage minecraft:uniform
tide:gameplay/fishing/trial_chamber | minecraft:fishing | minecraft:bolt_armor_trim_smithing_template minecraft:copper_ingot minecraft:fishing minecraft:flow_armor_trim_smithing_template minecraft:heavy_core minecraft:item minecraft:wind_charge
