mcwfences:blocks/acacia_curved_gate | minecraft:block | mcwfences:acacia_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_picket_fence | minecraft:block | mcwfences:crimson_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_pyramid_gate | minecraft:block | mcwfences:crimson_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_stockade_fence | minecraft:block | mcwfences:crimson_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/crimson_wired_fence | minecraft:block | mcwfences:crimson_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/curved_metal_fence | minecraft:block | mcwfences:curved_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/curved_metal_fence_gate | minecraft:block | mcwfences:curved_metal_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_curved_gate | minecraft:block | mcwfences:dark_oak_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_hedge | minecraft:block | mcwfences:dark_oak_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_highley_gate | minecraft:block | mcwfences:dark_oak_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_horse_fence | minecraft:block | mcwfences:dark_oak_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_picket_fence | minecraft:block | mcwfences:dark_oak_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_pyramid_gate | minecraft:block | mcwfences:dark_oak_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_stockade_fence | minecraft:block | mcwfences:dark_oak_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/dark_oak_wired_fence | minecraft:block | mcwfences:dark_oak_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_brick_grass_topped_wall | minecraft:block | mcwfences:deepslate_brick_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_brick_pillar_wall | minecraft:block | mcwfences:deepslate_brick_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_brick_railing_gate | minecraft:block | mcwfences:deepslate_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_grass_topped_wall | minecraft:block | mcwfences:deepslate_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_pillar_wall | minecraft:block | mcwfences:deepslate_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/deepslate_railing_gate | minecraft:block | mcwfences:deepslate_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/diorite_grass_topped_wall | minecraft:block | mcwfences:diorite_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/diorite_pillar_wall | minecraft:block | mcwfences:diorite_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/diorite_railing_gate | minecraft:block | mcwfences:diorite_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/double_curved_metal_fence | minecraft:block | mcwfences:double_curved_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/end_brick_grass_topped_wall | minecraft:block | mcwfences:end_brick_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/end_brick_pillar_wall | minecraft:block | mcwfences:end_brick_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/end_brick_railing_gate | minecraft:block | mcwfences:end_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/expanded_mesh_metal_fence | minecraft:block | mcwfences:expanded_mesh_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/flowering_azalea_hedge | minecraft:block | mcwfences:flowering_azalea_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/fortress_metal_fence | minecraft:block | mcwfences:fortress_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/gothic_metal_fence | minecraft:block | mcwfences:gothic_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/granite_grass_topped_wall | minecraft:block | mcwfences:granite_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/granite_pillar_wall | minecraft:block | mcwfences:granite_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/granite_railing_gate | minecraft:block | mcwfences:granite_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/guardian_metal_fence | minecraft:block | mcwfences:guardian_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/iron_cheval_de_frise | minecraft:block | mcwfences:iron_cheval_de_frise minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_curved_gate | minecraft:block | mcwfences:jungle_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_hedge | minecraft:block | mcwfences:jungle_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_highley_gate | minecraft:block | mcwfences:jungle_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_horse_fence | minecraft:block | mcwfences:jungle_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_picket_fence | minecraft:block | mcwfences:jungle_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_pyramid_gate | minecraft:block | mcwfences:jungle_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_stockade_fence | minecraft:block | mcwfences:jungle_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/jungle_wired_fence | minecraft:block | mcwfences:jungle_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/majestic_metal_fence_gate | minecraft:block | mcwfences:majestic_metal_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_curved_gate | minecraft:block | mcwfences:mangrove_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_hedge | minecraft:block | mcwfences:mangrove_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_highley_gate | minecraft:block | mcwfences:mangrove_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_horse_fence | minecraft:block | mcwfences:mangrove_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_picket_fence | minecraft:block | mcwfences:mangrove_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_pyramid_gate | minecraft:block | mcwfences:mangrove_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_stockade_fence | minecraft:block | mcwfences:mangrove_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mangrove_wired_fence | minecraft:block | mcwfences:mangrove_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mesh_metal_fence | minecraft:block | mcwfences:mesh_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mesh_metal_fence_gate | minecraft:block | mcwfences:mesh_metal_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_andesite_wall | minecraft:block | mcwfences:modern_andesite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_blackstone_wall | minecraft:block | mcwfences:modern_blackstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_deepslate_brick_wall | minecraft:block | mcwfences:modern_deepslate_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_deepslate_wall | minecraft:block | mcwfences:modern_deepslate_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_diorite_wall | minecraft:block | mcwfences:modern_diorite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_end_brick_wall | minecraft:block | mcwfences:modern_end_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_granite_wall | minecraft:block | mcwfences:modern_granite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_mud_brick_wall | minecraft:block | mcwfences:modern_mud_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_nether_brick_wall | minecraft:block | mcwfences:modern_nether_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_prismarine_wall | minecraft:block | mcwfences:modern_prismarine_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_quartz_wall | minecraft:block | mcwfences:modern_quartz_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_red_sandstone_wall | minecraft:block | mcwfences:modern_red_sandstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_sandstone_wall | minecraft:block | mcwfences:modern_sandstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/modern_stone_brick_wall | minecraft:block | mcwfences:modern_stone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mud_brick_grass_topped_wall | minecraft:block | mcwfences:mud_brick_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mud_brick_pillar_wall | minecraft:block | mcwfences:mud_brick_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/mud_brick_railing_gate | minecraft:block | mcwfences:mud_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/nether_brick_grass_topped_wall | minecraft:block | mcwfences:nether_brick_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/nether_brick_pillar_wall | minecraft:block | mcwfences:nether_brick_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/nether_brick_railing_gate | minecraft:block | mcwfences:nether_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_curved_gate | minecraft:block | mcwfences:oak_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_hedge | minecraft:block | mcwfences:oak_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_highley_gate | minecraft:block | mcwfences:oak_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_horse_fence | minecraft:block | mcwfences:oak_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_picket_fence | minecraft:block | mcwfences:oak_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_pyramid_gate | minecraft:block | mcwfences:oak_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_stockade_fence | minecraft:block | mcwfences:oak_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/oak_wired_fence | minecraft:block | mcwfences:oak_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/ornate_metal_fence | minecraft:block | mcwfences:ornate_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/panelled_metal_fence | minecraft:block | mcwfences:panelled_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/panelled_metal_fence_gate | minecraft:block | mcwfences:panelled_metal_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/prismarine_grass_topped_wall | minecraft:block | mcwfences:prismarine_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/prismarine_pillar_wall | minecraft:block | mcwfences:prismarine_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/prismarine_railing_gate | minecraft:block | mcwfences:prismarine_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/quartz_grass_topped_wall | minecraft:block | mcwfences:quartz_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/quartz_pillar_wall | minecraft:block | mcwfences:quartz_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/quartz_railing_gate | minecraft:block | mcwfences:quartz_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_andesite_wall | minecraft:block | mcwfences:railing_andesite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_blackstone_wall | minecraft:block | mcwfences:railing_blackstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_deepslate_brick_wall | minecraft:block | mcwfences:railing_deepslate_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_deepslate_wall | minecraft:block | mcwfences:railing_deepslate_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_diorite_wall | minecraft:block | mcwfences:railing_diorite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_end_brick_wall | minecraft:block | mcwfences:railing_end_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_granite_wall | minecraft:block | mcwfences:railing_granite_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_mud_brick_wall | minecraft:block | mcwfences:railing_mud_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_nether_brick_wall | minecraft:block | mcwfences:railing_nether_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_prismarine_wall | minecraft:block | mcwfences:railing_prismarine_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_quartz_wall | minecraft:block | mcwfences:railing_quartz_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_red_sandstone_wall | minecraft:block | mcwfences:railing_red_sandstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_sandstone_wall | minecraft:block | mcwfences:railing_sandstone_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/railing_stone_brick_wall | minecraft:block | mcwfences:railing_stone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/red_sandstone_grass_topped_wall | minecraft:block | mcwfences:red_sandstone_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/red_sandstone_pillar_wall | minecraft:block | mcwfences:red_sandstone_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/red_sandstone_railing_gate | minecraft:block | mcwfences:red_sandstone_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/sandstone_grass_topped_wall | minecraft:block | mcwfences:sandstone_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/sandstone_pillar_wall | minecraft:block | mcwfences:sandstone_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/sandstone_railing_gate | minecraft:block | mcwfences:sandstone_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_curved_gate | minecraft:block | mcwfences:spruce_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_hedge | minecraft:block | mcwfences:spruce_hedge minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_highley_gate | minecraft:block | mcwfences:spruce_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_horse_fence | minecraft:block | mcwfences:spruce_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_picket_fence | minecraft:block | mcwfences:spruce_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_pyramid_gate | minecraft:block | mcwfences:spruce_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_stockade_fence | minecraft:block | mcwfences:spruce_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/spruce_wired_fence | minecraft:block | mcwfences:spruce_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/stone_brick_railing_gate | minecraft:block | mcwfences:stone_brick_railing_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/stone_grass_topped_wall | minecraft:block | mcwfences:stone_grass_topped_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/stone_pillar_wall | minecraft:block | mcwfences:stone_pillar_wall minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/twilight_metal_fence | minecraft:block | mcwfences:twilight_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/vintage_metal_fence | minecraft:block | mcwfences:vintage_metal_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_curved_gate | minecraft:block | mcwfences:warped_curved_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_highley_gate | minecraft:block | mcwfences:warped_highley_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_horse_fence | minecraft:block | mcwfences:warped_horse_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_picket_fence | minecraft:block | mcwfences:warped_picket_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_pyramid_gate | minecraft:block | mcwfences:warped_pyramid_gate minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_stockade_fence | minecraft:block | mcwfences:warped_stockade_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/warped_wired_fence | minecraft:block | mcwfences:warped_wired_fence minecraft:block minecraft:item minecraft:survives_explosion
mcwfences:blocks/wooden_cheval_de_frise | minecraft:block | mcwfences:wooden_cheval_de_frise minecraft:block minecraft:item minecraft:survives_explosion
