rechiseled:blocks/acacia_planks_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams
rechiseled:blocks/acacia_planks_small_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_small_tiles_slab
rechiseled:blocks/acacia_planks_small_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_small_tiles_slab_connecting
rechiseled:blocks/acacia_planks_small_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_tiles_stairs
rechiseled:blocks/acacia_planks_small_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_tiles_stairs_connecting
rechiseled:blocks/acacia_planks_squares | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_squares
rechiseled:blocks/acacia_planks_squares_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_squares_connecting
rechiseled:blocks/acacia_planks_squares_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_squares_slab
rechiseled:blocks/acacia_planks_squares_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_squares_slab_connecting
rechiseled:blocks/acacia_planks_squares_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_squares_stairs
rechiseled:blocks/acacia_planks_squares_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_squares_stairs_connecting
rechiseled:blocks/acacia_planks_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_tiles
rechiseled:blocks/acacia_planks_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_tiles_connecting
rechiseled:blocks/acacia_planks_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_tiles_slab
rechiseled:blocks/acacia_planks_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_tiles_slab_connecting
rechiseled:blocks/acacia_planks_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_tiles_stairs
rechiseled:blocks/acacia_planks_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_tiles_stairs_connecting
rechiseled:blocks/acacia_planks_wavy | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_wavy
rechiseled:blocks/acacia_planks_wavy_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_wavy_connecting
rechiseled:blocks/acacia_planks_wavy_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_wavy_slab
rechiseled:blocks/acacia_planks_wavy_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_wavy_slab_connecting
rechiseled:blocks/acacia_planks_wavy_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_wavy_stairs
rechiseled:blocks/acacia_planks_wavy_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_wavy_stairs_connecting
rechiseled:blocks/acacia_planks_woven | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_woven
rechiseled:blocks/acacia_planks_woven_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_woven_connecting
rechiseled:blocks/acacia_planks_woven_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_woven_slab
rechiseled:blocks/acacia_planks_woven_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_woven_slab_connecting
rechiseled:blocks/acacia_planks_woven_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_woven_stairs
rechiseled:blocks/acacia_planks_woven_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_woven_stairs_connecting
rechiseled:blocks/amethyst_block_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_beams
rechiseled:blocks/amethyst_block_beams_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_beams_connecting
rechiseled:blocks/amethyst_block_beams_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_beams_slab
rechiseled:blocks/amethyst_block_beams_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_beams_slab_connecting
rechiseled:blocks/amethyst_block_beams_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_beams_stairs
rechiseled:blocks/amethyst_block_beams_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_beams_stairs_connecting
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles_connecting
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles_slab
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles_slab_connecting
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles_stairs
rechiseled:blocks/amethyst_block_bordered_diagonal_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bordered_diagonal_tiles_stairs_connecting
rechiseled:blocks/amethyst_block_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bricks
rechiseled:blocks/amethyst_block_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bricks_connecting
rechiseled:blocks/amethyst_block_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_bricks_slab
rechiseled:blocks/amethyst_block_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_bricks_slab_connecting
rechiseled:blocks/amethyst_block_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bricks_stairs
rechiseled:blocks/amethyst_block_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_bricks_stairs_connecting
rechiseled:blocks/amethyst_block_cut | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_cut
rechiseled:blocks/amethyst_block_cut_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_cut_connecting
rechiseled:blocks/amethyst_block_cut_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_cut_slab
rechiseled:blocks/amethyst_block_cut_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_cut_slab_connecting
rechiseled:blocks/amethyst_block_cut_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_cut_stairs
rechiseled:blocks/amethyst_block_cut_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_cut_stairs_connecting
rechiseled:blocks/amethyst_block_diagonal_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_diagonal_tiles
rechiseled:blocks/amethyst_block_diagonal_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_diagonal_tiles_slab
rechiseled:blocks/amethyst_block_diagonal_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_diagonal_tiles_stairs
rechiseled:blocks/amethyst_block_edged | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_edged
rechiseled:blocks/amethyst_block_edged_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_edged_connecting
rechiseled:blocks/amethyst_block_edged_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_edged_slab
rechiseled:blocks/amethyst_block_edged_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_edged_slab_connecting
rechiseled:blocks/amethyst_block_edged_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_edged_stairs
rechiseled:blocks/amethyst_block_edged_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_edged_stairs_connecting
rechiseled:blocks/amethyst_block_jewel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_jewel
rechiseled:blocks/amethyst_block_jewel_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_jewel_slab
rechiseled:blocks/amethyst_block_jewel_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_jewel_stairs
rechiseled:blocks/amethyst_block_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_pillar
rechiseled:blocks/amethyst_block_pillar_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_pillar_connecting
rechiseled:blocks/amethyst_block_pillar_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_pillar_slab
rechiseled:blocks/amethyst_block_pillar_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_pillar_slab_connecting
rechiseled:blocks/amethyst_block_pillar_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_pillar_stairs
rechiseled:blocks/amethyst_block_pillar_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_pillar_stairs_connecting
rechiseled:blocks/amethyst_block_polished | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_polished
rechiseled:blocks/amethyst_block_polished_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_polished_connecting
rechiseled:blocks/amethyst_block_polished_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_polished_slab
rechiseled:blocks/amethyst_block_polished_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_polished_slab_connecting
rechiseled:blocks/amethyst_block_polished_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_polished_stairs
rechiseled:blocks/amethyst_block_polished_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_polished_stairs_connecting
rechiseled:blocks/amethyst_block_shiny | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_shiny
rechiseled:blocks/amethyst_block_shiny_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_shiny_connecting
rechiseled:blocks/amethyst_block_shiny_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_shiny_slab
rechiseled:blocks/amethyst_block_shiny_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_shiny_slab_connecting
rechiseled:blocks/amethyst_block_shiny_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_shiny_stairs
rechiseled:blocks/amethyst_block_shiny_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_shiny_stairs_connecting
rechiseled:blocks/amethyst_block_smooth | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_smooth
rechiseled:blocks/amethyst_block_smooth_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_smooth_slab
rechiseled:blocks/amethyst_block_smooth_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_smooth_stairs
rechiseled:blocks/amethyst_block_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_tiles
rechiseled:blocks/amethyst_block_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:amethyst_block_tiles_connecting
rechiseled:blocks/amethyst_block_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:amethyst_block_tiles_slab
