dtquark:blocks/ancient_fruit | minecraft:block | dtquark:ancient_fruit dtquark:blocks/ancient_fruit minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item quark:ancient_fruit
dtquark:trees/leaves/frosty_blossom | minecraft:block | dtquark:trees/leaves/frosty_blossom dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/serene_blossom | minecraft:block | dtquark:trees/leaves/serene_blossom dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/sunny_blossom | minecraft:block | dtquark:trees/leaves/sunny_blossom dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/leaves/warm_blossom | minecraft:block | dtquark:trees/leaves/warm_blossom dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtquark:trees/mushroom_caps/glow_shroom | minecraft:block | dtquark:trees/mushroom_caps/glow_shroom minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:table_bonus quark:glow_shroom quark:glow_shroom_block
dtquark:trees/voluntary/ancient | minecraft:block | dtquark:ancient_seed dtquark:trees/voluntary/ancient dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/fiery_blossom | minecraft:block | dtquark:fiery_blossom_seed dtquark:trees/voluntary/fiery_blossom dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/frosty_blossom | minecraft:block | dtquark:frosty_blossom_seed dtquark:trees/voluntary/frosty_blossom dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/glow_shroom | minecraft:block | dtquark:glow_shroom_seed dtquark:trees/voluntary/glow_shroom dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/serene_blossom | minecraft:block | dtquark:serene_blossom_seed dtquark:trees/voluntary/serene_blossom dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/sunny_blossom | minecraft:block | dtquark:sunny_blossom_seed dtquark:trees/voluntary/sunny_blossom dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtquark:trees/voluntary/warm_blossom | minecraft:block | dtquark:trees/voluntary/warm_blossom dtquark:warm_blossom_seed dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
