born_in_chaos_v1:blocks/argillite_lamp | minecraft:block | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:blocks/argillite_lamp minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/closed_hound_trap | minecraft:block | born_in_chaos_v1:blocks/closed_hound_trap born_in_chaos_v1:hound_trap minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/cobweb_cover | minecraft:block | born_in_chaos_v1:blocks/cobweb_cover born_in_chaos_v1:cobweb_cover minecraft:block minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
born_in_chaos_v1:blocks/creepy_nutcracker | minecraft:block | born_in_chaos_v1:blocks/creepy_nutcracker born_in_chaos_v1:creepy_nutcracker minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/cultivated_pumpkin | minecraft:block | born_in_chaos_v1:blocks/cultivated_pumpkin born_in_chaos_v1:cultivated_pumpkin minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/cursed_scarlet_ornate_glass_pane | minecraft:block | born_in_chaos_v1:blocks/cursed_scarlet_ornate_glass_pane minecraft:block
born_in_chaos_v1:blocks/dark_grid | minecraft:block | born_in_chaos_v1:blocks/dark_grid born_in_chaos_v1:dark_grid minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/dark_ice | minecraft:block | born_in_chaos_v1:blocks/dark_ice minecraft:block
born_in_chaos_v1:blocks/dark_metal_block | minecraft:block | born_in_chaos_v1:blocks/dark_metal_block born_in_chaos_v1:dark_metal_block minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/dark_metal_deposit | minecraft:block | born_in_chaos_v1:blocks/dark_metal_deposit born_in_chaos_v1:dark_metal_deposit born_in_chaos_v1:pieceofdarkmetal minecraft:apply_bonus minecraft:block minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch
born_in_chaos_v1:blocks/dark_stained_glass | minecraft:block | born_in_chaos_v1:blocks/dark_stained_glass born_in_chaos_v1:dark_stained_glass minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/dark_stained_glass_panel | minecraft:block | born_in_chaos_v1:blocks/dark_stained_glass_panel born_in_chaos_v1:dark_stained_glass_panel minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/evil_carved_pumpkin | minecraft:block | born_in_chaos_v1:blocks/evil_carved_pumpkin born_in_chaos_v1:evil_carved_pumpkin minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/fel_soil | minecraft:block | born_in_chaos_v1:blocks/fel_soil born_in_chaos_v1:smoldering_infernal_ember minecraft:block minecraft:explosion_decay minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/fel_soil_destructible | minecraft:block | born_in_chaos_v1:blocks/fel_soil_destructible minecraft:block
born_in_chaos_v1:blocks/fired_black_argillite | minecraft:block | born_in_chaos_v1:blocks/fired_black_argillite born_in_chaos_v1:fired_black_argillite minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/fired_black_argillite_n | minecraft:block | born_in_chaos_v1:blocks/fired_black_argillite_n minecraft:block
born_in_chaos_v1:blocks/flaming_evil_pumpkin | minecraft:block | born_in_chaos_v1:blocks/flaming_evil_pumpkin born_in_chaos_v1:flaming_evil_pumpkin minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/fragile_scorched_boards | minecraft:block | born_in_chaos_v1:blocks/fragile_scorched_boards born_in_chaos_v1:fragile_scorched_boards minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/gnawed_bones | minecraft:block | born_in_chaos_v1:blocks/gnawed_bones born_in_chaos_v1:gnawed_bones minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/green_stained_glass | minecraft:block | born_in_chaos_v1:blocks/green_stained_glass born_in_chaos_v1:green_stained_glass minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/green_stained_glass_panel | minecraft:block | born_in_chaos_v1:blocks/green_stained_glass_panel born_in_chaos_v1:green_stained_glass_panel minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/hound_trap | minecraft:block | born_in_chaos_v1:blocks/hound_trap born_in_chaos_v1:hound_trap minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/infected_deepslate_diamond_ore | minecraft:block | born_in_chaos_v1:blocks/infected_deepslate_diamond_ore minecraft:block
born_in_chaos_v1:blocks/infected_diamond_ore | minecraft:block | born_in_chaos_v1:blocks/infected_diamond_ore minecraft:block
born_in_chaos_v1:blocks/infernal_evil_pumpkin | minecraft:block | born_in_chaos_v1:blocks/infernal_evil_pumpkin born_in_chaos_v1:infernal_evil_pumpkin minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/infernal_evil_pumpkin_s | minecraft:block | born_in_chaos_v1:blocks/infernal_evil_pumpkin_s minecraft:block
born_in_chaos_v1:blocks/lifestealer_skull | minecraft:block | born_in_chaos_v1:blocks/lifestealer_skull born_in_chaos_v1:lifestealer_skull minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/marigolds | minecraft:block | born_in_chaos_v1:blocks/marigolds born_in_chaos_v1:marigolds minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/mesh_door | minecraft:block | born_in_chaos_v1:blocks/mesh_door born_in_chaos_v1:mesh_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/mossy_black_argillite_brick | minecraft:block | born_in_chaos_v1:blocks/mossy_black_argillite_brick born_in_chaos_v1:mossy_black_argillite_brick minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/mossy_black_argillite_brick_n | minecraft:block | born_in_chaos_v1:blocks/mossy_black_argillite_brick_n minecraft:block
born_in_chaos_v1:blocks/mrspumpkin_d | minecraft:block | born_in_chaos_v1:blocks/mrspumpkin_d born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:holiday_candy born_in_chaos_v1:magical_holiday_candy born_in_chaos_v1:mint_candy born_in_chaos_v1:mint_ice_cream minecraft:block minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/nightmare_stalker_skull | minecraft:block | born_in_chaos_v1:blocks/nightmare_stalker_skull born_in_chaos_v1:nightmare_stalker_skull minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/orange_stained_glass | minecraft:block | born_in_chaos_v1:blocks/orange_stained_glass born_in_chaos_v1:orange_stained_glass minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/orange_stained_glass_panel | minecraft:block | born_in_chaos_v1:blocks/orange_stained_glass_panel born_in_chaos_v1:orange_stained_glass_panel minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/pile_of_skulls | minecraft:block | born_in_chaos_v1:blocks/pile_of_skulls born_in_chaos_v1:pile_of_skulls minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/puddleof_stimulation | minecraft:block | born_in_chaos_v1:blocks/puddleof_stimulation minecraft:block
born_in_chaos_v1:blocks/puddleofintoxication | minecraft:block | born_in_chaos_v1:blocks/puddleofintoxication minecraft:block
born_in_chaos_v1:blocks/purple_stained_glass | minecraft:block | born_in_chaos_v1:blocks/purple_stained_glass born_in_chaos_v1:purple_stained_glass minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/purple_stained_glass_panel | minecraft:block | born_in_chaos_v1:blocks/purple_stained_glass_panel born_in_chaos_v1:purple_stained_glass_panel minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/river_mint | minecraft:block | born_in_chaos_v1:blocks/river_mint born_in_chaos_v1:river_mint minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/rotten_infernal_pumpkin | minecraft:block | born_in_chaos_v1:blocks/rotten_infernal_pumpkin born_in_chaos_v1:rotten_infernal_pumpkin minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/rotten_soil | minecraft:block | born_in_chaos_v1:blocks/rotten_soil minecraft:block minecraft:dirt minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scarlet_stained_glass | minecraft:block | born_in_chaos_v1:blocks/scarlet_stained_glass born_in_chaos_v1:scarlet_stained_glass minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scarlet_stained_glass_panel | minecraft:block | born_in_chaos_v1:blocks/scarlet_stained_glass_panel born_in_chaos_v1:scarlet_stained_glass_panel minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_log | minecraft:block | born_in_chaos_v1:blocks/scorched_log born_in_chaos_v1:scorched_log minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks | minecraft:block | born_in_chaos_v1:blocks/scorched_planks born_in_chaos_v1:scorched_planks minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_button | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_button born_in_chaos_v1:scorched_planks_button minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_door | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_door born_in_chaos_v1:scorched_planks_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_fence | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_fence born_in_chaos_v1:scorched_planks_fence minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_fence_gate | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_fence_gate born_in_chaos_v1:scorched_planks_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_pressure_plates | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_pressure_plates born_in_chaos_v1:scorched_planks_pressure_plates minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_slab | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_slab born_in_chaos_v1:scorched_planks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
born_in_chaos_v1:blocks/scorched_planks_stairs | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_stairs born_in_chaos_v1:scorched_planks_stairs minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_planks_trapdoor | minecraft:block | born_in_chaos_v1:blocks/scorched_planks_trapdoor born_in_chaos_v1:scorched_planks_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/scorched_wood | minecraft:block | born_in_chaos_v1:blocks/scorched_wood born_in_chaos_v1:scorched_wood minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/smoldering_scorched_log | minecraft:block | born_in_chaos_v1:blocks/smoldering_scorched_log born_in_chaos_v1:smoldering_scorched_log minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/smoldering_scorched_wood | minecraft:block | born_in_chaos_v1:blocks/smoldering_scorched_wood born_in_chaos_v1:smoldering_scorched_wood minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/spiny_shell_trap | minecraft:block | born_in_chaos_v1:blocks/spiny_shell_trap born_in_chaos_v1:spiny_shell_trap minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/spooky_snowman_head | minecraft:block | born_in_chaos_v1:blocks/spooky_snowman_head born_in_chaos_v1:spooky_snowman_head minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/stained_black_argillite_brick | minecraft:block | born_in_chaos_v1:blocks/stained_black_argillite_brick born_in_chaos_v1:stained_black_argillite_brick minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/stained_black_argillite_brick_n | minecraft:block | born_in_chaos_v1:blocks/stained_black_argillite_brick_n minecraft:block
born_in_chaos_v1:blocks/stripped_scorched_log | minecraft:block | born_in_chaos_v1:blocks/stripped_scorched_log born_in_chaos_v1:stripped_scorched_log minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/stripped_scorched_wood | minecraft:block | born_in_chaos_v1:blocks/stripped_scorched_wood born_in_chaos_v1:stripped_scorched_wood minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_2003wise | minecraft:block | born_in_chaos_v1:blocks/tombstone_2003wise born_in_chaos_v1:tombstone_2003wise minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_2_dling | minecraft:block | born_in_chaos_v1:blocks/tombstone_2_dling born_in_chaos_v1:tombstone_2_dling minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_carrion | minecraft:block | born_in_chaos_v1:blocks/tombstone_carrion born_in_chaos_v1:tombstone_carrion minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_d_4rkdevilx | minecraft:block | born_in_chaos_v1:blocks/tombstone_d_4rkdevilx born_in_chaos_v1:tombstone_d_4rkdevilx minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_dark_titan_066 | minecraft:block | born_in_chaos_v1:blocks/tombstone_dark_titan_066 born_in_chaos_v1:tombstone_dark_titan_066 minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_derivas | minecraft:block | born_in_chaos_v1:blocks/tombstone_derivas born_in_chaos_v1:tombstone_derivas minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_euthymia | minecraft:block | born_in_chaos_v1:blocks/tombstone_euthymia born_in_chaos_v1:tombstone_euthymia minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_feral | minecraft:block | born_in_chaos_v1:blocks/tombstone_feral born_in_chaos_v1:tombstone_feral minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_fubuki_banzai | minecraft:block | born_in_chaos_v1:blocks/tombstone_fubuki_banzai born_in_chaos_v1:tombstone_fubuki_banzai minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_memesus | minecraft:block | born_in_chaos_v1:blocks/tombstone_memesus born_in_chaos_v1:tombstone_memesus minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_mike_rory | minecraft:block | born_in_chaos_v1:blocks/tombstone_mike_rory born_in_chaos_v1:tombstone_mike_rory minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_nino_4416 | minecraft:block | born_in_chaos_v1:blocks/tombstone_nino_4416 born_in_chaos_v1:tombstone_nino_4416 minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_orion | minecraft:block | born_in_chaos_v1:blocks/tombstone_orion born_in_chaos_v1:tombstone_orion minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_petasi | minecraft:block | born_in_chaos_v1:blocks/tombstone_petasi born_in_chaos_v1:tombstone_petasi minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_plug | minecraft:block | born_in_chaos_v1:blocks/tombstone_plug born_in_chaos_v1:tombstone_plug minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_rotborne | minecraft:block | born_in_chaos_v1:blocks/tombstone_rotborne born_in_chaos_v1:tombstone_rotborne minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_somfunambulist | minecraft:block | born_in_chaos_v1:blocks/tombstone_somfunambulist born_in_chaos_v1:tombstone_somfunambulist minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_tem_187 | minecraft:block | born_in_chaos_v1:blocks/tombstone_tem_187 born_in_chaos_v1:tombstone_tem_187 minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/tombstone_the_gentleman_frog | minecraft:block | born_in_chaos_v1:blocks/tombstone_the_gentleman_frog born_in_chaos_v1:tombstone_the_gentleman_frog minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:blocks/webbed_cobblestone | minecraft:block | born_in_chaos_v1:blocks/webbed_cobblestone born_in_chaos_v1:webbed_cobblestone minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:entities/baby_spider | minecraft:entity | born_in_chaos_v1:entities/baby_spider minecraft:entity minecraft:item minecraft:set_count minecraft:string
born_in_chaos_v1:entities/barrel_zombie | minecraft:entity | born_in_chaos_v1:entities/barrel_zombie born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:river_mint born_in_chaos_v1:rotten_fish born_in_chaos_v1:seedof_chaos born_in_chaos_v1:spiny_shell minecraft:barrel minecraft:beetroot minecraft:book minecraft:carrot minecraft:clay_ball minecraft:cod minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:entity minecraft:fire_coral minecraft:glow_ink_sac minecraft:gold_nugget minecraft:horn_coral minecraft:ink_sac minecraft:item minecraft:kelp minecraft:lapis_lazuli minecraft:name_tag minecraft:nautilus_shell minecraft:poisonous_potato minecraft:potato minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:pufferfish minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:salmon minecraft:sea_pickle minecraft:seagrass minecraft:set_count minecraft:slime_ball minecraft:sugar_cane minecraft:tropical_fish minecraft:tube_coral minecraft:turtle_egg minecraft:turtle_scute minecraft:wooden_shovel
born_in_chaos_v1:entities/bloody_gadfly | minecraft:entity | born_in_chaos_v1:bloody_gadfly_eye born_in_chaos_v1:corpse_maggot born_in_chaos_v1:entities/bloody_gadfly minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/bone_imp | minecraft:entity | born_in_chaos_v1:entities/bone_imp born_in_chaos_v1:fire_dust minecraft:bone minecraft:coal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/bone_imp_2 | minecraft:entity | born_in_chaos_v1:entities/bone_imp_2 born_in_chaos_v1:fire_dust minecraft:bone minecraft:coal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/bonescaller | minecraft:entity | born_in_chaos_v1:entities/bonescaller born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:spiritual_dust born_in_chaos_v1:staff_of_magic_arrows minecraft:bone minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/bonescaller_not_despawn | minecraft:entity | born_in_chaos_v1:entities/bonescaller_not_despawn born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:staff_of_magic_arrows minecraft:bone minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/corpse_fish | minecraft:entity | born_in_chaos_v1:entities/corpse_fish born_in_chaos_v1:rotten_fish minecraft:bone_meal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/corpse_fly | minecraft:entity | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:entities/corpse_fly minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/dark_vortex | minecraft:entity | born_in_chaos_v1:dark_rod born_in_chaos_v1:entities/dark_vortex born_in_chaos_v1:ethereal_spirit minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/decrepit_skeleton | minecraft:entity | born_in_chaos_v1:entities/decrepit_skeleton born_in_chaos_v1:shattered_skull minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/diamond_termite | minecraft:entity | born_in_chaos_v1:diamond_termite_shard born_in_chaos_v1:entities/diamond_termite minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/dire_hound_leader | minecraft:entity | born_in_chaos_v1:entities/dire_hound_leader born_in_chaos_v1:fangofthe_hound_leader born_in_chaos_v1:gnawed_bones born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/door_knight | minecraft:entity | born_in_chaos_v1:entities/door_knight born_in_chaos_v1:mesh_door born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:trident_hayfork minecraft:bucket minecraft:carrot minecraft:enchanted_count_increase minecraft:entity minecraft:iron_ingot minecraft:item minecraft:looting minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/door_knight_not_despawn | minecraft:entity | born_in_chaos_v1:entities/door_knight_not_despawn born_in_chaos_v1:mesh_door born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:trident_hayfork minecraft:bucket minecraft:carrot minecraft:entity minecraft:iron_ingot minecraft:item minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/dread_hound | minecraft:entity | born_in_chaos_v1:entities/dread_hound born_in_chaos_v1:gnawed_bones born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/dread_hound_not_despawn | minecraft:entity | born_in_chaos_v1:entities/dread_hound_not_despawn born_in_chaos_v1:gnawed_bones born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/fallen_chaos_knight | minecraft:entity | born_in_chaos_v1:dark_upgrade born_in_chaos_v1:entities/fallen_chaos_knight born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:seedof_chaos minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/firelight | minecraft:entity | born_in_chaos_v1:entities/firelight born_in_chaos_v1:fire_dust minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/glutton_fish | minecraft:entity | born_in_chaos_v1:entities/glutton_fish born_in_chaos_v1:rotten_fish born_in_chaos_v1:sea_terror_eye born_in_chaos_v1:sea_terror_stomach minecraft:entity minecraft:item minecraft:set_count
