mcwwindows:acacia_blinds | minecraft:crafting_shaped | mcwwindows:acacia_blinds minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
mcwwindows:andesite_four_window | minecraft:crafting_shaped | mcwwindows:andesite_four_window mcwwindows:window_centre_bar_base minecraft:andesite minecraft:crafting_shaped
mcwwindows:andesite_louvered_shutter | minecraft:crafting_shaped | mcwwindows:andesite_louvered_shutter minecraft:andesite_slab minecraft:crafting_shaped
mcwwindows:andesite_pane_window | minecraft:crafting_shaped | mcwwindows:andesite_pane_window mcwwindows:window_base minecraft:andesite minecraft:crafting_shaped
mcwwindows:andesite_parapet | minecraft:crafting_shaped | mcwwindows:andesite_parapet minecraft:andesite minecraft:crafting_shaped minecraft:stick
mcwwindows:andesite_window | minecraft:crafting_shaped | mcwwindows:andesite_window mcwwindows:window_base minecraft:andesite minecraft:crafting_shaped
mcwwindows:andesite_window2 | minecraft:crafting_shaped | mcwwindows:andesite_window2 mcwwindows:window_half_bar_base minecraft:andesite minecraft:crafting_shaped
mcwwindows:bamboo_shutter | minecraft:crafting_shaped | mcwwindows:bamboo_shutter minecraft:bamboo minecraft:crafting_shaped
mcwwindows:birch_blinds | minecraft:crafting_shaped | mcwwindows:birch_blinds minecraft:birch_slab minecraft:crafting_shaped minecraft:stick
mcwwindows:birch_curtain_rod | minecraft:crafting_shaped | mcwwindows:birch_curtain_rod minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwwindows:birch_four_window | minecraft:crafting_shaped | mcwwindows:birch_four_window mcwwindows:window_centre_bar_base minecraft:birch_log minecraft:crafting_shaped
mcwwindows:birch_log_parapet | minecraft:crafting_shaped | mcwwindows:birch_log_parapet minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwwindows:birch_louvered_shutter | minecraft:crafting_shaped | mcwwindows:birch_louvered_shutter minecraft:birch_slab minecraft:crafting_shaped
mcwwindows:birch_pane_window | minecraft:crafting_shaped | mcwwindows:birch_pane_window mcwwindows:window_base minecraft:birch_log minecraft:crafting_shaped
mcwwindows:birch_plank_four_window | minecraft:crafting_shaped | mcwwindows:birch_plank_four_window mcwwindows:window_centre_bar_base minecraft:birch_planks minecraft:crafting_shaped
mcwwindows:birch_plank_pane_window | minecraft:crafting_shaped | mcwwindows:birch_plank_pane_window mcwwindows:window_base minecraft:birch_planks minecraft:crafting_shaped
mcwwindows:birch_plank_parapet | minecraft:crafting_shaped | mcwwindows:birch_plank_parapet minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwwindows:birch_plank_window | minecraft:crafting_shaped | mcwwindows:birch_plank_window mcwwindows:window_base minecraft:birch_planks minecraft:crafting_shaped
mcwwindows:birch_plank_window2 | minecraft:crafting_shaped | mcwwindows:birch_plank_window2 mcwwindows:window_half_bar_base minecraft:birch_planks minecraft:crafting_shaped
mcwwindows:birch_shutter | minecraft:crafting_shaped | mcwwindows:birch_shutter minecraft:birch_trapdoor minecraft:crafting_shaped
mcwwindows:birch_window | minecraft:crafting_shaped | mcwwindows:birch_window mcwwindows:window_base minecraft:birch_log minecraft:crafting_shaped
mcwwindows:birch_window2 | minecraft:crafting_shaped | mcwwindows:birch_window2 mcwwindows:window_half_bar_base minecraft:birch_log minecraft:crafting_shaped
mcwwindows:black_curtain | minecraft:crafting_shaped | mcwwindows:black_curtain minecraft:black_wool minecraft:crafting_shaped
mcwwindows:black_mosaic_glass | minecraft:crafting_shaped | mcwwindows:black_mosaic_glass minecraft:black_dye minecraft:black_stained_glass minecraft:crafting_shaped
mcwwindows:black_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:black_mosaic_glass mcwwindows:black_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:blackstone_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:blackstone_brick_arrow_slit minecraft:crafting_shaped minecraft:polished_blackstone_brick_slab minecraft:polished_blackstone_bricks
mcwwindows:blackstone_brick_gothic | minecraft:crafting_shaped | mcwwindows:blackstone_brick_gothic minecraft:crafting_shaped minecraft:glass_pane minecraft:polished_blackstone_bricks
mcwwindows:blackstone_four_window | minecraft:crafting_shaped | mcwwindows:blackstone_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:polished_blackstone
mcwwindows:blackstone_pane_window | minecraft:crafting_shaped | mcwwindows:blackstone_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:polished_blackstone
mcwwindows:blackstone_parapet | minecraft:crafting_shaped | mcwwindows:blackstone_parapet minecraft:crafting_shaped minecraft:polished_blackstone minecraft:stick
mcwwindows:blackstone_window | minecraft:crafting_shaped | mcwwindows:blackstone_window mcwwindows:window_base minecraft:crafting_shaped minecraft:polished_blackstone
mcwwindows:blackstone_window2 | minecraft:crafting_shaped | mcwwindows:blackstone_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:polished_blackstone
mcwwindows:blue_curtain | minecraft:crafting_shaped | mcwwindows:blue_curtain minecraft:blue_wool minecraft:crafting_shaped
mcwwindows:blue_mosaic_glass | minecraft:crafting_shaped | mcwwindows:blue_mosaic_glass minecraft:blue_dye minecraft:blue_stained_glass minecraft:crafting_shaped
mcwwindows:blue_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:blue_mosaic_glass mcwwindows:blue_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:bricks_four_window | minecraft:crafting_shaped | mcwwindows:bricks_four_window mcwwindows:window_centre_bar_base minecraft:bricks minecraft:crafting_shaped
mcwwindows:bricks_pane_window | minecraft:crafting_shaped | mcwwindows:bricks_pane_window mcwwindows:window_base minecraft:bricks minecraft:crafting_shaped
mcwwindows:bricks_window | minecraft:crafting_shaped | mcwwindows:bricks_window mcwwindows:window_base minecraft:bricks minecraft:crafting_shaped
mcwwindows:bricks_window2 | minecraft:crafting_shaped | mcwwindows:bricks_window2 mcwwindows:window_half_bar_base minecraft:bricks minecraft:crafting_shaped
mcwwindows:brown_curtain | minecraft:crafting_shaped | mcwwindows:brown_curtain minecraft:brown_wool minecraft:crafting_shaped
mcwwindows:brown_mosaic_glass | minecraft:crafting_shaped | mcwwindows:brown_mosaic_glass minecraft:brown_dye minecraft:brown_stained_glass minecraft:crafting_shaped
mcwwindows:brown_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:brown_mosaic_glass mcwwindows:brown_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:cherry_blinds | minecraft:crafting_shaped | mcwwindows:cherry_blinds minecraft:cherry_slab minecraft:crafting_shaped minecraft:stick
mcwwindows:cherry_curtain_rod | minecraft:crafting_shaped | mcwwindows:cherry_curtain_rod minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwwindows:cherry_four_window | minecraft:crafting_shaped | mcwwindows:cherry_four_window mcwwindows:window_centre_bar_base minecraft:cherry_log minecraft:crafting_shaped
mcwwindows:cherry_log_parapet | minecraft:crafting_shaped | mcwwindows:cherry_log_parapet minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwwindows:cherry_louvered_shutter | minecraft:crafting_shaped | mcwwindows:cherry_louvered_shutter minecraft:cherry_slab minecraft:crafting_shaped
mcwwindows:cherry_pane_window | minecraft:crafting_shaped | mcwwindows:cherry_pane_window mcwwindows:window_base minecraft:cherry_log minecraft:crafting_shaped
mcwwindows:cherry_plank_four_window | minecraft:crafting_shaped | mcwwindows:cherry_plank_four_window mcwwindows:window_centre_bar_base minecraft:cherry_planks minecraft:crafting_shaped
mcwwindows:cherry_plank_pane_window | minecraft:crafting_shaped | mcwwindows:cherry_plank_pane_window mcwwindows:window_base minecraft:cherry_planks minecraft:crafting_shaped
mcwwindows:cherry_plank_parapet | minecraft:crafting_shaped | mcwwindows:cherry_plank_parapet minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwwindows:cherry_plank_window | minecraft:crafting_shaped | mcwwindows:cherry_plank_window mcwwindows:window_base minecraft:cherry_planks minecraft:crafting_shaped
mcwwindows:cherry_plank_window2 | minecraft:crafting_shaped | mcwwindows:cherry_plank_window2 mcwwindows:window_half_bar_base minecraft:cherry_planks minecraft:crafting_shaped
mcwwindows:cherry_shutter | minecraft:crafting_shaped | mcwwindows:cherry_shutter minecraft:cherry_trapdoor minecraft:crafting_shaped
mcwwindows:cherry_window | minecraft:crafting_shaped | mcwwindows:cherry_window mcwwindows:window_base minecraft:cherry_log minecraft:crafting_shaped
mcwwindows:cherry_window2 | minecraft:crafting_shaped | mcwwindows:cherry_window2 mcwwindows:window_half_bar_base minecraft:cherry_log minecraft:crafting_shaped
mcwwindows:cobblestone_arrow_slit | minecraft:crafting_shaped | mcwwindows:cobblestone_arrow_slit minecraft:cobblestone minecraft:cobblestone_slab minecraft:crafting_shaped
mcwwindows:crimson_blinds | minecraft:crafting_shaped | mcwwindows:crimson_blinds minecraft:crafting_shaped minecraft:crimson_slab minecraft:stick
mcwwindows:crimson_curtain_rod | minecraft:crafting_shaped | mcwwindows:crimson_curtain_rod minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwwindows:crimson_louvered_shutter | minecraft:crafting_shaped | mcwwindows:crimson_louvered_shutter minecraft:crafting_shaped minecraft:crimson_slab
mcwwindows:crimson_pane_window | minecraft:crafting_shaped | mcwwindows:crimson_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:crimson_stem
mcwwindows:crimson_plank_pane_window | minecraft:crafting_shaped | mcwwindows:crimson_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:crimson_planks
mcwwindows:crimson_plank_parapet | minecraft:crafting_shaped | mcwwindows:crimson_plank_parapet minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwwindows:crimson_planks_four_window | minecraft:crafting_shaped | mcwwindows:crimson_planks_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:crimson_planks
mcwwindows:crimson_planks_window | minecraft:crafting_shaped | mcwwindows:crimson_planks_window mcwwindows:window_base minecraft:crafting_shaped minecraft:crimson_planks
mcwwindows:crimson_planks_window2 | minecraft:crafting_shaped | mcwwindows:crimson_planks_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:crimson_planks
mcwwindows:crimson_shutter | minecraft:crafting_shaped | mcwwindows:crimson_shutter minecraft:crafting_shaped minecraft:crimson_trapdoor
mcwwindows:crimson_stem_four_window | minecraft:crafting_shaped | mcwwindows:crimson_stem_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:crimson_stem
mcwwindows:crimson_stem_parapet | minecraft:crafting_shaped | mcwwindows:crimson_stem_parapet minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwwindows:crimson_stem_window | minecraft:crafting_shaped | mcwwindows:crimson_stem_window mcwwindows:window_base minecraft:crafting_shaped minecraft:crimson_stem
mcwwindows:crimson_stem_window2 | minecraft:crafting_shaped | mcwwindows:crimson_stem_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:crimson_stem
mcwwindows:cyan_curtain | minecraft:crafting_shaped | mcwwindows:cyan_curtain minecraft:crafting_shaped minecraft:cyan_wool
mcwwindows:cyan_mosaic_glass | minecraft:crafting_shaped | mcwwindows:cyan_mosaic_glass minecraft:crafting_shaped minecraft:cyan_dye minecraft:cyan_stained_glass
mcwwindows:cyan_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:cyan_mosaic_glass mcwwindows:cyan_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:dark_oak_blinds | minecraft:crafting_shaped | mcwwindows:dark_oak_blinds minecraft:crafting_shaped minecraft:dark_oak_slab minecraft:stick
mcwwindows:dark_oak_curtain_rod | minecraft:crafting_shaped | mcwwindows:dark_oak_curtain_rod minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwwindows:dark_oak_four_window | minecraft:crafting_shaped | mcwwindows:dark_oak_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:dark_oak_log
mcwwindows:dark_oak_log_parapet | minecraft:crafting_shaped | mcwwindows:dark_oak_log_parapet minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwwindows:dark_oak_louvered_shutter | minecraft:crafting_shaped | mcwwindows:dark_oak_louvered_shutter minecraft:crafting_shaped minecraft:dark_oak_slab
mcwwindows:dark_oak_pane_window | minecraft:crafting_shaped | mcwwindows:dark_oak_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_oak_log
mcwwindows:dark_oak_plank_four_window | minecraft:crafting_shaped | mcwwindows:dark_oak_plank_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:dark_oak_planks
mcwwindows:dark_oak_plank_pane_window | minecraft:crafting_shaped | mcwwindows:dark_oak_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_oak_planks
mcwwindows:dark_oak_plank_parapet | minecraft:crafting_shaped | mcwwindows:dark_oak_plank_parapet minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwwindows:dark_oak_plank_window | minecraft:crafting_shaped | mcwwindows:dark_oak_plank_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_oak_planks
mcwwindows:dark_oak_plank_window2 | minecraft:crafting_shaped | mcwwindows:dark_oak_plank_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:dark_oak_planks
mcwwindows:dark_oak_shutter | minecraft:crafting_shaped | mcwwindows:dark_oak_shutter minecraft:crafting_shaped minecraft:dark_oak_trapdoor
mcwwindows:dark_oak_window | minecraft:crafting_shaped | mcwwindows:dark_oak_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_oak_log
mcwwindows:dark_oak_window2 | minecraft:crafting_shaped | mcwwindows:dark_oak_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:dark_oak_log
mcwwindows:dark_prismarine_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:dark_prismarine_brick_arrow_slit minecraft:crafting_shaped minecraft:dark_prismarine minecraft:dark_prismarine_slab
mcwwindows:dark_prismarine_brick_gothic | minecraft:crafting_shaped | mcwwindows:dark_prismarine_brick_gothic minecraft:crafting_shaped minecraft:dark_prismarine minecraft:glass_pane
mcwwindows:dark_prismarine_four_window | minecraft:crafting_shaped | mcwwindows:dark_prismarine_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:dark_prismarine
mcwwindows:dark_prismarine_pane_window | minecraft:crafting_shaped | mcwwindows:dark_prismarine_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_prismarine
mcwwindows:dark_prismarine_parapet | minecraft:crafting_shaped | mcwwindows:dark_prismarine_parapet minecraft:crafting_shaped minecraft:dark_prismarine minecraft:stick
mcwwindows:dark_prismarine_window | minecraft:crafting_shaped | mcwwindows:dark_prismarine_window mcwwindows:window_base minecraft:crafting_shaped minecraft:dark_prismarine
mcwwindows:dark_prismarine_window2 | minecraft:crafting_shaped | mcwwindows:dark_prismarine_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:dark_prismarine
mcwwindows:deepslate_four_window | minecraft:crafting_shaped | mcwwindows:deepslate_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:deepslate
mcwwindows:deepslate_pane_window | minecraft:crafting_shaped | mcwwindows:deepslate_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:deepslate
mcwwindows:deepslate_window | minecraft:crafting_shaped | mcwwindows:deepslate_window mcwwindows:window_base minecraft:crafting_shaped minecraft:deepslate
mcwwindows:deepslate_window2 | minecraft:crafting_shaped | mcwwindows:deepslate_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:deepslate
mcwwindows:diorite_four_window | minecraft:crafting_shaped | mcwwindows:diorite_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:diorite
mcwwindows:diorite_louvered_shutter | minecraft:crafting_shaped | mcwwindows:diorite_louvered_shutter minecraft:crafting_shaped minecraft:diorite_slab
mcwwindows:diorite_pane_window | minecraft:crafting_shaped | mcwwindows:diorite_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:diorite
mcwwindows:diorite_parapet | minecraft:crafting_shaped | mcwwindows:diorite_parapet minecraft:crafting_shaped minecraft:diorite minecraft:stick
mcwwindows:diorite_window | minecraft:crafting_shaped | mcwwindows:diorite_window mcwwindows:window_base minecraft:crafting_shaped minecraft:diorite
mcwwindows:diorite_window2 | minecraft:crafting_shaped | mcwwindows:diorite_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:diorite
mcwwindows:end_brick_gothic | minecraft:crafting_shaped | mcwwindows:end_brick_gothic minecraft:crafting_shaped minecraft:end_stone_bricks minecraft:glass_pane
mcwwindows:ender_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:ender_brick_arrow_slit minecraft:crafting_shaped minecraft:end_stone_brick_slab minecraft:end_stone_bricks
mcwwindows:golden_curtain_rod | minecraft:crafting_shaped | mcwwindows:golden_curtain_rod minecraft:crafting_shaped minecraft:gold_ingot minecraft:gold_nugget
mcwwindows:granite_four_window | minecraft:crafting_shaped | mcwwindows:granite_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:granite
mcwwindows:granite_louvered_shutter | minecraft:crafting_shaped | mcwwindows:granite_louvered_shutter minecraft:crafting_shaped minecraft:granite_slab
mcwwindows:granite_pane_window | minecraft:crafting_shaped | mcwwindows:granite_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:granite
mcwwindows:granite_parapet | minecraft:crafting_shaped | mcwwindows:granite_parapet minecraft:crafting_shaped minecraft:granite minecraft:stick
mcwwindows:granite_window | minecraft:crafting_shaped | mcwwindows:granite_window mcwwindows:window_base minecraft:crafting_shaped minecraft:granite
mcwwindows:granite_window2 | minecraft:crafting_shaped | mcwwindows:granite_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:granite
mcwwindows:gray_curtain | minecraft:crafting_shaped | mcwwindows:gray_curtain minecraft:crafting_shaped minecraft:gray_wool
mcwwindows:gray_mosaic_glass | minecraft:crafting_shaped | mcwwindows:gray_mosaic_glass minecraft:crafting_shaped minecraft:gray_dye minecraft:gray_stained_glass
mcwwindows:gray_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:gray_mosaic_glass mcwwindows:gray_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:green_curtain | minecraft:crafting_shaped | mcwwindows:green_curtain minecraft:crafting_shaped minecraft:green_wool
mcwwindows:green_mosaic_glass | minecraft:crafting_shaped | mcwwindows:green_mosaic_glass minecraft:crafting_shaped minecraft:green_dye minecraft:green_stained_glass
mcwwindows:green_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:green_mosaic_glass mcwwindows:green_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:hammer | minecraft:crafting_shaped | mcwwindows:hammer minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget minecraft:stick
mcwwindows:iron_shutter | minecraft:crafting_shaped | mcwwindows:iron_shutter minecraft:crafting_shaped minecraft:iron_trapdoor
mcwwindows:jungle_blinds | minecraft:crafting_shaped | mcwwindows:jungle_blinds minecraft:crafting_shaped minecraft:jungle_slab minecraft:stick
mcwwindows:jungle_curtain_rod | minecraft:crafting_shaped | mcwwindows:jungle_curtain_rod minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwwindows:jungle_four_window | minecraft:crafting_shaped | mcwwindows:jungle_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:jungle_log
mcwwindows:jungle_log_parapet | minecraft:crafting_shaped | mcwwindows:jungle_log_parapet minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwwindows:jungle_louvered_shutter | minecraft:crafting_shaped | mcwwindows:jungle_louvered_shutter minecraft:crafting_shaped minecraft:jungle_slab
mcwwindows:jungle_pane_window | minecraft:crafting_shaped | mcwwindows:jungle_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:jungle_log
mcwwindows:jungle_plank_four_window | minecraft:crafting_shaped | mcwwindows:jungle_plank_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:jungle_planks
mcwwindows:jungle_plank_pane_window | minecraft:crafting_shaped | mcwwindows:jungle_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:jungle_planks
mcwwindows:jungle_plank_parapet | minecraft:crafting_shaped | mcwwindows:jungle_plank_parapet minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwwindows:jungle_plank_window | minecraft:crafting_shaped | mcwwindows:jungle_plank_window mcwwindows:window_base minecraft:crafting_shaped minecraft:jungle_planks
mcwwindows:jungle_plank_window2 | minecraft:crafting_shaped | mcwwindows:jungle_plank_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:jungle_planks
mcwwindows:jungle_shutter | minecraft:crafting_shaped | mcwwindows:jungle_shutter minecraft:crafting_shaped minecraft:jungle_trapdoor
mcwwindows:jungle_window | minecraft:crafting_shaped | mcwwindows:jungle_window mcwwindows:window_base minecraft:crafting_shaped minecraft:jungle_log
mcwwindows:jungle_window2 | minecraft:crafting_shaped | mcwwindows:jungle_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:jungle_log
mcwwindows:key | minecraft:crafting_shaped | mcwwindows:key mcwwindows:window_base minecraft:crafting_shaped minecraft:iron_nugget
mcwwindows:light_blue_curtain | minecraft:crafting_shaped | mcwwindows:light_blue_curtain minecraft:crafting_shaped minecraft:light_blue_wool
mcwwindows:light_blue_mosaic_glass | minecraft:crafting_shaped | mcwwindows:light_blue_mosaic_glass minecraft:crafting_shaped minecraft:light_blue_dye minecraft:light_blue_stained_glass
mcwwindows:light_blue_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:light_blue_mosaic_glass mcwwindows:light_blue_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:light_gray_curtain | minecraft:crafting_shaped | mcwwindows:light_gray_curtain minecraft:crafting_shaped minecraft:light_gray_wool
mcwwindows:light_gray_mosaic_glass | minecraft:crafting_shaped | mcwwindows:light_gray_mosaic_glass minecraft:crafting_shaped minecraft:light_gray_dye minecraft:light_gray_stained_glass
mcwwindows:light_gray_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:light_gray_mosaic_glass mcwwindows:light_gray_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:lime_curtain | minecraft:crafting_shaped | mcwwindows:lime_curtain minecraft:crafting_shaped minecraft:lime_wool
mcwwindows:lime_mosaic_glass | minecraft:crafting_shaped | mcwwindows:lime_mosaic_glass minecraft:crafting_shaped minecraft:lime_dye minecraft:lime_stained_glass
mcwwindows:lime_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:lime_mosaic_glass mcwwindows:lime_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:magenta_curtain | minecraft:crafting_shaped | mcwwindows:magenta_curtain minecraft:crafting_shaped minecraft:magenta_wool
mcwwindows:magenta_mosaic_glass | minecraft:crafting_shaped | mcwwindows:magenta_mosaic_glass minecraft:crafting_shaped minecraft:magenta_dye minecraft:magenta_stained_glass
mcwwindows:magenta_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:magenta_mosaic_glass mcwwindows:magenta_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:mangrove_blinds | minecraft:crafting_shaped | mcwwindows:mangrove_blinds minecraft:crafting_shaped minecraft:mangrove_slab minecraft:stick
mcwwindows:mangrove_curtain_rod | minecraft:crafting_shaped | mcwwindows:mangrove_curtain_rod minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwwindows:mangrove_four_window | minecraft:crafting_shaped | mcwwindows:mangrove_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:mangrove_log
mcwwindows:mangrove_log_parapet | minecraft:crafting_shaped | mcwwindows:mangrove_log_parapet minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwwindows:mangrove_louvered_shutter | minecraft:crafting_shaped | mcwwindows:mangrove_louvered_shutter minecraft:crafting_shaped minecraft:mangrove_slab
mcwwindows:mangrove_pane_window | minecraft:crafting_shaped | mcwwindows:mangrove_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:mangrove_log
mcwwindows:mangrove_plank_four_window | minecraft:crafting_shaped | mcwwindows:mangrove_plank_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:mangrove_planks
mcwwindows:mangrove_plank_pane_window | minecraft:crafting_shaped | mcwwindows:mangrove_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:mangrove_planks
mcwwindows:mangrove_plank_parapet | minecraft:crafting_shaped | mcwwindows:mangrove_plank_parapet minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwwindows:mangrove_plank_window | minecraft:crafting_shaped | mcwwindows:mangrove_plank_window mcwwindows:window_base minecraft:crafting_shaped minecraft:mangrove_planks
mcwwindows:mangrove_plank_window2 | minecraft:crafting_shaped | mcwwindows:mangrove_plank_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:mangrove_planks
mcwwindows:mangrove_shutter | minecraft:crafting_shaped | mcwwindows:mangrove_shutter minecraft:crafting_shaped minecraft:mangrove_trapdoor
mcwwindows:mangrove_window | minecraft:crafting_shaped | mcwwindows:mangrove_window mcwwindows:window_base minecraft:crafting_shaped minecraft:mangrove_log
mcwwindows:mangrove_window2 | minecraft:crafting_shaped | mcwwindows:mangrove_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:mangrove_log
