copperagebackport:copper_button | minecraft:crafting_shaped | copperagebackport:copper_button minecraft:crafting_shaped minecraft:cut_copper
minecraft:copper_axe | minecraft:crafting_shaped | minecraft:copper_axe minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
minecraft:copper_bars | minecraft:crafting_shaped | minecraft:copper_bars minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_boots | minecraft:crafting_shaped | minecraft:copper_boots minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_chain | minecraft:crafting_shaped | c:copper_nuggets c:nuggets/copper minecraft:copper_chain minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_chest | minecraft:crafting_shaped | minecraft:chest minecraft:copper_chest minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_chestplate | minecraft:crafting_shaped | minecraft:copper_chestplate minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_helmet | minecraft:crafting_shaped | minecraft:copper_helmet minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_hoe | minecraft:crafting_shaped | minecraft:copper_hoe minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
minecraft:copper_ingot_from_nuggets | minecraft:crafting_shaped | c:copper_nuggets c:nuggets/copper minecraft:copper_ingot minecraft:crafting_shaped
minecraft:copper_lantern | minecraft:crafting_shaped | c:copper_nuggets c:nuggets/copper minecraft:copper_lantern minecraft:copper_torch minecraft:crafting_shaped
minecraft:copper_leggings | minecraft:crafting_shaped | minecraft:copper_ingot minecraft:copper_leggings minecraft:crafting_shaped
minecraft:copper_nugget | minecraft:crafting_shapeless | minecraft:copper_ingot minecraft:copper_nugget minecraft:crafting_shapeless
minecraft:copper_nugget_from_blasting | minecraft:blasting | minecraft:blasting minecraft:copper_axe minecraft:copper_boots minecraft:copper_chestplate minecraft:copper_helmet minecraft:copper_hoe minecraft:copper_horse_armor minecraft:copper_leggings minecraft:copper_nugget minecraft:copper_pickaxe minecraft:copper_shovel minecraft:copper_sword
minecraft:copper_nugget_from_smelting | minecraft:smelting | minecraft:copper_axe minecraft:copper_boots minecraft:copper_chestplate minecraft:copper_helmet minecraft:copper_hoe minecraft:copper_horse_armor minecraft:copper_leggings minecraft:copper_nugget minecraft:copper_pickaxe minecraft:copper_shovel minecraft:copper_sword minecraft:smelting
minecraft:copper_pickaxe | minecraft:crafting_shaped | minecraft:copper_ingot minecraft:copper_pickaxe minecraft:crafting_shaped minecraft:stick
minecraft:copper_shovel | minecraft:crafting_shaped | minecraft:copper_ingot minecraft:copper_shovel minecraft:crafting_shaped minecraft:stick
minecraft:copper_sword | minecraft:crafting_shaped | minecraft:copper_ingot minecraft:copper_sword minecraft:crafting_shaped minecraft:stick
minecraft:copper_torch | minecraft:crafting_shaped | c:copper_nuggets c:nuggets/copper minecraft:charcoal minecraft:coal minecraft:copper_torch minecraft:crafting_shaped minecraft:stick
minecraft:crimson_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_shelf minecraft:stripped_crimson_stem
minecraft:dark_oak_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_shelf minecraft:stripped_dark_oak_log
minecraft:jungle_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_shelf minecraft:stripped_jungle_log
minecraft:mangrove_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_shelf minecraft:stripped_mangrove_log
minecraft:oak_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_shelf minecraft:stripped_oak_log
minecraft:spruce_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_shelf minecraft:stripped_spruce_log
minecraft:warped_shelf | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_warped_stem minecraft:warped_shelf
minecraft:waxed_copper_bars_from_honeycomb | minecraft:crafting_shapeless | minecraft:copper_bars minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_copper_bars
minecraft:waxed_copper_chain_from_honeycomb | minecraft:crafting_shapeless | minecraft:copper_chain minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_copper_chain
minecraft:waxed_copper_chest_from_honeycomb | minecraft:crafting_shapeless | minecraft:copper_chest minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_copper_chest
minecraft:waxed_copper_golem_statue_from_honeycomb | minecraft:crafting_shapeless | minecraft:copper_golem_statue minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_copper_golem_statue
minecraft:waxed_copper_lantern_from_honeycomb | minecraft:crafting_shapeless | minecraft:copper_lantern minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_copper_lantern
minecraft:waxed_exposed_copper_bars_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_copper_bars minecraft:honeycomb minecraft:waxed_exposed_copper_bars
minecraft:waxed_exposed_copper_chain_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_copper_chain minecraft:honeycomb minecraft:waxed_exposed_copper_chain
minecraft:waxed_exposed_copper_chest_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_copper_chest minecraft:honeycomb minecraft:waxed_exposed_copper_chest
minecraft:waxed_exposed_copper_golem_statue_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_copper_golem_statue minecraft:honeycomb minecraft:waxed_exposed_copper_golem_statue
minecraft:waxed_exposed_copper_lantern_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_copper_lantern minecraft:honeycomb minecraft:waxed_exposed_copper_lantern
minecraft:waxed_exposed_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_lightning_rod minecraft:honeycomb minecraft:waxed_exposed_lightning_rod
minecraft:waxed_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:lightning_rod minecraft:waxed_lightning_rod
minecraft:waxed_oxidized_copper_bars_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_copper_bars minecraft:waxed_oxidized_copper_bars
minecraft:waxed_oxidized_copper_chain_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_copper_chain minecraft:waxed_oxidized_copper_chain
minecraft:waxed_oxidized_copper_chest_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_copper_chest minecraft:waxed_oxidized_copper_chest
minecraft:waxed_oxidized_copper_golem_statue_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_copper_golem_statue minecraft:waxed_oxidized_copper_golem_statue
minecraft:waxed_oxidized_copper_lantern_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_copper_lantern minecraft:waxed_oxidized_copper_lantern
minecraft:waxed_oxidized_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:oxidized_lightning_rod minecraft:waxed_oxidized_lightning_rod
minecraft:waxed_weathered_copper_bars_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_copper_bars minecraft:weathered_copper_bars
minecraft:waxed_weathered_copper_chain_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_copper_chain minecraft:weathered_copper_chain
minecraft:waxed_weathered_copper_chest_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_copper_chest minecraft:weathered_copper_chest
minecraft:waxed_weathered_copper_golem_statue_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_copper_golem_statue minecraft:weathered_copper_golem_statue
minecraft:waxed_weathered_copper_lantern_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_copper_lantern minecraft:weathered_copper_lantern
minecraft:waxed_weathered_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb minecraft:waxed_weathered_lightning_rod minecraft:weathered_lightning_rod
