createadditionallogistics:crafting/kinetics/black_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/black createadditionallogistics:black_flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lime_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/lime createadditionallogistics:lime_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lime_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:lime_tall_seat minecraft:crafting_shapeless minecraft:lime_wool minecraft:planks
createadditionallogistics:crafting/kinetics/lime_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/lime createadditionallogistics:lime_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/magenta_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/magenta createadditionallogistics:flexible_shafts createadditionallogistics:magenta_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/magenta_short_seat | minecraft:crafting_shapeless | createadditionallogistics:magenta_short_seat minecraft:crafting_shapeless minecraft:magenta_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/magenta_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/magenta createadditionallogistics:magenta_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/magenta_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:magenta_tall_seat minecraft:crafting_shapeless minecraft:magenta_wool minecraft:planks
createadditionallogistics:crafting/kinetics/magenta_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/magenta createadditionallogistics:magenta_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/orange_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/orange createadditionallogistics:flexible_shafts createadditionallogistics:orange_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/orange_short_seat | minecraft:crafting_shapeless | createadditionallogistics:orange_short_seat minecraft:crafting_shapeless minecraft:orange_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/orange_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/orange createadditionallogistics:orange_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/orange_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:orange_tall_seat minecraft:crafting_shapeless minecraft:orange_wool minecraft:planks
createadditionallogistics:crafting/kinetics/orange_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/orange createadditionallogistics:orange_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/pink_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/pink createadditionallogistics:flexible_shafts createadditionallogistics:pink_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/pink_short_seat | minecraft:crafting_shapeless | createadditionallogistics:pink_short_seat minecraft:crafting_shapeless minecraft:pink_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/pink_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/pink createadditionallogistics:pink_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/pink_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:pink_tall_seat minecraft:crafting_shapeless minecraft:pink_wool minecraft:planks
createadditionallogistics:crafting/kinetics/pink_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/pink createadditionallogistics:pink_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/purple_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/purple createadditionallogistics:flexible_shafts createadditionallogistics:purple_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/purple_short_seat | minecraft:crafting_shapeless | createadditionallogistics:purple_short_seat minecraft:crafting_shapeless minecraft:purple_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/purple_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/purple createadditionallogistics:purple_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/purple_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:purple_tall_seat minecraft:crafting_shapeless minecraft:planks minecraft:purple_wool
createadditionallogistics:crafting/kinetics/purple_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/purple createadditionallogistics:purple_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/red_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/red createadditionallogistics:flexible_shafts createadditionallogistics:red_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/red_short_seat | minecraft:crafting_shapeless | createadditionallogistics:red_short_seat minecraft:crafting_shapeless minecraft:red_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/red_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/red createadditionallogistics:red_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/red_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:red_tall_seat minecraft:crafting_shapeless minecraft:planks minecraft:red_wool
createadditionallogistics:crafting/kinetics/red_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/red createadditionallogistics:red_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/shaft_from_lazy | minecraft:crafting_shapeless | create:shaft createadditionallogistics:lazy_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/white_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/white createadditionallogistics:flexible_shafts createadditionallogistics:white_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/white_short_seat | minecraft:crafting_shapeless | createadditionallogistics:white_short_seat minecraft:crafting_shapeless minecraft:white_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/white_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/white createadditionallogistics:short_seats createadditionallogistics:white_short_seat minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/white_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:white_tall_seat minecraft:crafting_shapeless minecraft:planks minecraft:white_wool
createadditionallogistics:crafting/kinetics/white_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/white createadditionallogistics:tall_seats createadditionallogistics:white_tall_seat minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/yellow_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/yellow createadditionallogistics:flexible_shafts createadditionallogistics:yellow_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/yellow_short_seat | minecraft:crafting_shapeless | createadditionallogistics:yellow_short_seat minecraft:crafting_shapeless minecraft:wooden_pressure_plates minecraft:yellow_wool
createadditionallogistics:crafting/kinetics/yellow_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/yellow createadditionallogistics:short_seats createadditionallogistics:yellow_short_seat minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/yellow_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:yellow_tall_seat minecraft:crafting_shapeless minecraft:planks minecraft:yellow_wool
createadditionallogistics:crafting/kinetics/yellow_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/yellow createadditionallogistics:tall_seats createadditionallogistics:yellow_tall_seat minecraft:crafting_shapeless
createadditionallogistics:crafting/logistics/cash_register | minecraft:crafting_shaped | c:chests c:glass_blocks create:brass_sheet create:stock_link createadditionallogistics:cash_register minecraft:book minecraft:crafting_shaped
createadditionallogistics:crafting/logistics/cash_register_clear_data | minecraft:crafting_shapeless | createadditionallogistics:cash_register minecraft:crafting_shapeless
createadditionallogistics:crafting/logistics/package_accelerator | minecraft:crafting_shaped | create:brass_casing create:cardboard_block create:cogwheel create:precision_mechanism create:super_glue createadditionallogistics:package_accelerator minecraft:crafting_shaped
createadditionallogistics:crafting/logistics/package_editor | minecraft:crafting_shaped | create:clipboard createadditionallogistics:package_editor minecraft:crafting_shaped minecraft:iron_ingot minecraft:redstone
createadditionallogistics:crafting/trains/network_monitor | minecraft:crafting_shapeless | computercraft:wireless_modem_advanced create:railway_casing create:transmitter createadditionallogistics:network_monitor minecraft:crafting_shapeless
createadditionallogistics:splashing/flexible_shaft | create:splashing | create:splashing createadditionallogistics:flexible_shaft createadditionallogistics:flexible_shafts
