minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:crafting/book_of_binding_empty | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:awakened_feather occultism:book_of_binding_empty occultism:purified_ink occultism:taboo_book
occultism:crafting/book_of_binding_foliot | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped occultism:awakened_feather occultism:book_of_binding_foliot occultism:purified_ink occultism:taboo_book
occultism:crafting/book_of_binding_foliot_from_empty | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped occultism:book_of_binding_empty occultism:book_of_binding_foliot
occultism:crafting/book_of_binding_marid | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped occultism:awakened_feather occultism:book_of_binding_marid occultism:purified_ink occultism:taboo_book
occultism:crafting/book_of_binding_marid_from_empty | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped occultism:book_of_binding_empty occultism:book_of_binding_marid
occultism:crafting/book_of_calling_djinni_manage_machine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace occultism:book_of_binding_bound_djinni occultism:book_of_calling_djinni_manage_machine
occultism:crafting/book_of_calling_foliot_cleaner | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_cleaner occultism:brush
occultism:crafting/book_of_calling_foliot_farmer | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:villager_plantable_seeds occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_farmer
occultism:crafting/book_of_calling_foliot_lumberjack | minecraft:crafting_shapeless | c:tools/metal/axes minecraft:crafting_shapeless occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_lumberjack
occultism:crafting/book_of_calling_foliot_transport_items | minecraft:crafting_shapeless | c:chests minecraft:crafting_shapeless occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_transport_items
occultism:crafting/bound_book_of_binding | occultism:crafting_special_book_binding | occultism:crafting_special_book_binding
occultism:crafting/brush | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped minecraft:planks minecraft:wool occultism:brush
occultism:crafting/butcher_knife | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped occultism:butcher_knife
occultism:crafting/chalk_black_impure | minecraft:crafting_shapeless | c:dusts/witherite minecraft:crafting_shapeless occultism:chalk_black_impure occultism:chalk_white_impure
occultism:crafting/chalk_blue_impure | minecraft:crafting_shapeless | c:dusts/lapis c:tube_corals minecraft:crafting_shapeless occultism:chalk_blue_impure occultism:chalk_white_impure occultism:marid_essence
occultism:crafting/chalk_brown_impure | minecraft:crafting_shapeless | minecraft:brown_mushroom minecraft:cocoa_beans minecraft:crafting_shapeless occultism:chalk_brown_impure occultism:chalk_white_impure occultism:cruelty_essence
occultism:crafting/chalk_cyan_impure | minecraft:crafting_shapeless | c:dusts/echo c:dusts/iesnium minecraft:crafting_shapeless minecraft:glow_ink_sac occultism:chalk_cyan_impure occultism:chalk_white_impure
occultism:crafting/chalk_gray_impure | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:chalk_gray_impure occultism:chalk_white_impure occultism:gray_paste
occultism:crafting/chalk_green_impure | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:chalk_green_impure occultism:chalk_white_impure occultism:nature_paste
occultism:crafting/chalk_light_blue_impure | minecraft:crafting_shapeless | c:dusts/blue_ice c:dusts/ice c:dusts/packed_ice minecraft:crafting_shapeless occultism:chalk_light_blue_impure occultism:chalk_white_impure
occultism:crafting/chalk_light_gray_impure | minecraft:crafting_shapeless | c:dusts/calcite c:dusts/iron c:dusts/silver minecraft:crafting_shapeless occultism:chalk_light_gray_impure occultism:chalk_white_impure
occultism:crafting/chalk_lime_impure | minecraft:crafting_shapeless | c:dusts/emerald c:dusts/research c:slime_balls minecraft:crafting_shapeless occultism:chalk_lime_impure occultism:chalk_white_impure
occultism:crafting/chalk_magenta_impure | minecraft:crafting_shapeless | c:dusts/amethyst c:dusts/dragonyst minecraft:chorus_fruit minecraft:crafting_shapeless occultism:chalk_magenta_impure occultism:chalk_white_impure
occultism:crafting/chalk_orange_impure | minecraft:crafting_shapeless | c:dusts/blaze minecraft:crafting_shapeless minecraft:glow_berries occultism:chalk_orange_impure occultism:chalk_white_impure occultism:cursed_honey
occultism:crafting/chalk_pink_impure | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:chalk_pink_impure occultism:chalk_white_impure occultism:demonic_meat
occultism:crafting/chalk_purple_impure | minecraft:crafting_shapeless | c:dusts/end_stone c:dusts/obsidian minecraft:crafting_shapeless occultism:chalk_purple_impure occultism:chalk_white_impure
occultism:crafting/chalk_red_impure | minecraft:crafting_shapeless | c:dusts/redstone minecraft:crafting_shapeless minecraft:torchflower occultism:afrit_essence occultism:chalk_red_impure occultism:chalk_white_impure
occultism:crafting/chalk_white_impure | minecraft:crafting_shaped | c:dusts/otherworld_wood minecraft:crafting_shaped occultism:chalk_white_impure occultism:dusts/chalk_base
occultism:crafting/chalk_white_impure2 | minecraft:crafting_shaped | c:dusts/otherworld_wood minecraft:crafting_shaped occultism:chalk_white_impure occultism:dusts/chalk_base
occultism:crafting/chalk_yellow_impure | minecraft:crafting_shapeless | c:dusts/glowstone c:dusts/gold minecraft:crafting_shapeless occultism:chalk_white_impure occultism:chalk_yellow_impure
occultism:crafting/change_rainbow_to_void | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:chalk_rainbow occultism:chalk_void
occultism:crafting/chiseled_otherrock_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:chiseled_otherrock_bricks occultism:otherrock_bricks_slab
occultism:crafting/chiseled_otherstone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:chiseled_otherstone_bricks occultism:otherstone_bricks_slab
occultism:crafting/copper_sacrificial_bowl | minecraft:crafting_shapeless | c:ingots/copper minecraft:crafting_shapeless occultism:copper_sacrificial_bowl occultism:sacrificial_bowl
occultism:crafting/dark_copper_sacrificial_bowl | minecraft:crafting_shapeless | c:ingots/copper minecraft:crafting_shapeless occultism:dark_copper_sacrificial_bowl occultism:dark_sacrificial_bowl
occultism:crafting/dark_golden_sacrificial_bowl | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped occultism:dark_golden_sacrificial_bowl occultism:dark_sacrificial_bowl
occultism:crafting/dark_sacrificial_bowl | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:dark_sacrificial_bowl occultism:otherrock
occultism:crafting/dark_silver_sacrificial_bowl | minecraft:crafting_shapeless | c:ingots/silver minecraft:crafting_shapeless occultism:dark_sacrificial_bowl occultism:dark_silver_sacrificial_bowl
occultism:crafting/demons_dream_essence_from_fruit_or_seed | minecraft:crafting_shaped | c:crops/datura c:seeds/datura minecraft:crafting_shaped occultism:demons_dream_essence
occultism:crafting/dictionary_of_spirits | minecraft:crafting_shapeless | c:books c:seeds/datura minecraft:crafting_shapeless occultism:dictionary_of_spirits
occultism:crafting/divination_rod | minecraft:crafting_shaped | c:glass_blocks c:ingots/gold minecraft:crafting_shaped occultism:divination_rod occultism:spirit_attuned_gem
occultism:crafting/goggles | minecraft:crafting_shaped | c:leathers minecraft:crafting_shaped occultism:infused_lenses occultism:lens_frame occultism:otherworld_goggles
occultism:crafting/golden_sacrificial_bowl | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped occultism:golden_sacrificial_bowl occultism:sacrificial_bowl
occultism:crafting/gray_paste/amethyst_shard | minecraft:crafting_shapeless | c:dusts/amethyst minecraft:amethyst_shard minecraft:crafting_shapeless occultism:gray_paste
occultism:crafting/gray_paste/blackstone | minecraft:crafting_shapeless | c:dusts/blackstone minecraft:blackstone minecraft:crafting_shapeless occultism:gray_paste
occultism:crafting/gray_paste/blue_ice | minecraft:crafting_shapeless | c:dusts/blue_ice minecraft:blue_ice minecraft:crafting_shapeless occultism:gray_paste
occultism:crafting/gray_paste/calcite | minecraft:crafting_shapeless | c:dusts/calcite minecraft:calcite minecraft:crafting_shapeless occultism:gray_paste
occultism:crafting/gray_paste/echo_shard | minecraft:crafting_shapeless | c:dusts/echo minecraft:crafting_shapeless minecraft:echo_shard occultism:gray_paste
occultism:crafting/gray_paste/emerald | minecraft:crafting_shapeless | c:dusts/emerald minecraft:crafting_shapeless minecraft:emerald occultism:gray_paste
occultism:crafting/gray_paste/end_stone | minecraft:crafting_shapeless | c:dusts/end_stone minecraft:crafting_shapeless minecraft:end_stone occultism:gray_paste
occultism:crafting/gray_paste/ice | minecraft:crafting_shapeless | c:dusts/ice minecraft:crafting_shapeless minecraft:ice occultism:gray_paste
occultism:crafting/gray_paste/lapis_lazuli | minecraft:crafting_shapeless | c:dusts/lapis minecraft:crafting_shapeless minecraft:lapis_lazuli occultism:gray_paste
occultism:crafting/gray_paste/obsidian | minecraft:crafting_shapeless | c:dusts/obsidian minecraft:crafting_shapeless minecraft:obsidian occultism:gray_paste
occultism:crafting/gray_paste/otherrock | minecraft:crafting_shapeless | c:dusts/otherrock minecraft:crafting_shapeless occultism:gray_paste occultism:otherrock
occultism:crafting/gray_paste/otherstone | minecraft:crafting_shapeless | c:dusts/otherstone minecraft:crafting_shapeless occultism:gray_paste occultism:otherstone
occultism:crafting/gray_paste/packed_ice | minecraft:crafting_shapeless | c:dusts/packed_ice minecraft:crafting_shapeless minecraft:packed_ice occultism:gray_paste
occultism:crafting/iesnium_block | minecraft:crafting_shaped | c:ingots/iesnium minecraft:crafting_shaped occultism:iesnium_block
occultism:crafting/iesnium_ingot_from_block | minecraft:crafting_shapeless | c:storage_blocks/iesnium minecraft:crafting_shapeless occultism:iesnium_ingot
occultism:crafting/iesnium_ingot_from_nuggets | minecraft:crafting_shaped | c:nuggets/iesnium minecraft:crafting_shaped occultism:iesnium_ingot
occultism:crafting/iesnium_nugget | minecraft:crafting_shapeless | c:ingots/iesnium minecraft:crafting_shapeless occultism:iesnium_nugget
occultism:crafting/iesnium_pickaxe | minecraft:crafting_shaped | c:ingots/iesnium c:rods/wooden minecraft:crafting_shaped occultism:iesnium_pickaxe
occultism:crafting/large_candle | minecraft:crafting_shaped | c:strings c:tallow minecraft:crafting_shaped occultism:large_candle
occultism:crafting/large_candle_black | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_black
occultism:crafting/large_candle_blue | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_blue
occultism:crafting/large_candle_brown | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_brown
occultism:crafting/large_candle_cyan | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_cyan
occultism:crafting/large_candle_gray | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_gray
occultism:crafting/large_candle_green | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_green
occultism:crafting/large_candle_light_blue | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_light_blue
occultism:crafting/large_candle_light_gray | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_light_gray
occultism:crafting/large_candle_lime | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_lime
occultism:crafting/large_candle_magenta | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_magenta
occultism:crafting/large_candle_orange | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_orange
occultism:crafting/large_candle_pink | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_pink
occultism:crafting/large_candle_purple | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_purple
occultism:crafting/large_candle_red | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_red
occultism:crafting/large_candle_white | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_white
occultism:crafting/large_candle_yellow | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless occultism:large_candle occultism:large_candle_yellow
occultism:crafting/lens_frame | minecraft:crafting_shaped | c:ingots/silver minecraft:crafting_shaped occultism:lens_frame occultism:otherstone
occultism:crafting/lens_frame_alt | minecraft:crafting_shaped | c:dyes/white c:ingots/silver minecraft:crafting_shaped occultism:lens_frame occultism:otherrock
occultism:crafting/lenses | minecraft:crafting_shaped | c:glass_panes minecraft:crafting_shaped occultism:lenses occultism:spirit_attuned_gem
occultism:crafting/magic_lamp_empty | minecraft:crafting_shaped | c:ingots/silver minecraft:crafting_shaped occultism:magic_lamp_empty occultism:spirit_attuned_gem
occultism:crafting/nature_paste_mossy_cobblestone | minecraft:crafting_shapeless | minecraft:cobblestone minecraft:crafting_shapeless minecraft:mossy_cobblestone occultism:nature_paste
occultism:crafting/nature_paste_mossy_stone_bricks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mossy_stone_bricks minecraft:stone_bricks occultism:nature_paste
occultism:crafting/netherite_dust | minecraft:crafting_shapeless | c:dusts/gold c:dusts/netherite_scrap minecraft:crafting_shapeless occultism:netherite_dust
occultism:crafting/othercobblerock_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblerock occultism:othercobblerock_slab
occultism:crafting/othercobblerock_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblerock occultism:othercobblerock_stairs
occultism:crafting/othercobblerock_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblerock occultism:othercobblerock_wall
occultism:crafting/othercobblestone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblestone occultism:othercobblestone_slab
occultism:crafting/othercobblestone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblestone occultism:othercobblestone_stairs
occultism:crafting/othercobblestone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:othercobblestone occultism:othercobblestone_wall
occultism:crafting/otherflower_to_black_dye | minecraft:crafting_shapeless | c:dyes/black minecraft:black_dye minecraft:crafting_shapeless occultism:otherflower
occultism:crafting/otherflower_to_blue_dye | minecraft:crafting_shapeless | c:dyes/blue minecraft:blue_dye minecraft:crafting_shapeless occultism:otherflower
occultism:crafting/otherflower_to_brown_dye | minecraft:crafting_shapeless | c:dyes/brown minecraft:brown_dye minecraft:crafting_shapeless occultism:otherflower
occultism:crafting/otherflower_to_cyan_dye | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless minecraft:cyan_dye occultism:otherflower
occultism:crafting/otherflower_to_gray_dye | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless minecraft:gray_dye occultism:otherflower
occultism:crafting/otherflower_to_green_dye | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless minecraft:green_dye occultism:otherflower
occultism:crafting/otherflower_to_light_blue_dye | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless minecraft:light_blue_dye occultism:otherflower
occultism:crafting/otherflower_to_light_gray_dye | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless minecraft:light_gray_dye occultism:otherflower
occultism:crafting/otherflower_to_lime_dye | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless minecraft:lime_dye occultism:otherflower
occultism:crafting/otherflower_to_magenta_dye | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless minecraft:magenta_dye occultism:otherflower
occultism:crafting/otherflower_to_orange_dye | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless minecraft:orange_dye occultism:otherflower
occultism:crafting/otherflower_to_pink_dye | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless minecraft:pink_dye occultism:otherflower
occultism:crafting/otherflower_to_purple_dye | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless minecraft:purple_dye occultism:otherflower
occultism:crafting/otherflower_to_red_dye | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless minecraft:red_dye occultism:otherflower
occultism:crafting/otherflower_to_white_dye | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless minecraft:white_dye occultism:otherflower
occultism:crafting/otherflower_to_yellow_dye | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless minecraft:yellow_dye occultism:otherflower
occultism:crafting/otherglass | minecraft:crafting_shaped | c:dusts/end_stone c:glass_blocks c:nuggets/iesnium minecraft:crafting_shaped occultism:otherglass_natural
occultism:crafting/otherplanks | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherplanks occultism:otherworld_logs
occultism:crafting/otherplanks_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherplanks occultism:otherplanks_button
occultism:crafting/otherplanks_door | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherplanks occultism:otherplanks_door
occultism:crafting/otherplanks_fence | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick occultism:otherplanks occultism:otherplanks_fence
occultism:crafting/otherplanks_fence_gate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick occultism:otherplanks occultism:otherplanks_fence_gate
occultism:crafting/otherplanks_hanging_sign | minecraft:crafting_shaped | minecraft:chain minecraft:crafting_shaped occultism:otherplanks_hanging_sign occultism:stripped_otherworld_log
occultism:crafting/otherplanks_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherplanks occultism:otherplanks_pressure_plate
occultism:crafting/otherplanks_sign | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick occultism:otherplanks occultism:otherplanks_sign
occultism:crafting/otherplanks_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherplanks occultism:otherplanks_slab
occultism:crafting/otherplanks_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherplanks occultism:otherplanks_stairs
occultism:crafting/otherplanks_trapdoor | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherplanks occultism:otherplanks_trapdoor
occultism:crafting/otherrock_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_bricks
occultism:crafting/otherrock_bricks_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock_bricks occultism:otherrock_bricks_slab
occultism:crafting/otherrock_bricks_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock_bricks occultism:otherrock_bricks_stairs
occultism:crafting/otherrock_bricks_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock_bricks occultism:otherrock_bricks_wall
occultism:crafting/otherrock_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherrock occultism:otherrock_button
occultism:crafting/otherrock_frame | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_frame
occultism:crafting/otherrock_pedestal | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_slab occultism:otherstone_pedestal_silver
occultism:crafting/otherrock_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_pressure_plate
occultism:crafting/otherrock_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_slab
occultism:crafting/otherrock_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_stairs
occultism:crafting/otherrock_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherrock occultism:otherrock_wall
occultism:crafting/otherstone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_bricks
occultism:crafting/otherstone_bricks_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone_bricks occultism:otherstone_bricks_slab
occultism:crafting/otherstone_bricks_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone_bricks occultism:otherstone_bricks_stairs
occultism:crafting/otherstone_bricks_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone_bricks occultism:otherstone_bricks_wall
occultism:crafting/otherstone_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherstone occultism:otherstone_button
occultism:crafting/otherstone_frame | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_frame
occultism:crafting/otherstone_pedestal | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_pedestal occultism:otherstone_slab
occultism:crafting/otherstone_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_pressure_plate
occultism:crafting/otherstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_slab
occultism:crafting/otherstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_stairs
occultism:crafting/otherstone_tablet | minecraft:crafting_shaped | c:dusts/otherworld_wood c:ingots/gold minecraft:crafting_shaped occultism:otherstone occultism:otherstone_tablet
occultism:crafting/otherstone_tablet2 | minecraft:crafting_shaped | c:dusts/otherworld_wood c:ingots/gold minecraft:crafting_shaped occultism:otherrock occultism:otherstone_tablet
occultism:crafting/otherstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:otherstone_wall
occultism:crafting/otherworld_wood | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherworld_log occultism:otherworld_wood
occultism:crafting/polished_otherrock_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherrock occultism:polished_otherrock_slab
occultism:crafting/polished_otherrock_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherrock occultism:polished_otherrock_stairs
occultism:crafting/polished_otherrock_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherrock occultism:polished_otherrock_wall
occultism:crafting/polished_otherstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherstone occultism:polished_otherstone_slab
occultism:crafting/polished_otherstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherstone occultism:polished_otherstone_stairs
occultism:crafting/polished_otherstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:polished_otherstone occultism:polished_otherstone_wall
occultism:crafting/raw_iesnium_block | minecraft:crafting_shaped | c:raw_materials/iesnium minecraft:crafting_shaped occultism:raw_iesnium_block
occultism:crafting/raw_iesnium_ingot_from_block | minecraft:crafting_shapeless | c:storage_blocks/raw_iesnium minecraft:crafting_shapeless occultism:raw_iesnium
occultism:crafting/raw_silver_block | minecraft:crafting_shaped | c:raw_materials/silver minecraft:crafting_shaped occultism:raw_silver_block
occultism:crafting/raw_silver_ingot_from_block | minecraft:crafting_shapeless | c:storage_blocks/raw_silver minecraft:crafting_shapeless occultism:raw_silver
occultism:crafting/sacrificial_bowl | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:otherstone occultism:sacrificial_bowl
occultism:crafting/silver_block | minecraft:crafting_shaped | c:ingots/silver minecraft:crafting_shaped occultism:silver_block
occultism:crafting/silver_ingot_from_block | minecraft:crafting_shapeless | c:storage_blocks/silver minecraft:crafting_shapeless occultism:silver_ingot
occultism:crafting/silver_ingot_from_nuggets | minecraft:crafting_shaped | c:nuggets/silver minecraft:crafting_shaped occultism:silver_ingot
occultism:crafting/silver_nugget | minecraft:crafting_shapeless | c:ingots/silver minecraft:crafting_shapeless occultism:silver_nugget
occultism:crafting/silver_sacrificial_bowl | minecraft:crafting_shapeless | c:ingots/silver minecraft:crafting_shapeless occultism:sacrificial_bowl occultism:silver_sacrificial_bowl
occultism:crafting/spirit_attuned_crystal | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:spirit_attuned_crystal occultism:spirit_attuned_gem
occultism:crafting/spirit_attuned_pickaxe_head | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:spirit_attuned_gem occultism:spirit_attuned_pickaxe_head
occultism:crafting/spirit_campfire | minecraft:crafting_shaped | c:crops/datura c:rods/wooden minecraft:crafting_shaped minecraft:logs occultism:spirit_campfire
occultism:crafting/spirit_lantern | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped occultism:spirit_lantern occultism:spirit_torch
occultism:crafting/spirit_torch | minecraft:crafting_shaped | c:crops/datura c:rods/wooden minecraft:coals minecraft:crafting_shaped occultism:spirit_torch
occultism:crafting/storage_controller | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:dimensional_matrix occultism:storage_controller occultism:storage_controller_base
