astikorcartsredux:acacia_animal_cart | minecraft:crafting_shaped | astikorcartsredux:acacia_animal_cart astikorcartsredux:wheel minecraft:acacia_planks minecraft:crafting_shaped
astikorcartsredux:mangrove_animal_cart | minecraft:crafting_shaped | astikorcartsredux:mangrove_animal_cart astikorcartsredux:wheel minecraft:crafting_shaped minecraft:mangrove_planks
astikorcartsredux:mangrove_hand_cart | minecraft:crafting_shaped | astikorcartsredux:mangrove_hand_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:mangrove_planks
astikorcartsredux:mangrove_plow | minecraft:crafting_shaped | astikorcartsredux:mangrove_plow astikorcartsredux:wheel minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
astikorcartsredux:mangrove_reaper | minecraft:crafting_shaped | astikorcartsredux:mangrove_reaper astikorcartsredux:wheel minecraft:crafting_shaped minecraft:iron_ingot minecraft:mangrove_planks minecraft:mangrove_slab minecraft:stick
astikorcartsredux:mangrove_seed_drill | minecraft:crafting_shaped | astikorcartsredux:mangrove_seed_drill astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:hopper minecraft:mangrove_planks
astikorcartsredux:mangrove_supply_cart | minecraft:crafting_shaped | astikorcartsredux:mangrove_supply_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:mangrove_planks
astikorcartsredux:oak_animal_cart | minecraft:crafting_shaped | astikorcartsredux:oak_animal_cart astikorcartsredux:wheel minecraft:crafting_shaped minecraft:oak_planks
astikorcartsredux:oak_hand_cart | minecraft:crafting_shaped | astikorcartsredux:oak_hand_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:oak_planks
astikorcartsredux:oak_plow | minecraft:crafting_shaped | astikorcartsredux:oak_plow astikorcartsredux:wheel minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
astikorcartsredux:oak_reaper | minecraft:crafting_shaped | astikorcartsredux:oak_reaper astikorcartsredux:wheel minecraft:crafting_shaped minecraft:iron_ingot minecraft:oak_planks minecraft:oak_slab minecraft:stick
astikorcartsredux:oak_seed_drill | minecraft:crafting_shaped | astikorcartsredux:oak_seed_drill astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:hopper minecraft:oak_planks
astikorcartsredux:oak_supply_cart | minecraft:crafting_shaped | astikorcartsredux:oak_supply_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:oak_planks
astikorcartsredux:spruce_animal_cart | minecraft:crafting_shaped | astikorcartsredux:spruce_animal_cart astikorcartsredux:wheel minecraft:crafting_shaped minecraft:spruce_planks
astikorcartsredux:spruce_hand_cart | minecraft:crafting_shaped | astikorcartsredux:spruce_hand_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:spruce_planks
astikorcartsredux:spruce_plow | minecraft:crafting_shaped | astikorcartsredux:spruce_plow astikorcartsredux:wheel minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
astikorcartsredux:spruce_reaper | minecraft:crafting_shaped | astikorcartsredux:spruce_reaper astikorcartsredux:wheel minecraft:crafting_shaped minecraft:iron_ingot minecraft:spruce_planks minecraft:spruce_slab minecraft:stick
astikorcartsredux:spruce_seed_drill | minecraft:crafting_shaped | astikorcartsredux:spruce_seed_drill astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:hopper minecraft:spruce_planks
astikorcartsredux:spruce_supply_cart | minecraft:crafting_shaped | astikorcartsredux:spruce_supply_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:spruce_planks
astikorcartsredux:warped_animal_cart | minecraft:crafting_shaped | astikorcartsredux:warped_animal_cart astikorcartsredux:wheel minecraft:crafting_shaped minecraft:warped_planks
astikorcartsredux:warped_hand_cart | minecraft:crafting_shaped | astikorcartsredux:warped_hand_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:warped_planks
astikorcartsredux:warped_plow | minecraft:crafting_shaped | astikorcartsredux:warped_plow astikorcartsredux:wheel minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
astikorcartsredux:warped_reaper | minecraft:crafting_shaped | astikorcartsredux:warped_reaper astikorcartsredux:wheel minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick minecraft:warped_planks minecraft:warped_slab
astikorcartsredux:warped_seed_drill | minecraft:crafting_shaped | astikorcartsredux:warped_seed_drill astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:hopper minecraft:warped_planks
astikorcartsredux:warped_supply_cart | minecraft:crafting_shaped | astikorcartsredux:warped_supply_cart astikorcartsredux:wheel minecraft:chest minecraft:crafting_shaped minecraft:warped_planks
astikorcartsredux:wheel | minecraft:crafting_shaped | astikorcartsredux:wheel minecraft:crafting_shaped minecraft:planks minecraft:stick
