recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/rupee | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_rupee divinerpg:rupee_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/divinerpg/tier3/torridite | alloy_smelter:smelting | alloy_smelter:smelting divinerpg:raw_torridite divinerpg:torridite_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier1/double_tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier1/tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier2/double_tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier2/tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier3/double_tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/energizedpower/tier3/tin | alloy_smelter:smelting | alloy_smelter:smelting energizedpower:raw_tin energizedpower:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier1/aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier1/double_aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier2/aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier2/double_aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier3/aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/eternal_starlight/tier3/double_aethersent | alloy_smelter:smelting | alloy_smelter:smelting eternal_starlight:aethersent_ingot eternal_starlight:raw_aethersent neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier1/double_silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier1/silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier2/double_silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier2/silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier3/double_silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/iceandfire/tier3/silver | alloy_smelter:smelting | alloy_smelter:smelting iceandfire:raw_silver iceandfire:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/double_aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/double_lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/double_silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier1/uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/double_aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/double_lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/double_silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier2/uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/double_aluminum | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_aluminum immersiveengineering:raw_aluminum neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/double_lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/double_silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/lead | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_lead immersiveengineering:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/nickel | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_nickel immersiveengineering:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/silver | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_silver immersiveengineering:raw_silver neoforge:mod_loaded
recipe_integration:alloy_smelter/immersiveengineering/tier3/uranium | alloy_smelter:smelting | alloy_smelter:smelting immersiveengineering:ingot_uranium immersiveengineering:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/double_lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/double_osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/double_tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier1/uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/double_lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/double_osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/double_tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier2/uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/double_lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/double_osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/double_tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/lead | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_lead mekanism:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/osmium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_osmium mekanism:raw_osmium neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/tin | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_tin mekanism:raw_tin neoforge:mod_loaded
recipe_integration:alloy_smelter/mekanism/tier3/uranium | alloy_smelter:smelting | alloy_smelter:smelting mekanism:ingot_uranium mekanism:raw_uranium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/double_tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier1/tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/double_tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier2/tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_antimony | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:antimony_ingot modern_industrialization:raw_antimony neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/double_tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
