fxntstorage:backpack_crafting/andesite_backpack_from_backpack | fxntstorage:backpack_crafting | create:andesite_casing fxntstorage:andesite_backpack fxntstorage:backpack fxntstorage:backpack_crafting
fxntstorage:crafting_shaped/simple_storage_box/jungle_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:jungle_simple_storage_box minecraft:crafting_shaped minecraft:jungle_planks
fxntstorage:crafting_shaped/simple_storage_box/mangrove_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:mangrove_simple_storage_box minecraft:crafting_shaped minecraft:mangrove_planks
fxntstorage:crafting_shaped/simple_storage_box/oak_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:oak_simple_storage_box minecraft:crafting_shaped minecraft:oak_planks
fxntstorage:crafting_shaped/simple_storage_box/pale_oak_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:pale_oak_simple_storage_box minecraft:crafting_shaped minecraft:pale_oak_planks
fxntstorage:crafting_shaped/simple_storage_box/spruce_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:spruce_simple_storage_box minecraft:crafting_shaped minecraft:spruce_planks
fxntstorage:crafting_shaped/simple_storage_box/warped_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:warped_simple_storage_box minecraft:crafting_shaped minecraft:warped_planks
fxntstorage:crafting_shaped/smart_passer_block | minecraft:crafting_shaped | create:smart_chute fxntstorage:smart_passer_block minecraft:crafting_shaped minecraft:hopper minecraft:redstone
fxntstorage:crafting_shaped/storage_box/andesite_storage_box | minecraft:crafting_shaped | create:andesite_casing create:display_board create:item_vault fxntstorage:andesite_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/brass_storage_box | minecraft:crafting_shaped | create:brass_casing create:display_board create:item_vault fxntstorage:brass_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/cardboard_storage_box | minecraft:crafting_shaped | create:cardboard_block create:display_board create:item_vault fxntstorage:cardboard_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/copper_storage_box | minecraft:crafting_shaped | create:copper_casing create:display_board create:item_vault fxntstorage:copper_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/hardened_storage_box | minecraft:crafting_shaped | create:display_board create:item_vault create:railway_casing fxntstorage:hardened_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/storage_box | minecraft:crafting_shaped | create:display_board create:industrial_iron_block create:item_vault fxntstorage:storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box/weathered_storage_box | minecraft:crafting_shaped | create:display_board create:item_vault create:weathered_iron_block fxntstorage:weathered_storage_box minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_box_capacity_upgrade | minecraft:crafting_shaped | create:item_vault fxntstorage:backpack_blank_upgrade fxntstorage:storage_box_capacity_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_controller | minecraft:crafting_shaped | create:brass_casing create:electron_tube create:redstone_link fxntstorage:storage_controller minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_interface | minecraft:crafting_shaped | create:brass_casing create:redstone_link fxntstorage:storage_interface minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_interface_filtered | minecraft:crafting_shaped | create:brass_casing create:redstone_link fxntstorage:storage_interface_filtered minecraft:comparator minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_trim/acacia_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:acacia_storage_trim minecraft:acacia_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_trim/bamboo_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:bamboo_storage_trim minecraft:bamboo_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_trim/birch_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:birch_storage_trim minecraft:birch_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_trim/cherry_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:cherry_storage_trim minecraft:cherry_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/storage_trim/crimson_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:crimson_storage_trim minecraft:crafting_shaped minecraft:crimson_planks
fxntstorage:crafting_shaped/storage_trim/dark_oak_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:dark_oak_storage_trim minecraft:crafting_shaped minecraft:dark_oak_planks
fxntstorage:crafting_shaped/storage_trim/jungle_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:jungle_storage_trim minecraft:crafting_shaped minecraft:jungle_planks
fxntstorage:crafting_shaped/storage_trim/mangrove_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:mangrove_storage_trim minecraft:crafting_shaped minecraft:mangrove_planks
fxntstorage:crafting_shaped/storage_trim/oak_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:oak_storage_trim minecraft:crafting_shaped minecraft:oak_planks
fxntstorage:crafting_shaped/storage_trim/pale_oak_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:pale_oak_storage_trim minecraft:crafting_shaped minecraft:pale_oak_planks
fxntstorage:crafting_shaped/storage_trim/spruce_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:spruce_storage_trim minecraft:crafting_shaped minecraft:spruce_planks
fxntstorage:crafting_shaped/storage_trim/warped_storage_trim | minecraft:crafting_shaped | create:andesite_alloy fxntstorage:warped_storage_trim minecraft:crafting_shaped minecraft:warped_planks
fxntstorage:mechanical_crafting/backpack_flight_upgrade | create:mechanical_crafting | create:brass_sheet create:copper_valve_handle create:encased_fan create:iron_sheet create:mechanical_crafting create:netherite_backtank create:nozzle create:propeller fxntstorage:backpack_blank_upgrade fxntstorage:backpack_flight_upgrade
fxntstorage:mechanical_crafting/backpack_health_upgrade | create:mechanical_crafting | create:brass_sheet create:cogwheel create:electron_tube create:iron_sheet create:mechanical_crafting create:precision_mechanism fxntstorage:backpack_blank_upgrade fxntstorage:backpack_health_upgrade minecraft:enchanted_golden_apple minecraft:heart_of_the_sea minecraft:redstone
fxntstorage:storage_box_void_upgrade | minecraft:crafting_shapeless | fxntstorage:backpack_blank_upgrade fxntstorage:storage_box_void_upgrade minecraft:crafting_shapeless minecraft:flint_and_steel
