undergroundworlds:crafting/axe_of_regrowth_1 | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:axe_of_regrowth undergroundworlds:jungle_spores undergroundworlds:jungle_vines undergroundworlds:temple_axe
undergroundworlds:crafting/spider_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather_chestplate minecraft:string undergroundworlds:spider_chestplate undergroundworlds:spider_fang
undergroundworlds:crafting/spider_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather_helmet minecraft:string undergroundworlds:spider_fang undergroundworlds:spider_helmet
undergroundworlds:crafting/spider_leggings | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather_leggings minecraft:string undergroundworlds:spider_fang undergroundworlds:spider_leggings
undergroundworlds:crafting/temple_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_slab undergroundworlds:temple_bricks
undergroundworlds:crafting/temple_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_stairs undergroundworlds:temple_bricks
undergroundworlds:crafting/temple_brick_tile_slab | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_tile_slab undergroundworlds:temple_brick_tiles
undergroundworlds:crafting/temple_brick_tile_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_tile_stairs undergroundworlds:temple_brick_tiles
undergroundworlds:crafting/temple_brick_tile_wall | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_tile_wall undergroundworlds:temple_brick_tiles
undergroundworlds:crafting/temple_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped undergroundworlds:temple_brick_wall undergroundworlds:temple_bricks
undergroundworlds:smelting/cracked_pyramid_bricks | minecraft:smelting | minecraft:smelting undergroundworlds:cracked_pyramid_bricks undergroundworlds:pyramid_bricks
undergroundworlds:smelting/cracked_temple_bricks | minecraft:smelting | minecraft:smelting undergroundworlds:cracked_temple_bricks undergroundworlds:temple_bricks
undergroundworlds:stonecutting/chiseled_temple_bricks | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:chiseled_temple_bricks undergroundworlds:temple_bricks
undergroundworlds:stonecutting/ice_brick_slab_from_bricks | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:ice_brick_slab undergroundworlds:ice_bricks
undergroundworlds:stonecutting/ice_brick_slab_from_ice | minecraft:stonecutting | minecraft:packed_ice minecraft:stonecutting undergroundworlds:ice_brick_slab
undergroundworlds:stonecutting/ice_brick_stairs_from_bricks | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:ice_brick_stairs undergroundworlds:ice_bricks
undergroundworlds:stonecutting/ice_brick_stairs_from_ice | minecraft:stonecutting | minecraft:packed_ice minecraft:stonecutting undergroundworlds:ice_brick_stairs
undergroundworlds:stonecutting/ice_brick_wall_from_bricks | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:ice_brick_wall undergroundworlds:ice_bricks
undergroundworlds:stonecutting/ice_brick_wall_from_ice | minecraft:stonecutting | minecraft:packed_ice minecraft:stonecutting undergroundworlds:ice_brick_wall
undergroundworlds:stonecutting/ice_bricks | minecraft:stonecutting | minecraft:packed_ice minecraft:stonecutting undergroundworlds:ice_bricks
undergroundworlds:stonecutting/pyramid_brick_slab | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:pyramid_brick_slab undergroundworlds:pyramid_bricks
undergroundworlds:stonecutting/pyramid_brick_stairs | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:pyramid_brick_stairs undergroundworlds:pyramid_bricks
undergroundworlds:stonecutting/pyramid_brick_wall | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:pyramid_brick_wall undergroundworlds:pyramid_bricks
undergroundworlds:stonecutting/temple_brick_slab | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_slab undergroundworlds:temple_bricks
undergroundworlds:stonecutting/temple_brick_stairs | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_stairs undergroundworlds:temple_bricks
undergroundworlds:stonecutting/temple_brick_tile_slab | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_tile_slab undergroundworlds:temple_brick_tiles
undergroundworlds:stonecutting/temple_brick_tile_stairs | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_tile_stairs undergroundworlds:temple_brick_tiles
undergroundworlds:stonecutting/temple_brick_tile_wall | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_tile_wall undergroundworlds:temple_brick_tiles
undergroundworlds:stonecutting/temple_brick_tiles | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_tiles undergroundworlds:temple_bricks
undergroundworlds:stonecutting/temple_brick_wall | minecraft:stonecutting | minecraft:stonecutting undergroundworlds:temple_brick_wall undergroundworlds:temple_bricks
