create_confectionery:bar_of_black_chocolate_recipe | create:compacting | create:compacting create_confectionery:bar_of_black_chocolate create_confectionery:black_chocolate
create_confectionery:chocolate_recipe_3 | create:mixing | create:chocolate create:mixing create_confectionery:chocolate_bricks
create_confectionery:chocolate_recipe_4 | create:mixing | create:chocolate create:mixing create_confectionery:chocolate_bricks_stairs
create_confectionery:chocolate_recipe_5 | create:mixing | create:chocolate create:mixing create_confectionery:chocolate_bricks_slab
create_confectionery:cocoa_powder_and_butter_recipe | create:crushing | create:crushing create_confectionery:cocoa_butter create_confectionery:cocoa_powder create_confectionery:crushed_cocoa
create_confectionery:crushed_cocoa_recipe | create:pressing | create:pressing create_confectionery:crushed_cocoa minecraft:cocoa_beans
create_confectionery:full_black_chocolate_bar_recipe | minecraft:crafting_shapeless | create_confectionery:bar_of_black_chocolate create_confectionery:full_black_chocolate_bar minecraft:crafting_shapeless minecraft:paper
create_confectionery:full_chocolate_bar_recipe | minecraft:crafting_shapeless | create:bar_of_chocolate create_confectionery:full_chocolate_bar minecraft:crafting_shapeless minecraft:paper
create_confectionery:full_ruby_chocolate_bar_recipe | minecraft:crafting_shapeless | create_confectionery:bar_of_ruby_chocolate create_confectionery:full_ruby_chocolate_bar minecraft:crafting_shapeless minecraft:paper
create_confectionery:full_white_chocolate_bar_recipe | minecraft:crafting_shapeless | create_confectionery:bar_of_white_chocolate create_confectionery:full_white_chocolate_bar minecraft:crafting_shapeless minecraft:paper
create_confectionery:gingerbread_block_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_block create_confectionery:gingerdough minecraft:crafting_shaped
create_confectionery:gingerbread_brick_slab_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_brick_slab create_confectionery:gingerbreak_bricks minecraft:crafting_shaped
create_confectionery:gingerbread_brick_slab_recipe_2 | minecraft:stonecutting | create_confectionery:gingerbread_brick_slab create_confectionery:gingerbreak_bricks minecraft:stonecutting
create_confectionery:gingerbread_brick_stairs_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_brick_stairs create_confectionery:gingerbreak_bricks minecraft:crafting_shaped
create_confectionery:gingerbread_brick_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:gingerbread_brick_stairs create_confectionery:gingerbreak_bricks minecraft:stonecutting
create_confectionery:gingerbread_bricks_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_block create_confectionery:gingerbreak_bricks minecraft:crafting_shaped
create_confectionery:gingerbread_man_recipe | create:pressing | create:pressing create_confectionery:gingerbread_man create_confectionery:gingerdough
create_confectionery:gingerbread_recipe | minecraft:smelting | create_confectionery:gingerbread create_confectionery:gingerdough minecraft:smelting
create_confectionery:gingerbread_recipe_2 | minecraft:smoking | create_confectionery:gingerbread create_confectionery:gingerdough minecraft:smoking
create_confectionery:gingerbread_slab_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_block create_confectionery:gingerbread_slab minecraft:crafting_shaped
create_confectionery:gingerbread_slab_recipe_2 | minecraft:stonecutting | create_confectionery:gingerbread_block create_confectionery:gingerbread_slab minecraft:stonecutting
create_confectionery:gingerbread_stairs_recipe | minecraft:crafting_shaped | create_confectionery:gingerbread_block create_confectionery:gingerbread_stairs minecraft:crafting_shaped
create_confectionery:gingerbread_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:gingerbread_block create_confectionery:gingerbread_stairs minecraft:stonecutting
create_confectionery:gingerdough_recipe | create:mixing | c:honey create:cinder_flour create:mixing create:wheat_flour create_confectionery:gingerdough minecraft:sugar
create_confectionery:honey_candy_recipe | create:mixing | c:honey create:mixing create:wheat_flour create_confectionery:honey_candy minecraft:sugar
create_confectionery:hot_chocolate_bottle_recipe | create:filling | create:filling create_confectionery:hot_chocolate create_confectionery:hot_chocolate_bottle minecraft:glass_bottle
create_confectionery:hot_chocolate_drain | create:emptying | create:emptying create_confectionery:hot_chocolate create_confectionery:hot_chocolate_bottle minecraft:glass_bottle
create_confectionery:hot_chocolate_recipe | create:mixing | c:milk create:mixing create_confectionery:cocoa_powder create_confectionery:hot_chocolate minecraft:sugar
create_confectionery:marshmallow_on_a_stick_recipe | minecraft:crafting_shapeless | create_confectionery:marshmallow create_confectionery:marshmallow_on_a_stick minecraft:crafting_shapeless minecraft:stick
create_confectionery:marshmallow_recipe | create:mixing | create:mixing create_confectionery:marshmallow minecraft:slime_ball minecraft:sugar minecraft:water
create_confectionery:music_disc_the_bright_side_recipe | minecraft:crafting_shaped | create_confectionery:bar_of_black_chocolate create_confectionery:candy_cane create_confectionery:the_bright_side minecraft:crafting_shaped
create_confectionery:ruby_chocolate_brick_slab_recipe | minecraft:crafting_shaped | create_confectionery:ruby_chocolate_brick_slab create_confectionery:ruby_chocolate_bricks minecraft:crafting_shaped
create_confectionery:ruby_chocolate_brick_slab_recipe_2 | minecraft:stonecutting | create_confectionery:ruby_chocolate_brick_slab create_confectionery:ruby_chocolate_bricks minecraft:stonecutting
create_confectionery:ruby_chocolate_brick_stairs_recipe | minecraft:crafting_shaped | create_confectionery:ruby_chocolate_brick_stairs create_confectionery:ruby_chocolate_bricks minecraft:crafting_shaped
create_confectionery:ruby_chocolate_brick_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:ruby_chocolate_brick_stairs create_confectionery:ruby_chocolate_bricks minecraft:stonecutting
create_confectionery:ruby_chocolate_bricks_recipe | minecraft:crafting_shaped | create_confectionery:bar_of_ruby_chocolate create_confectionery:ruby_chocolate_bricks minecraft:crafting_shaped
create_confectionery:ruby_chocolate_candy_1_recipe | create:filling | create:bar_of_chocolate create:filling create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_candy_1
create_confectionery:ruby_chocolate_candy_2_recipe | create:filling | create:filling create_confectionery:bar_of_white_chocolate create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_candy_2
create_confectionery:ruby_chocolate_candy_3_recipe | create:filling | create:filling create_confectionery:bar_of_black_chocolate create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_candy_3
create_confectionery:ruby_chocolate_candy_recipe | create:filling | create:filling create_confectionery:bar_of_caramel create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_candy
create_confectionery:ruby_chocolate_emptying | create:emptying | create:emptying create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_bucket minecraft:bucket
create_confectionery:ruby_chocolate_glazed_berries_recipe | create:filling | create:filling create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_glazed_berries minecraft:sweet_berries
create_confectionery:ruby_chocolate_glazed_marshmallow_recipe | create:filling | create:filling create_confectionery:marshmallow create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_glazed_marshmallow
create_confectionery:ruby_chocolate_recipe | create:mixing | c:milk create:mixing create_confectionery:ruby_chocolate minecraft:cocoa_beans minecraft:dragon_breath minecraft:sugar
create_confectionery:ruby_chocolate_recipe_2 | create:mixing | create:mixing create_confectionery:bar_of_ruby_chocolate create_confectionery:ruby_chocolate
create_confectionery:ruby_chocolate_recipe_3 | create:mixing | create:mixing create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_bricks
create_confectionery:ruby_chocolate_recipe_4 | create:mixing | create:mixing create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_brick_stairs
create_confectionery:ruby_chocolate_recipe_5 | create:mixing | create:mixing create_confectionery:ruby_chocolate create_confectionery:ruby_chocolate_brick_slab
create_confectionery:soothing_hot_chocolate_recipe | minecraft:crafting_shapeless | create_confectionery:hot_chocolate_bottle create_confectionery:marshmallow create_confectionery:soothing_hot_chocolate minecraft:crafting_shapeless
create_confectionery:white_chocolate_bricks_recipe | minecraft:crafting_shaped | create_confectionery:bar_of_white_chocolate create_confectionery:white_chocolate_bricks minecraft:crafting_shaped
create_confectionery:white_chocolate_bricks_slab_recipe | minecraft:crafting_shaped | create_confectionery:white_chocolate_bricks create_confectionery:white_chocolate_bricks_slab minecraft:crafting_shaped
create_confectionery:white_chocolate_bricks_slab_recipe_2 | minecraft:stonecutting | create_confectionery:white_chocolate_bricks create_confectionery:white_chocolate_bricks_slab minecraft:stonecutting
create_confectionery:white_chocolate_bricks_stairs_recipe_1 | minecraft:crafting_shaped | create_confectionery:white_chocolate_bricks create_confectionery:white_chocolate_bricks_stairs minecraft:crafting_shaped
create_confectionery:white_chocolate_bricks_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:white_chocolate_bricks create_confectionery:white_chocolate_bricks_stairs minecraft:stonecutting
create_confectionery:white_chocolate_candy_1_recipe | create:filling | create:bar_of_chocolate create:filling create_confectionery:white_chocolate create_confectionery:white_chocolate_candy_1
create_confectionery:white_chocolate_candy_2_recipe | create:filling | create:filling create_confectionery:bar_of_black_chocolate create_confectionery:white_chocolate create_confectionery:white_chocolate_candy_2
create_confectionery:white_chocolate_candy_3_recipe | create:filling | create:filling create_confectionery:bar_of_ruby_chocolate create_confectionery:white_chocolate create_confectionery:white_chocolate_candy_3
create_confectionery:white_chocolate_candy_recipe | create:filling | create:filling create_confectionery:bar_of_caramel create_confectionery:white_chocolate create_confectionery:white_chocolate_candy
create_confectionery:white_chocolate_emptying | create:emptying | create:emptying create_confectionery:white_chocolate create_confectionery:white_chocolate_bucket minecraft:bucket
create_confectionery:white_chocolate_glazed_berries_recipe | create:filling | create:filling create_confectionery:white_chocolate create_confectionery:white_chocolate_glazed_berries minecraft:sweet_berries
create_confectionery:white_chocolate_glazed_marshmallow_recipe | create:filling | create:filling create_confectionery:marshmallow create_confectionery:white_chocolate create_confectionery:white_chocolate_glazed_marshmallow
create_confectionery:white_chocolate_recipe | create:mixing | c:milk create:mixing create_confectionery:cocoa_butter create_confectionery:white_chocolate minecraft:sugar
create_confectionery:white_chocolate_recipe_2 | create:mixing | create:mixing create_confectionery:bar_of_white_chocolate create_confectionery:white_chocolate
create_confectionery:white_chocolate_recipe_3 | create:mixing | create:mixing create_confectionery:white_chocolate create_confectionery:white_chocolate_bricks
create_confectionery:white_chocolate_recipe_4 | create:mixing | create:mixing create_confectionery:white_chocolate create_confectionery:white_chocolate_bricks_stairs
create_confectionery:white_chocolate_recipe_5 | create:mixing | create:mixing create_confectionery:white_chocolate create_confectionery:white_chocolate_bricks_slab
