cold_sweat:boiler | minecraft:crafting_shaped | c:cobblestones/normal cold_sweat:boiler cold_sweat:boiler_craftable_deepslate minecraft:crafting_shaped
cold_sweat:insul_minecart_raw | minecraft:crafting_shaped | c:leathers cold_sweat:insulated_minecart minecraft:crafting_shaped minecraft:minecart minecraft:wool
cold_sweat:insul_minecart_raw_goat | minecraft:crafting_shaped | c:furs/goat c:leathers cold_sweat:insulated_minecart minecraft:crafting_shaped minecraft:minecart
cold_sweat:minecart_insulation | minecraft:crafting_shaped | c:leathers cold_sweat:minecart_insulation minecraft:crafting_shaped minecraft:wool
cold_sweat:minecart_insulation_goat | minecraft:crafting_shaped | c:furs/goat c:leathers cold_sweat:minecart_insulation minecraft:crafting_shaped
cold_sweat:sewing_table | minecraft:crafting_shaped | cold_sweat:sewing_table minecraft:crafting_shaped minecraft:planks minecraft:wool
cold_sweat:smokestack | minecraft:crafting_shaped | c:cobblestones/normal cold_sweat:smokestack minecraft:crafting_shaped
cold_sweat:soulspring_lamp | minecraft:crafting_shaped | c:chains c:ingots/iron c:nuggets/gold cold_sweat:soulspring_lamp minecraft:crafting_shaped minecraft:heart_of_the_sea
cold_sweat:thermolith | minecraft:crafting_shaped | c:scales/chameleon cold_sweat:thermolith minecraft:crafting_shaped minecraft:terracotta
cold_sweat:thermometer | minecraft:crafting_shaped | c:dusts/redstone c:ingots/gold cold_sweat:thermometer minecraft:crafting_shaped
cold_sweat:waterskin | minecraft:crafting_shaped | c:leathers c:strings cold_sweat:waterskin minecraft:crafting_shaped
cold_sweat:waterskin_campfire | minecraft:campfire_cooking | cold_sweat:filled_waterskin minecraft:campfire_cooking
