create_compressed:belt | minecraft:crafting_shapeless | create:belt_connector create_compressed:belt_block minecraft:crafting_shapeless
create_compressed:slime_block_from_dough_block | minecraft:crafting_shapeless | create_compressed:dough_block minecraft:crafting_shapeless minecraft:lime_dye minecraft:slime_block
create_compressed:splashing/crushed_raw_copper_pile | create:splashing | create:copper_nugget create:splashing create_compressed:crushed_copper_pile minecraft:clay_ball
create_compressed:splashing/crushed_raw_gold_pile | create:splashing | create:splashing create_compressed:crushed_gold_pile minecraft:gold_nugget minecraft:quartz
create_compressed:splashing/crushed_raw_iron_pile | create:splashing | create:splashing create_compressed:crushed_iron_pile minecraft:iron_nugget minecraft:redstone
create_compressed:splashing/crushed_raw_zinc_pile | create:splashing | create:splashing create:zinc_nugget create_compressed:crushed_zinc_pile minecraft:gunpowder
create_compressed:splashing/galosphere/crushed_raw_silver_pile | create:splashing | create:splashing create_compressed:crushed_silver_pile galosphere:silver_nugget neoforge:mod_loaded
create_compressed:splashing/immersiveengineering/crushed_raw_aluminum_pile | create:splashing | create:splashing create_compressed:crushed_aluminium_pile immersiveengineering:nugget_aluminum neoforge:mod_loaded
create_compressed:splashing/immersiveengineering/crushed_raw_lead_pile | create:splashing | create:splashing create_compressed:crushed_lead_pile immersiveengineering:nugget_lead neoforge:mod_loaded
create_compressed:splashing/immersiveengineering/crushed_raw_nickel_pile | create:splashing | create:splashing create_compressed:crushed_nickel_pile immersiveengineering:nugget_nickel neoforge:mod_loaded
create_compressed:splashing/immersiveengineering/crushed_raw_silver_pile | create:splashing | create:splashing create_compressed:crushed_silver_pile immersiveengineering:nugget_silver neoforge:mod_loaded
create_compressed:splashing/immersiveengineering/crushed_raw_uranium_pile | create:splashing | create:splashing create_compressed:crushed_uranium_pile immersiveengineering:nugget_uranium neoforge:mod_loaded
create_compressed:splashing/mekanism/crushed_raw_lead_pile | create:splashing | create:splashing create_compressed:crushed_lead_pile mekanism:nugget_lead neoforge:mod_loaded
create_compressed:splashing/mekanism/crushed_raw_osmium_pile | create:splashing | create:splashing create_compressed:crushed_osmium_pile mekanism:nugget_osmium neoforge:mod_loaded
create_compressed:splashing/mekanism/crushed_raw_tin_pile | create:splashing | create:splashing create_compressed:crushed_tin_pile mekanism:nugget_tin neoforge:mod_loaded
create_compressed:splashing/mekanism/crushed_raw_uranium_pile | create:splashing | create:splashing create_compressed:crushed_uranium_pile mekanism:nugget_uranium neoforge:mod_loaded
create_compressed:splashing/oreganized/crushed_raw_lead_pile | ? | create_compressed:crushed_lead_pile neoforge:mod_loaded oreganized:lead_nugget
create_compressed:splashing/oreganized/crushed_raw_silver_pile | create:splashing | create:splashing create_compressed:crushed_silver_pile neoforge:mod_loaded oreganized:silver_nugget
create_compressed:splashing/thermal/crushed_raw_lead_pile | create:splashing | create:splashing create_compressed:crushed_lead_pile neoforge:mod_loaded thermal:lead_nugget
create_compressed:splashing/thermal/crushed_raw_nickel_pile | create:splashing | create:splashing create_compressed:crushed_nickel_pile neoforge:mod_loaded thermal:nickel_nugget
create_compressed:splashing/thermal/crushed_raw_silver_pile | create:splashing | create:splashing create_compressed:crushed_silver_pile neoforge:mod_loaded thermal:silver_nugget
create_compressed:splashing/thermal/crushed_raw_tin_pile | create:splashing | create:splashing create_compressed:crushed_tin_pile neoforge:mod_loaded thermal:tin_nugget
create_compressed:splashing/wheat_flour_pile | create:splashing | create:splashing create_compressed:dough_block create_compressed:wheat_flour_pile
create_compressed:sturdy_sheet | minecraft:crafting_shapeless | create:sturdy_sheet create_compressed:sturdy_sheet_block minecraft:crafting_shapeless
create_compressed:sturdy_sheet_block | minecraft:crafting_shaped | create:sturdy_sheet create_compressed:sturdy_sheet_block minecraft:crafting_shaped
create_compressed:wheat_flour | minecraft:crafting_shapeless | create:wheat_flour create_compressed:wheat_flour_pile minecraft:crafting_shapeless
create_compressed:wheat_flour_pile | minecraft:crafting_shaped | create:wheat_flour create_compressed:wheat_flour_pile minecraft:crafting_shaped
create_recycle:crushing/brass_sheet_block | create:crushing | create:brass_sheet create:crushing create_compressed:brass_sheet_block neoforge:mod_loaded
create_recycle:crushing/cinder_flour_pile | create:crushing | create:cinder_flour create:crushing create_compressed:cinder_flour_pile neoforge:mod_loaded
create_recycle:crushing/copper_sheet_block | create:crushing | create:copper_sheet create:crushing create_compressed:copper_sheet_block neoforge:mod_loaded
create_recycle:crushing/crushed_raw_aluminum_pile | create:crushing | create:crushed_raw_aluminum create:crushing create_compressed:crushed_aluminium_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_copper_pile | create:crushing | create:crushed_raw_copper create:crushing create_compressed:crushed_copper_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_gold_pile | create:crushing | create:crushed_raw_gold create:crushing create_compressed:crushed_gold_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_iron_pile | create:crushing | create:crushed_raw_iron create:crushing create_compressed:crushed_iron_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_lead_pile | create:crushing | create:crushed_raw_lead create:crushing create_compressed:crushed_lead_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_nickel_pile | create:crushing | create:crushed_raw_nickel create:crushing create_compressed:crushed_nickel_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_osmium_pile | create:crushing | create:crushed_raw_osmium create:crushing create_compressed:crushed_osmium_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_platinum_pile | create:crushing | create:crushed_raw_platinum create:crushing create_compressed:crushed_platium_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_quicksilver_pile | create:crushing | create:crushed_raw_quicksilver create:crushing create_compressed:crushed_quicksilver_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_silver_pile | create:crushing | create:crushed_raw_silver create:crushing create_compressed:crushed_silver_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_tin_pile | create:crushing | create:crushed_raw_tin create:crushing create_compressed:crushed_tin_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_uranium_pile | create:crushing | create:crushed_raw_uranium create:crushing create_compressed:crushed_uranium_pile neoforge:mod_loaded
create_recycle:crushing/crushed_raw_zinc_pile | create:crushing | create:crushed_raw_zinc create:crushing create_compressed:crushed_zinc_pile neoforge:mod_loaded
create_recycle:crushing/gold_sheet_block | create:crushing | create:crushing create:golden_sheet create_compressed:gold_sheet_block neoforge:mod_loaded
create_recycle:crushing/iron_sheet_block | create:crushing | create:crushing create:iron_sheet create_compressed:iron_sheet_block neoforge:mod_loaded
create_recycle:crushing/polished_rose_quartz_block | create:crushing | create:crushing create:polished_rose_quartz create_compressed:rose_quartz_polished_block neoforge:mod_loaded
create_recycle:crushing/powdered_obsidian_pile | create:crushing | create:crushing create:powdered_obsidian create_compressed:powdered_obsidian_pile neoforge:mod_loaded
create_recycle:crushing/rose_quartz_crystal_block | create:crushing | create:crushing create:rose_quartz create_compressed:rose_quartz_crystal_block neoforge:mod_loaded
create_recycle:crushing/sturdy_sheet_block | create:crushing | create:crushing create:sturdy_sheet create_compressed:sturdy_sheet_block neoforge:mod_loaded
create_recycle:milling/dough_block | create:milling | create:dough create:milling create_compressed:dough_block neoforge:mod_loaded
create_recycle:milling/pulp_block | create:milling | create:milling create:pulp create_compressed:pulp_block neoforge:mod_loaded
create_recycle:milling/wheat_flour_pile | create:milling | create:milling create:wheat_flour create_compressed:wheat_flour_pile neoforge:mod_loaded
